Name, X, Y, Z
,00.1601795,0-0.1624182,0-0.2579325
,00.1601795,0-0.1624601,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624705,0-0.2579325
,00.1601795,0-0.1624705,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624705,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624705,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601795,0-0.1624706,0-0.2579325
,00.1601827,0-0.1624725,0-0.2579334
,00.1601827,0-0.1624725,0-0.2579334
,00.1601977,0-0.1623268,0-0.2579517
,00.1602091,0-0.1622501,0-0.2579517
,00.1602091,0-0.1622501,0-0.2579517
,00.1602091,0-0.1622501,0-0.2579517
,00.1601831,0-0.1624505,0-0.2579485
,00.1601831,0-0.1624505,0-0.2579485
,00.1601968,0-0.1624421,0-0.2579534
,00.1601921,0-0.1624329,0-0.2579396
,00.1601921,0-0.1624329,0-0.2579396
,00.1601939,0-0.1624368,0-0.257939
,00.1601949,0-0.1624516,0-0.2579386
,00.1601949,0-0.1624516,0-0.2579386
,00.1601953,0-0.1624673,0-0.2579386
,00.1601953,0-0.1624673,0-0.2579386
,00.1601948,0-0.1624718,0-0.2579387
,00.1601944,0-0.1624692,0-0.2579389
,00.160194,0-0.1624648,0-0.2579389
,00.160194,0-0.1624648,0-0.2579389
,00.1601935,0-0.1624524,0-0.2579387
,00.1601935,0-0.1624524,0-0.2579387
,00.1601935,0-0.1624481,0-0.2579387
,00.1601939,0-0.1624565,0-0.2579383
,00.160193,0-0.1624503,0-0.2579379
,00.160193,0-0.1624503,0-0.2579379
,00.1601914,0-0.1624298,0-0.2579369
,00.1601824,0-0.1624149,0-0.2579467
,00.1601824,0-0.1624149,0-0.2579467
,00.1601813,0-0.1624076,0-0.2579459
,00.1601893,0-0.1624227,0-0.2579359
,00.1601893,0-0.1624227,0-0.2579359
,00.1601896,0-0.1624326,0-0.2579359
,00.1601824,0-0.1624233,0-0.2579426
,00.1601824,0-0.1624233,0-0.2579426
,00.1601779,0-0.1624053,0-0.2579426
,00.1601863,0-0.1624315,0-0.2579353
,00.1601863,0-0.1624315,0-0.2579353
,00.1601869,0-0.162444,0-0.2579347
,00.1601876,0-0.1624725,0-0.2579352
,00.1601876,0-0.1624725,0-0.2579352
,00.1601867,0-0.1624779,0-0.2579357
,00.1601862,0-0.1624792,0-0.2579359
,00.1601862,0-0.1624792,0-0.2579359
,00.1601861,0-0.1624794,0-0.2579359
,00.160186,0-0.1624795,0-0.2579359
,00.160186,0-0.1624796,0-0.2579359
,00.160186,0-0.1624796,0-0.2579359
,00.160186,0-0.1624796,0-0.2579359
,00.1601861,0-0.1624796,0-0.2579359
,00.1601861,0-0.1624796,0-0.2579359
,00.1601861,0-0.1624797,0-0.2579359
,00.1601861,0-0.1624797,0-0.2579359
,00.1601862,0-0.1624795,0-0.2579359
,00.1601862,0-0.1624795,0-0.2579359
,00.1601862,0-0.1624797,0-0.2579359
,00.1601862,0-0.1624797,0-0.2579359
,00.1601862,0-0.1624794,0-0.2579358
,00.1601862,0-0.1624794,0-0.2579358
,00.1601862,0-0.1624795,0-0.257935
,00.1601862,0-0.1624795,0-0.257935
,00.1601743,0-0.1624254,0-0.2579388
,00.1601743,0-0.1624254,0-0.2579388
,00.1601756,0-0.1623959,0-0.2579339
,00.1601756,0-0.1623959,0-0.2579339
,00.1601772,0-0.1623695,0-0.2579297
,00.1601776,0-0.1623459,0-0.257928
,00.1601776,0-0.1623459,0-0.257928
,00.1601782,0-0.162289,0-0.2579266
,00.1601782,0-0.162289,0-0.2579266
,00.1601778,0-0.1622785,0-0.2579267
,00.1601778,0-0.1622785,0-0.2579267
,00.1601777,0-0.1622653,0-0.2579263
,00.1601777,0-0.1622653,0-0.2579263
,00.1601779,0-0.1622358,0-0.2579249
,00.1601798,0-0.1621542,0-0.2579203
,00.1601664,0-0.162394,0-0.2579318
,00.1601664,0-0.162394,0-0.2579318
,00.1601664,0-0.162394,0-0.2579318
,00.1601785,0-0.1624549,0-0.2579316
,00.1601793,0-0.1624628,0-0.2579335
,00.1601795,0-0.1624669,0-0.2579328
,00.1601794,0-0.1624691,0-0.2579326
,00.1601794,0-0.1624691,0-0.2579326
,00.1601794,0-0.1624691,0-0.2579326
,00.1601794,0-0.1624698,0-0.2579326
,00.1601794,0-0.1624698,0-0.2579326
,00.1601794,0-0.1624698,0-0.2579326
,00.1601794,0-0.1624696,0-0.2579326
,00.1601794,0-0.1624696,0-0.2579326
,00.1601794,0-0.1624696,0-0.2579326
,00.1601794,0-0.1624698,0-0.2579326
,00.1601794,0-0.1624698,0-0.2579326
,00.1601794,0-0.1624697,0-0.2579326
,00.1601794,0-0.1624697,0-0.2579326
,00.1601794,0-0.1624697,0-0.2579326
,00.1601794,0-0.1624698,0-0.2579325
,00.1601794,0-0.1624697,0-0.2579326
,00.1601794,0-0.1624697,0-0.2579326
,00.1601794,0-0.1624697,0-0.2579326
,00.1601794,0-0.1624697,0-0.2579326
,00.1601794,0-0.1624697,0-0.2579325
,00.1601794,0-0.1624698,0-0.2579326
,00.1601794,0-0.1624696,0-0.2579326
