X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0033613
-0.0212,-0.1624706,-0.207,0.008163201
-0.0212,-0.1624706,-0.207,0.0102856
-0.0212,-0.1624706,-0.207,0.0134608
-0.0212,-0.1624706,-0.207,0.0166539
-0.0212,-0.1624706,-0.207,0.0201555
-0.0212,-0.1624706,-0.207,0.0237241
-0.0212,-0.1624706,-0.207,0.0270901
-0.0212,-0.1624706,-0.207,0.0299296
-0.0212,-0.1624706,-0.207,0.0331636
-0.0212,-0.1624706,-0.207,0.0364415
-0.0212,-0.1624706,-0.207,0.03998081
-0.0212,-0.1624706,-0.207,0.04322801
-0.0212,-0.1624706,-0.207,0.04666251
-0.0212,-0.1624706,-0.207,0.04966121
-0.0212,-0.1624706,-0.207,0.05291441
-0.0212,-0.1624706,-0.207,0.05645791
-0.0212,-0.1624706,-0.207,0.05961631
-0.0212,-0.1624706,-0.207,0.06278101
-0.0212,-0.1624706,-0.207,0.0662654
-0.0212,-0.1624706,-0.207,0.0691424
-0.0212,-0.1624706,-0.207,0.0728812
-0.0212,-0.1624706,-0.207,0.0758681
-0.0212,-0.1624706,-0.207,0.0790598
-0.0212,-0.1624706,-0.207,0.0822824
-0.0212,-0.1624706,-0.207,0.0856576
-0.0212,-0.1624706,-0.207,0.08920901
-0.0212,-0.1624706,-0.207,0.09256261
-0.0212,-0.1624706,-0.207,0.09577861
-0.0212,-0.1624706,-0.207,0.09897651
-0.0212,-0.1624706,-0.207,0.1021694
-0.0212,-0.1624706,-0.207,0.1060743
-0.0212,-0.1624706,-0.207,0.1089687
-0.0212,-0.1624706,-0.207,0.1122129
-0.0212,-0.1624706,-0.207,0.1155328
-0.0212,-0.1624706,-0.207,0.1188534
-0.0212,-0.1624706,-0.207,0.1223953
-0.0212,-0.1624706,-0.207,0.1257287
-0.0212,-0.1624706,-0.207,0.1287121
-0.0212,-0.1624706,-0.207,0.1355949
-0.0212,-0.1624706,-0.207,0.1382916
-0.0212,-0.1624706,-0.207,0.1404546
-0.0212,-0.1624706,-0.207,0.1431831
-0.0212,-0.1624706,-0.207,0.1454273
-0.0212,-0.1624706,-0.207,0.1483531
-0.0212,-0.1624706,-0.207,0.1513712
-0.0212,-0.1624706,-0.207,0.1548272
-0.0212,-0.1624706,-0.207,0.1582523
-0.0212,-0.1624706,-0.207,0.1614538
-0.0212,-0.1624706,-0.207,0.1648151
-0.0212,-0.1624706,-0.207,0.1679046
-0.0212,-0.1624706,-0.207,0.1713246
-0.0212,-0.1624706,-0.207,0.1747792
-0.0212,-0.1624706,-0.207,0.1780372
-0.0212,-0.1624706,-0.207,0.181136
-0.0212,-0.1624706,-0.207,0.1846978
-0.0212,-0.1624706,-0.207,0.187954
-0.0212,-0.1624706,-0.207,0.1916711
-0.0212,-0.1624706,-0.207,0.1947204
-0.0212,-0.1624706,-0.207,0.1978948
-0.0212,-0.1624706,-0.207,0.2010869
-0.0212,-0.1624706,-0.207,0.2045217
-0.0212,-0.1624706,-0.207,0.2079494
-0.0212,-0.1624706,-0.207,0.2110987
-0.0212,-0.1624706,-0.207,0.2142841
-0.0212,-0.1624706,-0.207,0.2174568
-0.0212,-0.1624706,-0.207,0.2207031
-0.0212,-0.1624706,-0.207,0.2245232
-0.0212,-0.1624706,-0.207,0.2274706
-0.0212,-0.1624706,-0.207,0.230674
-0.0212,-0.1624706,-0.207,0.2339102
-0.0212,-0.1624706,-0.207,0.2372385
-0.0212,-0.1624706,-0.207,0.2410218
-0.0212,-0.1624706,-0.207,0.2443215
-0.0212,-0.1624706,-0.207,0.2473199
-0.0212,-0.1624706,-0.207,0.2505434
-0.0212,-0.1624706,-0.207,0.2538634
-0.0212,-0.1624706,-0.207,0.257489
-0.0212,-0.1624706,-0.207,0.2606429
-0.0212,-0.1624706,-0.207,0.2640234
-0.0212,-0.1624706,-0.207,0.2671437
-0.0212,-0.1624706,-0.207,0.2703724
-0.0212,-0.1624706,-0.207,0.2739794
-0.0212,-0.1624706,-0.207,0.2772149
-0.0212,-0.1624706,-0.207,0.2804753
-0.0212,-0.1624706,-0.207,0.2838726
-0.0212,-0.1624706,-0.207,0.2869136
-0.0212,-0.1624706,-0.207,0.290572
-0.0212,-0.1624706,-0.207,0.2937171
-0.0212,-0.1624706,-0.207,0.296936
-0.0212,-0.1624706,-0.207,0.3001593
-0.0212,-0.1624706,-0.207,0.3035532
-0.0212,-0.1624706,-0.207,0.3073129
-0.0212,-0.1624706,-0.207,0.3103685
