X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.003207
-0.0212,-0.1624706,-0.207,0.006464
-0.0212,-0.1624706,-0.207,0.0099347
-0.0212,-0.1624706,-0.207,0.0134641
-0.0212,-0.1624706,-0.207,0.017159
-0.0212,-0.1624706,-0.207,0.0199031
-0.0212,-0.1624706,-0.207,0.0231798
-0.0212,-0.1624706,-0.207,0.0273605
-0.0212,-0.1624706,-0.207,0.0300211
-0.0212,-0.1624706,-0.207,0.0334095
-0.0212,-0.1624706,-0.207,0.0364577
-0.0212,-0.1624706,-0.207,0.0398939
-0.0212,-0.1624706,-0.207,0.0430327
-0.0212,-0.1624706,-0.207,0.0471375
-0.0212,-0.1624706,-0.207,0.049892
-0.0212,-0.1624706,-0.207,0.0531516
-0.0212,-0.1624706,-0.207,0.0563904
-0.0212,-0.1624706,-0.207,0.0596024
-0.0212,-0.1624706,-0.207,0.06327751
-0.0212,-0.1624706,-0.207,0.0666263
-0.0212,-0.1624706,-0.207,0.06970181
-0.0212,-0.1624706,-0.207,0.0730198
-0.0212,-0.1624706,-0.207,0.0761539
-0.0212,-0.1624706,-0.207,0.07991391
-0.0212,-0.1624706,-0.207,0.08324061
-0.0212,-0.1624706,-0.207,0.08645811
-0.0212,-0.1624706,-0.207,0.08979361
-0.0212,-0.1624706,-0.207,0.09295461
-0.0212,-0.1624706,-0.207,0.09655581
-0.0212,-0.1624706,-0.207,0.09985131
-0.0212,-0.1624706,-0.207,0.1029007
-0.0212,-0.1624706,-0.207,0.1061295
-0.0212,-0.1624706,-0.207,0.1093334
-0.0212,-0.1624706,-0.207,0.1129163
-0.0212,-0.1624706,-0.207,0.1162053
-0.0212,-0.1624706,-0.207,0.119355
-0.0212,-0.1624706,-0.207,0.1227015
-0.0212,-0.1624706,-0.207,0.1259551
-0.0212,-0.1624706,-0.207,0.1296022
-0.0212,-0.1624706,-0.207,0.1329962
-0.0212,-0.1624706,-0.207,0.1360437
-0.0212,-0.1624706,-0.207,0.1418511
-0.0212,-0.1624706,-0.207,0.144754
-0.0212,-0.1624706,-0.207,0.1469296
-0.0212,-0.1624706,-0.207,0.14927
-0.0212,-0.1624706,-0.207,0.1522242
-0.0212,-0.1624706,-0.207,0.1553634
-0.0212,-0.1624706,-0.207,0.1585703
-0.0212,-0.1624706,-0.207,0.1620995
-0.0212,-0.1624706,-0.207,0.1654447
-0.0212,-0.1624706,-0.207,0.1684542
-0.0212,-0.1624706,-0.207,0.171679
-0.0212,-0.1624706,-0.207,0.1749288
-0.0212,-0.1624706,-0.207,0.1784355
-0.0212,-0.1624706,-0.207,0.1815779
-0.0212,-0.1624706,-0.207,0.1847595
-0.0212,-0.1624706,-0.207,0.1879352
-0.0212,-0.1624706,-0.207,0.1909725
-0.0212,-0.1624706,-0.207,0.1945758
-0.0212,-0.1624706,-0.207,0.1979152
-0.0212,-0.1624706,-0.207,0.2009225
-0.0212,-0.1624706,-0.207,0.2041993
-0.0212,-0.1624706,-0.207,0.2073162
-0.0212,-0.1624706,-0.207,0.2109574
-0.0212,-0.1624706,-0.207,0.2142037
-0.0212,-0.1624706,-0.207,0.217334
-0.0212,-0.1624706,-0.207,0.2204498
-0.0212,-0.1624706,-0.207,0.2236492
-0.0212,-0.1624706,-0.207,0.2271526
-0.0212,-0.1624706,-0.207,0.2304427
-0.0212,-0.1624706,-0.207,0.2335382
-0.0212,-0.1624706,-0.207,0.2367774
-0.0212,-0.1624706,-0.207,0.2399097
-0.0212,-0.1624706,-0.207,0.2432314
-0.0212,-0.1624706,-0.207,0.2467592
-0.0212,-0.1624706,-0.207,0.2500201
-0.0212,-0.1624706,-0.207,0.253161
-0.0212,-0.1624706,-0.207,0.2566566
-0.0212,-0.1624706,-0.207,0.2594976
-0.0212,-0.1624706,-0.207,0.2631583
-0.0212,-0.1624706,-0.207,0.2664308
-0.0212,-0.1624706,-0.207,0.2694828
-0.0212,-0.1624706,-0.207,0.2725719
-0.0212,-0.1624706,-0.207,0.2758111
-0.0212,-0.1624706,-0.207,0.2795088
-0.0212,-0.1624706,-0.207,0.2826381
-0.0212,-0.1624706,-0.207,0.285836
-0.0212,-0.1624706,-0.207,0.2890393
-0.0212,-0.1624706,-0.207,0.2922848
-0.0212,-0.1624706,-0.207,0.2958468
-0.0212,-0.1624706,-0.207,0.2995069
-0.0212,-0.1624706,-0.207,0.3025431
-0.0212,-0.1624706,-0.207,0.3056441
-0.0212,-0.1624706,-0.207,0.3088795
-0.0212,-0.1624706,-0.207,0.312418
-0.0212,-0.1624706,-0.207,0.3156691
-0.0212,-0.1624706,-0.207,0.3188219
-0.0212,-0.1624706,-0.207,0.3221253
-0.0212,-0.1624706,-0.207,0.3253281
-0.0212,-0.1624706,-0.207,0.3287894
-0.0212,-0.1624706,-0.207,0.3320797
-0.0212,-0.1624706,-0.207,0.3351596
-0.0212,-0.1624706,-0.207,0.338269
-0.0212,-0.1624706,-0.207,0.3415414
-0.0212,-0.1624706,-0.207,0.3451024
-0.0212,-0.1624706,-0.207,0.3484452
-0.0212,-0.1624706,-0.207,0.3515692
-0.0212,-0.1624706,-0.207,0.3546718
-0.0212,-0.1624706,-0.207,0.3578872
-0.0212,-0.1624706,-0.207,0.3615328
