X, Y, Z, Time
-0.02120338,-0.1624784,-0.2070033,0.0111691
-0.02120338,-0.1624784,-0.2070033,0.0236044
-0.02127653,-0.1622643,-0.2070554,0.0354832
-0.02127653,-0.1622643,-0.2070554,0.0479157
-0.02140148,-0.1616697,-0.2070261,0.0599972
-0.02147248,-0.1698659,-0.2071068,0.071041
-0.02147248,-0.1698659,-0.2071068,0.0831201
-0.02229149,-0.1619996,-0.2074692,0.0941058
-0.02229149,-0.1619996,-0.2074692,0.10641
-0.02283994,-0.1792588,-0.2076152,0.1182915
-0.02284425,-0.1665212,-0.2076223,0.1303795
-0.02284425,-0.1665212,-0.2076223,0.1446163
-0.02271192,-0.1622291,-0.2084949,0.1568599
-0.02271192,-0.1622291,-0.2084949,0.1689472
-0.02236779,-0.180336,-0.2074463,0.1778073
-0.02170062,-0.1663797,-0.2063501,0.1906821
-0.02170062,-0.1663797,-0.2063501,0.2026321
-0.02195187,-0.1637398,-0.206446,0.2144226
-0.02195187,-0.1637398,-0.206446,0.2258524
-0.02176919,-0.1597815,-0.2064954,0.2377126
-0.02121509,-0.1731739,-0.2069574,0.2505618
-0.02121509,-0.1731739,-0.2069574,0.2613514
-0.01841487,-0.1593165,-0.2057101,0.2731863
-0.01841487,-0.1593165,-0.2057101,0.2858266
-0.01919102,-0.1723202,-0.2046642,0.2972595
-0.01919102,-0.1723202,-0.2046642,0.3092696
-0.02048313,-0.1616573,-0.2058145,0.3205022
-0.01780773,-0.1805585,-0.2040536,0.332973
-0.01780773,-0.1805585,-0.2040536,0.3442629
-0.017703,-0.1661628,-0.2041224,0.3559807
-0.017703,-0.1661628,-0.2041224,0.3686633
-0.01757876,-0.1625078,-0.2038217,0.3800093
-0.01767626,-0.159369,-0.203939,0.39169
-0.01767626,-0.159369,-0.203939,0.4041774
-0.01955158,-0.1889952,-0.2039541,0.4159912
-0.01955158,-0.1889952,-0.2039541,0.4274493
-0.01957212,-0.1685562,-0.2047471,0.4394639
-0.02067035,-0.1591486,-0.204739,0.4512655
-0.02067035,-0.1591486,-0.204739,0.4632863
-0.01522786,-0.1851602,-0.2021426,0.4743407
-0.01522786,-0.1851602,-0.2021426,0.4866382
-0.01753972,-0.1660754,-0.2026746,0.4983198
-0.01753972,-0.1660754,-0.2026746,0.5098473
-0.01747307,-0.1627756,-0.2029006,0.5212927
-0.01737627,-0.1621889,-0.20286,0.533681
-0.01737627,-0.1621889,-0.20286,0.5445116
-0.01705834,-0.1620493,-0.2029812,0.5563791
-0.01705834,-0.1620493,-0.2029812,0.5686029
-0.01720904,-0.1584011,-0.2029967,0.5804015
-0.01304405,-0.1830774,-0.1999943,0.5920333
-0.01304405,-0.1830774,-0.1999943,0.6037642
-0.01440319,-0.1652806,-0.2003925,0.6155366
-0.01440319,-0.1652806,-0.2003925,0.6273164
-0.01443848,-0.1624055,-0.2004846,0.6395953
-0.01443869,-0.1619643,-0.2004789,0.6512277
-0.01443869,-0.1619643,-0.2004789,0.6632693
