X, Y, Z, Time
-0.02119995,-0.1624702,-0.2070001,0.0109768
-0.02119995,-0.1624702,-0.2070001,0.023501
-0.02119995,-0.1624702,-0.2070001,0.0357699
-0.02119995,-0.1624702,-0.2070001,0.046311
-0.02119995,-0.1624702,-0.2070001,0.059422
-0.02119995,-0.1624702,-0.2070001,0.0710623
-0.02119995,-0.1624702,-0.2070001,0.083924
-0.02119995,-0.1624702,-0.2070001,0.0950442
-0.02119995,-0.1624702,-0.2070001,0.1064286
-0.02119995,-0.1624702,-0.2070001,0.1193092
-0.02119995,-0.1624702,-0.2070001,0.1302963
-0.02119995,-0.1624702,-0.2070001,0.1428261
-0.02119995,-0.1624702,-0.2070001,0.1552368
-0.02119995,-0.1624702,-0.2070001,0.1673996
-0.02119995,-0.1624702,-0.2070001,0.1791275
-0.02119995,-0.1624702,-0.2070001,0.1908467
-0.02119995,-0.1624702,-0.2070001,0.2029588
-0.02119995,-0.1624702,-0.2070001,0.2141237
-0.02119995,-0.1624702,-0.2070001,0.2264348
-0.02119995,-0.1624702,-0.2070001,0.2391762
-0.02119995,-0.1624702,-0.2070001,0.2507936
-0.02119995,-0.1624702,-0.2070001,0.2622957
-0.02119995,-0.1624702,-0.2070001,0.2748989
-0.02119995,-0.1624702,-0.2070001,0.2870309
-0.02119995,-0.1624702,-0.2070001,0.3034635
-0.02119995,-0.1624702,-0.2070001,0.3120164
-0.02119995,-0.1624702,-0.2070001,0.322565
-0.02119995,-0.1624702,-0.2070001,0.3352558
-0.02119995,-0.1624702,-0.2070001,0.3463494
-0.02119995,-0.1624702,-0.2070001,0.359006
-0.02119995,-0.1624702,-0.2070001,0.3710313
-0.02119995,-0.1624702,-0.2070001,0.3838106
-0.02119995,-0.1624702,-0.2070001,0.3943932
-0.02119995,-0.1624702,-0.2070001,0.4064626
-0.02119995,-0.1624702,-0.2070001,0.4189465
-0.02119995,-0.1624702,-0.2070001,0.4298869
-0.02119995,-0.1624702,-0.2070001,0.4421659
-0.02119995,-0.1624702,-0.2070001,0.4543619
-0.02119995,-0.1624702,-0.2070001,0.4664195
-0.02119995,-0.1624702,-0.2070001,0.4781186
-0.02119995,-0.1624702,-0.2070001,0.4902126
-0.02119995,-0.1624702,-0.2070001,0.5032988
-0.02119995,-0.1624702,-0.2070001,0.5136341
-0.02119995,-0.1624702,-0.2070001,0.5258636
-0.02119995,-0.1624702,-0.2070001,0.5381817
-0.02119995,-0.1624702,-0.2070001,0.55029
-0.02119995,-0.1624702,-0.2070001,0.561736
-0.02119995,-0.1624702,-0.2070001,0.5737516
-0.02119995,-0.1624702,-0.2070001,0.5866542
-0.02119995,-0.1624702,-0.2070001,0.5984297
-0.02119995,-0.1624702,-0.2070001,0.6099107
-0.02119995,-0.1624702,-0.2070001,0.6220643
-0.02119995,-0.1624702,-0.2070001,0.633932
-0.02119995,-0.1624702,-0.2070001,0.6457466
-0.02119995,-0.1624702,-0.2070001,0.6577944
-0.02119995,-0.1624702,-0.2070001,0.6694886
-0.02119995,-0.1624702,-0.2070001,0.6814209
-0.02119995,-0.1624702,-0.2070001,0.693289
-0.02119995,-0.1624702,-0.2070001,0.7058777
-0.02119995,-0.1624702,-0.2070001,0.7196523
-0.02119995,-0.1624702,-0.2070001,0.7317129
-0.02119995,-0.1624702,-0.2070001,0.7433329
-0.02119995,-0.1624702,-0.2070001,0.7560469
-0.02119995,-0.1624702,-0.2070001,0.7677943
-0.02119995,-0.1624702,-0.2070001,0.7796112
-0.02119995,-0.1624702,-0.2070001,0.7917255
-0.02119995,-0.1624702,-0.2070001,0.8036512
-0.02119995,-0.1624702,-0.2070001,0.815825
-0.02119995,-0.1624702,-0.2070001,0.826965
-0.02119995,-0.1624702,-0.2070001,0.8399465
-0.02119995,-0.1624702,-0.2070001,0.8520098
-0.02119995,-0.1624702,-0.2070001,0.8632047
-0.02119995,-0.1624702,-0.2070001,0.8752718
-0.02119995,-0.1624702,-0.2070001,0.8871508
-0.02119995,-0.1624702,-0.2070001,0.899968
-0.02119995,-0.1624702,-0.2070001,0.9113361
-0.02119995,-0.1624702,-0.2070001,0.9232194
-0.02119995,-0.1624702,-0.2070001,0.9355766
-0.02119995,-0.1624702,-0.2070001,0.946309
-0.02119995,-0.1624702,-0.2070001,0.9593903
-0.02119995,-0.1624702,-0.2070001,0.971352
-0.02119995,-0.1624702,-0.2070001,0.9845868
-0.02119995,-0.1624702,-0.2070001,0.9954636
-0.02119995,-0.1624702,-0.2070001,1.007418
