X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0110793
-0.0212,-0.1624706,-0.207,0.0232204
-0.0212,-0.1624706,-0.207,0.0352166
-0.0212,-0.1624706,-0.207,0.047649
-0.0212,-0.1624706,-0.207,0.0611706
-0.0212,-0.1624706,-0.207,0.0727544
-0.0212,-0.1624706,-0.207,0.0846587
-0.0212,-0.1624706,-0.207,0.0963604
-0.0212,-0.1624706,-0.207,0.1078883
-0.0212,-0.1624706,-0.207,0.1200209
-0.0212,-0.1624706,-0.207,0.1319676
-0.0212,-0.1624706,-0.207,0.1441075
-0.0212,-0.1624706,-0.207,0.157036
-0.0212,-0.1624706,-0.207,0.1685174
-0.0212,-0.1624706,-0.207,0.1810928
-0.0212,-0.1624706,-0.207,0.1923937
-0.0212,-0.1624706,-0.207,0.20422
-0.0212,-0.1624706,-0.207,0.2164398
-0.0212,-0.1624706,-0.207,0.2277208
-0.0212,-0.1624706,-0.207,0.2399465
-0.0212,-0.1624706,-0.207,0.2515543
-0.0212,-0.1624706,-0.207,0.2635612
-0.0212,-0.1624706,-0.207,0.2747503
-0.0212,-0.1624706,-0.207,0.2864367
-0.0212,-0.1624706,-0.207,0.2989528
-0.0212,-0.1624706,-0.207,0.3101842
-0.0212,-0.1624706,-0.207,0.3220376
-0.0212,-0.1624706,-0.207,0.3340501
-0.0212,-0.1624706,-0.207,0.3450592
-0.0212,-0.1624706,-0.207,0.3580579
-0.0212,-0.1624706,-0.207,0.3692935
-0.0212,-0.1624706,-0.207,0.3816552
-0.0212,-0.1624706,-0.207,0.3935343
-0.0212,-0.1624706,-0.207,0.4046967
-0.0212,-0.1624706,-0.207,0.4172452
-0.0212,-0.1624706,-0.207,0.4282895
-0.0212,-0.1624706,-0.207,0.4407104
-0.0212,-0.1624706,-0.207,0.4529181
-0.0212,-0.1624706,-0.207,0.4645555
-0.0212,-0.1624706,-0.207,0.4762791
-0.0212,-0.1624706,-0.207,0.4877412
-0.0212,-0.1624706,-0.207,0.5005566
-0.0212,-0.1624706,-0.207,0.5122441
-0.0212,-0.1624706,-0.207,0.5235277
-0.0212,-0.1624706,-0.207,0.5356911
-0.0212,-0.1624706,-0.207,0.5478009
-0.0212,-0.1624706,-0.207,0.5593268
-0.0212,-0.1624706,-0.207,0.5709201
-0.0212,-0.1624706,-0.207,0.583552
-0.0212,-0.1624706,-0.207,0.5949601
-0.0212,-0.1624706,-0.207,0.6067706
-0.0212,-0.1624706,-0.207,0.6190368
-0.0212,-0.1624706,-0.207,0.6309443
-0.0212,-0.1624706,-0.207,0.6425659
-0.0212,-0.1624706,-0.207,0.6544006
-0.0212,-0.1624706,-0.207,0.6668327
-0.0212,-0.1624706,-0.207,0.6784688
-0.0212,-0.1624706,-0.207,0.6900068
-0.0212,-0.1624706,-0.207,0.701989
-0.0212,-0.1624706,-0.207,0.7145035
-0.0212,-0.1624706,-0.207,0.7249919
-0.0212,-0.1624706,-0.207,0.7371005
-0.0212,-0.1624706,-0.207,0.7489136
-0.0212,-0.1624706,-0.207,0.7607639
-0.0212,-0.1624706,-0.207,0.772315
-0.0212,-0.1624706,-0.207,0.7840015
-0.0212,-0.1624706,-0.207,0.7952557
-0.0212,-0.1624706,-0.207,0.8072317
-0.0212,-0.1624706,-0.207,0.8199509
-0.0212,-0.1624706,-0.207,0.8314555
-0.0212,-0.1624706,-0.207,0.8430059
-0.0212,-0.1624706,-0.207,0.8554552
-0.0212,-0.1624706,-0.207,0.8673389
-0.0212,-0.1624706,-0.207,0.8788557
-0.0212,-0.1624706,-0.207,0.8906122
-0.0212,-0.1624706,-0.207,0.9031783
-0.0212,-0.1624706,-0.207,0.9151294
-0.0212,-0.1624706,-0.207,0.9259546
-0.0212,-0.1624706,-0.207,0.9382451
-0.0212,-0.1624706,-0.207,0.9498858
-0.0212,-0.1624706,-0.207,0.961808
-0.0212,-0.1624706,-0.207,0.9741108
-0.0212,-0.1624706,-0.207,0.9856672
-0.0212,-0.1624706,-0.207,0.9982231
-0.0212,-0.1624706,-0.207,1.009578
-0.0212,-0.1624706,-0.207,1.022352
-0.0212,-0.1624706,-0.207,1.034124
-0.0212,-0.1624706,-0.207,1.045091
-0.0212,-0.1624706,-0.207,1.057248
-0.0212,-0.1624706,-0.207,1.069133
-0.0212,-0.1624706,-0.207,1.081743
-0.0212,-0.1624706,-0.207,1.092864
-0.0212,-0.1624706,-0.207,1.104684
-0.0212,-0.1624706,-0.207,1.117074
-0.0212,-0.1624706,-0.207,1.128464
-0.0212,-0.1624706,-0.207,1.140713
-0.0212,-0.1624706,-0.207,1.152557
-0.0212,-0.1624706,-0.207,1.164958
-0.0212,-0.1624706,-0.207,1.176798
-0.0212,-0.1624706,-0.207,1.188102
-0.0212,-0.1624706,-0.207,1.200584
-0.0212,-0.1624706,-0.207,1.211916
-0.0212,-0.1624706,-0.207,1.223405
-0.0212,-0.1624706,-0.207,1.235767
-0.0212,-0.1624706,-0.207,1.24777
-0.0212,-0.1624706,-0.207,1.259121
-0.0212,-0.1624706,-0.207,1.270788
-0.0212,-0.1624706,-0.207,1.283077
-0.0212,-0.1624706,-0.207,1.294662
-0.0212,-0.1624706,-0.207,1.306587
-0.0212,-0.1624706,-0.207,1.318354
-0.0212,-0.1624706,-0.207,1.330289
-0.0212,-0.1624706,-0.207,1.342109
-0.0212,-0.1624706,-0.207,1.354934
-0.0212,-0.1624706,-0.207,1.365561
-0.0212,-0.1624706,-0.207,1.377216
-0.0212,-0.1624706,-0.207,1.389002
-0.0212,-0.1624706,-0.207,1.401051
-0.0212,-0.1624706,-0.207,1.412096
-0.0212,-0.1624706,-0.207,1.424322
-0.0212,-0.1624706,-0.207,1.436376
-0.0212,-0.1624706,-0.207,1.448127
-0.0212,-0.1624706,-0.207,1.460122
-0.0212,-0.1624706,-0.207,1.472187
-0.0212,-0.1624706,-0.207,1.484159
-0.0212,-0.1624706,-0.207,1.495232
-0.0212,-0.1624706,-0.207,1.507823
-0.0212,-0.1624706,-0.207,1.519684
-0.0212,-0.1624706,-0.207,1.532241
-0.0212,-0.1624706,-0.207,1.5441
-0.0212,-0.1624706,-0.207,1.555547
-0.0212,-0.1624706,-0.207,1.567283
-0.0212,-0.1624706,-0.207,1.578884
-0.0212,-0.1624706,-0.207,1.59047
-0.0212,-0.1624706,-0.207,1.603089
-0.0212,-0.1624706,-0.207,1.616651
-0.0212,-0.1624706,-0.207,1.627932
-0.0212,-0.1624706,-0.207,1.640406
-0.0212,-0.1624706,-0.207,1.651928
-0.0212,-0.1624706,-0.207,1.664064
-0.0212,-0.1624706,-0.207,1.67553
-0.0212,-0.1624706,-0.207,1.687032
-0.0212,-0.1624706,-0.207,1.699523
-0.0212,-0.1624706,-0.207,1.710937
-0.0212,-0.1624706,-0.207,1.723931
-0.0212,-0.1624706,-0.207,1.735921
-0.0212,-0.1624706,-0.207,1.747862
-0.0212,-0.1624706,-0.207,1.758719
-0.0212,-0.1624706,-0.207,1.771136
-0.0212,-0.1624706,-0.207,1.78362
-0.0212,-0.1624706,-0.207,1.794955
-0.0212,-0.1624706,-0.207,1.806713
-0.0212,-0.1624706,-0.207,1.818841
-0.0212,-0.1624706,-0.207,1.830816
-0.0212,-0.1624706,-0.207,1.842577
-0.0212,-0.1624706,-0.207,1.854415
-0.0212,-0.1624706,-0.207,1.866302
-0.0212,-0.1624706,-0.207,1.877913
-0.0212,-0.1624706,-0.207,1.88979
-0.0212,-0.1624706,-0.207,1.901947
-0.0212,-0.1624706,-0.207,1.913906
-0.0212,-0.1624706,-0.207,1.924867
-0.0212,-0.1624706,-0.207,1.937066
-0.0212,-0.1624706,-0.207,1.948738
-0.0212,-0.1624706,-0.207,1.96058
-0.0212,-0.1624706,-0.207,1.972243
-0.0212,-0.1624706,-0.207,1.984025
-0.0212,-0.1624706,-0.207,1.995616
-0.0212,-0.1624706,-0.207,2.007525
-0.0212,-0.1624706,-0.207,2.019987
-0.0212,-0.1624706,-0.207,2.031913
-0.0212,-0.1624706,-0.207,2.044062
-0.0212,-0.1624706,-0.207,2.055554
-0.0212,-0.1624706,-0.207,2.067514
-0.0212,-0.1624706,-0.207,2.08008
-0.0212,-0.1624706,-0.207,2.090971
-0.0212,-0.1624706,-0.207,2.103623
-0.0212,-0.1624706,-0.207,2.115629
-0.0212,-0.1624706,-0.207,2.126867
-0.0212,-0.1624706,-0.207,2.138853
-0.0212,-0.1624706,-0.207,2.150728
-0.0212,-0.1624706,-0.207,2.162909
-0.0212,-0.1624706,-0.207,2.174406
-0.0212,-0.1624706,-0.207,2.186138
-0.0212,-0.1624706,-0.207,2.198639
-0.0212,-0.1624706,-0.207,2.210109
-0.0212,-0.1624706,-0.207,2.222603
-0.0212,-0.1624706,-0.207,2.234248
-0.0212,-0.1624706,-0.207,2.245117
-0.0212,-0.1624706,-0.207,2.25759
-0.0212,-0.1624706,-0.207,2.269303
-0.0212,-0.1624706,-0.207,2.282235
-0.0212,-0.1624706,-0.207,2.293437
-0.0212,-0.1624706,-0.207,2.305032
-0.0212,-0.1624706,-0.207,2.317784
-0.0212,-0.1624706,-0.207,2.328966
-0.0212,-0.1624706,-0.207,2.341264
-0.0212,-0.1624706,-0.207,2.35294
-0.0212,-0.1624706,-0.207,2.365178
-0.0212,-0.1624706,-0.207,2.376657
-0.0212,-0.1624706,-0.207,2.388258
-0.0212,-0.1624705,-0.207,2.400595
-0.0212,-0.1624705,-0.207,2.411624
-0.0212,-0.1624706,-0.207,2.423504
-0.0212,-0.1624706,-0.207,2.43929
-0.0213061,-0.1622095,-0.2071725,2.447877
-0.0213061,-0.1622095,-0.2071725,2.459773
-0.02126932,-0.1621649,-0.2071326,2.471299
-0.02104774,-0.1605367,-0.2068211,2.483841
-0.02104774,-0.1605367,-0.2068211,2.494949
-0.02103296,-0.1777668,-0.2061188,2.506607
-0.02103296,-0.1777668,-0.2061188,2.519008
-0.02081486,-0.1637627,-0.2052993,2.533486
-0.02105676,-0.1630594,-0.2051822,2.545893
-0.02105676,-0.1630594,-0.2051822,2.556468
-0.02161146,-0.1808347,-0.2047684,2.567374
-0.02161146,-0.1808347,-0.2047684,2.579202
-0.01962676,-0.1618284,-0.204795,2.590642
-0.01914767,-0.1623269,-0.2051682,2.602959
-0.01914767,-0.1623269,-0.2051682,2.615113
-0.01803759,-0.1795623,-0.2069482,2.625783
-0.01803759,-0.1795623,-0.2069482,2.638184
-0.01589038,-0.1638054,-0.2066828,2.650401
-0.02258056,-0.2033719,-0.2055186,2.661848
-0.02258056,-0.2033719,-0.2055186,2.674148
-0.02344923,-0.1571222,-0.2128375,2.68542
-0.02344923,-0.1571222,-0.2128375,2.697802
-0.02090276,-0.1697294,-0.2169887,2.708609
-0.02097951,-0.1559881,-0.214662,2.720814
-0.02097951,-0.1559881,-0.214662,2.733375
-0.01934516,-0.1654887,-0.2136156,2.744339
-0.01934516,-0.1654887,-0.2136156,2.756441
-0.0203034,-0.154938,-0.214265,2.768135
-0.01981,-0.1548178,-0.2128473,2.780595
-0.01981,-0.1548178,-0.2128473,2.791623
-0.01778424,-0.1640505,-0.2088744,2.803519
-0.01778424,-0.1640505,-0.2088744,2.81577
-0.02016062,-0.1884935,-0.2176374,2.826872
-0.02016062,-0.1884935,-0.2176374,2.839403
-0.01485242,-0.1596367,-0.2193799,2.851188
-0.01396494,-0.1567093,-0.2172973,2.86246
-0.01396494,-0.1567093,-0.2172973,2.874386
-0.01179103,-0.167615,-0.2133836,2.886135
-0.01179103,-0.167615,-0.2133836,2.898479
-0.01669105,-0.1990774,-0.20791,2.909128
-0.01686247,-0.1653228,-0.2074005,2.92141
-0.01686247,-0.1653228,-0.2074005,2.933665
-0.01535945,-0.1629922,-0.2047674,2.944772
-0.01535945,-0.1629922,-0.2047674,2.956831
-0.007363534,-0.1905253,-0.2093783,2.968557
-0.009374455,-0.1642268,-0.2095301,2.980963
-0.009374455,-0.1642268,-0.2095301,2.991931
-0.00879073,-0.1604851,-0.2062432,3.003469
-0.00879073,-0.1604851,-0.2062432,3.015748
-0.01075246,-0.1983137,-0.2069091,3.02692
-0.01075246,-0.1983137,-0.2069091,3.03946
-0.008753054,-0.1652297,-0.2089409,3.051141
-0.01092258,-0.1970865,-0.210274,3.062385
-0.01092258,-0.1970865,-0.210274,3.074779
-0.01100965,-0.1606536,-0.2059951,3.086745
-0.01100965,-0.1606536,-0.2059951,3.09933
-0.01397285,-0.1886764,-0.2072591,3.111395
-0.01335432,-0.159567,-0.2040709,3.123925
-0.01335432,-0.159567,-0.2040709,3.136081
-0.01160268,-0.1640202,-0.2025258,3.148107
-0.01160268,-0.1640202,-0.2025258,3.159801
-0.01009211,-0.1563087,-0.2003163,3.171238
-0.01395379,-0.1893982,-0.1988642,3.184129
-0.01395379,-0.1893982,-0.1988642,3.195285
-0.01266646,-0.1592094,-0.2000075,3.206726
-0.01266646,-0.1592094,-0.2000075,3.219092
-0.01258327,-0.1622459,-0.1999183,3.231127
-0.01902086,-0.1793624,-0.1973451,3.242371
-0.01902086,-0.1793624,-0.1973451,3.254284
-0.01780981,-0.1648396,-0.2012531,3.266125
-0.01780981,-0.1648396,-0.2012531,3.277868
-0.01898389,-0.167844,-0.1995317,3.289568
-0.02075979,-0.1692224,-0.1961171,3.301654
-0.02075979,-0.1692224,-0.1961171,3.31387
-0.02035656,-0.16775,-0.1955595,3.330969
-0.02035656,-0.16775,-0.1955595,3.340059
-0.0193753,-0.1648415,-0.1961137,3.349122
-0.0193753,-0.1648415,-0.1961137,3.36032
-0.0181198,-0.1640939,-0.1966453,3.372308
-0.0187047,-0.1641674,-0.1959775,3.384532
-0.0187047,-0.1641674,-0.1959775,3.396154
-0.01835433,-0.1641931,-0.1960855,3.408108
-0.01806602,-0.1639857,-0.1963707,3.420558
-0.01806602,-0.1639857,-0.1963707,3.4325
-0.01773948,-0.1632845,-0.1968848,3.443816
-0.01773948,-0.1632845,-0.1968848,3.455599
-0.0175397,-0.1626163,-0.1974522,3.467387
-0.0175397,-0.1626163,-0.1974522,3.479063
-0.01762488,-0.1618291,-0.1979042,3.490617
-0.01771052,-0.1613185,-0.198216,3.502851
-0.01771052,-0.1613185,-0.198216,3.514943
-0.01787795,-0.1608582,-0.1981989,3.525468
-0.01787795,-0.1608582,-0.1981989,3.53776
-0.01795493,-0.1602982,-0.1980923,3.549782
-0.01807565,-0.1602059,-0.1980095,3.561486
-0.01807565,-0.1602059,-0.1980095,3.573957
-0.01802598,-0.1599313,-0.1977269,3.58527
-0.01802598,-0.1599313,-0.1977269,3.597752
-0.01790476,-0.1594688,-0.1974171,3.60873
-0.01798055,-0.1593671,-0.1973032,3.620633
-0.01798055,-0.1593671,-0.1973032,3.633009
-0.01790967,-0.1588193,-0.1971453,3.643924
-0.01790967,-0.1588193,-0.1971453,3.655832
-0.0174856,-0.1667307,-0.1936508,3.667573
-0.0174856,-0.1667307,-0.1936508,3.680279
-0.01762561,-0.1606737,-0.193603,3.690898
-0.01709229,-0.1591406,-0.1933393,3.703456
-0.01709229,-0.1591406,-0.1933393,3.715521
-0.01721703,-0.1574748,-0.1932395,3.726538
