X, Y, Z, Time
-0.02120011,-0.1624665,-0.2070042,0.0121059
-0.02116909,-0.1625466,-0.2072352,0.0243035
-0.02116909,-0.1625466,-0.2072352,0.0361033
-0.02122887,-0.1623264,-0.2072391,0.047916
-0.02122887,-0.1623264,-0.2072391,0.0607526
-0.02137649,-0.1625065,-0.2072792,0.0715637
-0.02158337,-0.1626127,-0.2074679,0.0870598
-0.02158337,-0.1626127,-0.2074679,0.09930319
-0.02149863,-0.1649002,-0.2081126,0.1083944
-0.02149863,-0.1649002,-0.2081126,0.119999
-0.02079485,-0.1636564,-0.2082931,0.1322958
-0.02086266,-0.1627049,-0.2084962,0.1450779
-0.02086266,-0.1627049,-0.2084962,0.1570004
-0.02065736,-0.1651436,-0.2092827,0.1683171
-0.02065736,-0.1651436,-0.2092827,0.1805465
-0.02091518,-0.1591415,-0.2077717,0.1924529
-0.02162442,-0.180945,-0.2051313,0.2037745
-0.02162442,-0.180945,-0.2051313,0.2160469
-0.02130106,-0.1640517,-0.2040514,0.2284744
-0.02130106,-0.1640517,-0.2040514,0.2394262
-0.0206962,-0.1834518,-0.2017023,0.2511247
-0.02291793,-0.1650191,-0.2005655,0.2634469
-0.02291793,-0.1650191,-0.2005655,0.275332
-0.02259777,-0.1762085,-0.2031077,0.2861261
-0.02259777,-0.1762085,-0.2031077,0.2983916
-0.02202136,-0.1586692,-0.202023,0.3102852
-0.02103756,-0.1817918,-0.1997533,0.3218206
-0.02103756,-0.1817918,-0.1997533,0.3337268
-0.02173875,-0.1655497,-0.199067,0.3456799
-0.02173875,-0.1655497,-0.199067,0.3576781
-0.02019969,-0.1632729,-0.1980717,0.369105
-0.01797269,-0.1734399,-0.1973915,0.3815002
-0.01797269,-0.1734399,-0.1973915,0.393609
-0.01769261,-0.1627027,-0.1976573,0.4042881
-0.01769261,-0.1627027,-0.1976573,0.4165208
-0.01707278,-0.1652523,-0.1985638,0.4282797
-0.01707278,-0.1652523,-0.1985638,0.4396032
-0.01700711,-0.1598732,-0.1992372,0.4514882
-0.01024228,-0.1842144,-0.1994112,0.4638558
-0.01024228,-0.1842144,-0.1994112,0.4761146
-0.01031035,-0.1674762,-0.2006657,0.4866833
-0.01031035,-0.1674762,-0.2006657,0.499114
-0.01004635,-0.1643697,-0.2010334,0.5111626
-0.01011268,-0.1630999,-0.2017392,0.5225118
-0.01011268,-0.1630999,-0.2017392,0.5344586
-0.008043408,-0.1737552,-0.2023396,0.5466047
-0.008043408,-0.1737552,-0.2023396,0.5587152
-0.007674118,-0.1642189,-0.2026428,0.5701296
-0.007645009,-0.1566075,-0.2026731,0.5824978
-0.007645009,-0.1566075,-0.2026731,0.5942523
-0.005746639,-0.1879433,-0.19771,0.6049985
-0.005746639,-0.1879433,-0.19771,0.6175677
-0.006067818,-0.1643858,-0.1994078,0.6294992
-0.006067818,-0.1643858,-0.1994078,0.640847
-0.005590946,-0.1613227,-0.1985697,0.6523372
-0.004478372,-0.1712085,-0.1989064,0.6646697
-0.004478372,-0.1712085,-0.1989064,0.6766793
-0.004801434,-0.1588136,-0.198501,0.6882908
-0.004801434,-0.1588136,-0.198501,0.700227
-0.005394176,-0.1843927,-0.1973237,0.711952
-0.003720131,-0.1662518,-0.1971615,0.7231986
-0.003720131,-0.1662518,-0.1971615,0.7355602
-0.003601764,-0.1641611,-0.1977143,0.7470244
-0.003601764,-0.1641611,-0.1977143,0.7593989
-0.003441745,-0.1596091,-0.1976447,0.7705026
-0.003979202,-0.1734126,-0.1984108,0.7826886
-0.003979202,-0.1734126,-0.1984108,0.7952278
-0.003805863,-0.1631779,-0.1983018,0.8062931
-0.003805863,-0.1631779,-0.1983018,0.8186452
-0.003894872,-0.1617755,-0.1985187,0.8300166
-0.003893925,-0.1611218,-0.1984561,0.8423294
-0.003893925,-0.1611218,-0.1984561,0.8537436
-0.00321198,-0.1625944,-0.1986089,0.8653551
-0.00321198,-0.1625944,-0.1986089,0.8777063
-0.003788615,-0.1623783,-0.1984196,0.8886114
-0.003788615,-0.1623783,-0.1984196,0.9011148
-0.003927412,-0.1612108,-0.1983493,0.9129453
-0.004454254,-0.1697032,-0.1985041,0.9251903
-0.004454254,-0.1697032,-0.1985041,0.9360607
-0.004145418,-0.1616346,-0.198441,0.9477737
-0.004145418,-0.1616346,-0.198441,0.960241
-0.003133684,-0.1665112,-0.1981187,0.9716097
-0.003074416,-0.1622677,-0.1982375,0.9842065
-0.003074416,-0.1622677,-0.1982375,0.9958847
-0.003252999,-0.162037,-0.1980164,1.00636
-0.003252999,-0.162037,-0.1980164,1.01878
-0.002919546,-0.1655235,-0.198026,1.030471
-0.003041004,-0.1612755,-0.1976827,1.042884
-0.003041004,-0.1612755,-0.1976827,1.054085
-0.003108645,-0.1611405,-0.1981634,1.065951
-0.003108645,-0.1611405,-0.1981634,1.078587
-0.002798672,-0.1634419,-0.1976278,1.089448
-0.00382471,-0.1609778,-0.1976713,1.102185
-0.00382471,-0.1609778,-0.1976713,1.113731
-0.003004797,-0.1618984,-0.1978959,1.125636
-0.003004797,-0.1618984,-0.1978959,1.136985
-0.003230439,-0.1604059,-0.1975151,1.149117
-0.003085327,-0.1601653,-0.1978973,1.1615
-0.003085327,-0.1601653,-0.1978973,1.172951
-0.003519438,-0.1589576,-0.1971677,1.184521
-0.003519438,-0.1589576,-0.1971677,1.196812
-0.004646321,-0.1577251,-0.1932735,1.208346
-0.004646321,-0.1577251,-0.1932735,1.219751
-0.00556844,-0.1562529,-0.1920895,1.231561
-0.006339203,-0.1552295,-0.1924989,1.244347
-0.006339203,-0.1552295,-0.1924989,1.255471
-0.007199354,-0.1534614,-0.1930772,1.267849
-0.007199354,-0.1534614,-0.1930772,1.279516
-0.007845809,-0.1515693,-0.1934841,1.291007
-0.008381839,-0.1506591,-0.1935823,1.30292
-0.008381839,-0.1506591,-0.1935823,1.315369
-0.009773204,-0.1488948,-0.1939958,1.32853
-0.009773204,-0.1488948,-0.1939958,1.339538
-0.01037794,-0.1467642,-0.1940564,1.351512
-0.0106108,-0.1455131,-0.1938673,1.363764
-0.0106108,-0.1455131,-0.1938673,1.376171
-0.01120021,-0.143097,-0.1940967,1.387725
-0.01120021,-0.143097,-0.1940967,1.399647
-0.01196107,-0.1405759,-0.1946161,1.411605
-0.01245623,-0.1393825,-0.1949883,1.422941
-0.01245623,-0.1393825,-0.1949883,1.434774
-0.01331679,-0.1374233,-0.1959979,1.446388
-0.01331679,-0.1374233,-0.1959979,1.458619
-0.01433537,-0.13583,-0.1970541,1.469354
-0.01503133,-0.134931,-0.1975667,1.482296
-0.01503133,-0.134931,-0.1975667,1.494415
-0.0162418,-0.1337134,-0.1983648,1.506063
-0.0162418,-0.1337134,-0.1983648,1.517623
-0.01735903,-0.1323527,-0.1990346,1.529537
-0.01796745,-0.1315023,-0.1994484,1.541895
-0.01796745,-0.1315023,-0.1994484,1.553611
-0.01898387,-0.1300824,-0.200304,1.570533
-0.01898387,-0.1300824,-0.200304,1.579369
-0.01944544,-0.1290341,-0.2007698,1.588692
-0.019765,-0.1285276,-0.2007084,1.601169
-0.019765,-0.1285276,-0.2007084,1.61348
-0.02020488,-0.1269937,-0.2006308,1.62516
-0.02020488,-0.1269937,-0.2006308,1.636472
-0.02113712,-0.1251072,-0.2012736,1.648353
-0.02113712,-0.1251072,-0.2012736,1.660752
-0.02199028,-0.1238256,-0.2020358,1.671482
-0.02260856,-0.1230362,-0.202643,1.684321
