X, Y, Z, Time
-0.02119857,-0.1624732,-0.2070009,0.0195416
-0.02119128,-0.1622187,-0.2070008,0.0306583
-0.02119628,-0.1618762,-0.2069426,0.0419139
-0.02133064,-0.1611541,-0.2067342,0.0671383
-0.02133064,-0.1611541,-0.2067342,0.0786077
-0.02066758,-0.1789829,-0.2056694,0.0990926
-0.01976336,-0.1644211,-0.2058498,0.1077703
-0.01976336,-0.1644211,-0.2058498,0.1163659
-0.01969572,-0.1619828,-0.2050332,0.1379521
-0.01926617,-0.1788901,-0.203688,0.1469153
-0.01926617,-0.1788901,-0.203688,0.1556205
-0.01888673,-0.1630382,-0.2071409,0.1769534
-0.01856412,-0.1718982,-0.2055748,0.1862021
-0.01856412,-0.1718982,-0.2055748,0.1954973
-0.02245367,-0.156344,-0.2000723,0.2173769
-0.02191947,-0.1721996,-0.2048678,0.2261533
-0.02191947,-0.1721996,-0.2048678,0.2346556
-0.02399463,-0.1568393,-0.2049472,0.2562636
-0.01633779,-0.2388404,-0.1766829,0.2647707
-0.01633779,-0.2388404,-0.1766829,0.2734651
-0.01526451,-0.1648521,-0.1789218,0.3055145
-0.01526451,-0.1648521,-0.1789218,0.3160641
-0.01522436,-0.1626766,-0.1793719,0.3373323
-0.01526715,-0.1614754,-0.1782245,0.3463495
-0.01526715,-0.1614754,-0.1782245,0.3548718
-0.0156682,-0.1710724,-0.1779736,0.3764119
-0.01548162,-0.1639584,-0.1776593,0.3852628
-0.01548162,-0.1639584,-0.1776593,0.3936739
-0.01391156,-0.1784581,-0.1792874,0.4149075
-0.01592961,-0.1579025,-0.1794154,0.4234718
-0.01592961,-0.1579025,-0.1794154,0.4318054
-0.01534811,-0.1885247,-0.1804719,0.4526583
-0.01030038,-0.1676629,-0.1789962,0.4612823
-0.01030038,-0.1676629,-0.1789962,0.4697532
-0.009625248,-0.1596406,-0.1791295,0.4908259
-0.009625248,-0.1596406,-0.1791295,0.4993415
-0.009794637,-0.1774397,-0.1801737,0.5070276
-0.01088754,-0.1554976,-0.1808491,0.528798
-0.01088754,-0.1554976,-0.1808491,0.5376067
-0.0105665,-0.1886374,-0.1791788,0.5450895
-0.00843739,-0.1678491,-0.1791282,0.5691562
-0.00843739,-0.1678491,-0.1791282,0.5776611
-0.008729033,-0.161183,-0.1807129,0.5851309
-0.009638332,-0.185877,-0.1809856,0.6071619
-0.009638332,-0.185877,-0.1809856,0.6156911
-0.008769925,-0.1642757,-0.1807159,0.6231909
-0.008679905,-0.1728085,-0.1793603,0.6447722
-0.008679905,-0.1728085,-0.1793603,0.6531836
-0.008679905,-0.1728085,-0.1793603,0.6605777
-0.009137367,-0.1628659,-0.1801014,0.6814919
-0.009137367,-0.1628659,-0.1801014,0.6906134
-0.009137367,-0.1628659,-0.1801014,0.6980666
-0.01090951,-0.1718125,-0.1835563,0.7190435
-0.01215343,-0.1714627,-0.1836338,0.7274351
-0.01215343,-0.1714627,-0.1836338,0.7358062
-0.01212302,-0.1656731,-0.1831032,0.7565845
-0.01131701,-0.1644792,-0.1842496,0.7650136
-0.01131701,-0.1644792,-0.1842496,0.774043
-0.01026946,-0.1670461,-0.184332,0.7958478
-0.01171483,-0.1648633,-0.1834266,0.8045606
-0.01171483,-0.1648633,-0.1834266,0.81303
-0.01008446,-0.1668248,-0.1839311,0.8340179
-0.01171402,-0.1646232,-0.1832981,0.8426996
-0.01171402,-0.1646232,-0.1832981,0.8512201
-0.01024614,-0.1665606,-0.183347,0.8725497
-0.01086606,-0.1642797,-0.1830838,0.8812047
-0.01086606,-0.1642797,-0.1830838,0.8896633
-0.009480688,-0.1662737,-0.1834599,0.9191483
-0.01110008,-0.1593335,-0.1833605,0.9291103
-0.01216732,-0.1644074,-0.1852404,0.9510183
-0.01216732,-0.1644074,-0.1852404,0.9594302
-0.01201271,-0.1623428,-0.1850659,0.9670516
-0.01096022,-0.1641817,-0.18564,0.9883581
-0.01096022,-0.1641817,-0.18564,0.9969583
-0.01184254,-0.1623518,-0.1853368,1.00459
-0.01336091,-0.1777505,-0.1860642,1.028791
-0.01336091,-0.1777505,-0.1860642,1.036988
-0.01268485,-0.1642979,-0.1865796,1.044537
-0.01200984,-0.162962,-0.1872339,1.06646
-0.01200984,-0.162962,-0.1872339,1.075409
-0.0120931,-0.1621149,-0.1869335,1.083046
-0.01601111,-0.1756232,-0.1876472,1.10516
-0.01601111,-0.1756232,-0.1876472,1.113636
-0.01532293,-0.1634648,-0.1882659,1.121187
-0.01576642,-0.1637554,-0.1889504,1.143044
-0.01576642,-0.1637554,-0.1889504,1.151351
-0.01576642,-0.1637554,-0.1889504,1.158744
-0.0155189,-0.1617542,-0.1888124,1.179604
-0.01589699,-0.1645182,-0.1890185,1.188144
-0.01589699,-0.1645182,-0.1890185,1.197164
-0.01608078,-0.1605854,-0.1901614,1.21728
-0.03388791,-0.170331,-0.196727,1.225707
-0.03388791,-0.170331,-0.196727,1.234265
-0.03294875,-0.1598863,-0.1968653,1.254827
-0.03255342,-0.1577261,-0.1966742,1.26333
-0.03255342,-0.1577261,-0.1966742,1.271667
-0.03277082,-0.1560607,-0.1968015,1.292522
-0.0327183,-0.1553582,-0.1967524,1.302944
-0.0327183,-0.1553582,-0.1967524,1.311379
-0.0330511,-0.1538509,-0.1968146,1.332444
-0.0330511,-0.1538509,-0.1968146,1.3408
-0.03291366,-0.1531119,-0.1968541,1.348235
-0.03319306,-0.152089,-0.1968803,1.370156
-0.03319306,-0.152089,-0.1968803,1.378904
-0.03299594,-0.1514964,-0.1969195,1.386637
-0.03327584,-0.1504956,-0.1969563,1.407653
-0.03327584,-0.1504956,-0.1969563,1.415969
-0.04222101,-0.1539305,-0.2011899,1.423674
-0.04231097,-0.1486416,-0.2013093,1.444775
-0.04231097,-0.1486416,-0.2013093,1.453291
-0.04231097,-0.1486416,-0.2013093,1.460798
-0.04233795,-0.1455083,-0.2012155,1.481645
-0.04233795,-0.1455083,-0.2012155,1.490528
-0.04233795,-0.1455083,-0.2012155,1.498152
-0.04362861,-0.1438113,-0.2030084,1.518444
-0.04423486,-0.1429594,-0.2036327,1.526822
-0.04423486,-0.1429594,-0.2036327,1.536038
-0.04507432,-0.1396554,-0.2045913,1.565436
-0.04507432,-0.1396554,-0.2045913,1.575371
-0.04516545,-0.1370214,-0.2052035,1.595038
-0.04556777,-0.1358814,-0.2055976,1.603776
-0.04556777,-0.1358814,-0.2055976,1.612035
-0.04606459,-0.1332593,-0.2065772,1.632722
-0.04615598,-0.132537,-0.2067188,1.641302
-0.04615598,-0.132537,-0.2067188,1.649595
-0.04655054,-0.1303204,-0.2075864,1.670271
-0.04655054,-0.1303204,-0.2075864,1.679094
-0.04638474,-0.1290011,-0.2079048,1.686593
-0.04662974,-0.1270269,-0.2087553,1.708931
-0.04662974,-0.1270269,-0.2087553,1.717287
-0.04670837,-0.1258542,-0.2090382,1.724484
-0.0467299,-0.1240834,-0.2097016,1.74521
-0.0467299,-0.1240834,-0.2097016,1.75368
-0.04670237,-0.1229613,-0.209836,1.761733
-0.04659956,-0.1210609,-0.2102204,1.784329
-0.04659956,-0.1210609,-0.2102204,1.792802
-0.04659956,-0.1210609,-0.2102204,1.800969
-0.04599132,-0.1173847,-0.2109232,1.820811
-0.04568873,-0.1162644,-0.2111272,1.828973
-0.04568873,-0.1162644,-0.2111272,1.838135
-0.04522445,-0.113529,-0.2120424,1.85885
-0.04536898,-0.1126295,-0.2125098,1.867401
-0.04536898,-0.1126295,-0.2125098,1.876213
-0.04531842,-0.1108075,-0.2130786,1.896847
-0.04534553,-0.1101645,-0.2133004,1.905349
-0.04534553,-0.1101645,-0.2133004,1.913717
-0.04496206,-0.1082203,-0.2140259,1.934656
-0.04484511,-0.1073386,-0.2143968,1.942918
-0.04484511,-0.1073386,-0.2143968,1.952042
-0.04397508,-0.1053879,-0.2149232,1.972726
-0.04365793,-0.1046702,-0.2151291,1.981388
-0.04365793,-0.1046702,-0.2151291,1.989592
-0.04272532,-0.1027978,-0.2162555,2.010244
-0.04272532,-0.1027978,-0.2162555,2.018606
-0.04211159,-0.1017877,-0.2167433,2.026404
-0.04097401,-0.1003073,-0.2175895,2.047542
-0.04097401,-0.1003073,-0.2175895,2.055791
-0.04041134,-0.09905992,-0.2184886,2.06335
-0.03971106,-0.09779019,-0.2194279,2.084329
-0.03971106,-0.09779019,-0.2194279,2.092499
-0.03891037,-0.09641402,-0.2202742,2.101413
-0.03760739,-0.0945638,-0.220837,2.122998
-0.03760739,-0.0945638,-0.220837,2.131399
-0.03760739,-0.0945638,-0.220837,2.140051
-0.03379748,-0.09048988,-0.2213164,2.16118
-0.03379748,-0.09048988,-0.2213164,2.170147
-0.03379748,-0.09048988,-0.2213164,2.177653
-0.03086371,-0.08623153,-0.2221217,2.199519
