X, Y, Z, Time
-0.02118316,-0.1624804,-0.2070057,0.0152117
-0.02113842,-0.1623391,-0.2072607,0.0268618
-0.02113842,-0.1623391,-0.2072607,0.0360458
-0.02154394,-0.1612416,-0.2071079,0.0507002
-0.02159323,-0.1670761,-0.2067432,0.06340741
-0.02159323,-0.1670761,-0.2067432,0.0732554
-0.02146404,-0.1617028,-0.2074802,0.083801
-0.02146404,-0.1617028,-0.2074802,0.0960871
-0.0212055,-0.1678096,-0.2086173,0.1067821
-0.0212055,-0.1678096,-0.2086173,0.1193691
-0.02211336,-0.1620197,-0.2081503,0.1312823
-0.02254162,-0.1572438,-0.2082722,0.1435499
-0.02254162,-0.1572438,-0.2082722,0.1556162
-0.03359539,-0.2244487,-0.1981089,0.1669673
-0.03359539,-0.2244487,-0.1981089,0.1791303
-0.03238494,-0.1733797,-0.1993461,0.1901918
-0.03207744,-0.1630163,-0.1988702,0.2022663
-0.03207744,-0.1630163,-0.1988702,0.2151763
-0.0302395,-0.1636412,-0.2005172,0.2265992
-0.0302395,-0.1636412,-0.2005172,0.2383294
-0.03106353,-0.1539512,-0.1996728,0.2498575
-0.03082207,-0.1794037,-0.2004947,0.262497
-0.03082207,-0.1794037,-0.2004947,0.2736496
-0.03276196,-0.1648608,-0.2013066,0.2852451
-0.03276196,-0.1648608,-0.2013066,0.2972262
-0.03250431,-0.1715833,-0.2029372,0.3095508
-0.03224206,-0.1569766,-0.201625,0.3207451
-0.03224206,-0.1569766,-0.201625,0.3333155
-0.03351035,-0.1756909,-0.1997497,0.3450818
-0.03351035,-0.1756909,-0.1997497,0.3566337
-0.03398329,-0.1616308,-0.2010916,0.36831
-0.03474592,-0.1706343,-0.2021535,0.380534
-0.03474592,-0.1706343,-0.2021535,0.392204
-0.03405926,-0.1642698,-0.1999663,0.4036269
-0.03405926,-0.1642698,-0.1999663,0.4157102
-0.0354079,-0.1695362,-0.2015594,0.4276693
-0.0354079,-0.1695362,-0.2015594,0.439309
-0.03367043,-0.1650015,-0.2024471,0.4510034
-0.03244922,-0.1599542,-0.2027685,0.463193
-0.03244922,-0.1599542,-0.2027685,0.4751499
-0.03292744,-0.176234,-0.2011216,0.4869501
-0.03292744,-0.176234,-0.2011216,0.498617
-0.03292197,-0.1636085,-0.2004519,0.5106064
-0.03142841,-0.1724181,-0.2021711,0.5220878
-0.03142841,-0.1724181,-0.2021711,0.5340659
-0.03101274,-0.1593433,-0.2006886,0.546079
-0.03101274,-0.1593433,-0.2006886,0.5576319
-0.03099706,-0.178992,-0.2005317,0.5696208
-0.03167106,-0.1654803,-0.2009297,0.5819181
-0.03167106,-0.1654803,-0.2009297,0.5942898
-0.03044804,-0.1652466,-0.1989565,0.6060634
-0.03044804,-0.1652466,-0.1989565,0.6173294
-0.03021402,-0.167284,-0.2001113,0.6293436
-0.03057168,-0.1640503,-0.1991111,0.6405541
-0.03057168,-0.1640503,-0.1991111,0.6529267
-0.03057718,-0.1655984,-0.1993458,0.6648949
-0.03057718,-0.1655984,-0.1993458,0.676788
-0.02950872,-0.1617396,-0.2003088,0.6883719
-0.02866159,-0.1599733,-0.201034,0.7006035
-0.02866159,-0.1599733,-0.201034,0.7126643
-0.02791538,-0.1745029,-0.200431,0.7238844
-0.02791538,-0.1745029,-0.200431,0.7357866
-0.02781265,-0.1753042,-0.2011085,0.7476595
-0.02781265,-0.1753042,-0.2011085,0.7599646
-0.02780565,-0.1617713,-0.2008252,0.7709818
-0.0276268,-0.170183,-0.2023878,0.7832189
-0.0276268,-0.170183,-0.2023878,0.7958778
-0.02706407,-0.155577,-0.2014561,0.8090702
-0.02833596,-0.169986,-0.1998604,0.8204551
-0.02833596,-0.169986,-0.1998604,0.8324281
-0.02841128,-0.1583763,-0.200287,0.8443592
-0.02841128,-0.1583763,-0.200287,0.856026
