X, Y, Z, Time
-0.02120257,-0.1624673,-0.207019,0.0035181
-0.02120257,-0.1624673,-0.207019,0.0101088
-0.02120257,-0.1624673,-0.207019,0.012215
-0.02120257,-0.1624673,-0.207019,0.014341
-0.02120257,-0.1624673,-0.207019,0.0164746
-0.02120257,-0.1624673,-0.207019,0.0200055
-0.02119248,-0.1619653,-0.2071238,0.023227
-0.02119248,-0.1619653,-0.2071238,0.0271294
-0.02119248,-0.1619653,-0.2071238,0.0294939
-0.02119248,-0.1619653,-0.2071238,0.0326424
-0.02119248,-0.1619653,-0.2071238,0.0358311
-0.02119248,-0.1619653,-0.2071238,0.0395162
-0.02128398,-0.1614611,-0.2069565,0.0425918
-0.02128398,-0.1614611,-0.2069565,0.0459898
-0.02128398,-0.1614611,-0.2069565,0.0489286
-0.02128398,-0.1614611,-0.2069565,0.052325
-0.02128398,-0.1614611,-0.2069565,0.0558263
-0.02128398,-0.1614611,-0.2069565,0.0591125
-0.02153319,-0.1673724,-0.206914,0.0622846
-0.02153319,-0.1673724,-0.206914,0.0657253
-0.02153319,-0.1673724,-0.206914,0.0686102
-0.02153319,-0.1673724,-0.206914,0.0722668
-0.02153319,-0.1673724,-0.206914,0.0754084
-0.02153319,-0.1673724,-0.206914,0.0786314
-0.02153319,-0.1673724,-0.206914,0.0817459
-0.02165969,-0.1633503,-0.206845,0.0848046
-0.02165969,-0.1633503,-0.206845,0.088866
-0.02165969,-0.1633503,-0.206845,0.0916612
-0.02165969,-0.1633503,-0.206845,0.0948167
-0.02165969,-0.1633503,-0.206845,0.0980541
-0.02165969,-0.1633503,-0.206845,0.1013121
-0.01989253,-0.1806095,-0.2100825,0.1050498
-0.01989253,-0.1806095,-0.2100825,0.1085188
-0.01989253,-0.1806095,-0.2100825,0.1112961
-0.01989253,-0.1806095,-0.2100825,0.114505
-0.01989253,-0.1806095,-0.2100825,0.1176608
-0.01989253,-0.1806095,-0.2100825,0.1214457
-0.01958898,-0.1627399,-0.211417,0.124638
-0.01958898,-0.1627399,-0.211417,0.1280912
-0.01958898,-0.1627399,-0.211417,0.130975
-0.01958898,-0.1627399,-0.211417,0.1342832
-0.01958898,-0.1627399,-0.211417,0.1379198
-0.01958898,-0.1627399,-0.211417,0.1410702
-0.01991181,-0.1836938,-0.2082092,0.1441386
-0.01991181,-0.1836938,-0.2082092,0.1475846
-0.01991181,-0.1836938,-0.2082092,0.1507711
-0.01991181,-0.1836938,-0.2082092,0.1544755
-0.01991181,-0.1836938,-0.2082092,0.1576054
-0.01991181,-0.1836938,-0.2082092,0.1608274
-0.01871753,-0.1667836,-0.208448,0.1639643
-0.01871753,-0.1667836,-0.208448,0.16748
-0.01871753,-0.1667836,-0.208448,0.1711668
-0.01871753,-0.1667836,-0.208448,0.1740751
-0.01871753,-0.1667836,-0.208448,0.1772761
-0.01871753,-0.1667836,-0.208448,0.1805469
-0.0199032,-0.1630472,-0.2086006,0.1839883
-0.0199032,-0.1630472,-0.2086006,0.1877988
-0.0199032,-0.1630472,-0.2086006,0.190816
-0.0199032,-0.1630472,-0.2086006,0.193811
-0.0199032,-0.1630472,-0.2086006,0.1971013
-0.0199032,-0.1630472,-0.2086006,0.2002787
-0.01991676,-0.178796,-0.2097273,0.2039439
-0.01991676,-0.178796,-0.2097273,0.2073205
-0.01991676,-0.178796,-0.2097273,0.210249
-0.01991676,-0.178796,-0.2097273,0.2134478
-0.01991676,-0.178796,-0.2097273,0.2166341
-0.01991676,-0.178796,-0.2097273,0.2201948
-0.01918652,-0.1615363,-0.2079971,0.2234333
-0.01918652,-0.1615363,-0.2079971,0.2268643
-0.01918652,-0.1615363,-0.2079971,0.2298057
-0.01918652,-0.1615363,-0.2079971,0.2329532
-0.01918652,-0.1615363,-0.2079971,0.2365051
-0.01918652,-0.1615363,-0.2079971,0.2399127
-0.0207926,-0.1795078,-0.2092162,0.2429825
-0.0207926,-0.1795078,-0.2092162,0.2463517
-0.0207926,-0.1795078,-0.2092162,0.2493845
-0.0207926,-0.1795078,-0.2092162,0.2529427
-0.0207926,-0.1795078,-0.2092162,0.2563519
-0.0207926,-0.1795078,-0.2092162,0.2595375
-0.02055115,-0.1655272,-0.2099847,0.2628341
-0.02055115,-0.1655272,-0.2099847,0.2663578
-0.02055115,-0.1655272,-0.2099847,0.2694687
-0.02055115,-0.1655272,-0.2099847,0.2729238
-0.02055115,-0.1655272,-0.2099847,0.2761727
-0.02055115,-0.1655272,-0.2099847,0.2794409
-0.01985769,-0.1619152,-0.2100495,0.2827376
