X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0120707
-0.0212,-0.1624706,-0.207,0.0233985
-0.0212,-0.1624706,-0.207,0.0352695
-0.0212,-0.1624706,-0.207,0.0475323
-0.0212,-0.1624706,-0.207,0.0598221
-0.0212,-0.1624706,-0.207,0.0706115
-0.0212,-0.1624706,-0.207,0.0830007
-0.0212,-0.1624706,-0.207,0.09519169
-0.0212,-0.1624706,-0.207,0.1065103
-0.0212,-0.1624706,-0.207,0.1188841
-0.0212,-0.1624706,-0.207,0.1303705
-0.0212,-0.1624706,-0.207,0.1427383
-0.0212,-0.1624706,-0.207,0.1538239
-0.0212,-0.1624706,-0.207,0.1660998
-0.0212,-0.1624706,-0.207,0.1781299
-0.0212,-0.1624706,-0.207,0.1893269
-0.0212,-0.1624706,-0.207,0.2017012
-0.0212,-0.1624706,-0.207,0.2134607
-0.0212,-0.1624706,-0.207,0.2256244
-0.0212,-0.1624706,-0.207,0.236735
-0.0212,-0.1624706,-0.207,0.2485156
-0.0212,-0.1624706,-0.207,0.2611576
-0.0212,-0.1624706,-0.207,0.2724769
-0.0212,-0.1624706,-0.207,0.2845712
-0.0212,-0.1624706,-0.207,0.2965604
-0.0212,-0.1624706,-0.207,0.3083437
-0.0212,-0.1624706,-0.207,0.3209499
-0.0212,-0.1624706,-0.207,0.3322524
-0.0212,-0.1624706,-0.207,0.3450666
-0.0212,-0.1624706,-0.207,0.356734
-0.0212,-0.1624706,-0.207,0.3683649
-0.0212,-0.1624706,-0.207,0.3806316
-0.0212,-0.1624706,-0.207,0.3923738
-0.0212,-0.1624706,-0.207,0.4041367
-0.0212,-0.1624706,-0.207,0.4154879
-0.0212,-0.1624706,-0.207,0.4281557
-0.0212,-0.1624706,-0.207,0.4394392
-0.0212,-0.1624706,-0.207,0.4513083
-0.0212,-0.1624706,-0.207,0.4638242
-0.0212,-0.1624706,-0.207,0.4755885
-0.0212,-0.1624706,-0.207,0.4874226
-0.0212,-0.1624706,-0.207,0.4996594
-0.0212,-0.1624706,-0.207,0.5118406
-0.0212,-0.1624706,-0.207,0.5233284
-0.0212,-0.1624706,-0.207,0.5351654
-0.0212,-0.1624706,-0.207,0.5476965
-0.0212,-0.1624706,-0.207,0.5597953
-0.0212,-0.1624706,-0.207,0.5708814
-0.0212,-0.1624706,-0.207,0.58329
-0.0212,-0.1624706,-0.207,0.5990147
-0.0212,-0.1624706,-0.207,0.607778
-0.0212,-0.1624706,-0.207,0.6194051
-0.0212,-0.1624706,-0.207,0.6307866
-0.0212,-0.1624706,-0.207,0.6428727
-0.0212,-0.1624706,-0.207,0.6541893
-0.0212,-0.1624706,-0.207,0.6667222
-0.0212,-0.1624706,-0.207,0.6792829
-0.0212,-0.1624705,-0.207,0.6898748
-0.0212,-0.1624705,-0.207,0.7022072
-0.0212,-0.1624706,-0.207,0.7141276
-0.02131292,-0.1619722,-0.2071211,0.7304041
-0.02131292,-0.1619722,-0.2071211,0.7409028
