X, Y, Z, Time
-0.02118919,-0.1624785,-0.2070028,0.0146143
-0.02118919,-0.1624785,-0.2070028,0.0275178
-0.0211642,-0.1618255,-0.2069189,0.0400539
-0.02113167,-0.1621734,-0.2068444,0.0539014
-0.02113167,-0.1621734,-0.2068444,0.0688726
-0.02109377,-0.1622964,-0.2066118,0.0834115
-0.02177433,-0.1628203,-0.2072072,0.0994818
-0.02369178,-0.1798027,-0.2073187,0.1126161
-0.02369178,-0.1798027,-0.2073187,0.1249191
-0.02295224,-0.1656194,-0.2076988,0.1393553
-0.02247171,-0.163682,-0.2078508,0.1605068
-0.02263447,-0.171714,-0.2082002,0.1728978
-0.02263447,-0.171714,-0.2082002,0.1882771
-0.02467311,-0.1814514,-0.2075794,0.1999294
-0.02540394,-0.1651013,-0.2094021,0.2134003
-0.02540394,-0.1651013,-0.2094021,0.2252292
-0.0253069,-0.1579596,-0.2081659,0.2396013
-0.02458638,-0.1910912,-0.1975838,0.2549505
-0.02458638,-0.1910912,-0.1975838,0.2679552
-0.02514721,-0.1635159,-0.2000333,0.280999
-0.02602129,-0.1610094,-0.2006303,0.2959675
-0.02490629,-0.1594357,-0.1992549,0.3105206
-0.02490629,-0.1594357,-0.1992549,0.3226227
-0.02277153,-0.1824373,-0.1940604,0.3376048
-0.0228907,-0.1650379,-0.1950633,0.3509898
-0.0228907,-0.1650379,-0.1950633,0.3667431
-0.02340643,-0.1621463,-0.1950211,0.3795888
-0.02335577,-0.1749896,-0.1958241,0.3922718
-0.02335577,-0.1749896,-0.1958241,0.4076875
-0.02338053,-0.1651085,-0.195797,0.4202716
-0.02315881,-0.1632353,-0.1959464,0.4348841
-0.02315881,-0.1632353,-0.1959464,0.4489244
-0.02369043,-0.1628968,-0.1959912,0.4636866
-0.02360672,-0.1623522,-0.1963489,0.4788322
-0.02389124,-0.165448,-0.1968706,0.4915238
-0.02393592,-0.1633438,-0.1963897,0.5208253
-0.02393592,-0.1633438,-0.1963897,0.5289931
-0.02395646,-0.1637377,-0.1970618,0.5370343
-0.02412523,-0.1625598,-0.1964236,0.5510814
-0.02412523,-0.1625598,-0.1964236,0.5656699
-0.02490607,-0.1634277,-0.1966493,0.5804179
-0.02480303,-0.1624214,-0.1957523,0.595506
-0.02480303,-0.1624214,-0.1957523,0.608144
-0.02514023,-0.1632286,-0.1967557,0.623345
-0.02614294,-0.1633703,-0.1971427,0.6367335
-0.03279846,-0.163784,-0.1994444,0.6517122
-0.03279846,-0.163784,-0.1994444,0.6654696
-0.03520793,-0.1620839,-0.1999037,0.6796613
-0.04225706,-0.161745,-0.2033798,0.6917366
-0.04225706,-0.161745,-0.2033798,0.7064294
-0.04238159,-0.157051,-0.2044882,0.721432
-0.04285649,-0.1547984,-0.2050691,0.7348073
-0.04285649,-0.1547984,-0.2050691,0.748626
-0.04335259,-0.1509629,-0.2064203,0.7617872
