X, Y, Z, Time
-0.02121716,-0.1624826,-0.2070111,0.0277377
-0.02132896,-0.1624108,-0.207175,0.0392022
-0.02128261,-0.1623707,-0.206968,0.0652124
-0.02167936,-0.1630772,-0.2073099,0.0761594
-0.02231726,-0.1794157,-0.2088179,0.125361
-0.02204295,-0.1635199,-0.2083393,0.1501047
-0.02204295,-0.1635199,-0.2083393,0.159513
-0.02097055,-0.1970563,-0.2055086,0.179314
-0.02097055,-0.1970563,-0.2055086,0.1875272
-0.01965186,-0.1683282,-0.2054508,0.2003433
-0.01969422,-0.1937906,-0.2091439,0.2334826
-0.0214232,-0.1674166,-0.2102937,0.2638615
-0.02305646,-0.1619671,-0.2094148,0.272019
-0.02261665,-0.1968934,-0.2067204,0.293678
-0.02261665,-0.1968934,-0.2067204,0.3031261
-0.02260445,-0.1667947,-0.2095178,0.3194312
-0.02259177,-0.1594558,-0.2112014,0.3485765
-0.02382738,-0.1605611,-0.2098181,0.3566853
-0.02693684,-0.1696659,-0.207818,0.3840705
-0.02735859,-0.1640171,-0.2075441,0.4161635
-0.02626257,-0.1720572,-0.2066531,0.4383618
-0.02626257,-0.1720572,-0.2066531,0.4463115
-0.02648989,-0.1629698,-0.206957,0.4539903
-0.02704085,-0.1617071,-0.206642,0.4844504
-0.02756868,-0.1677562,-0.20611,0.4967624
-0.02755879,-0.1625378,-0.2064922,0.5243202
-0.02736918,-0.1631927,-0.2052414,0.5348577
-0.02812453,-0.1610932,-0.2027506,0.5645199
-0.03119822,-0.1603425,-0.2012337,0.5726485
-0.03170697,-0.1556265,-0.2030806,0.6003449
-0.03201799,-0.1537403,-0.2039252,0.6106954
-0.03319761,-0.1488464,-0.2062525,0.6639944
-0.0334292,-0.1481938,-0.2065803,0.6850857
-0.0339466,-0.1476316,-0.2069128,0.7059386
-0.03382976,-0.1472188,-0.2070748,0.7329235
-0.03382976,-0.1472188,-0.2070748,0.7422546
-0.03415231,-0.1469464,-0.2072305,0.7622897
-0.03402691,-0.1466525,-0.2074017,0.7703093
-0.03402691,-0.1466525,-0.2074017,0.7808641
-0.03394202,-0.1466518,-0.2072211,0.8122389
-0.03394202,-0.1466518,-0.2072211,0.8226287
-0.03422432,-0.1471643,-0.2067397,0.8517174
-0.03422432,-0.1471643,-0.2067397,0.8605912
-0.03435695,-0.1474613,-0.2064447,0.8914582
-0.03435695,-0.1474613,-0.2064447,0.8997791
-0.03442812,-0.1477951,-0.2060127,0.9277814
-0.0345882,-0.1480309,-0.2057513,0.9387642
-0.03453855,-0.1486909,-0.2050882,0.9687647
-0.03442663,-0.148932,-0.2048118,0.9795138
-0.03452981,-0.1492213,-0.2044593,1.007441
