X, Y, Z, Time
-0.02121702,-0.162376,-0.2069815,0.0072436
-0.02115612,-0.1621149,-0.2070055,0.031667
-0.02115612,-0.1621149,-0.2070055,0.0397229
-0.02130286,-0.1634983,-0.2072837,0.0486958
-0.02195775,-0.1709236,-0.207647,0.08780231
-0.02135119,-0.157828,-0.2069791,0.1205895
-0.02135119,-0.157828,-0.2069791,0.1294425
-0.02131129,-0.1624259,-0.2065353,0.1387294
-0.02132056,-0.1624616,-0.2065364,0.1595933
-0.02132056,-0.1624616,-0.2065364,0.167469
-0.02132056,-0.1624616,-0.2065364,0.1741439
-0.02107737,-0.1623056,-0.2065492,0.2036296
-0.02107737,-0.1623056,-0.2065492,0.2121884
-0.02120299,-0.1618593,-0.206696,0.2369139
-0.02129603,-0.1624749,-0.2067325,0.2449673
-0.02129603,-0.1624749,-0.2067325,0.2559333
-0.02204205,-0.1625764,-0.207332,0.2941293
-0.03218739,-0.1651395,-0.2142598,0.3243467
-0.03218739,-0.1651395,-0.2142598,0.3333052
-0.03227442,-0.1624677,-0.214287,0.3531751
-0.03227442,-0.1624677,-0.214287,0.3610327
-0.03227442,-0.1624677,-0.214287,0.3680689
-0.03227442,-0.1624677,-0.214287,0.3879858
-0.03227442,-0.1624677,-0.214287,0.3956789
-0.03227442,-0.1624677,-0.214287,0.4061374
-0.03227442,-0.1624677,-0.214287,0.4377126
-0.03227442,-0.1624677,-0.214287,0.4456957
-0.03227442,-0.1624677,-0.214287,0.4700998
-0.03227442,-0.1624677,-0.214287,0.4778711
-0.03227442,-0.1624677,-0.214287,0.4866234
-0.03227442,-0.1624677,-0.214287,0.5174803
-0.03227442,-0.1624677,-0.214287,0.525511
-0.03227442,-0.1624677,-0.214287,0.5473669
-0.03227442,-0.1624677,-0.214287,0.5550625
-0.03227442,-0.1624677,-0.214287,0.5683306
-0.03227442,-0.1624677,-0.214287,0.5943754
-0.03227442,-0.1624677,-0.214287,0.6018463
-0.03227442,-0.1624677,-0.214287,0.6273583
-0.03227442,-0.1624677,-0.214287,0.6348968
-0.03227442,-0.1624677,-0.214287,0.6585723
-0.03227442,-0.1624677,-0.214287,0.6660077
-0.03227442,-0.1624677,-0.214287,0.6772499
-0.03227442,-0.1624677,-0.214287,0.7049334
-0.03227442,-0.1624677,-0.214287,0.7127083
-0.03227442,-0.1624677,-0.214287,0.7423453
-0.03227442,-0.1624677,-0.214287,0.7508684
-0.03227442,-0.1624677,-0.214287,0.7708493
-0.03227442,-0.1624677,-0.214287,0.7783807
-0.03227442,-0.1624677,-0.214287,0.7857681
-0.03227442,-0.1624677,-0.214287,0.8132032
-0.03227442,-0.1624677,-0.214287,0.8211216
-0.03227442,-0.1624677,-0.214287,0.8425775
-0.03227442,-0.1624677,-0.214287,0.8500838
-0.03227442,-0.1624677,-0.214287,0.8624454
-0.03227442,-0.1624677,-0.214287,0.890075
-0.03227442,-0.1624677,-0.214287,0.898048
-0.03227442,-0.1624677,-0.214287,0.9205371
-0.03227442,-0.1624677,-0.214287,0.9282094
-0.03227442,-0.1624677,-0.214287,0.9385074
-0.03227442,-0.1624677,-0.214287,0.9658192
-0.03227442,-0.1624677,-0.214287,0.9731492
-0.03227442,-0.1624677,-0.214287,0.9955817
-0.03227442,-0.1624677,-0.214287,1.003188
-0.03227442,-0.1624677,-0.214287,1.016534
-0.03227442,-0.1624677,-0.214287,1.0441
-0.03227442,-0.1624677,-0.214287,1.051698
-0.03227442,-0.1624677,-0.214287,1.075306
-0.03227442,-0.1624677,-0.214287,1.082867
-0.03227442,-0.1624677,-0.214287,1.09502
-0.03227442,-0.1624677,-0.214287,1.123732
-0.03227442,-0.1624677,-0.214287,1.131371
-0.03227442,-0.1624677,-0.214287,1.15368
-0.03227442,-0.1624677,-0.214287,1.16129
-0.03227442,-0.1624677,-0.214287,1.171832
-0.03227442,-0.1624677,-0.214287,1.200616
-0.03227442,-0.1624677,-0.214287,1.208395
-0.03227442,-0.1624677,-0.214287,1.230822
-0.03227442,-0.1624677,-0.214287,1.238438
-0.03227442,-0.1624677,-0.214287,1.250963
-0.03227442,-0.1624677,-0.214287,1.277556
-0.03227442,-0.1624677,-0.214287,1.285161
-0.03227442,-0.1624677,-0.214287,1.309805
-0.03227442,-0.1624677,-0.214287,1.317724
-0.03227442,-0.1624677,-0.214287,1.329786
-0.03227442,-0.1624677,-0.214287,1.357638
-0.03227442,-0.1624677,-0.214287,1.365296
-0.03227442,-0.1624677,-0.214287,1.389702
-0.03227442,-0.1624677,-0.214287,1.397587
-0.03227442,-0.1624677,-0.214287,1.406933
-0.03227442,-0.1624677,-0.214287,1.435946
-0.03227442,-0.1624677,-0.214287,1.443744
-0.03227442,-0.1624677,-0.214287,1.468575
-0.03227442,-0.1624677,-0.214287,1.476456
-0.03227442,-0.1624677,-0.214287,1.486371
-0.03227442,-0.1624677,-0.214287,1.522264
-0.03227442,-0.1624677,-0.214287,1.531295
-0.03227442,-0.1624677,-0.214287,1.551197
-0.03227442,-0.1624677,-0.214287,1.558789
-0.03227442,-0.1624677,-0.214287,1.566503
-0.03227442,-0.1624677,-0.214287,1.594419
-0.03227442,-0.1624677,-0.214287,1.602373
-0.03227442,-0.1624677,-0.214287,1.627824
-0.03227442,-0.1624677,-0.214287,1.635854
-0.03227442,-0.1624677,-0.214287,1.657723
-0.03227442,-0.1624677,-0.214287,1.665159
-0.03227442,-0.1624677,-0.214287,1.69271
-0.03227442,-0.1624677,-0.214287,1.712894
-0.03227442,-0.1624677,-0.214287,1.720505
-0.03227442,-0.1624677,-0.214287,1.727302
-0.03227442,-0.1624677,-0.214287,1.756043
-0.03227442,-0.1624677,-0.214287,1.764068
-0.03227442,-0.1624677,-0.214287,1.788838
-0.03227442,-0.1624677,-0.214287,1.796877
-0.03227442,-0.1624677,-0.214287,1.80999
-0.03227442,-0.1624677,-0.214287,1.836302
-0.03227442,-0.1624677,-0.214287,1.843896
-0.03227442,-0.1624677,-0.214287,1.86785
-0.03227442,-0.1624677,-0.214287,1.875718
-0.03227442,-0.1624677,-0.214287,1.886089
-0.03227442,-0.1624677,-0.214287,1.913682
-0.03227442,-0.1624677,-0.214287,1.921694
-0.03227442,-0.1624677,-0.214287,1.943112
-0.03227442,-0.1624677,-0.214287,1.951435
-0.03227442,-0.1624677,-0.214287,1.965188
-0.03227442,-0.1624677,-0.214287,1.991354
-0.03227442,-0.1624677,-0.214287,1.999225
-0.03227442,-0.1624677,-0.214287,2.022748
-0.03227442,-0.1624677,-0.214287,2.030499
-0.03227442,-0.1624677,-0.214287,2.039618
-0.03227442,-0.1624677,-0.214287,2.068496
-0.03227442,-0.1624677,-0.214287,2.076715
-0.03227442,-0.1624677,-0.214287,2.099755
-0.03227442,-0.1624677,-0.214287,2.110434
-0.03227442,-0.1624677,-0.214287,2.133101
-0.03227442,-0.1624677,-0.214287,2.140962
-0.03227442,-0.1624677,-0.214287,2.154275
