X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0158908
-0.0212,-0.1624706,-0.207,0.030859
-0.0212,-0.1624706,-0.207,0.0459822
-0.0212,-0.1624706,-0.207,0.0587693
-0.0212,-0.1624706,-0.207,0.0725247
-0.0212,-0.1624706,-0.207,0.0845506
-0.0212,-0.1624706,-0.207,0.1018162
-0.0212,-0.1624706,-0.207,0.1166232
-0.0212,-0.1624706,-0.207,0.1303723
-0.0212,-0.1624706,-0.207,0.1446434
-0.0212,-0.1624706,-0.207,0.159344
-0.0212,-0.1624706,-0.207,0.1744744
-0.0212,-0.1624706,-0.207,0.1900454
-0.0212,-0.1624706,-0.207,0.2038868
-0.0212,-0.1624706,-0.207,0.2168868
-0.0212,-0.1624706,-0.207,0.2316515
-0.0212,-0.1624706,-0.207,0.2454733
-0.0212,-0.1624706,-0.207,0.2598984
-0.0212,-0.1624706,-0.207,0.2718511
-0.0212,-0.1624706,-0.207,0.2837972
-0.0212,-0.1624706,-0.207,0.2984623
-0.0212,-0.1624706,-0.207,0.311808
-0.0212,-0.1624706,-0.207,0.3324302
-0.0212,-0.1624706,-0.207,0.340575
-0.0212,-0.1624706,-0.207,0.3550944
-0.0212,-0.1624706,-0.207,0.3705955
-0.0212,-0.1624706,-0.207,0.3845042
-0.0212,-0.1624706,-0.207,0.3994344
-0.0212,-0.1624706,-0.207,0.4139124
-0.0212,-0.1624706,-0.207,0.4283025
-0.0212,-0.1624706,-0.207,0.4435257
-0.0212,-0.1624706,-0.207,0.4566896
-0.02119999,-0.1624724,-0.2070014,0.4702314
-0.02119802,-0.1624825,-0.2070085,0.4831787
-0.02119802,-0.1624825,-0.2070085,0.4989002
-0.02134897,-0.1615711,-0.2077885,0.5134199
-0.03205173,-0.1694684,-0.2151681,0.5283642
-0.03178447,-0.1633046,-0.215102,0.5435854
-0.03178447,-0.1633046,-0.215102,0.559926
-0.03258477,-0.1609794,-0.2147237,0.5764707
-0.03244753,-0.1831807,-0.2131469,0.5912638
-0.03240871,-0.1666882,-0.2134355,0.6010193
-0.03240871,-0.1666882,-0.2134355,0.6167915
-0.03311335,-0.162691,-0.214257,0.6310825
-0.03306866,-0.1846032,-0.2182182,0.6458465
-0.03190947,-0.1668055,-0.2178523,0.6615712
-0.03190947,-0.1668055,-0.2178523,0.6745646
