X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0152433
-0.0212,-0.1624706,-0.207,0.0301189
-0.0212,-0.1624706,-0.207,0.04345
-0.0212,-0.1624706,-0.207,0.0568715
-0.0212,-0.1624706,-0.207,0.07037821
-0.0212,-0.1624706,-0.207,0.08332801
-0.0212,-0.1624706,-0.207,0.09804051
-0.0212,-0.1624706,-0.207,0.1124755
-0.0212,-0.1624706,-0.207,0.1271197
-0.0212,-0.1624706,-0.207,0.1614339
-0.0212,-0.1624706,-0.207,0.1696106
-0.0212,-0.1624706,-0.207,0.1774064
-0.0212,-0.1624706,-0.207,0.1903107
-0.0212,-0.1624706,-0.207,0.2066064
-0.0212,-0.1624706,-0.207,0.2211943
-0.0212,-0.1624706,-0.207,0.2336484
-0.0212,-0.1624706,-0.207,0.2480199
-0.0212,-0.1624706,-0.207,0.2629761
-0.0212,-0.1624706,-0.207,0.2774889
-0.0212,-0.1624706,-0.207,0.2910647
-0.0212,-0.1624706,-0.207,0.3061387
-0.0212,-0.1624706,-0.207,0.3232214
-0.0212,-0.1624706,-0.207,0.3327407
-0.0212,-0.1624706,-0.207,0.347725
-0.0212,-0.1624706,-0.207,0.3607606
-0.0212,-0.1624706,-0.207,0.3765803
-0.0212,-0.1624706,-0.207,0.3893258
-0.0212,-0.1624706,-0.207,0.404326
-0.0212,-0.1624706,-0.207,0.4174308
-0.0212,-0.1624706,-0.207,0.4314732
-0.0212,-0.1624706,-0.207,0.4465299
-0.0212,-0.1624706,-0.207,0.4612903
-0.0212,-0.1624706,-0.207,0.4751316
-0.0212,-0.1624706,-0.207,0.4893712
-0.0212,-0.1624706,-0.207,0.5043209
-0.0212,-0.1624706,-0.207,0.5161426
-0.0212,-0.1624706,-0.207,0.5310388
-0.0212,-0.1624706,-0.207,0.5468779
-0.0212,-0.1624706,-0.207,0.5596006
-0.0212,-0.1624706,-0.207,0.5739752
-0.0212,-0.1624706,-0.207,0.5890897
-0.0212,-0.1624706,-0.207,0.601935
-0.0212,-0.1624706,-0.207,0.6164626
-0.0212,-0.1624706,-0.207,0.6464486
-0.0212,-0.1624706,-0.207,0.6545991
-0.0212,-0.1624706,-0.207,0.6620231
-0.0212,-0.1624706,-0.207,0.6755862
-0.0212,-0.1624706,-0.207,0.6886562
-0.0212,-0.1624706,-0.207,0.7007232
-0.0212,-0.1624706,-0.207,0.7152457
-0.0212,-0.1624706,-0.207,0.7299666
-0.0212,-0.1624706,-0.207,0.7428433
