X, Y, Z, Time
-0.02120063,-0.1624672,-0.206999,0.0146631
-0.02132695,-0.1619629,-0.2069463,0.0295946
-0.02132731,-0.162172,-0.2069273,0.0433936
-0.02132731,-0.162172,-0.2069273,0.0586144
-0.02127124,-0.1620977,-0.2067835,0.07888141
-0.0216636,-0.1777263,-0.2058007,0.0960473
-0.02198545,-0.1644935,-0.2061695,0.11013
-0.02198545,-0.1644935,-0.2061695,0.1222231
-0.02156175,-0.1619852,-0.2042446,0.1341401
-0.0207054,-0.1957893,-0.2020717,0.1493419
-0.02053149,-0.1694213,-0.2039077,0.1643277
-0.02053149,-0.1694213,-0.2039077,0.1769999
-0.02130284,-0.1628665,-0.2029753,0.1914441
-0.02240388,-0.1889503,-0.2026293,0.2044938
-0.02240388,-0.1889503,-0.2026293,0.2172804
-0.02179856,-0.164683,-0.2032013,0.2318291
-0.02361846,-0.1948462,-0.202235,0.246494
-0.02361846,-0.1948462,-0.202235,0.261007
-0.02348587,-0.1705121,-0.2035378,0.2757855
-0.02486099,-0.1588923,-0.2014131,0.2900791
-0.02392843,-0.194008,-0.1950993,0.3052522
-0.02392843,-0.194008,-0.1950993,0.3176353
-0.02433475,-0.1641245,-0.197498,0.3318782
-0.02583101,-0.1604208,-0.1991065,0.346494
-0.02583101,-0.1604208,-0.1991065,0.3617918
-0.02358568,-0.1857343,-0.1967363,0.3764654
-0.02755758,-0.1610589,-0.1988197,0.3928244
-0.02814346,-0.1593211,-0.1977832,0.4059679
-0.02814346,-0.1593211,-0.1977832,0.4185414
-0.03003888,-0.1637396,-0.1971604,0.4339946
-0.02156868,-0.1805479,-0.2038282,0.4472922
-0.02156868,-0.1805479,-0.2038282,0.4624279
-0.01849898,-0.1649359,-0.2082867,0.4773105
-0.02162662,-0.158557,-0.2068389,0.4916208
-0.01847087,-0.2065626,-0.2090289,0.5071741
-0.01847087,-0.2065626,-0.2090289,0.5160033
-0.01884798,-0.1658429,-0.20696,0.5304105
-0.02215248,-0.1584483,-0.2035411,0.5445465
-0.02215248,-0.1584483,-0.2035411,0.5592579
-0.02893867,-0.2050504,-0.196503,0.573489
-0.02865952,-0.1630023,-0.2009196,0.589352
-0.02961742,-0.1540313,-0.2005029,0.6032423
-0.02961742,-0.1540313,-0.2005029,0.6178542
-0.05150298,-0.2749734,-0.1532138,0.6324667
-0.0500841,-0.1865427,-0.1474426,0.6468062
-0.0500841,-0.1865427,-0.1474426,0.6622826
-0.05032245,-0.1607746,-0.1491674,0.6744372
-0.05203047,-0.1807263,-0.1497373,0.6886744
-0.05203047,-0.1807263,-0.1497373,0.7007673
-0.05019916,-0.1632851,-0.1490881,0.7155377
-0.05210224,-0.1809009,-0.1514449,0.7304209
-0.05186241,-0.1658469,-0.1515083,0.7448403
-0.05186241,-0.1658469,-0.1515083,0.7598936
-0.05272018,-0.1812483,-0.1531499,0.7728693
-0.05210042,-0.1663974,-0.1530188,0.7869748
-0.05210042,-0.1663974,-0.1530188,0.8000877
-0.05306821,-0.1792296,-0.1548555,0.8151282
-0.0521328,-0.1666634,-0.1549166,0.8286261
-0.05200417,-0.1778516,-0.1562967,0.8432916
-0.05200417,-0.1778516,-0.1562967,0.859538
-0.05147239,-0.1663701,-0.1564014,0.872337
-0.05113096,-0.1687292,-0.1568862,0.8842799
-0.05113096,-0.1687292,-0.1568862,0.8991059
-0.05082992,-0.1630927,-0.1584076,0.9124347
-0.04893167,-0.1719438,-0.1585509,0.93295
-0.04893167,-0.1719438,-0.1585509,0.9417541
-0.0480732,-0.1583283,-0.1602123,0.9559478
-0.04809488,-0.1631603,-0.1636903,0.9915747
-0.04809488,-0.1631603,-0.1636903,0.9998197
-0.04984603,-0.1631554,-0.1639987,1.007094
-0.04984603,-0.1631554,-0.1639987,1.020303
-0.04917245,-0.1650833,-0.1645968,1.033672
-0.04877482,-0.1627285,-0.1656757,1.048989
-0.05027319,-0.1649326,-0.1659825,1.0635
-0.05027319,-0.1649326,-0.1659825,1.077973
-0.05091749,-0.1641992,-0.165994,1.092494
-0.05198125,-0.1643232,-0.1660895,1.106666
-0.05198125,-0.1643232,-0.1660895,1.118323
-0.05164421,-0.1642631,-0.1659729,1.132368
