X, Y, Z, Time
-0.02120489,-0.1624404,-0.2070027,0.0138493
-0.02133156,-0.1620711,-0.2072105,0.0294199
-0.02133156,-0.1620711,-0.2072105,0.0421905
-0.02141427,-0.1621155,-0.2073695,0.0558665
-0.0217306,-0.1628779,-0.2076219,0.0700785
-0.0217306,-0.1628779,-0.2076219,0.0816295
-0.02114141,-0.1617037,-0.2077012,0.0962815
-0.02210749,-0.1629688,-0.2078685,0.1115095
-0.02210749,-0.1629688,-0.2078685,0.1251915
-0.02244008,-0.1607855,-0.2081149,0.1405847
-0.02408337,-0.1736487,-0.2091017,0.1613018
-0.02385613,-0.1634526,-0.2079287,0.1769279
-0.02332526,-0.1633237,-0.209041,0.1907559
-0.02332526,-0.1633237,-0.209041,0.1996358
-0.0241961,-0.1617517,-0.2083747,0.2137977
-0.0229998,-0.1774379,-0.2069395,0.2276784
-0.0229998,-0.1774379,-0.2069395,0.2423284
-0.02223643,-0.162254,-0.2080536,0.2572063
-0.02248022,-0.1613005,-0.2077578,0.2727259
-0.02225547,-0.1750285,-0.2077888,0.2870939
-0.02225547,-0.1750285,-0.2077888,0.299383
-0.02288054,-0.1654009,-0.2077323,0.3137693
-0.02269175,-0.163238,-0.2069939,0.3273582
-0.01962047,-0.1623771,-0.1998587,0.3478883
-0.01962047,-0.1623771,-0.1998587,0.3574028
-0.01518527,-0.1531316,-0.1987663,0.3721609
-0.01478819,-0.1466551,-0.2006391,0.3873057
-0.01478819,-0.1466551,-0.2006391,0.4019694
-0.01397025,-0.138501,-0.2029278,0.4146191
-0.01387829,-0.134636,-0.2041265,0.4284994
-0.01387829,-0.134636,-0.2041265,0.4421222
-0.01452087,-0.1298246,-0.2066909,0.4567181
-0.01488903,-0.1283228,-0.2073372,0.4721159
-0.01539462,-0.1275676,-0.2079814,0.4869841
-0.01539462,-0.1275676,-0.2079814,0.499553
-0.01595088,-0.1273594,-0.2078124,0.5140659
-0.01625554,-0.1273979,-0.2077577,0.5283797
-0.01625554,-0.1273979,-0.2077577,0.5432732
-0.01596799,-0.12845,-0.2069021,0.5565292
-0.0159199,-0.1290612,-0.2062966,0.5719697
-0.0159199,-0.1290612,-0.2062966,0.5836053
-0.01600313,-0.1300236,-0.2058388,0.5977896
-0.01673586,-0.1308368,-0.2058514,0.6117046
-0.01673586,-0.1308368,-0.2058514,0.6257579
-0.01770166,-0.1317718,-0.2061674,0.6405876
-0.01800065,-0.1323753,-0.2060407,0.6553037
-0.01791608,-0.132874,-0.2057466,0.6703986
-0.01791608,-0.132874,-0.2057466,0.6831508
-0.0177186,-0.1333598,-0.2052098,0.6979285
-0.01760526,-0.1335626,-0.2049381,0.7113702
-0.01760526,-0.1335626,-0.2049381,0.725184
-0.01776532,-0.1336787,-0.2046488,0.7390807
-0.01758181,-0.1334295,-0.2046389,0.754742
-0.01778838,-0.1335074,-0.204543,0.7705986
-0.01778838,-0.1335074,-0.204543,0.782446
-0.01778904,-0.1335137,-0.204476,0.7968852
-0.01772805,-0.1336747,-0.2043597,0.8121602
-0.01772805,-0.1336747,-0.2043597,0.8251607
-0.01765822,-0.1338486,-0.2042445,0.8390679
-0.01810613,-0.1340606,-0.20419,0.852419
-0.01810613,-0.1340606,-0.20419,0.8652186
-0.01780053,-0.1343003,-0.2040558,0.8809806
-0.01774817,-0.1341866,-0.204133,0.8957871
-0.01793016,-0.1345697,-0.2039171,0.9107526
-0.01793016,-0.1345697,-0.2039171,0.9236397
-0.01785908,-0.1346281,-0.2038817,0.9372745
-0.01784577,-0.1346332,-0.2038785,0.9500265
-0.01784577,-0.1346332,-0.2038785,0.9635002
-0.01776912,-0.1348382,-0.203751,0.9783909
-0.01778269,-0.1349895,-0.2036641,0.9924757
-0.0179929,-0.1349672,-0.2037175,1.00652
-0.0179929,-0.1349672,-0.2037175,1.021726
-0.01817145,-0.1352234,-0.2035821,1.036429
-0.01795164,-0.1351468,-0.2036047,1.049346
-0.01795164,-0.1351468,-0.2036047,1.06409
-0.01816478,-0.1352386,-0.2035777,1.077393
-0.01820318,-0.1353798,-0.2034967,1.091373
-0.01820318,-0.1353798,-0.2034967,1.10605
-0.01857002,-0.1356143,-0.203351,1.121116
-0.01857452,-0.1356338,-0.203283,1.134208
-0.01848831,-0.1357953,-0.203043,1.149231
-0.01863914,-0.1359512,-0.2027411,1.167324
-0.01863914,-0.1359512,-0.2027411,1.177397
-0.01874738,-0.1360622,-0.2020826,1.192286
-0.01903639,-0.136205,-0.2015753,1.208083
-0.01903639,-0.136205,-0.2015753,1.221081
-0.01960636,-0.1364818,-0.200703,1.232448
-0.02015406,-0.1368808,-0.2001039,1.247293
-0.02015406,-0.1368808,-0.2001039,1.262083
-0.02124542,-0.1368124,-0.1989628,1.276548
-0.02182377,-0.1366635,-0.1983757,1.290661
-0.02247548,-0.136776,-0.1975869,1.306191
-0.02247548,-0.136776,-0.1975869,1.322277
-0.02357071,-0.1370514,-0.1959421,1.336522
-0.02437834,-0.1370218,-0.1952598,1.349223
-0.02437834,-0.1370218,-0.1952598,1.363984
-0.02556575,-0.1376662,-0.1932009,1.378365
-0.02620742,-0.1379984,-0.1920501,1.391569
-0.02620742,-0.1379984,-0.1920501,1.405526
-0.02745692,-0.1380801,-0.1903296,1.418661
-0.02817286,-0.1384496,-0.1891972,1.431349
-0.02817286,-0.1384496,-0.1891972,1.444848
-0.03025008,-0.1387446,-0.1874508,1.459068
-0.03139003,-0.1387991,-0.1864768,1.474559
-0.03239677,-0.1389362,-0.1854733,1.49017
-0.03239677,-0.1389362,-0.1854733,1.504096
-0.03445591,-0.1392122,-0.1840906,1.516394
-0.03563632,-0.1394733,-0.1831241,1.532241
-0.03677357,-0.1394366,-0.18241,1.546494
-0.03677357,-0.1394366,-0.18241,1.560338
-0.03868053,-0.1394116,-0.1806837,1.574638
-0.04006596,-0.1395525,-0.1795498,1.589985
-0.04006596,-0.1395525,-0.1795498,1.604723
-0.04230353,-0.1391978,-0.1780593,1.619864
-0.04338579,-0.1389849,-0.1775329,1.632332
-0.04511609,-0.1390686,-0.1768354,1.646839
-0.04511609,-0.1390686,-0.1768354,1.661906
-0.047786,-0.1384653,-0.1755266,1.675785
-0.0492612,-0.1382105,-0.1746303,1.690687
-0.05036917,-0.1377738,-0.1738849,1.706538
-0.05036917,-0.1377738,-0.1738849,1.722483
-0.05281575,-0.1371673,-0.1726283,1.734655
-0.05435777,-0.1367722,-0.1719931,1.748873
-0.05435777,-0.1367722,-0.1719931,1.764011
-0.05736272,-0.1363528,-0.1707205,1.779423
-0.05937503,-0.1365089,-0.1700701,1.792526
-0.06184288,-0.1365879,-0.1695096,1.807704
-0.06184288,-0.1365879,-0.1695096,1.822765
-0.06671409,-0.1366455,-0.1689166,1.836951
-0.06872154,-0.1365713,-0.1685743,1.850493
-0.06872154,-0.1365713,-0.1685743,1.865572
-0.07297187,-0.1371341,-0.1680934,1.879942
-0.0755811,-0.1373937,-0.1682312,1.894207
-0.07816216,-0.1379658,-0.1682202,1.908869
-0.07816216,-0.1379658,-0.1682202,1.922604
-0.08249664,-0.1388067,-0.1680948,1.9362
-0.08483587,-0.1392277,-0.1681418,1.949189
-0.08483587,-0.1392277,-0.1681418,1.964456
-0.08957774,-0.1402665,-0.1683511,1.978359
-0.09210914,-0.1408973,-0.1683213,1.991401
-0.09210914,-0.1408973,-0.1683213,2.005902
-0.09761813,-0.1416488,-0.169166,2.021253
-0.1011378,-0.1424892,-0.1693425,2.037005
-0.104044,-0.1430193,-0.1695587,2.050182
-0.104044,-0.1430193,-0.1695587,2.064987
-0.1088443,-0.1443193,-0.1694467,2.078953
-0.1112234,-0.1451563,-0.1692521,2.092122
-0.1139155,-0.1458507,-0.1691332,2.107919
-0.1139155,-0.1458507,-0.1691332,2.121701
-0.1178832,-0.1470444,-0.1688685,2.133561
-0.1199466,-0.1476641,-0.1685811,2.149511
-0.1199466,-0.1476641,-0.1685811,2.162922
-0.1241514,-0.1487816,-0.168154,2.178128
-0.1263626,-0.1491273,-0.1681272,2.193063
-0.1263626,-0.1491273,-0.1681272,2.205906
-0.129745,-0.1495009,-0.1680032,2.219573
-0.1317043,-0.1494961,-0.167958,2.232752
-0.1335441,-0.1496238,-0.1677872,2.247687
-0.1335441,-0.1496238,-0.1677872,2.262415
-0.1372001,-0.1492962,-0.1678983,2.280423
-0.1388371,-0.1489564,-0.1681987,2.292243
-0.140535,-0.1488355,-0.1683435,2.306689
-0.140535,-0.1488355,-0.1683435,2.320202
-0.1435134,-0.1489357,-0.1684882,2.332057
-0.1455733,-0.1491116,-0.1684553,2.347532
-0.1455733,-0.1491116,-0.1684553,2.361428
-0.1488537,-0.1499344,-0.1678632,2.375829
-0.151004,-0.1506084,-0.1675572,2.391416
-0.151004,-0.1506084,-0.1675572,2.404824
-0.1540341,-0.1510438,-0.1677113,2.416914
-0.1560622,-0.1510843,-0.167953,2.431443
-0.1584838,-0.1510081,-0.1683698,2.446272
-0.1584838,-0.1510081,-0.1683698,2.459704
-0.162068,-0.1506137,-0.1689744,2.473019
-0.1645597,-0.1503133,-0.1694375,2.48817
-0.1645597,-0.1503133,-0.1694375,2.502834
-0.1683739,-0.1495589,-0.1701914,2.515479
-0.1706029,-0.1492354,-0.1705883,2.529158
-0.1706029,-0.1492354,-0.1705883,2.542998
-0.1742023,-0.1479827,-0.1716727,2.557858
-0.1763022,-0.1470733,-0.1724438,2.573508
-0.1817347,-0.1457183,-0.1739902,2.60883
-0.1817347,-0.1457183,-0.1739902,2.617047
-0.1817347,-0.1457183,-0.1739902,2.625331
-0.1815062,-0.1624797,-0.1731145,2.637951
-0.1815062,-0.1624797,-0.1731145,2.652387
-0.1814522,-0.162593,-0.1732443,2.667731
-0.1815204,-0.1624084,-0.1732902,2.680933
-0.1814923,-0.1638909,-0.1735171,2.697396
-0.1814923,-0.1638909,-0.1735171,2.713628
-0.1814928,-0.162707,-0.1733898,2.728582
-0.1815519,-0.1627305,-0.173768,2.738598
-0.1815519,-0.1627305,-0.173768,2.753032
-0.1814276,-0.1620103,-0.1733298,2.76779
-0.1820754,-0.1815832,-0.1735101,2.781173
-0.1810498,-0.1664373,-0.1732678,2.80083
-0.1810498,-0.1664373,-0.1732678,2.81329
-0.1814633,-0.161441,-0.1731146,2.820884
-0.1826778,-0.1757063,-0.1716094,2.837418
-0.1826778,-0.1757063,-0.1716094,2.8511
-0.1812101,-0.1624754,-0.1723435,2.864712
-0.1821019,-0.1699679,-0.172604,2.880376
-0.1825118,-0.163371,-0.1722135,2.894625
-0.1825118,-0.163371,-0.1722135,2.909255
-0.1823489,-0.1620151,-0.1719693,2.937374
-0.1823489,-0.1620151,-0.1719693,2.946008
-0.1823489,-0.1620151,-0.1719693,2.953166
-0.1819879,-0.1620404,-0.1719213,2.967624
-0.1822544,-0.1621271,-0.1718221,2.982153
-0.1825332,-0.1607109,-0.1721284,2.99492
-0.1825332,-0.1607109,-0.1721284,3.010773
-0.1824919,-0.1619535,-0.1722798,3.023658
-0.1826863,-0.1620378,-0.1722009,3.036488
-0.1826863,-0.1620378,-0.1722009,3.05036
-0.1826058,-0.1618806,-0.1724832,3.065016
-0.1825102,-0.1613006,-0.1725818,3.079085
-0.1827992,-0.1606856,-0.1724986,3.094046
-0.1827992,-0.1606856,-0.1724986,3.109769
-0.1919736,-0.1610086,-0.1779457,3.124666
-0.1919735,-0.1597436,-0.1779719,3.13819
-0.1919735,-0.1597436,-0.1779719,3.152724
-0.1931304,-0.1588379,-0.1794098,3.167725
-0.1937695,-0.1580907,-0.1797766,3.183443
-0.1941959,-0.1576305,-0.1798789,3.196335
-0.1941959,-0.1576305,-0.1798789,3.210774
-0.1951692,-0.1561635,-0.1802145,3.225646
-0.1953739,-0.155461,-0.1801779,3.237936
-0.1953739,-0.155461,-0.1801779,3.253088
-0.1953266,-0.1526183,-0.1796252,3.289734
-0.1954955,-0.1521725,-0.1795943,3.298125
-0.1954955,-0.1521725,-0.1795943,3.306094
-0.195585,-0.1510686,-0.1794765,3.316758
-0.195585,-0.1510686,-0.1794765,3.331323
-0.1956172,-0.1492614,-0.1793391,3.345727
-0.195819,-0.1480383,-0.1795882,3.360087
-0.195819,-0.1480383,-0.1795882,3.373466
-0.1963462,-0.1456994,-0.1800933,3.385755
