X, Y, Z, Time
-0.02120349,-0.1624761,-0.2070033,0.0126759
-0.02138547,-0.1621375,-0.2071217,0.0274314
-0.02122327,-0.16186,-0.2069761,0.047464
-0.02122327,-0.16186,-0.2069761,0.0630803
-0.02111563,-0.1720121,-0.2067305,0.0764237
-0.0214048,-0.1628942,-0.2070423,0.0898748
-0.0214048,-0.1628942,-0.2070423,0.1011115
-0.02190643,-0.1635906,-0.2066158,0.1159696
-0.02206554,-0.1620482,-0.2067936,0.1295388
-0.02206554,-0.1620482,-0.2067936,0.1429559
-0.02265095,-0.1642016,-0.2061927,0.1543819
-0.02186241,-0.1612206,-0.2066814,0.1690735
-0.02243999,-0.1631101,-0.2061676,0.18447
-0.02243999,-0.1631101,-0.2061676,0.1990987
-0.02190873,-0.1611193,-0.2061342,0.212577
-0.02311019,-0.1635955,-0.2050491,0.2278159
-0.02311019,-0.1635955,-0.2050491,0.2428481
-0.02272094,-0.1614721,-0.2047346,0.2568731
-0.0239308,-0.1635439,-0.2036842,0.2709847
-0.0231192,-0.1608273,-0.2034122,0.2863349
-0.0231192,-0.1608273,-0.2034122,0.3011966
-0.02298613,-0.1636857,-0.2027525,0.3138629
-0.02298496,-0.1614977,-0.203264,0.3278968
-0.02298496,-0.1614977,-0.203264,0.3422479
-0.02319674,-0.1671095,-0.202659,0.3544144
-0.0224064,-0.1600885,-0.2030445,0.3703906
-0.02205283,-0.1614417,-0.2029109,0.3842846
-0.02205283,-0.1614417,-0.2029109,0.3982134
-0.02190617,-0.1604806,-0.2029802,0.4123951
-0.02209303,-0.1595061,-0.2030191,0.4272552
-0.02209303,-0.1595061,-0.2030191,0.4418135
-0.0221813,-0.1561918,-0.2031813,0.4541886
-0.02203403,-0.1541947,-0.2034647,0.4690806
-0.02201805,-0.1524368,-0.2034722,0.4835678
-0.02201805,-0.1524368,-0.2034722,0.4985119
-0.01918086,-0.1480813,-0.2039489,0.5122254
-0.01861263,-0.1452616,-0.2045439,0.5271059
-0.01861263,-0.1452616,-0.2045439,0.5416428
-0.01841062,-0.1422601,-0.2055834,0.5534952
-0.01870031,-0.1413267,-0.2059712,0.5687497
-0.01870031,-0.1413267,-0.2059712,0.5820552
-0.0183717,-0.1403928,-0.2064918,0.5969729
-0.01837124,-0.1400298,-0.2066566,0.6104813
-0.01854602,-0.1395273,-0.2068831,0.6250629
-0.01854602,-0.1395273,-0.2068831,0.6385869
-0.01890546,-0.1374389,-0.20754,0.6535211
-0.01931001,-0.1358794,-0.2079642,0.6688564
-0.01931001,-0.1358794,-0.2079642,0.6828628
-0.01985598,-0.133368,-0.2085844,0.6975515
-0.02004809,-0.1315131,-0.2091104,0.7133301
-0.020079,-0.1305715,-0.2092125,0.726513
-0.020079,-0.1305715,-0.2092125,0.7391664
-0.01941309,-0.1286914,-0.209208,0.7544108
-0.01890397,-0.1277175,-0.2090025,0.768338
-0.01890397,-0.1277175,-0.2090025,0.78275
-0.0179905,-0.126347,-0.2083213,0.7980155
-0.01737347,-0.1257398,-0.2080111,0.8116788
-0.0172135,-0.1253425,-0.2077691,0.8243337
-0.0172135,-0.1253425,-0.2077691,0.8365474
-0.01669375,-0.1244409,-0.207157,0.851034
-0.01623697,-0.1236472,-0.2068167,0.8661168
-0.01623697,-0.1236472,-0.2068167,0.8797852
-0.0156487,-0.1227644,-0.2059847,0.8941383
-0.01545034,-0.1222427,-0.2055165,0.9089096
-0.01545034,-0.1222427,-0.2055165,0.9217152
-0.01505296,-0.1211475,-0.2050417,0.9362834
-0.01469164,-0.1204263,-0.2046838,0.9511144
-0.01412406,-0.1197412,-0.2042258,0.9655648
-0.01412406,-0.1197412,-0.2042258,0.9790688
-0.01314995,-0.1182155,-0.2036351,0.9944831
-0.01239973,-0.1173012,-0.2030824,1.010366
-0.01175172,-0.116264,-0.2028168,1.025461
-0.01175172,-0.116264,-0.2028168,1.03671
-0.01039342,-0.114789,-0.2021127,1.051791
-0.009988773,-0.1143645,-0.2017342,1.067505
-0.009988773,-0.1143645,-0.2017342,1.079773
-0.009398637,-0.114153,-0.2009323,1.093546
-0.008613833,-0.1143092,-0.2002234,1.108497
-0.008613833,-0.1143092,-0.2002234,1.121205
-0.007531864,-0.114539,-0.1989586,1.135591
-0.007362918,-0.1151268,-0.1981573,1.150796
-0.007179614,-0.1154909,-0.1976688,1.165529
-0.007179614,-0.1154909,-0.1976688,1.179361
-0.008106829,-0.1167905,-0.1963496,1.193561
-0.008496368,-0.1174743,-0.195471,1.209166
-0.008496368,-0.1174743,-0.195471,1.222491
-0.008588049,-0.1185209,-0.1936598,1.237876
-0.008950814,-0.1191281,-0.1925966,1.25276
-0.008765294,-0.1199306,-0.1912741,1.26691
-0.008765294,-0.1199306,-0.1912741,1.281045
-0.008011272,-0.1212636,-0.1884136,1.295564
-0.007673114,-0.1216622,-0.1867079,1.309162
-0.007588674,-0.1216136,-0.185414,1.323396
-0.007588674,-0.1216136,-0.185414,1.33694
-0.008001674,-0.121364,-0.183005,1.350464
-0.008809426,-0.1206863,-0.1821769,1.365539
-0.008809426,-0.1206863,-0.1821769,1.378799
-0.009884319,-0.1198935,-0.1802187,1.391973
-0.01025044,-0.1197072,-0.1785958,1.405364
-0.01025044,-0.1197072,-0.1785958,1.418575
-0.01134413,-0.1184035,-0.1763058,1.433679
-0.01260876,-0.117447,-0.1750045,1.447763
-0.01260876,-0.117447,-0.1750045,1.460564
-0.01611679,-0.1138386,-0.1727709,1.485785
-0.01611679,-0.1138386,-0.1727709,1.493885
-0.01611679,-0.1138386,-0.1727709,1.502121
-0.01889936,-0.1121306,-0.1710599,1.517005
-0.0201175,-0.11068,-0.1703606,1.531598
-0.0215199,-0.1093271,-0.1697719,1.545853
-0.0215199,-0.1093271,-0.1697719,1.560853
-0.02464544,-0.1062481,-0.1693452,1.574886
-0.0262117,-0.1049449,-0.1690017,1.588639
-0.0262117,-0.1049449,-0.1690017,1.602664
-0.02953562,-0.1020487,-0.1692828,1.616268
-0.03143146,-0.100458,-0.1692526,1.631427
-0.03347741,-0.09878702,-0.1694483,1.647264
-0.03347741,-0.09878702,-0.1694483,1.660504
-0.03630116,-0.09662794,-0.1694373,1.673521
-0.03797119,-0.0952623,-0.1694312,1.686334
-0.03797119,-0.0952623,-0.1694312,1.69992
-0.04104832,-0.0929364,-0.1694532,1.713354
-0.04309649,-0.09147399,-0.1695197,1.728194
-0.04309649,-0.09147399,-0.1695197,1.742962
-0.04706079,-0.08856853,-0.16988,1.757965
-0.04878027,-0.08726593,-0.1699549,1.771651
-0.050661,-0.08600833,-0.170037,1.786772
-0.050661,-0.08600833,-0.170037,1.801147
-0.05313594,-0.08363805,-0.1698437,1.81465
-0.054217,-0.08183126,-0.1697257,1.830459
-0.054217,-0.08183126,-0.1697257,1.843068
-0.05576839,-0.07936411,-0.1691468,1.856305
-0.05635399,-0.07791488,-0.1685191,1.869133
-0.05660772,-0.07654543,-0.1677049,1.88459
-0.05660772,-0.07654543,-0.1677049,1.898372
-0.05729215,-0.07421994,-0.1665096,1.912353
-0.05775956,-0.0723784,-0.1662079,1.926975
-0.05775956,-0.0723784,-0.1662079,1.941989
-0.05900675,-0.06886858,-0.1659838,1.95402
-0.05960644,-0.06674668,-0.1659538,1.969087
-0.05960644,-0.06674668,-0.1659538,1.98286
-0.06126963,-0.0632681,-0.1661469,1.997599
-0.06191256,-0.0609336,-0.1661497,2.01333
-0.06254514,-0.05940052,-0.16625,2.02597
-0.06254514,-0.05940052,-0.16625,2.037557
-0.06386353,-0.05651381,-0.1668802,2.051597
-0.06458783,-0.0550679,-0.1670873,2.066278
-0.06458783,-0.0550679,-0.1670873,2.081016
-0.06594154,-0.05283101,-0.1674574,2.094934
-0.06681243,-0.05167449,-0.1676016,2.109439
-0.06787474,-0.0506757,-0.1677879,2.124303
-0.06787474,-0.0506757,-0.1677879,2.136796
-0.06972204,-0.04872162,-0.1680777,2.151631
-0.07088549,-0.04720582,-0.1684926,2.166788
-0.07088549,-0.04720582,-0.1684926,2.180605
-0.07249822,-0.04541524,-0.1685329,2.194875
-0.07307705,-0.04431812,-0.1684412,2.210451
-0.07347734,-0.04342959,-0.1683148,2.225216
-0.07347734,-0.04342959,-0.1683148,2.237495
-0.07489461,-0.0420521,-0.1680511,2.252795
-0.07562513,-0.04118685,-0.167887,2.265768
-0.07562513,-0.04118685,-0.167887,2.280072
-0.0764472,-0.04026775,-0.1668994,2.294195
-0.07666139,-0.03969356,-0.1663988,2.309909
-0.07653006,-0.03946722,-0.1657499,2.325493
-0.07653006,-0.03946722,-0.1657499,2.338503
-0.0759328,-0.03876644,-0.1644551,2.353054
-0.07528986,-0.03830202,-0.1637743,2.36796
-0.07528986,-0.03830202,-0.1637743,2.380534
-0.07404756,-0.0375238,-0.1627089,2.395569
-0.07372145,-0.03699168,-0.1622289,2.409434
-0.07372145,-0.03699168,-0.1622289,2.421312
-0.07302206,-0.03595003,-0.1614668,2.435076
-0.07273147,-0.03497207,-0.1611877,2.450626
-0.07262579,-0.0340464,-0.1611753,2.464561
-0.07262579,-0.0340464,-0.1611753,2.478888
-0.07230466,-0.03293627,-0.1608538,2.49347
-0.07193383,-0.03235153,-0.1605633,2.506346
-0.07193383,-0.03235153,-0.1605633,2.521364
-0.07103533,-0.03195832,-0.1598613,2.535878
-0.07073342,-0.03158688,-0.1597393,2.551553
-0.07065323,-0.03140603,-0.1596021,2.566327
-0.07065323,-0.03140603,-0.1596021,2.579293
-0.07070956,-0.03122358,-0.1592925,2.593237
-0.07082137,-0.0311948,-0.1590722,2.604763
-0.07082137,-0.0311948,-0.1590722,2.619342
-0.07091087,-0.03114304,-0.1586105,2.633883
-0.07116575,-0.03095243,-0.1586806,2.648021
-0.07116575,-0.03095243,-0.1586806,2.662378
-0.07210629,-0.03080461,-0.158198,2.677347
-0.07277993,-0.03047534,-0.1579702,2.691966
-0.07342824,-0.03016805,-0.1576622,2.704788
-0.07342824,-0.03016805,-0.1576622,2.719594
-0.07470483,-0.02918153,-0.1573832,2.733011
-0.07552396,-0.02878889,-0.157278,2.747193
-0.07552396,-0.02878889,-0.157278,2.761642
-0.07697427,-0.02847499,-0.1569508,2.776234
-0.07791106,-0.02824961,-0.1568193,2.791715
-0.07853768,-0.02804069,-0.1568044,2.803746
-0.07853768,-0.02804069,-0.1568044,2.818662
-0.080447,-0.02690727,-0.1571595,2.832704
-0.08144324,-0.02649417,-0.1571905,2.846212
-0.08144324,-0.02649417,-0.1571905,2.861034
-0.08576556,-0.02386493,-0.1573763,2.897964
-0.08622394,-0.02344276,-0.1574114,2.905869
-0.08622394,-0.02344276,-0.1574114,2.913953
-0.08783992,-0.02145251,-0.157781,2.928453
-0.08899759,-0.01990634,-0.1581847,2.943505
-0.08899759,-0.01990634,-0.1581847,2.957977
-0.09058816,-0.01764127,-0.1586997,2.9704
-0.09163662,-0.01609023,-0.1591144,2.98589
-0.09163662,-0.01609023,-0.1591144,3.000336
-0.09329167,-0.01317431,-0.1601168,3.014716
-0.0940773,-0.01162124,-0.1607067,3.02816
-0.0940773,-0.01162124,-0.1607067,3.041191
-0.09574045,-0.008495994,-0.162014,3.05403
-0.09663988,-0.006588712,-0.1626799,3.06818
-0.09663988,-0.006588712,-0.1626799,3.082046
-0.09831934,-0.003754012,-0.1636516,3.09709
-0.09932439,-0.001959227,-0.1643946,3.112696
-0.1004281,-0.0003507957,-0.1650737,3.128799
