X, Y, Z, Time
-0.0212,-0.1624601,-0.207,0.02
-0.0212,-0.1624706,-0.207,0.12
-0.0212,-0.1624705,-0.207,0.1529694
-0.0212,-0.1624706,-0.207,0.1629958
-0.0212,-0.1624706,-0.207,0.1722268
-0.0212,-0.1624706,-0.207,0.1804744
-0.0212,-0.1624706,-0.207,0.1995094
-0.0212,-0.1624705,-0.207,0.2176963
-0.0212,-0.1624706,-0.207,0.2341819
-0.0212,-0.1624705,-0.207,0.2520945
-0.0212,-0.1624706,-0.207,0.2713981
-0.0212,-0.1624705,-0.207,0.2889693
-0.0212,-0.1624706,-0.207,0.3061668
-0.0212,-0.1624705,-0.207,0.3230984
-0.0212,-0.1624706,-0.207,0.3404645
-0.0212,-0.1624706,-0.207,0.3574739
-0.0212,-0.1624705,-0.207,0.3742364
-0.0212,-0.1624706,-0.207,0.3913393
-0.0212,-0.1624706,-0.207,0.4088443
-0.0212,-0.1624706,-0.207,0.425533
-0.0212,-0.1624706,-0.207,0.4401622
-0.0212,-0.1624706,-0.207,0.4573245
-0.0212,-0.1624706,-0.207,0.4738139
-0.0212,-0.1624706,-0.207,0.4900528
-0.0212,-0.1624706,-0.207,0.5066069
-0.0212,-0.1624706,-0.207,0.5223925
-0.0212,-0.1624706,-0.207,0.5369388
-0.0212,-0.1624706,-0.207,0.5519428
-0.0212,-0.1624706,-0.207,0.5682273
-0.0212,-0.1624706,-0.207,0.5845337
-0.0212,-0.1624706,-0.207,0.6002598
-0.0212,-0.1624706,-0.207,0.6164479
-0.0212,-0.1624706,-0.207,0.6323459
-0.0212,-0.1624706,-0.207,0.6486996
-0.0212,-0.1624706,-0.207,0.664247
-0.0212,-0.1624706,-0.207,0.6774956
-0.0212,-0.1624706,-0.207,0.6918321
-0.0212,-0.1624706,-0.207,0.7078545
-0.0212,-0.1624706,-0.207,0.7216046
-0.0212,-0.1624706,-0.207,0.7354914
-0.0212,-0.1624706,-0.207,0.7502222
-0.0212,-0.1624706,-0.207,0.7662203
-0.0212,-0.1624706,-0.207,0.7824311
-0.0212,-0.1624706,-0.207,0.7963918
-0.0212,-0.1624706,-0.207,0.8095722
-0.0212,-0.1624706,-0.207,0.8250129
-0.0212,-0.1624706,-0.207,0.8397143
-0.0212,-0.1624706,-0.207,0.8545241
-0.0212,-0.1624706,-0.207,0.8670303
-0.0212,-0.1624706,-0.207,0.8807632
-0.0212,-0.1624706,-0.207,0.8960397
-0.0212,-0.1624706,-0.207,0.9090152
-0.0212,-0.1624706,-0.207,0.9241432
-0.0212,-0.1624706,-0.207,0.9385152
-0.0212,-0.1624706,-0.207,0.9532204
-0.0212,-0.1624706,-0.207,0.9678733
-0.0212,-0.1624706,-0.207,0.9815561
