X, Y, Z, Time
-0.02208951,-0.162476,-0.2064187,0.0287283
-0.02214945,-0.1622154,-0.2065422,0.0390686
-0.02214726,-0.1615278,-0.206147,0.0696597
-0.02216965,-0.1679613,-0.2059936,0.08055291
-0.02193781,-0.1617341,-0.2066929,0.1113388
-0.02243027,-0.1702585,-0.2083978,0.1206265
-0.02331016,-0.1640113,-0.2072846,0.162054
-0.0236099,-0.1736142,-0.206198,0.1888106
-0.02343153,-0.1654395,-0.2061816,0.1975619
-0.02401061,-0.1640752,-0.2054796,0.2195471
-0.02401061,-0.1640752,-0.2054796,0.2275075
-0.02425381,-0.1733154,-0.2045115,0.23987
-0.02520293,-0.1834204,-0.20571,0.2769467
-0.02491429,-0.1662021,-0.2059659,0.305604
-0.02617336,-0.1593751,-0.2040997,0.3152014
-0.02603891,-0.183984,-0.2032777,0.3363377
-0.02603891,-0.183984,-0.2032777,0.3442404
-0.02567802,-0.165445,-0.2034077,0.3543231
-0.02683571,-0.1711603,-0.2031809,0.3881562
-0.02642066,-0.1610055,-0.2023448,0.4161902
-0.02642066,-0.1610055,-0.2023448,0.4248667
-0.02698602,-0.1689368,-0.2006456,0.4451123
-0.02807378,-0.1630247,-0.2008816,0.4563835
-0.02807378,-0.1630247,-0.2008816,0.4716631
-0.02947157,-0.1631393,-0.2006921,0.5047829
-0.02947152,-0.1624143,-0.2006864,0.5318727
-0.02947152,-0.1624143,-0.2006864,0.5457773
-0.02947152,-0.1624144,-0.2006864,0.5718623
-0.02947152,-0.1624144,-0.2006864,0.5834003
-0.02947152,-0.1624143,-0.2006864,0.6124822
-0.02947152,-0.1624143,-0.2006864,0.6215448
-0.02947152,-0.1624143,-0.2006864,0.6515407
-0.02947152,-0.1624143,-0.2006864,0.6612389
-0.02947152,-0.1624142,-0.2006864,0.695087
-0.02947152,-0.1624142,-0.2006864,0.7040457
-0.02947152,-0.1624142,-0.2006864,0.7295469
-0.02947152,-0.1624142,-0.2006864,0.741979
-0.02947152,-0.1624143,-0.2006864,0.768589
-0.02947152,-0.1624143,-0.2006864,0.7779335
-0.02947152,-0.1624143,-0.2006864,0.8073936
-0.02947152,-0.1624143,-0.2006864,0.8177852
-0.02947152,-0.1624143,-0.2006864,0.846826
-0.02947152,-0.1624143,-0.2006864,0.858247
-0.02947152,-0.1624143,-0.2006864,0.8883293
-0.02947152,-0.1624143,-0.2006864,0.8976713
-0.02947152,-0.1624143,-0.2006864,0.9258841
-0.02947152,-0.1624143,-0.2006864,0.9358718
-0.02947152,-0.1624143,-0.2006864,0.963545
-0.02947152,-0.1624143,-0.2006864,0.9771507
-0.02947152,-0.1624143,-0.2006864,1.003859
-0.02947152,-0.1624143,-0.2006864,1.014952
-0.02947152,-0.1624143,-0.2006864,1.042831
-0.02947152,-0.1624143,-0.2006864,1.05304
-0.02947152,-0.1624143,-0.2006864,1.082696
-0.02947152,-0.1624143,-0.2006864,1.093073
-0.02947152,-0.1624143,-0.2006864,1.122199
-0.02947152,-0.1624143,-0.2006864,1.133347
-0.02947152,-0.1624143,-0.2006864,1.162778
-0.02947152,-0.1624143,-0.2006864,1.171986
-0.02947152,-0.1624143,-0.2006864,1.202418
-0.02947152,-0.1624143,-0.2006864,1.210447
-0.02947152,-0.1624143,-0.2006864,1.239313
-0.02947152,-0.1624143,-0.2006864,1.247828
-0.02947152,-0.1624143,-0.2006864,1.277182
-0.02947152,-0.1624143,-0.2006864,1.286945
-0.02947152,-0.1624143,-0.2006864,1.318739
-0.02947152,-0.1624143,-0.2006864,1.330261
-0.02947152,-0.1624143,-0.2006864,1.358381
-0.02947152,-0.1624143,-0.2006864,1.36632
-0.02947146,-0.1624685,-0.200684,1.393529
-0.02947146,-0.1624685,-0.200684,1.403883
-0.02977978,-0.1657657,-0.201223,1.434544
-0.02977978,-0.1657657,-0.201223,1.443135
-0.03032756,-0.1630379,-0.201153,1.471383
-0.03032756,-0.1630379,-0.201153,1.481644
