X, Y, Z, Time
-0.0212,-0.1624182,-0.207,0.02
-0.0212,-0.1624601,-0.207,0.04
-0.0212,-0.1624706,-0.207,0.14
-0.0212,-0.1624705,-0.207,0.1783532
-0.0212,-0.1624706,-0.207,0.1894911
-0.0212,-0.1624706,-0.207,0.1972601
-0.0212,-0.1624706,-0.207,0.2016963
-0.0212,-0.1624706,-0.207,0.2067866
-0.0212,-0.1624706,-0.207,0.211036
-0.0212,-0.1624706,-0.207,0.2151646
-0.0212,-0.1624706,-0.207,0.2195523
-0.0212,-0.1624705,-0.207,0.2238833
-0.0212,-0.1624705,-0.207,0.2285439
-0.0212,-0.1624705,-0.207,0.232192
-0.0212,-0.1624705,-0.207,0.2363973
-0.0212,-0.1624706,-0.207,0.2403126
-0.0212,-0.1624706,-0.207,0.2456521
-0.0212,-0.1624706,-0.207,0.2496403
-0.0212,-0.1624706,-0.207,0.2536732
-0.0212,-0.1624706,-0.207,0.2578714
-0.0212,-0.1624705,-0.207,0.2621179
-0.0212,-0.1624705,-0.207,0.2772906
-0.0212,-0.1624706,-0.207,0.2846409
-0.0212,-0.1624706,-0.207,0.2897168
-0.0212,-0.1624706,-0.207,0.293909
-0.0212,-0.1624706,-0.207,0.2980206
-0.0212,-0.1624705,-0.207,0.3021441
-0.0212,-0.1624705,-0.207,0.3070498
-0.0212,-0.1624705,-0.207,0.3114699
-0.0212,-0.1624705,-0.207,0.3161298
-0.0212,-0.1624706,-0.207,0.3204214
-0.0212,-0.1624706,-0.207,0.3252724
-0.0212,-0.1624706,-0.207,0.3292953
-0.0212,-0.1624706,-0.207,0.3331923
-0.0212,-0.1624705,-0.207,0.3807817
-0.0212,-0.1624706,-0.207,0.4654179
-0.0212,-0.1624706,-0.207,0.4939275
-0.0212,-0.1624706,-0.207,0.5219676
-0.0212,-0.1624706,-0.207,0.5357235
-0.0212,-0.1624706,-0.207,0.545043
-0.0212,-0.1624706,-0.207,0.5502771
-0.0212,-0.1624706,-0.207,0.5545917
-0.0212,-0.1624706,-0.207,0.5588832
-0.0212,-0.1624706,-0.207,0.5636491
-0.0212,-0.1624706,-0.207,0.5698338
-0.0212,-0.1624706,-0.207,0.5741379
-0.0212,-0.1624706,-0.207,0.579722
-0.0212,-0.1624706,-0.207,0.5845361
-0.0212,-0.1624706,-0.207,0.58955
-0.0212,-0.1624706,-0.207,0.5951406
-0.0212,-0.1624706,-0.207,0.5993483
-0.0212,-0.1624706,-0.207,0.6040704
-0.0212,-0.1624706,-0.207,0.6099627
-0.0212,-0.1624706,-0.207,0.6138839
-0.0212,-0.1624706,-0.207,0.6186421
-0.0212,-0.1624706,-0.207,0.6225621
-0.0212,-0.1624706,-0.207,0.6278183
-0.0212,-0.1624706,-0.207,0.6319629
-0.0212,-0.1624706,-0.207,0.6362479
-0.0212,-0.1624706,-0.207,0.640922
-0.0212,-0.1624706,-0.207,0.6457564
-0.0212,-0.1624706,-0.207,0.649462
-0.0212,-0.1624706,-0.207,0.6536537
-0.0212,-0.1624706,-0.207,0.6575673
-0.0212,-0.1624706,-0.207,0.6612808
-0.0212,-0.1624706,-0.207,0.6657541
-0.0212,-0.1624706,-0.207,0.6702873
-0.0212,-0.1624706,-0.207,0.6745563
-0.0212,-0.1624706,-0.207,0.6783819
-0.0212,-0.1624706,-0.207,0.6824822
-0.0212,-0.1624706,-0.207,0.6877729
-0.0212,-0.1624706,-0.207,0.6919079
-0.0212,-0.1624706,-0.207,0.6962678
-0.0212,-0.1624706,-0.207,0.7002361
-0.0212,-0.1624706,-0.207,0.7051443
-0.0212,-0.1624706,-0.207,0.712795
-0.0212,-0.1624706,-0.207,0.7193099
-0.0212,-0.1624706,-0.207,0.7234495
-0.0212,-0.1624706,-0.207,0.7288291
-0.0212,-0.1624706,-0.207,0.7327756
-0.0212,-0.1624706,-0.207,0.7371353
-0.0212,-0.1624706,-0.207,0.7415962
-0.0212,-0.1624706,-0.207,0.7467021
-0.0212,-0.1624706,-0.207,0.7510827
-0.0212,-0.1624706,-0.207,0.7549928
-0.0212,-0.1624706,-0.207,0.7590163
-0.0212,-0.1624706,-0.207,0.7627536
-0.0212,-0.1624706,-0.207,0.767188
-0.0212,-0.1624706,-0.207,0.7711427
-0.0212,-0.1624706,-0.207,0.775729
-0.0212,-0.1624706,-0.207,0.7798789
-0.0212,-0.1624706,-0.207,0.7837523
-0.0212,-0.1624706,-0.207,0.7885458
-0.0212,-0.1624706,-0.207,0.793256
-0.0212,-0.1624706,-0.207,0.7975959
-0.0212,-0.1624706,-0.207,0.8019311
-0.0212,-0.1624706,-0.207,0.8063247
-0.0212,-0.1624706,-0.207,0.8112526
-0.0212,-0.1624706,-0.207,0.8149196
-0.0212,-0.1624706,-0.207,0.8193509
-0.0212,-0.1624706,-0.207,0.8231638
-0.0212,-0.1624706,-0.207,0.8295538
-0.0212,-0.1624706,-0.207,0.8340369
-0.0212,-0.1624706,-0.207,0.8379416
-0.0212,-0.1624706,-0.207,0.8430026
-0.0212,-0.1624706,-0.207,0.8488107
-0.0212,-0.1624706,-0.207,0.8526126
-0.0212,-0.1624706,-0.207,0.8573996
-0.0212,-0.1624706,-0.207,0.8618481
-0.0212,-0.1624706,-0.207,0.8673739
-0.0212,-0.1624706,-0.207,0.8711944
-0.0212,-0.1624706,-0.207,0.8763554
-0.0212,-0.1624706,-0.207,0.8809152
-0.0212,-0.1624706,-0.207,0.885503
-0.0212,-0.1624706,-0.207,0.8902783
-0.0212,-0.1624706,-0.207,0.8941954
-0.0212,-0.1624706,-0.207,0.8989279
-0.0212,-0.1624706,-0.207,0.9029281
-0.0212,-0.1624706,-0.207,0.9096498
-0.0212,-0.1624706,-0.207,0.9146693
-0.0212,-0.1624706,-0.207,0.9186884
-0.0212,-0.1624706,-0.207,0.9237447
-0.0212,-0.1624706,-0.207,0.9300683
-0.0212,-0.1624706,-0.207,0.93425
-0.0212,-0.1624706,-0.207,0.9393377
-0.0212,-0.1624706,-0.207,0.9438187
-0.0212,-0.1624706,-0.207,0.9494713
-0.0212,-0.1624706,-0.207,0.9540763
-0.0212,-0.1624706,-0.207,0.9583075
-0.0212,-0.1624706,-0.207,0.9632664
-0.0212,-0.1624706,-0.207,0.9684269
-0.0212,-0.1624706,-0.207,0.972216
-0.0212,-0.1624706,-0.207,0.9773452
-0.0212,-0.1624706,-0.207,0.981432
-0.0212,-0.1624706,-0.207,0.9869454
-0.0212,-0.1624706,-0.207,0.991146
-0.0212,-0.1624706,-0.207,0.9961271
-0.0212,-0.1624706,-0.207,1.000733
-0.0212,-0.1624706,-0.207,1.004952
-0.0212,-0.1624706,-0.207,1.009985
-0.0212,-0.1624706,-0.207,1.017126
-0.0212,-0.1624706,-0.207,1.022877
-0.0212,-0.1624706,-0.207,1.030007
-0.0212,-0.1624706,-0.207,1.034838
-0.0212,-0.1624706,-0.207,1.039009
-0.0212,-0.1624706,-0.207,1.043307
-0.0212,-0.1624706,-0.207,1.048981
-0.0212,-0.1624706,-0.207,1.055453
-0.0212,-0.1624706,-0.207,1.059425
