X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0218217
-0.0212,-0.1624706,-0.207,0.0394103
-0.0212,-0.1624706,-0.207,0.0657507
-0.0212,-0.1624706,-0.207,0.0787803
-0.0212,-0.1624706,-0.207,0.1076782
-0.0212,-0.1624706,-0.207,0.1211523
-0.0212,-0.1624706,-0.207,0.1492346
-0.0212,-0.1624706,-0.207,0.1627497
-0.0212,-0.1624706,-0.207,0.188498
-0.0212,-0.1624706,-0.207,0.2060304
-0.0212,-0.1624706,-0.207,0.2317184
-0.0212,-0.1624706,-0.207,0.2446206
-0.0212,-0.1624706,-0.207,0.2698407
-0.0212,-0.1624706,-0.207,0.2864548
-0.0212,-0.1624706,-0.207,0.3142314
-0.0212,-0.1624706,-0.207,0.3264634
-0.0212,-0.1624706,-0.207,0.3520629
-0.0212,-0.1624706,-0.207,0.3686493
-0.0212,-0.1624706,-0.207,0.3946007
-0.0212,-0.1624706,-0.207,0.4078728
-0.0212,-0.1624706,-0.207,0.4336757
-0.0212,-0.1624706,-0.207,0.450615
-0.0212,-0.1624706,-0.207,0.4773694
-0.0212,-0.1624706,-0.207,0.4881312
-0.0212,-0.1624706,-0.207,0.5122339
-0.0212,-0.1624706,-0.207,0.5554392
-0.0212,-0.1624706,-0.207,0.5800005
-0.0212,-0.1624706,-0.207,0.5915149
-0.0212,-0.1624706,-0.207,0.6131336
-0.0212,-0.1624706,-0.207,0.6221163
-0.0212,-0.1624706,-0.207,0.6395828
-0.0212,-0.1624706,-0.207,0.6639107
-0.0212,-0.1624706,-0.207,0.6804553
-0.0212,-0.1624706,-0.207,0.7047381
-0.0212,-0.1624706,-0.207,0.7204975
-0.0212,-0.1624706,-0.207,0.7453985
-0.0212,-0.1624706,-0.207,0.763499
-0.0212,-0.1624706,-0.207,0.7863615
-0.0212,-0.1624706,-0.207,0.8004007
-0.0212,-0.1624706,-0.207,0.8327447
-0.0212,-0.1624706,-0.207,0.843792
-0.0212,-0.1624706,-0.207,0.8668422
-0.0212,-0.1624706,-0.207,0.8833383
-0.0212,-0.1624706,-0.207,0.9061812
-0.0212,-0.1624706,-0.207,0.9445223
-0.0212,-0.1624706,-0.207,0.9710569
-0.0212,-0.1624706,-0.207,0.9823224
-0.0212,-0.1624706,-0.207,1.005786
-0.0212,-0.1624706,-0.207,1.014866
-0.0212,-0.1624706,-0.207,1.031244
-0.0212,-0.1624706,-0.207,1.055294
-0.0212,-0.1624706,-0.207,1.072133
-0.0212,-0.1624706,-0.207,1.096849
-0.0212,-0.1624706,-0.207,1.112754
-0.0212,-0.1624706,-0.207,1.135972
-0.0212,-0.1624706,-0.207,1.152187
-0.0212,-0.1624706,-0.207,1.176935
-0.0212,-0.1624706,-0.207,1.193822
-0.0212,-0.1624706,-0.207,1.219384
-0.0212,-0.1624706,-0.207,1.237584
-0.0212,-0.1624706,-0.207,1.260902
-0.0212,-0.1624706,-0.207,1.278261
-0.0212,-0.1624706,-0.207,1.301608
-0.02118305,-0.1625147,-0.2070473,1.320858
-0.02117503,-0.1623187,-0.2070454,1.346734
-0.02116678,-0.162131,-0.2070797,1.360123
-0.02067802,-0.1626348,-0.2070973,1.385239
-0.0228809,-0.1618032,-0.2081606,1.420979
-0.02466421,-0.1618849,-0.2086324,1.450196
