X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0242554
-0.0212,-0.1624706,-0.207,0.0500111
-0.0212,-0.1624706,-0.207,0.0611696
-0.0212,-0.1624706,-0.207,0.0841049
-0.0212,-0.1624706,-0.207,0.09363429
-0.0212,-0.1624706,-0.207,0.102864
-0.0212,-0.1624706,-0.207,0.1244523
-0.0212,-0.1624706,-0.207,0.135835
-0.0212,-0.1624706,-0.207,0.1499112
-0.0212,-0.1624706,-0.207,0.1717751
-0.0212,-0.1624706,-0.207,0.1829316
-0.0212,-0.1624706,-0.207,0.2045357
-0.0212,-0.1624706,-0.207,0.2169859
-0.0212,-0.1624706,-0.207,0.2402148
-0.0212,-0.1624706,-0.207,0.2485801
-0.0212,-0.1624706,-0.207,0.2629639
-0.0212,-0.1624706,-0.207,0.2873764
-0.0212,-0.1624706,-0.207,0.2969118
-0.0212,-0.1624706,-0.207,0.3194401
-0.0212,-0.1624706,-0.207,0.3308861
-0.0212,-0.1624706,-0.207,0.3522816
-0.0212,-0.1624706,-0.207,0.3685707
-0.0212,-0.1624706,-0.207,0.3918158
-0.0212,-0.1624706,-0.207,0.4013445
-0.0212,-0.1624706,-0.207,0.4133966
-0.0212,-0.1624706,-0.207,0.4366873
-0.0212,-0.1624706,-0.207,0.4489337
-0.0212,-0.1624706,-0.207,0.46951
-0.0212,-0.1624706,-0.207,0.480747
-0.0212,-0.1624706,-0.207,0.496873
-0.0212,-0.1624706,-0.207,0.5275612
-0.0212,-0.1624706,-0.207,0.5389078
-0.0212,-0.1624706,-0.207,0.5621853
-0.0212,-0.1624706,-0.207,0.5718831
-0.0212,-0.1624706,-0.207,0.5953839
-0.0212,-0.1624706,-0.207,0.6039689
-0.0212,-0.1624706,-0.207,0.6141655
-0.0212,-0.1624706,-0.207,0.638431
-0.0212,-0.1624706,-0.207,0.6478937
-0.0212,-0.1624706,-0.207,0.6707882
-0.0212,-0.1624706,-0.207,0.6815962
-0.0212,-0.1624706,-0.207,0.7020111
-0.0212,-0.1624706,-0.207,0.714268
-0.0212,-0.1624706,-0.207,0.7286081
-0.0212,-0.1624706,-0.207,0.7553977
-0.0212,-0.1624706,-0.207,0.7651857
-0.0212,-0.1624706,-0.207,0.7854407
-0.0212,-0.1624706,-0.207,0.7938132
-0.0212,-0.1624706,-0.207,0.8094727
-0.0212,-0.1624706,-0.207,0.8314587
-0.0212,-0.1624706,-0.207,0.8411169
-0.0212,-0.1624706,-0.207,0.8569608
-0.0212,-0.1624706,-0.207,0.8801357
-0.0212,-0.1624706,-0.207,0.8882636
-0.0212,-0.1624706,-0.207,0.9059666
-0.0212,-0.1624706,-0.207,0.9278119
-0.0212,-0.1624706,-0.207,0.9408956
-0.0212,-0.1624706,-0.207,0.9641513
-0.0212,-0.1624706,-0.207,0.9733159
-0.0212,-0.1624706,-0.207,0.9881667
-0.0212,-0.1624706,-0.207,1.009737
-0.0212,-0.1624706,-0.207,1.023129
-0.0212,-0.1624706,-0.207,1.04423
-0.0212,-0.1624706,-0.207,1.05791
-0.0212,-0.1624706,-0.207,1.08161
-0.0212,-0.1624706,-0.207,1.09031
-0.0212,-0.1624706,-0.207,1.104269
-0.0212,-0.1624706,-0.207,1.12899
-0.0212,-0.1624706,-0.207,1.138375
-0.0212,-0.1624706,-0.207,1.162198
-0.0212,-0.1624706,-0.207,1.171114
-0.0212,-0.1624706,-0.207,1.186249
-0.0212,-0.1624706,-0.207,1.208652
-0.0212,-0.1624706,-0.207,1.236216
-0.0212,-0.1624706,-0.207,1.261537
-0.0212,-0.1624706,-0.207,1.270904
-0.0212,-0.1624706,-0.207,1.30156
-0.0212,-0.1624706,-0.207,1.315501
-0.0212,-0.1624706,-0.207,1.347815
-0.0212,-0.1624706,-0.207,1.35956
-0.0212,-0.1624706,-0.207,1.384117
-0.0212,-0.1624706,-0.207,1.393245
-0.0212,-0.1624706,-0.207,1.414822
-0.0212,-0.1624706,-0.207,1.423816
-0.0212,-0.1624706,-0.207,1.434457
-0.0212,-0.1624706,-0.207,1.456592
-0.0212,-0.1624706,-0.207,1.469182
-0.0212,-0.1624706,-0.207,1.491491
-0.0212,-0.1624706,-0.207,1.501911
-0.0212,-0.1624706,-0.207,1.518263
-0.0212,-0.1624706,-0.207,1.541259
-0.0212,-0.1624706,-0.207,1.552667
-0.0212,-0.1624706,-0.207,1.575645
-0.0212,-0.1624706,-0.207,1.585085
-0.0212,-0.1624706,-0.207,1.601168
-0.0212,-0.1624706,-0.207,1.624348
-0.0212,-0.1624706,-0.207,1.634541
-0.0212,-0.1624706,-0.207,1.656297
-0.0212,-0.1624706,-0.207,1.670015
-0.0212,-0.1624706,-0.207,1.692434
-0.0212,-0.1624706,-0.207,1.700538
-0.0212,-0.1624706,-0.207,1.713794
-0.0212,-0.1624706,-0.207,1.736527
-0.0212,-0.1624706,-0.207,1.750076
-0.0212,-0.1624706,-0.207,1.772624
-0.0212,-0.1624706,-0.207,1.781591
-0.0212,-0.1624706,-0.207,1.823723
