X, Y, Z, Time
-0.02118497,-0.1623914,-0.2070327,0.021211
-0.02118565,-0.1627039,-0.2073295,0.034178
-0.02118565,-0.1627039,-0.2073295,0.0461584
-0.02117671,-0.1632832,-0.2073899,0.0597333
-0.02088715,-0.1623702,-0.2072744,0.0738209
-0.02088715,-0.1623702,-0.2072744,0.0892442
-0.01993712,-0.1742387,-0.2087314,0.1052395
-0.02045246,-0.1646134,-0.2088859,0.1173576
-0.02049651,-0.1625662,-0.209536,0.1332207
-0.02049651,-0.1625662,-0.209536,0.1478249
-0.02040226,-0.1655669,-0.209871,0.1640466
-0.02071036,-0.1626262,-0.2093779,0.1773354
-0.02057147,-0.1690442,-0.2100664,0.1951845
-0.02140724,-0.1608258,-0.2117407,0.2111285
-0.02140724,-0.1608258,-0.2117407,0.2275637
-0.01777562,-0.1837041,-0.2108513,0.2389929
-0.01891134,-0.1668718,-0.2122755,0.2544179
-0.01891134,-0.1668718,-0.2122755,0.269364
-0.01906994,-0.1601437,-0.2130554,0.2837907
-0.02001707,-0.170829,-0.2134911,0.30133
-0.020267,-0.1635993,-0.2138181,0.3161265
-0.020267,-0.1635993,-0.2138181,0.3296092
-0.02028406,-0.162404,-0.2141004,0.3437834
-0.01993067,-0.1703633,-0.2145168,0.3606546
-0.01983351,-0.1634249,-0.2146105,0.3757701
-0.01960882,-0.1624565,-0.2147185,0.3906062
-0.01960882,-0.1624565,-0.2147185,0.4080608
-0.01914236,-0.1690216,-0.2150863,0.421993
-0.01912112,-0.1618879,-0.215304,0.4378194
-0.0190666,-0.1602643,-0.2156663,0.4547115
-0.0190666,-0.1602643,-0.2156663,0.4684745
-0.01889766,-0.1685086,-0.2161012,0.4848107
-0.01897809,-0.1632835,-0.2162804,0.5002806
-0.0194394,-0.1620667,-0.2163801,0.5157461
-0.01961234,-0.1619841,-0.2165479,0.5320702
-0.01961234,-0.1619841,-0.2165479,0.5454754
-0.01951062,-0.162123,-0.216535,0.5593728
-0.01944384,-0.1626305,-0.2164645,0.5735667
-0.01944384,-0.1626305,-0.2164645,0.5892134
-0.01942675,-0.162741,-0.2162965,0.6066228
-0.02020436,-0.16293,-0.2168287,0.6187505
-0.0200107,-0.1594312,-0.2166528,0.6343338
-0.03447871,-0.1745211,-0.221117,0.650792
-0.03447871,-0.1745211,-0.221117,0.6642519
-0.03370234,-0.1625165,-0.2209129,0.6796727
-0.03381803,-0.1603196,-0.2207654,0.6939212
-0.03416247,-0.1592696,-0.2208948,0.7114455
-0.03416247,-0.1592696,-0.2208948,0.7258189
-0.03449723,-0.15782,-0.2209233,0.739081
-0.03465815,-0.1572736,-0.2208529,0.7552436
-0.03456416,-0.1567794,-0.2208967,0.7714063
