X, Y, Z, Time
-0.0212107,-0.1624852,-0.2070232,0.0153215
-0.02124007,-0.1625154,-0.2071841,0.0283926
-0.02129766,-0.1629848,-0.2072773,0.0509411
-0.02155338,-0.1616909,-0.2071157,0.06655131
-0.02155338,-0.1616909,-0.2071157,0.0761743
-0.02178359,-0.1721372,-0.2073725,0.0911051
-0.02217628,-0.1651583,-0.2073413,0.1055575
-0.02217628,-0.1651583,-0.2073413,0.1209996
-0.02358516,-0.1601506,-0.2084664,0.1351772
-0.02388095,-0.1781754,-0.2086328,0.1505279
-0.02416443,-0.1635848,-0.2093769,0.1671522
-0.02416443,-0.1635848,-0.2093769,0.1810016
-0.02373112,-0.1750796,-0.2093008,0.1956994
-0.02439005,-0.1632526,-0.209612,0.2106676
-0.02439005,-0.1632526,-0.209612,0.2241876
-0.02425381,-0.1742959,-0.2106989,0.2394257
-0.02387572,-0.1632849,-0.2100172,0.2535413
-0.02370089,-0.1775207,-0.2077713,0.2678371
-0.02536797,-0.167371,-0.2090668,0.2851221
-0.02536797,-0.167371,-0.2090668,0.2971545
-0.02576751,-0.162785,-0.2101703,0.3101444
-0.02414796,-0.1774017,-0.2135941,0.3279325
-0.02414796,-0.1774017,-0.2135941,0.3424392
-0.02360926,-0.1588615,-0.2148381,0.3569391
-0.01718281,-0.1874947,-0.211204,0.3738334
-0.0171848,-0.1667248,-0.2118451,0.3870622
-0.0171848,-0.1667248,-0.2118451,0.4018817
-0.01562524,-0.158629,-0.2114936,0.4148319
-0.01045555,-0.1875803,-0.2131091,0.4285909
-0.01081244,-0.165878,-0.2138008,0.4474021
-0.01081244,-0.165878,-0.2138008,0.4596734
-0.01076004,-0.1630452,-0.2142314,0.4736291
-0.01206681,-0.1617684,-0.2138119,0.4880125
-0.01206681,-0.1617684,-0.2138119,0.5031284
-0.01118426,-0.1605524,-0.2138716,0.5204426
-0.010481,-0.1801046,-0.2128712,0.5359297
-0.009015232,-0.1650199,-0.2138272,0.5539973
-0.006976957,-0.1701754,-0.21379,0.565907
-0.006976957,-0.1701754,-0.21379,0.5793765
-0.005851256,-0.1598122,-0.2112531,0.5919105
-0.005492167,-0.1843006,-0.2091237,0.6068624
-0.005492167,-0.1843006,-0.2091237,0.6233204
-0.005512568,-0.165923,-0.2098244,0.6366328
-0.004797605,-0.1633002,-0.2105637,0.6522192
-0.00630203,-0.1762141,-0.2095166,0.6698244
-0.00630203,-0.1762141,-0.2095166,0.684298
-0.007226667,-0.1652882,-0.2106116,0.699152
-0.008137837,-0.161231,-0.2098082,0.7171276
-0.008010681,-0.1769678,-0.2075841,0.7310618
-0.00813459,-0.1651681,-0.2074329,0.7481917
-0.00813459,-0.1651681,-0.2074329,0.7613698
-0.009962876,-0.1660878,-0.2056055,0.775126
-0.0107658,-0.1671948,-0.2051304,0.7925053
-0.01202913,-0.1670644,-0.2049498,0.8074023
-0.01202913,-0.1670644,-0.2049498,0.822304
-0.01312913,-0.1617175,-0.2051011,0.8386826
-0.0131089,-0.1614742,-0.2055203,0.8524434
-0.01314746,-0.1611207,-0.2056282,0.8672819
-0.01314746,-0.1611207,-0.2056282,0.8830909
-0.01280563,-0.1603891,-0.2057509,0.8997274
-0.01262775,-0.1598788,-0.2058293,0.9117614
-0.01250478,-0.1595658,-0.2059693,0.927056
-0.01250478,-0.1595658,-0.2059693,0.9436317
-0.0124159,-0.1588944,-0.2061212,0.9561458
-0.01268287,-0.1584072,-0.2064502,0.9714208
-0.01270155,-0.1580757,-0.2065022,0.986694
-0.01270155,-0.1580757,-0.2065022,1.003993
-0.0132997,-0.1583891,-0.2067342,1.018558
-0.01333817,-0.1580724,-0.2066944,1.032996
-0.01332445,-0.1583847,-0.20676,1.050048
-0.01332445,-0.1583847,-0.20676,1.06419
-0.01343719,-0.158088,-0.2066677,1.076017
-0.01342894,-0.1585048,-0.2065589,1.094029
-0.01340761,-0.1582512,-0.2065798,1.107107
-0.01340761,-0.1582512,-0.2065798,1.120433
-0.01545388,-0.1590504,-0.2048531,1.13587
-0.01596817,-0.1584367,-0.204808,1.152519
-0.01593973,-0.1581727,-0.2051816,1.167574
-0.01593973,-0.1581727,-0.2051816,1.182292
-0.01758832,-0.1582029,-0.2047017,1.198997
-0.0188025,-0.158079,-0.2043483,1.21063
-0.0203181,-0.1580057,-0.2035568,1.226561
-0.0203181,-0.1580057,-0.2035568,1.239876
-0.02534889,-0.157599,-0.1994503,1.256199
-0.02861423,-0.1569598,-0.1976397,1.270228
-0.03016871,-0.1561876,-0.1975434,1.284768
-0.03016871,-0.1561876,-0.1975434,1.301329
-0.03183191,-0.1534046,-0.1975331,1.316451
-0.03258121,-0.1519126,-0.1972153,1.331786
-0.03314435,-0.1508258,-0.196761,1.347855
-0.03314435,-0.1508258,-0.196761,1.359921
-0.03408754,-0.1497945,-0.1956848,1.375519
-0.03492978,-0.1492509,-0.1953254,1.388915
-0.03592058,-0.1492376,-0.1944853,1.405058
-0.03592058,-0.1492376,-0.1944853,1.419968
-0.03759237,-0.1489714,-0.19299,1.434456
-0.03897586,-0.1490918,-0.1920466,1.451306
-0.04026878,-0.1494164,-0.1912351,1.464912
-0.04026878,-0.1494164,-0.1912351,1.47848
-0.04314652,-0.1502583,-0.189176,1.49482
-0.04464893,-0.1508037,-0.1879171,1.510238
-0.04600437,-0.1511476,-0.1868431,1.525559
-0.04600437,-0.1511476,-0.1868431,1.541382
-0.04868012,-0.151478,-0.1851619,1.554878
-0.05004421,-0.1513862,-0.1841316,1.568937
-0.05004421,-0.1513862,-0.1841316,1.584564
-0.05256427,-0.1502099,-0.1824068,1.601336
-0.05348666,-0.1493481,-0.1815959,1.615893
-0.05422227,-0.148471,-0.1807356,1.630973
-0.0549804,-0.1475074,-0.1798646,1.645608
-0.0549804,-0.1475074,-0.1798646,1.659077
-0.05605266,-0.1456265,-0.1784823,1.674533
-0.05662528,-0.1437632,-0.1776816,1.692102
-0.0568776,-0.141768,-0.1773729,1.706898
-0.0568776,-0.141768,-0.1773729,1.723095
-0.05757691,-0.1385205,-0.1768387,1.735983
-0.05781016,-0.1368093,-0.1767416,1.750825
-0.0572226,-0.1350943,-0.1765767,1.765291
-0.0572226,-0.1350943,-0.1765767,1.776598
-0.05667577,-0.1315531,-0.1766748,1.791786
-0.05667615,-0.1292243,-0.1770511,1.806249
-0.05667615,-0.1292243,-0.1770511,1.822764
-0.05775169,-0.1261377,-0.1776436,1.836608
-0.05860612,-0.12476,-0.1774779,1.851873
-0.05890317,-0.1233254,-0.1772759,1.869429
-0.05890317,-0.1233254,-0.1772759,1.883419
-0.0592732,-0.121394,-0.176479,1.897745
-0.05943743,-0.1200247,-0.1760973,1.915763
-0.05949644,-0.1191373,-0.1757715,1.927712
-0.05949644,-0.1191373,-0.1757715,1.944507
-0.05994442,-0.1166223,-0.1754797,1.959104
-0.06000633,-0.1150961,-0.1754075,1.974113
-0.06027057,-0.1135945,-0.1752061,1.991828
-0.06027057,-0.1135945,-0.1752061,2.004397
-0.06053482,-0.1111016,-0.174974,2.017349
-0.0607974,-0.1092283,-0.1748968,2.033476
-0.06119986,-0.1075339,-0.1742359,2.049343
-0.06119986,-0.1075339,-0.1742359,2.060839
-0.06156559,-0.1039987,-0.1729567,2.076014
-0.06211972,-0.1009515,-0.1725347,2.093354
-0.06295461,-0.09836459,-0.1724509,2.105826
-0.06295461,-0.09836459,-0.1724509,2.11925
-0.0651441,-0.09337429,-0.1718232,2.134849
