X, Y, Z, Time
-0.02119937,-0.1623787,-0.2071207,0.0232419
-0.02119937,-0.1623787,-0.2071207,0.0416507
-0.02113105,-0.1624333,-0.2069319,0.0654234
-0.02120157,-0.162174,-0.2069649,0.0900073
-0.02120157,-0.162174,-0.2069649,0.0993459
-0.01747443,-0.16147,-0.2059202,0.1227719
-0.01747443,-0.16147,-0.2059202,0.1330509
-0.01688255,-0.1624234,-0.2057077,0.1562713
-0.01671055,-0.1621346,-0.2057982,0.1737604
-0.01739752,-0.1641974,-0.2056988,0.2047852
-0.01739752,-0.1641974,-0.2056988,0.2158635
-0.01742313,-0.1627319,-0.2065338,0.2383997
-0.01771904,-0.1637122,-0.2071873,0.2490714
-0.01728777,-0.160165,-0.2072436,0.2740494
-0.01734641,-0.1706459,-0.2077913,0.2943789
-0.01715376,-0.1639131,-0.208373,0.3188615
-0.01754032,-0.1603805,-0.2081838,0.3333412
-0.01802949,-0.1630899,-0.2087953,0.3583114
-0.01734686,-0.1603629,-0.20855,0.3776706
-0.01800865,-0.1628588,-0.2095618,0.4001057
-0.01800865,-0.1628588,-0.2095618,0.4174007
-0.01793481,-0.1622983,-0.2092016,0.4391451
-0.01769909,-0.1621359,-0.2093941,0.4582222
-0.01801847,-0.1618716,-0.2092608,0.4915323
-0.01763408,-0.1628655,-0.2091898,0.5039642
-0.01799742,-0.1614603,-0.2090859,0.5332778
-0.01795612,-0.1635656,-0.2094401,0.5443357
-0.01812673,-0.1627527,-0.2092016,0.5684916
-0.01782747,-0.163068,-0.2090648,0.5853995
-0.01802977,-0.1617964,-0.2090583,0.6120762
-0.01765527,-0.1636383,-0.2092598,0.6251057
-0.01767297,-0.162929,-0.2090479,0.6518438
-0.01768713,-0.1610093,-0.2089601,0.6868988
-0.01772086,-0.1641374,-0.2092059,0.7112948
-0.0175582,-0.162491,-0.2088091,0.7209295
-0.0174599,-0.1630829,-0.2090019,0.7456643
-0.01783377,-0.1627193,-0.2088028,0.7597312
-0.0176735,-0.1636463,-0.2090607,0.7839401
-0.0176735,-0.1636463,-0.2090607,0.7930693
-0.01774914,-0.1621129,-0.2084552,0.8191604
-0.01746441,-0.1641502,-0.208663,0.8359808
-0.01781279,-0.1619199,-0.2089069,0.863001
-0.01764339,-0.1623369,-0.2087529,0.8806947
-0.01783842,-0.1612342,-0.2088323,0.9048976
-0.01763718,-0.1635781,-0.2088621,0.9232383
-0.01774025,-0.1614049,-0.2090032,0.9468484
-0.0178171,-0.1610976,-0.2089232,0.960157
-0.01810799,-0.1633347,-0.2092738,0.9832793
-0.01810799,-0.1633347,-0.2092738,0.9939179
-0.01737034,-0.1647143,-0.2091259,1.020281
-0.01785069,-0.1618507,-0.2090356,1.039723
-0.01764654,-0.1620826,-0.2090266,1.067365
-0.01764869,-0.1616653,-0.2091582,1.082763
-0.0175726,-0.1658409,-0.2094902,1.10763
-0.01795285,-0.1636663,-0.2092004,1.126844
-0.01793016,-0.1620622,-0.2091175,1.150813
-0.0177305,-0.1654208,-0.2093618,1.165982
-0.01804731,-0.1627868,-0.2093947,1.190656
-0.01829485,-0.1615585,-0.2091201,1.210217
-0.01792587,-0.1622741,-0.2094931,1.234623
-0.01763634,-0.1613229,-0.2091539,1.243635
-0.01814275,-0.1603824,-0.211024,1.276226
-0.01768988,-0.1596434,-0.209187,1.28861
-0.01771016,-0.1589776,-0.2093086,1.315757
-0.02198737,-0.1612896,-0.2168609,1.326421
-0.02195864,-0.1587897,-0.216994,1.35402
-0.02196582,-0.1581926,-0.2170019,1.364086
-0.02197533,-0.1576895,-0.2169932,1.394339
-0.0219713,-0.1573785,-0.2169488,1.408795
-0.02200908,-0.156947,-0.2169292,1.449289
-0.02204064,-0.1568512,-0.216953,1.47478
-0.02205105,-0.1568327,-0.2169589,1.48437
-0.02212095,-0.1569129,-0.2169912,1.50891
-0.02209804,-0.1568992,-0.2169561,1.527407
-0.02208258,-0.1569139,-0.2169273,1.550666
-0.02206304,-0.1569218,-0.2169321,1.564012
-0.02206861,-0.1569742,-0.2169195,1.587873
-0.02207227,-0.1567143,-0.216849,1.609374
-0.02207678,-0.1562951,-0.216833,1.632903
-0.02212304,-0.1561767,-0.216803,1.643222
-0.02268553,-0.1557773,-0.2172938,1.670174
-0.02392696,-0.1552652,-0.217409,1.688162
-0.02430947,-0.1543725,-0.2176539,1.711915
-0.02428492,-0.1540333,-0.2176371,1.730687
-0.02430186,-0.153708,-0.2176005,1.755087
-0.0241494,-0.1534164,-0.2170479,1.774699
-0.02404527,-0.1526147,-0.2167012,1.798294
-0.0241353,-0.1522219,-0.2164631,1.81246
-0.02399302,-0.1513865,-0.2159914,1.836166
-0.02381187,-0.1509301,-0.2153146,1.851199
-0.02363478,-0.1494521,-0.2146645,1.875026
-0.02327695,-0.1477757,-0.2142062,1.891428
-0.0224764,-0.1448542,-0.2128885,1.919814
-0.0224764,-0.1448542,-0.2128885,1.936846
-0.02254538,-0.1417189,-0.211674,1.962819
-0.02290392,-0.1409641,-0.2117204,1.980548
-0.02353298,-0.1404073,-0.2121282,2.003078
-0.02353298,-0.1404073,-0.2121282,2.018729
-0.02453692,-0.1396971,-0.212238,2.04597
-0.02453692,-0.1396971,-0.212238,2.058555
-0.02543936,-0.1392522,-0.2116401,2.085473
-0.02604546,-0.1390477,-0.2116933,2.102307
-0.02734518,-0.1390448,-0.2113072,2.135402
-0.02789932,-0.1389664,-0.2111353,2.146815
-0.02860101,-0.1385986,-0.210604,2.170744
-0.02929929,-0.1382265,-0.210095,2.187851
-0.02992461,-0.1369082,-0.2095328,2.210538
-0.03002108,-0.1357413,-0.2088503,2.228892
-0.03046143,-0.1347066,-0.2083515,2.252661
-0.03084398,-0.1340078,-0.2081135,2.268266
-0.03137682,-0.1325518,-0.2077433,2.291799
-0.03151907,-0.131269,-0.2072935,2.308429
-0.03238867,-0.1298702,-0.2068693,2.3364
-0.03266255,-0.1294137,-0.2065083,2.346866
-0.0332688,-0.1283897,-0.2056995,2.376625
-0.0340143,-0.127729,-0.2053734,2.393767
-0.03534275,-0.1271791,-0.205275,2.421963
