X, Y, Z, Time
-0.02120574,-0.1624864,-0.2070064,0.0151905
-0.02113116,-0.1625277,-0.2078992,0.0323902
-0.02110283,-0.1623068,-0.2079659,0.0473129
-0.02114442,-0.1620125,-0.2079789,0.0645139
-0.02114442,-0.1620125,-0.2079789,0.0777414
-0.02145976,-0.1632533,-0.2083945,0.0913238
-0.0214917,-0.1619604,-0.2082652,0.1028731
-0.0214917,-0.1619604,-0.2082652,0.1188092
-0.02158547,-0.1625444,-0.2083167,0.1328226
-0.02180205,-0.1639206,-0.2087981,0.1531538
-0.02199805,-0.1629671,-0.2077696,0.1704548
-0.02199805,-0.1629671,-0.2077696,0.1822168
-0.02161615,-0.1629767,-0.2088991,0.1959687
-0.02128616,-0.1613192,-0.2089504,0.2101105
-0.0214794,-0.1567106,-0.2084192,0.2237651
-0.0214794,-0.1567106,-0.2084192,0.2405049
-0.01625378,-0.1812623,-0.2074928,0.2515933
-0.01763015,-0.1656816,-0.206637,0.2676375
-0.01763015,-0.1656816,-0.206637,0.2807181
-0.01916227,-0.1811225,-0.2073777,0.3124603
-0.01786099,-0.1614183,-0.2049972,0.323981
-0.01786099,-0.1614183,-0.2049972,0.3332282
-0.01786099,-0.1614183,-0.2049972,0.3420054
-0.01760233,-0.1678268,-0.2043512,0.3544749
-0.01801318,-0.1644765,-0.2049308,0.369429
-0.01760949,-0.1609344,-0.2047706,0.3845226
-0.01760949,-0.1609344,-0.2047706,0.3991345
-0.01711861,-0.1738373,-0.204737,0.4147521
-0.01743208,-0.165273,-0.2056167,0.4301986
-0.01712034,-0.1629083,-0.2064543,0.4443343
-0.01746956,-0.163179,-0.2063372,0.4753543
-0.01750058,-0.1617057,-0.2062403,0.4861743
-0.01750058,-0.1617057,-0.2062403,0.4956444
-0.0174573,-0.1625989,-0.2062493,0.5026259
-0.0174573,-0.1625989,-0.2062493,0.51864
-0.0166902,-0.1699665,-0.2068888,0.5329685
-0.01723214,-0.1621983,-0.207091,0.5487245
-0.01693893,-0.1629139,-0.207585,0.5645807
-0.01693893,-0.1629139,-0.207585,0.5784909
-0.01719904,-0.1620961,-0.2074766,0.5913415
-0.01737433,-0.1611358,-0.2072578,0.6083203
-0.01743716,-0.1597704,-0.2070938,0.6233146
-0.01743716,-0.1597704,-0.2070938,0.6360995
-0.01751531,-0.1728062,-0.2075144,0.6513683
-0.01789567,-0.162455,-0.2066383,0.6662682
-0.01787433,-0.1606599,-0.2065901,0.6827765
-0.01787433,-0.1606599,-0.2065901,0.6965277
-0.01745172,-0.1627692,-0.2063404,0.7113461
-0.01714426,-0.162987,-0.2062032,0.7281103
-0.01721085,-0.1630406,-0.206208,0.7429383
-0.01721085,-0.1630406,-0.206208,0.7584532
-0.0171348,-0.163038,-0.2062237,0.7738606
-0.01755217,-0.1563971,-0.206565,0.7857522
-0.01755217,-0.1563971,-0.206565,0.8013455
-0.01995634,-0.1692184,-0.2032468,0.8177612
-0.01914126,-0.1595441,-0.2042776,0.8314775
-0.01922707,-0.1638031,-0.205612,0.8511685
-0.01922707,-0.1638031,-0.205612,0.8603253
-0.01912093,-0.1605766,-0.2052688,0.8730418
-0.0195346,-0.1620156,-0.2057691,0.886281
-0.0195346,-0.1620156,-0.2057691,0.9012129
-0.01927479,-0.1601311,-0.2053227,0.9175985
-0.0195825,-0.1613095,-0.2057289,0.9318054
-0.01922805,-0.1592615,-0.2053027,0.946499
-0.01971777,-0.1597828,-0.2057676,0.9628385
-0.01971777,-0.1597828,-0.2057676,0.9787461
-0.01930814,-0.1559227,-0.2049927,0.9930944
-0.01931725,-0.1577421,-0.2056074,1.010536
-0.01972777,-0.1549599,-0.2052682,1.024764
-0.01972777,-0.1549599,-0.2052682,1.039899
-0.0189854,-0.1565627,-0.205615,1.054996
-0.02005289,-0.1570191,-0.2052352,1.070151
-0.02047695,-0.1563026,-0.2058331,1.087107
-0.02047695,-0.1563026,-0.2058331,1.101318
-0.02048736,-0.1533795,-0.2054856,1.11467
-0.02038384,-0.1529527,-0.2052325,1.129053
-0.02037865,-0.1546999,-0.2056611,1.14649
-0.02037865,-0.1546999,-0.2056611,1.159679
-0.02146022,-0.1528639,-0.2051369,1.175886
-0.02107173,-0.1522077,-0.2075851,1.192496
-0.02360819,-0.1500918,-0.2067244,1.221246
-0.02373822,-0.1524136,-0.2071111,1.231314
-0.02373822,-0.1524136,-0.2071111,1.240094
-0.0239754,-0.1509728,-0.2056048,1.25103
-0.02408223,-0.1514376,-0.2068147,1.269232
-0.02432638,-0.1500337,-0.2053495,1.282591
-0.02432638,-0.1500337,-0.2053495,1.297639
-0.02470206,-0.1502589,-0.2065604,1.313779
-0.02506,-0.1489451,-0.2050287,1.328644
-0.0414767,-0.1644374,-0.2067007,1.343464
-0.0414767,-0.1644374,-0.2067007,1.360282
-0.04094653,-0.1496773,-0.2073152,1.374361
-0.04089285,-0.146825,-0.2074861,1.389962
-0.04070602,-0.1463989,-0.2076205,1.403465
-0.04070602,-0.1463989,-0.2076205,1.417705
-0.04111107,-0.1462872,-0.2071033,1.433094
-0.04086727,-0.1458611,-0.2070849,1.446763
-0.04089049,-0.145379,-0.2068809,1.463132
-0.04089049,-0.145379,-0.2068809,1.477314
-0.04068659,-0.1445695,-0.2066561,1.490457
-0.04053847,-0.1439126,-0.2065662,1.503433
-0.0402627,-0.1425155,-0.206336,1.536226
-0.03997558,-0.1420829,-0.2058843,1.544806
-0.03997558,-0.1420829,-0.2058843,1.554671
-0.03974801,-0.140952,-0.2057937,1.567405
-0.03943717,-0.1402336,-0.2057705,1.582709
-0.03943717,-0.1402336,-0.2057705,1.600144
-0.03914292,-0.1391677,-0.2057281,1.612418
-0.03825167,-0.138947,-0.2052228,1.62797
-0.03484509,-0.1395207,-0.201044,1.645567
-0.03484509,-0.1395207,-0.201044,1.661001
-0.03147921,-0.1385352,-0.1996906,1.674812
-0.03101511,-0.1373866,-0.1996412,1.691166
-0.03078038,-0.1366029,-0.1996339,1.703094
-0.03078038,-0.1366029,-0.1996339,1.718585
-0.03010516,-0.1346232,-0.1991337,1.73532
-0.02961751,-0.1335562,-0.1989689,1.748922
-0.02931395,-0.1327615,-0.1989891,1.764515
-0.02931395,-0.1327615,-0.1989891,1.782372
-0.02908477,-0.1322962,-0.1982307,1.793306
-0.02841753,-0.1317921,-0.1974043,1.807589
-0.02841753,-0.1317921,-0.1974043,1.819485
-0.0271823,-0.1298771,-0.1963141,1.834817
-0.02641147,-0.12875,-0.1957272,1.849274
-0.02549079,-0.127551,-0.1947459,1.865083
-0.02549079,-0.127551,-0.1947459,1.879879
-0.02307088,-0.125123,-0.192113,1.894424
-0.02152157,-0.1229841,-0.1907354,1.912118
-0.02044855,-0.1217873,-0.1896995,1.92739
-0.01928343,-0.1205424,-0.1887327,1.943943
-0.01928343,-0.1205424,-0.1887327,1.958242
-0.01717906,-0.1188331,-0.1869266,1.972414
-0.01619357,-0.1176376,-0.1860332,1.986872
-0.01619357,-0.1176376,-0.1860332,2.000045
-0.01479857,-0.1158033,-0.1850821,2.014919
-0.01394396,-0.1150505,-0.1842187,2.029542
-0.01285837,-0.1138813,-0.1823105,2.052761
-0.01285837,-0.1138813,-0.1823105,2.062012
-0.01165098,-0.1120871,-0.1804837,2.075475
-0.0110578,-0.110723,-0.1792647,2.092525
-0.01039666,-0.1098255,-0.1781628,2.103413
-0.01039666,-0.1098255,-0.1781628,2.118846
-0.009123668,-0.1064352,-0.1760087,2.135892
-0.008826995,-0.1042321,-0.1755354,2.149595
-0.008713841,-0.1023093,-0.1753156,2.162575
-0.008713841,-0.1023093,-0.1753156,2.178416
-0.007880759,-0.09879489,-0.1741921,2.1948
-0.007216481,-0.09701229,-0.1732166,2.209732
-0.006916536,-0.09561554,-0.1725089,2.224682
-0.006916536,-0.09561554,-0.1725089,2.24152
-0.006212255,-0.09327948,-0.1718817,2.252663
-0.005927388,-0.09214769,-0.171511,2.268904
-0.005688947,-0.09128469,-0.1710103,2.285002
-0.005688947,-0.09128469,-0.1710103,2.299419
-0.005036165,-0.08929633,-0.1703617,2.313648
-0.004822284,-0.08787249,-0.1703526,2.331451
-0.005151263,-0.08704048,-0.1706441,2.347338
-0.005317811,-0.08632655,-0.1707137,2.362709
-0.005317811,-0.08632655,-0.1707137,2.376798
-0.00568782,-0.08470384,-0.1704315,2.391969
-0.005729124,-0.08355867,-0.1700661,2.408637
-0.005729124,-0.08355867,-0.1700661,2.42074
-0.006302516,-0.08066203,-0.1700154,2.436043
-0.007015017,-0.0764618,-0.1689979,2.470315
-0.007015017,-0.0764618,-0.1689979,2.480038
-0.007334435,-0.07434357,-0.1683272,2.487676
-0.007334435,-0.07434357,-0.1683272,2.499363
-0.00826115,-0.07024941,-0.1680226,2.513628
-0.0102877,-0.06314257,-0.1682545,2.554949
-0.01072018,-0.06175206,-0.1680564,2.565269
-0.01072018,-0.06175206,-0.1680564,2.573723
-0.01190304,-0.0584501,-0.1683574,2.586066
-0.01190304,-0.0584501,-0.1683574,2.600381
-0.01357809,-0.05521169,-0.1685416,2.613277
-0.0147332,-0.05351198,-0.1683286,2.629318
-0.0160709,-0.05217272,-0.1677574,2.64683
-0.0160709,-0.05217272,-0.1677574,2.660323
-0.01782582,-0.04904315,-0.1670882,2.674051
-0.01858335,-0.04725884,-0.1666087,2.687402
-0.01998068,-0.04491096,-0.1664619,2.704125
-0.01998068,-0.04491096,-0.1664619,2.719591
-0.02142078,-0.04042882,-0.1649356,2.735018
-0.02209016,-0.03798557,-0.1638601,2.749525
-0.02284333,-0.03542108,-0.1633298,2.763264
-0.02284333,-0.03542108,-0.1633298,2.778777
-0.02495985,-0.02947556,-0.162908,2.79491
-0.02661976,-0.02639784,-0.1630014,2.80899
-0.02785238,-0.02324336,-0.1629288,2.822952
-0.02785238,-0.02324336,-0.1629288,2.836993
-0.0337199,-0.01310572,-0.1639663,2.868199
-0.0337199,-0.01310572,-0.1639663,2.878438
-0.03569618,-0.009943273,-0.164144,2.886093
-0.03569618,-0.009943273,-0.164144,2.896809
-0.03913245,-0.004835486,-0.1641133,2.913521
-0.04148106,-0.001851991,-0.16429,2.928408
-0.04358149,0.001115941,-0.1645811,2.944297
-0.04358149,0.001115941,-0.1645811,2.960304
-0.04738636,0.006050915,-0.1644489,2.975281
-0.04936099,0.008804463,-0.164063,2.991154
-0.05147531,0.01238858,-0.1642527,3.0094
-0.05344627,0.01494966,-0.164293,3.024193
-0.05344627,0.01494966,-0.164293,3.038984
-0.05746159,0.02026933,-0.1649681,3.052716
-0.05975829,0.02318428,-0.1647483,3.06865
-0.06182276,0.02595451,-0.1646004,3.084206
-0.06182276,0.02595451,-0.1646004,3.099219
-0.06579909,0.03078086,-0.1645939,3.112974
-0.06846862,0.03366366,-0.1646944,3.128394
-0.07182909,0.03652504,-0.164827,3.145312
-0.07182909,0.03652504,-0.164827,3.159406
-0.07700909,0.04128237,-0.1651358,3.173894
-0.0806383,0.04427768,-0.1652913,3.191178
-0.08322615,0.04600899,-0.1654305,3.203121
-0.08322615,0.04600899,-0.1654305,3.217545
-0.08953225,0.04992116,-0.1660472,3.233078
-0.09326761,0.05183769,-0.1659854,3.249231
-0.09681255,0.05355699,-0.1661055,3.263003
-0.09681255,0.05355699,-0.1661055,3.278005
-0.1036269,0.05665382,-0.1658472,3.295461
-0.1082236,0.05828776,-0.1655527,3.314375
-0.1116743,0.0593522,-0.1654251,3.328226
-0.1156053,0.06052181,-0.1651439,3.345233
-0.1156053,0.06052181,-0.1651439,3.355487
-0.1206017,0.06211644,-0.1645169,3.367718
-0.1246513,0.06388538,-0.1644182,3.385992
-0.1246513,0.06388538,-0.1644182,3.398197
-0.1301836,0.06552804,-0.164023,3.41361
-0.1336501,0.06636966,-0.1640004,3.427756
-0.1336501,0.06636966,-0.1640004,3.441544
-0.1398536,0.0673538,-0.1642138,3.45787
-0.1425827,0.06787585,-0.1643753,3.469811
-0.1435299,0.06892609,-0.1644611,3.485133
-0.1435299,0.06892609,-0.1644611,3.501511
-0.1448184,0.07114461,-0.1644179,3.515296
-0.1462108,0.07228084,-0.1646986,3.528943
-0.1470067,0.07329956,-0.1648551,3.544452
-0.1470067,0.07329956,-0.1648551,3.561543
-0.1482917,0.07478505,-0.164719,3.576186
-0.1597248,0.0686889,-0.1607192,3.591511
-0.1626698,0.06951153,-0.1614137,3.607706
-0.1626698,0.06951153,-0.1614137,3.619452
-0.1663356,0.07021391,-0.161741,3.635401
-0.1676551,0.06945069,-0.1623385,3.653008
-0.1681879,0.06873107,-0.162615,3.665276
-0.1681879,0.06873107,-0.162615,3.681094
-0.1709754,0.06731423,-0.162868,3.698142
-0.174821,0.06627957,-0.1627608,3.711759
-0.1778056,0.0661997,-0.1623803,3.724674
-0.1778056,0.0661997,-0.1623803,3.736705
-0.1804035,0.06472182,-0.1615873,3.751131
-0.1846116,0.06359205,-0.1624356,3.769757
-0.1846116,0.06359205,-0.1624356,3.782114
-0.1854687,0.06405704,-0.1604972,3.798214
-0.1851347,0.0662802,-0.1604988,3.817314
-0.190357,0.0604826,-0.1601787,3.828563
-0.190357,0.0604826,-0.1601787,3.842462
-0.1866858,0.06377246,-0.1558121,3.855933
-0.1879729,0.06551349,-0.1574433,3.869429
-0.1970648,0.05706847,-0.1579746,3.883741
-0.1970648,0.05706847,-0.1579746,3.898319
-0.1987362,0.05975257,-0.1514835,3.914743
-0.1977591,0.06447486,-0.1505796,3.92953
-0.2026393,0.06169198,-0.1478012,3.944196
-0.2026393,0.06169198,-0.1478012,3.96193
-0.2137041,0.06451585,-0.1402362,3.988976
-0.2137041,0.06451585,-0.1402362,3.999506
-0.2161926,0.06738492,-0.1375104,4.007745
-0.2161926,0.06738492,-0.1375104,4.019535
-0.2220139,0.05220677,-0.1380814,4.033585
-0.2222416,0.05297776,-0.1384998,4.049136
-0.2210683,0.05294724,-0.1391905,4.065827
-0.2210683,0.05294724,-0.1391905,4.079603
-0.211264,0.0684581,-0.1368555,4.094567
-0.2123252,0.06566339,-0.1310247,4.111622
-0.2235892,0.05296236,-0.1283419,4.126414
-0.2235892,0.05296236,-0.1283419,4.14145
-0.2331024,0.05244634,-0.1305293,4.157059
-0.2336545,0.0564821,-0.1306067,4.169673
-0.2313526,0.05442732,-0.1330358,4.184319
-0.2313526,0.05442732,-0.1330358,4.199531
-0.2325506,0.05457892,-0.1313146,4.215585
-0.2327555,0.05483428,-0.1288579,4.228935
-0.2326459,0.05952742,-0.1294453,4.244483
-0.2326459,0.05952742,-0.1294453,4.260973
-0.2353122,0.05477832,-0.1292152,4.275218
-0.2376043,0.06028042,-0.1268687,4.291072
-0.2405557,0.06173742,-0.126276,4.306184
-0.2405557,0.06173742,-0.126276,4.319379
-0.2407006,0.06137723,-0.1273627,4.334691
-0.2404591,0.06372467,-0.1262691,4.349459
-0.243036,0.06552019,-0.1278508,4.366083
-0.243036,0.06552019,-0.1278508,4.38028
-0.2430931,0.06790438,-0.1284607,4.397354
-0.2474817,0.07205204,-0.1294173,4.410609
-0.2475415,0.06011416,-0.1301448,4.424547
-0.2475415,0.06011416,-0.1301448,4.437513
-0.2444466,0.06782039,-0.1334056,4.457241
-0.2488397,0.06310607,-0.1412456,4.468522
-0.2508048,0.06201296,-0.1498723,4.483636
-0.2508048,0.06201296,-0.1498723,4.497519
-0.2690196,0.05891744,-0.1464749,4.514267
-0.2736105,0.07388575,-0.1482729,4.528199
-0.275585,0.07140301,-0.1503422,4.543596
-0.275585,0.07140301,-0.1503422,4.559797
-0.2765043,0.07101695,-0.1501266,4.57188
-0.2772501,0.07196294,-0.1502225,4.589883
-0.2776137,0.07285316,-0.1503875,4.604049
-0.2776137,0.07285316,-0.1503875,4.617236
-0.2782398,0.07370596,-0.1507763,4.63138
-0.2786941,0.07460791,-0.1508684,4.646386
-0.278975,0.07552481,-0.1510726,4.664134
-0.278975,0.07552481,-0.1510726,4.678247
-0.2794685,0.07584799,-0.1512004,4.691131
-0.2797226,0.07606746,-0.151232,4.704758
-0.2804086,0.0761565,-0.1515178,4.722615
-0.2804086,0.0761565,-0.1515178,4.735992
-0.3263702,0.05509606,-0.1524288,4.749947
-0.3290793,0.06803113,-0.1524186,4.765528
-0.3290793,0.06803113,-0.1524186,4.781995
-0.3323941,0.06721535,-0.1524011,4.79497
-0.3525659,0.06323113,-0.1407853,4.808874
-0.3530357,0.07176678,-0.1413047,4.824983
-0.3530357,0.07176678,-0.1413047,4.840017
-0.3702028,0.06502242,-0.1323173,4.852895
-0.3703839,0.07617183,-0.131762,4.868833
-0.3698438,0.0792937,-0.1316223,4.885938
-0.3698438,0.0792937,-0.1316223,4.89851
-0.3687986,0.08116565,-0.1300041,4.913028
-0.368803,0.08320982,-0.1306057,4.929058
-0.36814,0.08479174,-0.1306136,4.946985
-0.36814,0.08479174,-0.1306136,4.960227
-0.3668932,0.08723859,-0.1308524,4.975219
-0.3658331,0.08868362,-0.1290369,4.992623
-0.35494,0.08287568,-0.1239542,5.004199
-0.35494,0.08287568,-0.1239542,5.019748
-0.3516658,0.08493979,-0.1238287,5.036421
-0.3510014,0.0859136,-0.1236558,5.049421
-0.3497629,0.08618815,-0.1241161,5.063988
-0.3497629,0.08618815,-0.1241161,5.079864
-0.3495318,0.08734891,-0.1244534,5.095094
-0.3494991,0.0877739,-0.1247864,5.111792
-0.348342,0.08720057,-0.1249644,5.126095
-0.3486016,0.08747657,-0.1252811,5.14411
-0.3486016,0.08747657,-0.1252811,5.159185
-0.3501196,0.08780753,-0.1262922,5.175413
-0.350749,0.0877108,-0.1266268,5.187952
-0.3510834,0.08740189,-0.1268017,5.203046
-0.3510834,0.08740189,-0.1268017,5.220109
-0.3518101,0.0868051,-0.1272385,5.23366
-0.3522405,0.08652419,-0.1274563,5.249171
-0.3525589,0.08610551,-0.1281171,5.263778
-0.3525589,0.08610551,-0.1281171,5.281082
-0.3531847,0.08543903,-0.1284563,5.295781
-0.3533007,0.08493946,-0.129093,5.310651
-0.3537096,0.08471415,-0.1292966,5.327745
-0.3537096,0.08471415,-0.1292966,5.340926
-0.3543686,0.0840332,-0.129933,5.353268
-0.3546229,0.08341941,-0.1304347,5.370723
-0.355024,0.08302282,-0.1306151,5.38396
-0.355024,0.08302282,-0.1306151,5.399654
-0.3560312,0.08216766,-0.1311187,5.413427
-0.3574343,0.08222517,-0.1327342,5.431103
-0.3571627,0.08133849,-0.1327683,5.444615
-0.3571627,0.08133849,-0.1327683,5.459873
-0.3590657,0.08107419,-0.134833,5.476847
-0.3595227,0.07950877,-0.1353479,5.491908
-0.3630821,0.07909633,-0.139285,5.508822
-0.3630821,0.07909633,-0.139285,5.519797
-0.3647778,0.07865763,-0.1403263,5.534378
-0.3650213,0.07809205,-0.1402127,5.550925
-0.3954207,0.06356671,-0.1467532,5.564488
-0.3958166,0.08031732,-0.1476496,5.587222
-0.3958166,0.08031732,-0.1476496,5.602498
-0.3960341,0.07799564,-0.1470441,5.61053
-0.3963828,0.07739961,-0.1481436,5.628445
-0.3970111,0.07969155,-0.1482729,5.642558
-0.3970111,0.07969155,-0.1482729,5.657832
-0.397746,0.07867788,-0.1485752,5.671236
-0.3993684,0.07801256,-0.1500408,5.686273
-0.3993684,0.07801256,-0.1500408,5.701716
-0.4000858,0.07713903,-0.1505219,5.715661
-0.4011385,0.07543921,-0.1519116,5.732326
-0.4025426,0.07665567,-0.1528872,5.747635
-0.4025426,0.07665567,-0.1528872,5.761839
-0.4036188,0.07618453,-0.1533701,5.77883
-0.404878,0.07567832,-0.1538841,5.794582
-0.4085559,0.07291795,-0.1562627,5.839374
-0.408818,0.07568861,-0.1580483,5.852206
-0.408818,0.07568861,-0.1580483,5.861832
-0.4098164,0.07043788,-0.1575794,5.881271
-0.4121037,0.07445678,-0.15514,5.892208
-0.4121037,0.07445678,-0.15514,5.90165
-0.4152752,0.07265641,-0.1560548,5.912547
-0.4162556,0.07576462,-0.1542065,5.929666
-0.4165316,0.07493621,-0.1546402,5.946839
-0.4165316,0.07493621,-0.1546402,5.960268
-0.4163128,0.07507017,-0.1540342,5.975191
-0.4164075,0.0735506,-0.1543448,5.992602
-0.4163707,0.07289802,-0.1542924,6.00816
-0.4163501,0.07441817,-0.1540444,6.024003
-0.4163501,0.07441817,-0.1540444,6.03726
-0.4164866,0.07220654,-0.1541273,6.05174
-0.4163545,0.07257342,-0.1539177,6.068951
-0.4164749,0.0655798,-0.1543724,6.082803
-0.4164749,0.0655798,-0.1543724,6.096768
-0.416231,0.06971664,-0.1540004,6.111553
-0.4189332,0.07074024,-0.1553039,6.128593
-0.4187676,0.06856829,-0.1548646,6.14303
-0.4187676,0.06856829,-0.1548646,6.15855
-0.4187084,0.06629623,-0.1551803,6.17462
-0.418911,0.06809844,-0.1551019,6.187965
-0.4188601,0.06619946,-0.1549948,6.203366
-0.4188601,0.06619946,-0.1549948,6.219176
-0.4208488,0.06630397,-0.1569009,6.232098
-0.4212202,0.06656766,-0.1562361,6.246453
-0.4212202,0.06656766,-0.1562361,6.262158
-0.4202526,0.0645199,-0.1561007,6.278698
-0.4210655,0.0645816,-0.158773,6.293715
-0.4219518,0.06662452,-0.1606069,6.309213
-0.423184,0.06463484,-0.1623096,6.32542
-0.423184,0.06463484,-0.1623096,6.339393
-0.4223476,0.06788452,-0.1622456,6.35713
-0.4212752,0.06437927,-0.1621697,6.370133
-0.4215993,0.06912358,-0.1617625,6.385865
-0.4215993,0.06912358,-0.1617625,6.402105
-0.4223605,0.06288649,-0.1602074,6.415431
-0.4209978,0.0689142,-0.1617026,6.431562
-0.4208416,0.06238712,-0.1626202,6.44796
-0.4208416,0.06238712,-0.1626202,6.461125
-0.4211424,0.06810887,-0.1626776,6.475067
-0.4208968,0.06410187,-0.163661,6.487129
-0.4210176,0.06759198,-0.1633988,6.502611
-0.4210176,0.06759198,-0.1633988,6.518625
-0.423289,0.06552518,-0.1655996,6.532575
-0.4229766,0.06512904,-0.1653152,6.547687
-0.4235989,0.06430703,-0.1659578,6.564811
-0.4235989,0.06430703,-0.1659578,6.578711
-0.4231927,0.06313924,-0.1654774,6.59151
-0.4239641,0.0672519,-0.1665541,6.604389
-0.4239641,0.0672519,-0.1665541,6.61974
-0.4237449,0.06051125,-0.1668532,6.63713
-0.4246118,0.07003842,-0.1693275,6.650116
-0.4470505,0.0168932,-0.1569376,6.664565
-0.4470505,0.0168932,-0.1569376,6.679915
-0.4421244,0.06098182,-0.1609721,6.697004
-0.4402563,0.06415787,-0.1614367,6.712922
-0.4404388,0.06530131,-0.1624746,6.729753
-0.4405824,0.06486347,-0.1617305,6.745235
-0.4405824,0.06486347,-0.1617305,6.76192
-0.440508,0.06471735,-0.1615709,6.776223
-0.4405284,0.06468055,-0.1616448,6.800032
-0.4405543,0.06465374,-0.1617068,6.810781
-0.4405543,0.06465374,-0.1617068,6.822022
-0.4405152,0.0646327,-0.161678,6.841046
-0.4405234,0.06432022,-0.1615174,6.85278
-0.4404004,0.06445002,-0.162212,6.868861
-0.4405203,0.06426291,-0.1616927,6.883054
-0.4405203,0.06426291,-0.1616927,6.899041
-0.44035,0.06439465,-0.1622372,6.912055
-0.4404981,0.06422508,-0.1617058,6.92793
-0.4404981,0.06422508,-0.1617058,6.941454
-0.4403375,0.06432797,-0.1623026,6.954443
-0.4405797,0.06114198,-0.1615222,6.97202
-0.4395254,0.06599244,-0.1624259,6.98559
-0.4395254,0.06599244,-0.1624259,7.001243
-0.4394796,0.06378462,-0.162564,7.017165
-0.4389029,0.06794316,-0.1633211,7.031621
-0.4397017,0.05905636,-0.1634556,7.046656
-0.4408059,0.0755233,-0.1630487,7.06275
-0.4408059,0.0755233,-0.1630487,7.077765
-0.4421412,0.05770443,-0.164235,7.093069
-0.4422974,0.06294486,-0.1645504,7.109774
-0.4422974,0.06294486,-0.1645504,7.122012
-0.4408101,0.06553954,-0.1648779,7.137685
-0.4423216,0.06469859,-0.1655419,7.15531
-0.4414108,0.06627488,-0.1640489,7.167771
-0.4414108,0.06627488,-0.1640489,7.182415
-0.4412684,0.06147961,-0.1645241,7.197466
-0.4415676,0.07402294,-0.1648808,7.214425
-0.4430846,0.06230728,-0.1672184,7.228395
-0.4430846,0.06230728,-0.1672184,7.242187
-0.4422272,0.0663723,-0.1672892,7.25331
-0.4416004,0.06233948,-0.1676945,7.268847
-0.4423986,0.05459784,-0.1667733,7.302769
-0.4423986,0.05459784,-0.1667733,7.31378
-0.4423986,0.05459784,-0.1667733,7.322187
-0.442292,0.06427833,-0.1678306,7.331964
-0.4420433,0.06523602,-0.1692854,7.348475
-0.4420433,0.06523602,-0.1692854,7.362381
