X, Y, Z, Time
-0.02122095,-0.1624829,-0.2070252,0.0267532
-0.02126464,-0.1625715,-0.207164,0.0436752
-0.02141052,-0.1635074,-0.2073751,0.0780637
-0.001359239,-0.162464,-0.2082755,0.104311
-0.001279699,-0.162499,-0.2086807,0.1187699
-0.001534263,-0.1610903,-0.2086576,0.1675093
-0.001337351,-0.1614104,-0.2083331,0.194763
-0.001366085,-0.1617711,-0.2084368,0.221194
-0.001193068,-0.1619101,-0.2085062,0.2309796
-0.001408041,-0.1617952,-0.2085411,0.2624729
-0.001097059,-0.1624548,-0.2084973,0.2740657
-0.001021001,-0.1628834,-0.2085036,0.2967498
-0.001027102,-0.1630049,-0.2084667,0.3061118
-0.001027102,-0.1630049,-0.2084667,0.3189349
-0.001040484,-0.1630286,-0.2084817,0.36289
-0.001077983,-0.1630279,-0.2085942,0.3928555
-0.001077983,-0.1630279,-0.2085942,0.4017495
-0.001074239,-0.1630227,-0.2086879,0.4242546
-0.001074239,-0.1630227,-0.2086879,0.4336189
-0.00109495,-0.1630108,-0.2086446,0.4528401
-0.001124075,-0.16301,-0.2085352,0.4803069
-0.00112387,-0.1630028,-0.2085224,0.5063626
-0.001123097,-0.1629939,-0.2085145,0.5313779
-0.001123097,-0.1629939,-0.2085145,0.5403096
-0.001150912,-0.1627368,-0.2085227,0.5642317
-0.001150912,-0.1627368,-0.2085227,0.5804198
-0.001152618,-0.1624096,-0.2085245,0.6035437
-0.001152618,-0.1624096,-0.2085245,0.6204554
-0.001177576,-0.1615491,-0.2087245,0.6466518
-0.001177576,-0.1615491,-0.2087245,0.6604598
-0.001680055,-0.1585325,-0.2138583,0.6857346
-0.001680055,-0.1585325,-0.2138583,0.7030641
-0.0002051961,-0.1510845,-0.215645,0.7308419
0.0003624221,-0.1497334,-0.2157368,0.7443146
0.001226813,-0.1468465,-0.2159869,0.7760904
0.001849303,-0.1453543,-0.2157617,0.7892061
0.002794167,-0.1429122,-0.2159623,0.8153054
0.00371731,-0.1401412,-0.216156,0.8412935
0.004239232,-0.1371594,-0.2163081,0.8656942
0.004239232,-0.1371594,-0.2163081,0.8760168
0.00461749,-0.135245,-0.2167763,0.8992874
0.004427399,-0.1347304,-0.2169273,0.915745
0.004393579,-0.1339018,-0.2169001,0.9398685
0.004634162,-0.133186,-0.2168067,0.9561956
0.004954888,-0.131657,-0.2165107,0.9866352
0.005199105,-0.1302462,-0.2163433,1.012255
0.005433078,-0.1290518,-0.2160014,1.035206
0.005617076,-0.1285169,-0.2157226,1.044815
0.005617076,-0.1285169,-0.2157226,1.058152
0.006050018,-0.1257657,-0.2145458,1.081681
0.006361561,-0.1235697,-0.2137156,1.098052
0.00686437,-0.1198418,-0.2127998,1.122704
0.00671352,-0.1175211,-0.2121543,1.138988
0.006511268,-0.1139677,-0.2110202,1.16406
0.006230286,-0.1102571,-0.2092085,1.208568
0.005057804,-0.1089423,-0.2083986,1.237995
0.003847743,-0.1062552,-0.2078014,1.263275
0.003847743,-0.1062552,-0.2078014,1.273449
0.0023111,-0.1035753,-0.2072873,1.296032
0.0008127311,-0.1007135,-0.2072732,1.320051
-0.0003949567,-0.09909437,-0.2070759,1.342133
-0.0009736877,-0.09854643,-0.2068372,1.351859
-0.001696941,-0.09787318,-0.2062316,1.369973
-0.002767285,-0.09615912,-0.2054608,1.395543
-0.003266353,-0.09499325,-0.2048437,1.411529
-0.004122177,-0.09360551,-0.20409,1.434367
-0.005214126,-0.0918323,-0.2034516,1.452353
-0.006547161,-0.08918682,-0.2027586,1.47546
-0.007633889,-0.08688483,-0.2018418,1.495806
-0.008633286,-0.08445758,-0.2004831,1.517563
-0.009552347,-0.08254275,-0.1996013,1.532835
-0.01157185,-0.08011957,-0.1988773,1.557894
-0.01352329,-0.07897369,-0.1986367,1.574885
-0.01654239,-0.07805824,-0.1984689,1.59846
-0.01851871,-0.07666712,-0.1981581,1.615725
-0.02081949,-0.07529584,-0.1974783,1.638605
-0.02245512,-0.07480131,-0.1968187,1.652932
-0.0254834,-0.07373205,-0.1960087,1.678292
-0.02803573,-0.07299963,-0.1954783,1.695669
-0.03167937,-0.07264079,-0.194876,1.719449
-0.03435019,-0.07196546,-0.1943037,1.736946
-0.03847316,-0.07173268,-0.1933462,1.762253
-0.04459706,-0.07138011,-0.1923764,1.790276
-0.0490848,-0.07093994,-0.191531,1.815915
-0.05128429,-0.07083322,-0.19118,1.826934
-0.05575655,-0.07036225,-0.1906035,1.850725
-0.05866491,-0.06994062,-0.1901957,1.864625
-0.06326751,-0.0693389,-0.1897139,1.888562
-0.06326751,-0.0693389,-0.1897139,1.899856
-0.06947162,-0.06923392,-0.1888432,1.921713
-0.07335037,-0.06928363,-0.1886968,1.94037
-0.07803301,-0.06934524,-0.1881289,1.963822
-0.07803301,-0.06934524,-0.1881289,1.980218
-0.08386368,-0.06925175,-0.1869234,2.002293
-0.08713699,-0.06901611,-0.1865966,2.018627
-0.09208129,-0.06843835,-0.185357,2.045099
-0.09208129,-0.06843835,-0.185357,2.060478
-0.09836654,-0.06664734,-0.1837367,2.084067
-0.09836654,-0.06664734,-0.1837367,2.101814
-0.1050602,-0.06344727,-0.1820343,2.128847
-0.1050602,-0.06344727,-0.1820343,2.143006
-0.1112643,-0.06059232,-0.1812564,2.165853
-0.1138231,-0.05980252,-0.1807373,2.185176
-0.1169516,-0.05875448,-0.1800659,2.208333
-0.1169516,-0.05875448,-0.1800659,2.221688
-0.1231764,-0.05763442,-0.179124,2.246664
-0.1258244,-0.0572904,-0.1788028,2.26498
-0.1292187,-0.05686015,-0.1783694,2.287483
-0.1317689,-0.05662162,-0.1779551,2.303343
-0.1351696,-0.05638734,-0.1768129,2.328459
-0.1380025,-0.05580182,-0.1760407,2.345576
-0.1420789,-0.05439327,-0.1759764,2.369595
-0.1449679,-0.05369354,-0.17529,2.386795
-0.1529313,-0.05107708,-0.1735038,2.432122
-0.1570646,-0.04947894,-0.1736495,2.457533
-0.1590822,-0.04903956,-0.1736078,2.466748
-0.1631602,-0.04779497,-0.1732163,2.491895
-0.1631602,-0.04779497,-0.1732163,2.501091
-0.1695426,-0.04596829,-0.1724328,2.524078
-0.1695426,-0.04596829,-0.1724328,2.541456
