X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0244175
-0.0212,-0.1624706,-0.207,0.043123
-0.0212,-0.1624706,-0.207,0.0675984
-0.0212,-0.1624706,-0.207,0.0820987
-0.0212,-0.1624706,-0.207,0.105595
-0.0212,-0.1624706,-0.207,0.1215482
-0.0212,-0.1624706,-0.207,0.1485042
-0.0212,-0.1624706,-0.207,0.1629803
-0.0212,-0.1624706,-0.207,0.1862289
-0.0212,-0.1624706,-0.207,0.204532
-0.0212,-0.1624706,-0.207,0.2288287
-0.0212,-0.1624706,-0.207,0.2495108
-0.0212,-0.1624706,-0.207,0.2726249
-0.0212,-0.1624706,-0.207,0.2878776
-0.0212,-0.1624706,-0.207,0.3126426
-0.0212,-0.1624706,-0.207,0.3305063
-0.0212,-0.1624706,-0.207,0.3530114
-0.0212,-0.1624706,-0.207,0.3694586
-0.0212,-0.1624706,-0.207,0.4007328
-0.0212,-0.1624706,-0.207,0.4102971
-0.0212,-0.1624706,-0.207,0.4329576
-0.0212,-0.1624706,-0.207,0.4472686
-0.0212,-0.1624706,-0.207,0.4733763
-0.0212,-0.1624706,-0.207,0.4896565
-0.0212,-0.1624706,-0.207,0.5135945
-0.0212,-0.1624706,-0.207,0.5293766
-0.0212,-0.1624706,-0.207,0.5514672
-0.0212,-0.1624706,-0.207,0.5675114
-0.0212,-0.1624706,-0.207,0.5920205
-0.0212,-0.1624706,-0.207,0.6210362
-0.0212,-0.1624706,-0.207,0.6440811
-0.0212,-0.1624706,-0.207,0.6558864
-0.0212,-0.1624706,-0.207,0.6784087
-0.0212,-0.1624706,-0.207,0.6930996
-0.0212,-0.1624706,-0.207,0.7192684
-0.0212,-0.1624706,-0.207,0.7361485
-0.0212,-0.1624705,-0.207,0.7590524
-0.02120763,-0.162399,-0.2070096,0.7875477
-0.02132543,-0.1618286,-0.207093,0.8211173
-0.02104995,-0.1638411,-0.2072487,0.8471599
-0.02104995,-0.1638411,-0.2072487,0.8579513
-0.02093965,-0.1632031,-0.2071238,0.8797699
-0.02071807,-0.1629676,-0.207457,0.8895633
-0.02189536,-0.1633136,-0.2072977,0.9076158
-0.02123616,-0.1615845,-0.2079842,0.9313011
-0.02181491,-0.1721838,-0.2092578,0.966574
-0.02189742,-0.162167,-0.2096604,0.9923875
-0.02189742,-0.162167,-0.2096604,1.001913
-0.02132766,-0.1595417,-0.2097644,1.023926
-0.02165609,-0.1757378,-0.210344,1.033459
-0.0209952,-0.1629228,-0.2109662,1.051963
-0.02332957,-0.1685815,-0.2105416,1.088066
-0.02332957,-0.1685815,-0.2105416,1.100689
-0.02332854,-0.1593839,-0.2106228,1.121729
-0.02189132,-0.1734062,-0.2099724,1.135646
-0.02098592,-0.1613802,-0.2118607,1.159377
-0.01519666,-0.1889766,-0.2079353,1.176496
-0.01896743,-0.1659374,-0.2095079,1.199693
-0.0193358,-0.1622719,-0.2100812,1.215845
-0.01940988,-0.1617562,-0.2103066,1.242221
-0.01848649,-0.1598394,-0.2105506,1.258063
-0.01866233,-0.1723942,-0.2091151,1.281851
-0.01821992,-0.1612323,-0.2092777,1.297595
-0.01838883,-0.1694238,-0.2118509,1.32087
-0.01903968,-0.1603546,-0.2112689,1.33866
-0.01858799,-0.1727995,-0.2056448,1.362672
-0.01867869,-0.1610935,-0.2063196,1.380707
-0.01993069,-0.1752556,-0.2036322,1.402971
-0.01943409,-0.1647324,-0.2038016,1.417353
-0.01932479,-0.163128,-0.2037184,1.442252
-0.01858301,-0.1690867,-0.2042557,1.461766
-0.01811169,-0.161979,-0.2045057,1.485594
-0.01804241,-0.1615723,-0.204835,1.498178
-0.01755565,-0.1687388,-0.2040264,1.520331
-0.01729105,-0.1622498,-0.2039919,1.537016
-0.01746814,-0.1607513,-0.2037967,1.561075
-0.01753921,-0.161414,-0.2035804,1.579707
-0.01735389,-0.1604981,-0.2035913,1.601976
-0.01754819,-0.1664633,-0.2032934,1.619509
-0.017527,-0.1621795,-0.2036103,1.642814
-0.01786102,-0.1603717,-0.2027451,1.660123
-0.01742588,-0.1663424,-0.2029581,1.684032
-0.01784632,-0.1624317,-0.2025946,1.702949
-0.01823132,-0.1619289,-0.2022671,1.7252
-0.01803717,-0.1618385,-0.202341,1.743565
-0.01806878,-0.1618559,-0.2023094,1.769649
-0.01806878,-0.1618559,-0.2023094,1.785282
-0.01810898,-0.1620574,-0.2022704,1.812307
-0.0180875,-0.162071,-0.2022148,1.826461
-0.01823968,-0.1620226,-0.2021491,1.858634
-0.01864875,-0.1620373,-0.2019032,1.870047
-0.01868937,-0.1617934,-0.2018438,1.894548
-0.01829109,-0.1606023,-0.2023808,1.9219
-0.01848981,-0.1599235,-0.2013275,1.944501
-0.01837392,-0.1586926,-0.2011014,1.953691
-0.01835884,-0.1584441,-0.2008677,1.971766
-0.01853613,-0.158232,-0.1996542,1.996443
-0.01999305,-0.1590774,-0.1970902,2.012061
-0.02309443,-0.1594894,-0.193292,2.037348
-0.02401505,-0.1589889,-0.1927579,2.053958
-0.02706593,-0.1605814,-0.1903553,2.077563
-0.02736226,-0.160436,-0.1895313,2.093861
-0.02914184,-0.1606819,-0.1879793,2.122366
-0.02929342,-0.1597374,-0.187917,2.138521
-0.02954583,-0.1593159,-0.1878577,2.16362
-0.02973464,-0.159195,-0.1877545,2.179088
-0.02984359,-0.1592342,-0.1877632,2.202753
-0.0299302,-0.1592323,-0.1878054,2.218066
-0.03291019,-0.1620547,-0.1867131,2.242162
-0.03354297,-0.1591584,-0.1852014,2.28596
-0.03534345,-0.1590821,-0.1847289,2.311202
-0.03534345,-0.1590821,-0.1847289,2.322705
-0.03870588,-0.1587577,-0.1840728,2.345323
-0.03930707,-0.1584724,-0.1844297,2.356474
-0.04145688,-0.1579862,-0.1834259,2.382818
-0.05645685,-0.1588475,-0.178987,2.408437
-0.05689042,-0.1576121,-0.1783948,2.43081
-0.05689042,-0.1576121,-0.1783948,2.445008
-0.05925202,-0.1566791,-0.1755984,2.467006
-0.05925202,-0.1566791,-0.1755984,2.4834
-0.06409599,-0.1562094,-0.1734066,2.506589
-0.06409599,-0.1562094,-0.1734066,2.524076
-0.06736709,-0.15553,-0.1716375,2.546936
-0.07060887,-0.1547132,-0.1694923,2.59201
-0.07115835,-0.1547165,-0.1680524,2.619903
-0.0712207,-0.1545645,-0.1678575,2.630661
-0.07168346,-0.1536222,-0.1648993,2.663453
-0.07232696,-0.1532456,-0.1642266,2.673371
-0.07265758,-0.1523436,-0.1622662,2.69594
