X, Y, Z, Time
-0.0211993,-0.1624525,-0.2070006,0.0121061
-0.02370212,-0.1612821,-0.2094226,0.0261271
-0.02370212,-0.1612821,-0.2094226,0.038767
-0.02379484,-0.1622367,-0.209277,0.0519865
-0.02383047,-0.1626869,-0.2094862,0.0643821
-0.02383047,-0.1626869,-0.2094862,0.0764487
-0.02397539,-0.1606571,-0.2089313,0.0897483
-0.02377496,-0.1739768,-0.2115602,0.1200983
-0.02404184,-0.1616098,-0.2098718,0.1301873
-0.02404184,-0.1616098,-0.2098718,0.1396142
-0.03289165,-0.1879336,-0.2043213,0.152311
-0.03289165,-0.1879336,-0.2043213,0.1620293
-0.03220027,-0.1636582,-0.2036413,0.1760257
-0.03265489,-0.1605619,-0.2041275,0.1900228
-0.03265489,-0.1605619,-0.2041275,0.202891
-0.03351437,-0.1825987,-0.2069398,0.2145958
-0.03232665,-0.1587734,-0.2076051,0.2275566
-0.03232665,-0.1587734,-0.2076051,0.2415301
-0.03236278,-0.1743265,-0.2068338,0.2543919
-0.03531934,-0.1631511,-0.2071241,0.2684119
-0.03531934,-0.1631511,-0.2071241,0.279717
-0.0316219,-0.1884569,-0.2038771,0.2928308
-0.03190935,-0.1672118,-0.2046328,0.3058744
-0.03190935,-0.1672118,-0.2046328,0.3195574
-0.03293932,-0.1594801,-0.2046627,0.3387877
-0.03218403,-0.1893428,-0.202978,0.3469594
-0.03218403,-0.1893428,-0.202978,0.3594903
-0.0313428,-0.1687513,-0.2027624,0.3716921
-0.03242103,-0.1630436,-0.2016264,0.3858769
-0.03242103,-0.1630436,-0.2016264,0.3985229
-0.03245994,-0.1887035,-0.2008633,0.4114395
-0.03194674,-0.1654622,-0.2003216,0.4260067
-0.03194674,-0.1654622,-0.2003216,0.4390488
-0.03213395,-0.1678667,-0.2007044,0.4527981
-0.03213395,-0.1678667,-0.2007044,0.4639031
-0.03254367,-0.1609044,-0.20137,0.4768493
-0.03284032,-0.1670907,-0.2006849,0.4909827
-0.03437622,-0.1596357,-0.2006444,0.5047258
-0.03437622,-0.1596357,-0.2006444,0.5189241
-0.03329205,-0.1719041,-0.2011385,0.5297679
-0.03329205,-0.1719041,-0.2011385,0.5434119
-0.033558,-0.1644459,-0.2007663,0.5572299
-0.03330332,-0.1641611,-0.2007899,0.5704967
-0.03328496,-0.1639965,-0.2008186,0.5850618
-0.03328496,-0.1639965,-0.2008186,0.597243
-0.03331508,-0.1638445,-0.2008574,0.6104401
-0.03302774,-0.16077,-0.2004918,0.6245095
-0.03302774,-0.16077,-0.2004918,0.6368281
-0.03161582,-0.1686858,-0.2006657,0.6506104
-0.03161582,-0.1686858,-0.2006657,0.6628767
-0.0314152,-0.1640303,-0.2011933,0.6953601
-0.0314152,-0.1640303,-0.2011933,0.7038297
-0.03141579,-0.1638124,-0.2011821,0.7109463
-0.03141579,-0.1638124,-0.2011821,0.7187254
-0.03141166,-0.1636558,-0.2011581,0.7304186
-0.03141389,-0.1635513,-0.2011236,0.7443559
-0.03141389,-0.1635513,-0.2011236,0.7586771
-0.03145666,-0.1634028,-0.2006675,0.7717615
-0.03152399,-0.1624357,-0.2006396,0.7860298
-0.03152399,-0.1624357,-0.2006396,0.7965533
-0.03139119,-0.1651178,-0.2006777,0.8099617
-0.03139119,-0.1651178,-0.2006777,0.8237132
-0.0314503,-0.1626967,-0.2005253,0.8372574
-0.03135925,-0.1643307,-0.2006014,0.8522782
-0.03135925,-0.1643307,-0.2006014,0.8628314
-0.03140454,-0.1628571,-0.2008681,0.8760446
-0.03102884,-0.1635142,-0.2011434,0.8897398
-0.03102884,-0.1635142,-0.2011434,0.9023241
-0.03103463,-0.1625363,-0.2007037,0.9141848
-0.02917562,-0.1626226,-0.2032082,0.9283442
-0.02917562,-0.1626226,-0.2032082,0.9426214
-0.02828571,-0.1620028,-0.2035663,0.9560309
-0.02840748,-0.1614874,-0.2034802,0.9699458
-0.02840748,-0.1614874,-0.2034802,0.9822974
-0.02876533,-0.1601589,-0.2035792,0.995313
-0.02903137,-0.1595237,-0.2035029,1.008649
-0.02903137,-0.1595237,-0.2035029,1.022578
-0.02879742,-0.1584896,-0.203162,1.036004
-0.02894066,-0.1578743,-0.2030083,1.048467
-0.02894066,-0.1578743,-0.2030083,1.061243
-0.02884219,-0.1565945,-0.2024808,1.074827
-0.02920812,-0.155355,-0.2024448,1.088096
-0.02920812,-0.155355,-0.2024448,1.101017
-0.02956275,-0.1527764,-0.2027128,1.112753
-0.02964931,-0.1513867,-0.2026805,1.127356
-0.02964931,-0.1513867,-0.2026805,1.140411
-0.02956519,-0.1494736,-0.2021364,1.154263
-0.02976143,-0.1486152,-0.2018729,1.168502
-0.02976143,-0.1486152,-0.2018729,1.181284
-0.02949096,-0.1473294,-0.2010315,1.194007
-0.02920771,-0.14637,-0.2002341,1.207823
-0.02920771,-0.14637,-0.2002341,1.221418
-0.0287144,-0.1443185,-0.1994772,1.234837
-0.02856824,-0.1430258,-0.1995137,1.247146
-0.02856824,-0.1430258,-0.1995137,1.260452
-0.02831228,-0.1412552,-0.1994302,1.272754
-0.02853334,-0.1403589,-0.199288,1.287444
-0.02853334,-0.1403589,-0.199288,1.300998
-0.02901809,-0.1386704,-0.199414,1.313703
-0.02955314,-0.1380832,-0.1992552,1.327286
-0.03011724,-0.1367549,-0.1989908,1.352414
-0.03011724,-0.1367549,-0.1989908,1.360723
-0.03070903,-0.1352883,-0.1991474,1.367882
-0.03070903,-0.1352883,-0.1991474,1.379332
-0.03134561,-0.1327647,-0.199496,1.39258
-0.03165122,-0.1312178,-0.1999101,1.405621
-0.03165122,-0.1312178,-0.1999101,1.41974
-0.03218922,-0.1296701,-0.1999206,1.430259
-0.03254884,-0.1284401,-0.2001774,1.444467
-0.03254884,-0.1284401,-0.2001774,1.458362
-0.03318041,-0.1275542,-0.199668,1.471338
-0.03335327,-0.1268909,-0.1993415,1.486326
-0.03335327,-0.1268909,-0.1993415,1.498057
-0.03360989,-0.1258551,-0.1986874,1.512392
-0.03368776,-0.1252615,-0.1982525,1.526573
-0.03368776,-0.1252615,-0.1982525,1.540316
-0.0338783,-0.1232089,-0.1980805,1.554032
-0.03429064,-0.1220695,-0.197952,1.568294
-0.03429064,-0.1220695,-0.197952,1.581876
-0.03463877,-0.1201798,-0.1978702,1.595711
-0.0349665,-0.1190573,-0.1980115,1.609115
-0.0349665,-0.1190573,-0.1980115,1.62339
-0.03534954,-0.1175833,-0.1978583,1.636361
-0.03580882,-0.1162977,-0.1981047,1.648476
-0.03580882,-0.1162977,-0.1981047,1.661332
