X, Y, Z, Time
-0.02119538,-0.1624739,-0.2070017,0.0143631
-0.02118647,-0.1623745,-0.2070402,0.0272489
-0.02118647,-0.1623745,-0.2070402,0.0392961
-0.02127172,-0.1619233,-0.2069672,0.0534334
-0.02127979,-0.1617055,-0.2068653,0.0664673
-0.02127979,-0.1617055,-0.2068653,0.0806255
-0.02129328,-0.1623739,-0.2069417,0.0947445
-0.02185853,-0.162823,-0.2071529,0.1070345
-0.02185853,-0.162823,-0.2071529,0.1241575
-0.021163,-0.1620295,-0.2068511,0.139853
-0.02181267,-0.162345,-0.2069093,0.1519617
-0.02181267,-0.162345,-0.2069093,0.1624684
-0.02133828,-0.1615009,-0.206513,0.1739708
-0.02207712,-0.1622688,-0.2065485,0.1883907
-0.02207712,-0.1622688,-0.2065485,0.2023257
-0.02153175,-0.1613855,-0.2060713,0.2154339
-0.02193539,-0.1622329,-0.2060585,0.2303382
-0.02193539,-0.1622329,-0.2060585,0.2426973
-0.02135188,-0.1615953,-0.2055773,0.2570461
-0.02116516,-0.1594235,-0.2051396,0.2711588
-0.01748122,-0.1722299,-0.2020172,0.2848389
-0.01748122,-0.1722299,-0.2020172,0.2988106
-0.01743321,-0.1637012,-0.2018996,0.3113876
-0.01743321,-0.1637012,-0.2018996,0.3239233
-0.01655034,-0.1610871,-0.2013056,0.3380123
-0.01636927,-0.167142,-0.2010939,0.3505127
-0.01636927,-0.167142,-0.2010939,0.3632236
-0.01651975,-0.1629177,-0.2014501,0.3740973
-0.01607424,-0.1623347,-0.2012488,0.3889061
-0.01607424,-0.1623347,-0.2012488,0.4028434
-0.01638476,-0.1639815,-0.2010916,0.4146106
-0.01638829,-0.1623434,-0.2013461,0.4279991
-0.01638829,-0.1623434,-0.2013461,0.4402523
-0.01635594,-0.1624938,-0.2009823,0.4542817
-0.01638559,-0.1615708,-0.2011854,0.4678211
-0.01638559,-0.1615708,-0.2011854,0.4802327
-0.01627058,-0.1614186,-0.2007753,0.4916867
-0.01501722,-0.1608677,-0.2015019,0.5065783
-0.01501722,-0.1608677,-0.2015019,0.5196528
-0.01503025,-0.1597859,-0.201548,0.5334115
-0.01403544,-0.1591162,-0.201326,0.5481432
-0.01403544,-0.1591162,-0.201326,0.5607136
-0.01438426,-0.1580812,-0.1982322,0.5723498
-0.01534873,-0.1561,-0.1980357,0.587206
-0.01534873,-0.1561,-0.1980357,0.6006606
-0.01631557,-0.1524869,-0.1985354,0.6140886
-0.01669444,-0.1504968,-0.1985977,0.6283464
-0.01669444,-0.1504968,-0.1985977,0.640298
-0.01780375,-0.147242,-0.1991725,0.6532821
-0.01844423,-0.1451,-0.1995418,0.6665971
-0.01844423,-0.1451,-0.1995418,0.680845
-0.02018267,-0.1415269,-0.2004171,0.6954903
-0.02091966,-0.1399965,-0.2005585,0.7078467
-0.02091966,-0.1399965,-0.2005585,0.7219309
-0.0228552,-0.1377304,-0.2009684,0.7356436
-0.02353427,-0.1367253,-0.2010479,0.7502495
-0.02353427,-0.1367253,-0.2010479,0.7629731
-0.02509904,-0.1355848,-0.2008038,0.7730126
-0.02630893,-0.1346637,-0.2005304,0.7906854
-0.02630893,-0.1346637,-0.2005304,0.8004105
-0.02692846,-0.1332356,-0.2001007,0.8140442
-0.02763132,-0.1323665,-0.200027,0.8271601
-0.02763132,-0.1323665,-0.200027,0.839372
-0.02838173,-0.1300559,-0.1998249,0.8543945
-0.02865766,-0.1288177,-0.19987,0.8662981
-0.02865766,-0.1288177,-0.19987,0.8806656
-0.02920493,-0.1275343,-0.199934,0.8946488
-0.02937458,-0.1269557,-0.1999672,0.9067671
-0.02937458,-0.1269557,-0.1999672,0.9198732
-0.02946141,-0.1271561,-0.1992097,0.9322733
-0.02937382,-0.1272597,-0.1985564,0.9474773
-0.02937382,-0.1272597,-0.1985564,0.9619967
-0.02898158,-0.1274247,-0.1974533,0.9742872
-0.02893014,-0.1274862,-0.1968412,0.9881464
-0.02893014,-0.1274862,-0.1968412,1.002052
-0.02812747,-0.1273347,-0.1954031,1.016449
-0.0276815,-0.1270337,-0.1946347,1.029256
-0.0276815,-0.1270337,-0.1946347,1.04146
-0.02646863,-0.1259845,-0.1934271,1.054523
-0.02598166,-0.1252637,-0.1926859,1.069214
-0.02598166,-0.1252637,-0.1926859,1.082578
-0.02525347,-0.1243189,-0.1916329,1.095866
-0.02492676,-0.1238272,-0.191162,1.108614
-0.02492676,-0.1238272,-0.191162,1.121752
-0.02357897,-0.1231945,-0.1896218,1.13581
-0.02291625,-0.1225733,-0.1889556,1.149053
-0.02148039,-0.1206523,-0.1879679,1.182129
-0.02108912,-0.1198174,-0.1877534,1.189898
-0.02108912,-0.1198174,-0.1877534,1.197768
-0.02068397,-0.1182097,-0.1874445,1.2074
-0.02068397,-0.1182097,-0.1874445,1.221598
-0.02011481,-0.1156337,-0.1875801,1.235813
-0.01995924,-0.1148704,-0.1875686,1.249505
-0.01995924,-0.1148704,-0.1875686,1.263632
-0.02019226,-0.1137399,-0.1875768,1.27746
-0.02036181,-0.1134148,-0.1872178,1.289694
-0.02036181,-0.1134148,-0.1872178,1.302683
-0.02083313,-0.1126309,-0.1872451,1.315445
-0.02091989,-0.1123979,-0.1871379,1.329476
-0.02091989,-0.1123979,-0.1871379,1.341555
-0.02177618,-0.1119205,-0.1872705,1.355102
-0.02214693,-0.1118181,-0.1871252,1.369629
-0.02214693,-0.1118181,-0.1871252,1.382815
-0.02282747,-0.11165,-0.1870432,1.396867
-0.02296164,-0.1114424,-0.1870027,1.41114
-0.02296164,-0.1114424,-0.1870027,1.423419
-0.02375405,-0.1110747,-0.1869762,1.436864
-0.02412087,-0.1109799,-0.1868844,1.452065
-0.02412087,-0.1109799,-0.1868844,1.464321
-0.02524013,-0.1105534,-0.1870659,1.478089
-0.0256704,-0.110413,-0.187073,1.490098
-0.0256704,-0.110413,-0.187073,1.504467
-0.02647431,-0.1100619,-0.1872111,1.517789
-0.02777815,-0.1094133,-0.1876763,1.54268
-0.02831597,-0.1091153,-0.1878755,1.550406
-0.02831597,-0.1091153,-0.1878755,1.558745
-0.0293831,-0.1083971,-0.1883158,1.570152
-0.0293831,-0.1083971,-0.1883158,1.583955
-0.03061851,-0.108358,-0.188252,1.597532
-0.03121589,-0.1084107,-0.1880306,1.612367
-0.03178831,-0.1084134,-0.1878356,1.625378
-0.03178831,-0.1084134,-0.1878356,1.639828
-0.03301786,-0.1080603,-0.1876578,1.652751
-0.03353656,-0.1079287,-0.1873911,1.665217
-0.03353656,-0.1079287,-0.1873911,1.677879
-0.03440908,-0.1072506,-0.1868117,1.689307
-0.03440908,-0.1072506,-0.1868117,1.704275
-0.0341548,-0.1061152,-0.1856388,1.71687
-0.03405085,-0.1052991,-0.1852509,1.731171
-0.03410063,-0.1039468,-0.1850896,1.745834
-0.03410063,-0.1039468,-0.1850896,1.758525
-0.03456911,-0.1012449,-0.1852104,1.773027
-0.03506606,-0.09992329,-0.1852696,1.786855
-0.03506606,-0.09992329,-0.1852696,1.800606
-0.03557754,-0.09726334,-0.1857539,1.814874
-0.03602192,-0.09638166,-0.1856663,1.827853
-0.03602192,-0.09638166,-0.1856663,1.839806
-0.03661196,-0.09484981,-0.1855325,1.859273
-0.03713049,-0.09465674,-0.1853417,1.867858
-0.03713049,-0.09465674,-0.1853417,1.881785
-0.03850107,-0.09417526,-0.1852922,1.895563
-0.03923641,-0.09437338,-0.1849692,1.907098
-0.03923641,-0.09437338,-0.1849692,1.921612
-0.0407445,-0.09474909,-0.1844479,1.935855
-0.04148839,-0.09508066,-0.1840635,1.948479
-0.04148839,-0.09508066,-0.1840635,1.962366
-0.04291638,-0.09564949,-0.1833842,1.974492
-0.0439864,-0.09637789,-0.182645,1.989558
-0.0439864,-0.09637789,-0.182645,2.0033
-0.04590442,-0.09708234,-0.1816978,2.017169
-0.04657589,-0.09708975,-0.1813691,2.030534
-0.04657589,-0.09708975,-0.1813691,2.044458
-0.04796867,-0.09713919,-0.1807726,2.056449
-0.04886758,-0.0972139,-0.1803934,2.06991
-0.04886758,-0.0972139,-0.1803934,2.084365
-0.05034335,-0.09706776,-0.1797988,2.096582
-0.05123663,-0.097104,-0.1794295,2.108796
-0.05123663,-0.097104,-0.1794295,2.122627
-0.05292014,-0.09672599,-0.1790808,2.136396
-0.05394941,-0.09657498,-0.1788112,2.15053
-0.05394941,-0.09657498,-0.1788112,2.163625
-0.05537153,-0.09658091,-0.1781581,2.174424
-0.05634765,-0.0964867,-0.1778096,2.188697
-0.05634765,-0.0964867,-0.1778096,2.202917
-0.05812399,-0.09619698,-0.1772535,2.215494
-0.05913674,-0.09634857,-0.1765178,2.231137
-0.05977788,-0.09606687,-0.1762366,2.245599
-0.05977788,-0.09606687,-0.1762366,2.256396
-0.06073583,-0.09567313,-0.1754576,2.270689
-0.06087665,-0.09531281,-0.1748325,2.285438
-0.06087665,-0.09531281,-0.1748325,2.297469
-0.06141743,-0.09459768,-0.1743715,2.310254
-0.06141743,-0.09459768,-0.1743715,2.322506
-0.06153423,-0.09399859,-0.1737199,2.336801
-0.06163675,-0.09319007,-0.1736244,2.350079
-0.06163675,-0.09319007,-0.1736244,2.364105
-0.06166136,-0.0917255,-0.1737275,2.378612
-0.06174945,-0.09109999,-0.1737258,2.391807
-0.06183491,-0.09055877,-0.1737327,2.40461
-0.06183491,-0.09055877,-0.1737327,2.418939
-0.06176664,-0.08947633,-0.1738085,2.432028
-0.06179662,-0.08912911,-0.173825,2.44625
-0.06179662,-0.08912911,-0.173825,2.458258
-0.06128734,-0.08824985,-0.1737504,2.471982
-0.06130189,-0.08764037,-0.1737313,2.486336
-0.06130189,-0.08764037,-0.1737313,2.500133
-0.06104416,-0.08648447,-0.1739671,2.512779
-0.06088511,-0.08573581,-0.1739909,2.528565
-0.06088511,-0.08573581,-0.1739909,2.540673
-0.06072863,-0.08475307,-0.1739525,2.55379
-0.06055178,-0.08409723,-0.1740015,2.566727
-0.06055178,-0.08409723,-0.1740015,2.579078
-0.06032623,-0.08287308,-0.1742453,2.589761
-0.06032623,-0.08287308,-0.1742453,2.604386
-0.06011901,-0.08181407,-0.1741228,2.617948
-0.05981925,-0.08105431,-0.1743293,2.633388
-0.05976285,-0.08039655,-0.174527,2.647363
-0.05976285,-0.08039655,-0.174527,2.66092
-0.05999143,-0.07955676,-0.1746851,2.67292
-0.06027952,-0.07925645,-0.1746368,2.687988
-0.06027952,-0.07925645,-0.1746368,2.700709
-0.06037759,-0.07832984,-0.1749603,2.713227
-0.0606674,-0.07804586,-0.1749521,2.725354
-0.0606674,-0.07804586,-0.1749521,2.739928
-0.06099685,-0.07745095,-0.1748654,2.752538
-0.06118252,-0.07711995,-0.1746452,2.766262
-0.06118252,-0.07711995,-0.1746452,2.779979
-0.06055894,-0.07610517,-0.1737551,2.794378
-0.06048218,-0.07540841,-0.1734377,2.807433
-0.06048218,-0.07540841,-0.1734377,2.822063
-0.05960741,-0.07371098,-0.1727334,2.834945
-0.05921042,-0.07228966,-0.1725267,2.849508
-0.05921042,-0.07228966,-0.1725267,2.862273
-0.0583548,-0.07062224,-0.1717898,2.874293
-0.05809811,-0.06966753,-0.1714939,2.887984
-0.05809811,-0.06966753,-0.1714939,2.901452
-0.05789255,-0.06813771,-0.1709531,2.915334
-0.05735212,-0.06719604,-0.1701928,2.930062
-0.05648576,-0.06557945,-0.1694739,2.955402
-0.05648576,-0.06557945,-0.1694739,2.963686
-0.05634553,-0.0644573,-0.1693052,2.970772
-0.05634553,-0.0644573,-0.1693052,2.98365
-0.05660206,-0.06072598,-0.1691075,3.011303
-0.05660206,-0.06072598,-0.1691075,3.020112
-0.05686652,-0.0595371,-0.1689262,3.027016
-0.05686652,-0.0595371,-0.1689262,3.038322
-0.05686843,-0.05748881,-0.1686127,3.051379
-0.05704788,-0.0561322,-0.1685321,3.065486
-0.05704788,-0.0561322,-0.1685321,3.079636
-0.0572796,-0.05395638,-0.1681256,3.090951
-0.05745369,-0.05246222,-0.1679504,3.105184
-0.05745369,-0.05246222,-0.1679504,3.118122
-0.05772829,-0.05001552,-0.167743,3.130626
-0.05772829,-0.05001552,-0.167743,3.141677
-0.057956,-0.04766919,-0.167602,3.154928
-0.05793227,-0.04604026,-0.1674557,3.169282
-0.05793227,-0.04604026,-0.1674557,3.182954
-0.05771928,-0.04322211,-0.1674683,3.197245
-0.05755642,-0.04153567,-0.1675085,3.21216
-0.05755642,-0.04153567,-0.1675085,3.224277
-0.0568178,-0.03887835,-0.167119,3.238323
-0.0566196,-0.03761759,-0.1668834,3.251969
-0.05630147,-0.03599041,-0.1669764,3.266246
-0.05630147,-0.03599041,-0.1669764,3.279327
-0.05561825,-0.0330167,-0.1670832,3.290857
-0.05558196,-0.0308877,-0.1671669,3.305411
-0.05558196,-0.0308877,-0.1671669,3.319664
-0.05549963,-0.02755482,-0.1676706,3.333389
-0.05569586,-0.02592545,-0.167561,3.347261
-0.05569586,-0.02592545,-0.167561,3.357837
-0.05533989,-0.022519,-0.1679396,3.371387
-0.05572349,-0.02049042,-0.1682453,3.387277
-0.05572349,-0.02049042,-0.1682453,3.401262
-0.0561095,-0.01658258,-0.1692547,3.416521
-0.05603603,-0.01514206,-0.1693614,3.42916
-0.05603603,-0.01514206,-0.1693614,3.440312
-0.05592523,-0.01203842,-0.170123,3.454519
-0.05611178,-0.01047624,-0.1704743,3.468635
-0.05611178,-0.01047624,-0.1704743,3.481724
-0.05612945,-0.008005522,-0.1706682,3.493783
-0.0565041,-0.005922705,-0.1712333,3.506124
-0.0565041,-0.005922705,-0.1712333,3.520597
-0.05683561,-0.002969153,-0.1715241,3.534033
-0.0567869,-0.001522228,-0.1714989,3.54829
-0.0567869,-0.001522228,-0.1714989,3.562263
-0.05679969,0.000593856,-0.1713195,3.575102
-0.05673129,0.002113871,-0.1715603,3.589559
-0.05673129,0.002113871,-0.1715603,3.603477
-0.0573396,0.004634224,-0.1723164,3.616507
-0.05753991,0.005800754,-0.1725532,3.630884
-0.05782006,0.006968342,-0.1727388,3.645144
-0.05782006,0.006968342,-0.1727388,3.657093
-0.05764429,0.008602269,-0.1727459,3.67124
-0.05740907,0.00967066,-0.1727854,3.685864
-0.05740907,0.00967066,-0.1727854,3.699208
-0.05720478,0.01169159,-0.1730191,3.712837
-0.05729875,0.01412634,-0.1733009,3.746816
-0.05729875,0.01412634,-0.1733009,3.755163
-0.05729875,0.01412634,-0.1733009,3.762191
-0.05710546,0.01530815,-0.173331,3.769211
-0.05710546,0.01530815,-0.173331,3.783415
-0.05639102,0.01718757,-0.1733113,3.797
-0.05545572,0.01811883,-0.1728612,3.809321
-0.05545572,0.01811883,-0.1728612,3.823771
-0.05391024,0.02108926,-0.1724413,3.835653
-0.05319663,0.02318453,-0.1725176,3.849709
-0.05286587,0.02518697,-0.172723,3.864662
-0.05286587,0.02518697,-0.172723,3.879287
-0.05233089,0.02849151,-0.1731385,3.890465
-0.05232861,0.03081592,-0.1735945,3.90561
-0.05232861,0.03081592,-0.1735945,3.91976
-0.05321911,0.03430534,-0.1745766,3.931639
-0.05394407,0.03604507,-0.1749157,3.945145
-0.05394407,0.03604507,-0.1749157,3.957013
-0.05514723,0.03951687,-0.1759562,3.97171
-0.05613808,0.04126702,-0.1765388,3.985912
-0.05613808,0.04126702,-0.1765388,3.999684
-0.05846512,0.04424263,-0.1769143,4.01382
-0.05967093,0.04610655,-0.1772356,4.027369
-0.05967093,0.04610655,-0.1772356,4.039312
-0.06148271,0.04942942,-0.1771612,4.05922
-0.06229075,0.05068904,-0.1773333,4.067641
-0.06229075,0.05068904,-0.1773333,4.081734
-0.06382182,0.0532258,-0.1777007,4.095643
-0.06466661,0.05468247,-0.1779611,4.107923
-0.06466661,0.05468247,-0.1779611,4.121488
-0.06569123,0.05727831,-0.178654,4.134915
-0.0661391,0.05852291,-0.1791266,4.148317
-0.0661391,0.05852291,-0.1791266,4.162628
-0.06746995,0.06027925,-0.179749,4.174824
-0.06800272,0.06118608,-0.17975,4.188672
-0.06800272,0.06118608,-0.17975,4.202248
-0.06946215,0.06336627,-0.1802457,4.215593
-0.07014659,0.06461629,-0.1806887,4.229969
-0.07014659,0.06461629,-0.1806887,4.2422
-0.07178837,0.06657787,-0.1815617,4.255732
-0.07260907,0.06734654,-0.1817266,4.270168
-0.07260907,0.06734654,-0.1817266,4.284206
-0.0733858,0.06847967,-0.1818116,4.297534
-0.07414251,0.06929602,-0.1822023,4.31146
-0.07492033,0.06992654,-0.1826028,4.324752
-0.07492033,0.06992654,-0.1826028,4.33908
-0.07612041,0.07043736,-0.1830694,4.351871
-0.07612041,0.07043736,-0.1830694,4.364489
-0.07810146,0.07009479,-0.1834221,4.400419
-0.07841622,0.07019387,-0.183568,4.409112
-0.07841622,0.07019387,-0.183568,4.416939
-0.07841622,0.07019387,-0.183568,4.423995
-0.07912587,0.07031012,-0.1838565,4.438147
-0.07924655,0.07023425,-0.1838705,4.451187
-0.07924655,0.07023425,-0.1838705,4.464003
-0.07953405,0.07015596,-0.1838031,4.478116
-0.0797904,0.07018591,-0.1837924,4.489944
-0.0797904,0.07018591,-0.1837924,4.504234
-0.07996979,0.07033263,-0.1836583,4.518554
-0.07997574,0.0703426,-0.1835038,4.531676
-0.07997574,0.0703426,-0.1835038,4.543876
-0.07957608,0.07052044,-0.1832822,4.555632
-0.07923504,0.0706085,-0.1830953,4.570462
-0.07923504,0.0706085,-0.1830953,4.583723
-0.07879465,0.07079656,-0.1826747,4.598175
-0.07894195,0.07095812,-0.1824944,4.611712
-0.07894195,0.07095812,-0.1824944,4.624478
-0.07885335,0.07108005,-0.1821544,4.637494
-0.07882896,0.07109099,-0.1819269,4.650946
-0.0787518,0.07120036,-0.1817771,4.665135
-0.0787518,0.07120036,-0.1817771,4.679585
-0.07914846,0.07138778,-0.1815506,4.691564
-0.07935622,0.07154623,-0.1814311,4.70571
-0.07935622,0.07154623,-0.1814311,4.719048
-0.07973494,0.0717149,-0.1810802,4.731879
-0.08023103,0.0717992,-0.1808143,4.745889
-0.08023103,0.0717992,-0.1808143,4.758299
-0.08087922,0.0720178,-0.1803597,4.771733
-0.08145159,0.07202522,-0.1799903,4.786553
-0.08145159,0.07202522,-0.1799903,4.800991
-0.08292997,0.07216415,-0.1793793,4.81566
-0.08373285,0.07214046,-0.1789701,4.830629
-0.08373285,0.07214046,-0.1789701,4.841793
-0.08463432,0.07237188,-0.1785108,4.854045
-0.08536939,0.07246097,-0.1781575,4.867701
-0.08536939,0.07246097,-0.1781575,4.881618
-0.08722159,0.07271221,-0.177508,4.896145
-0.08854266,0.07290983,-0.1772373,4.908813
-0.08854266,0.07290983,-0.1772373,4.923129
-0.09107655,0.07349715,-0.1768568,4.93765
-0.09221203,0.07355028,-0.1764226,4.952478
-0.09321947,0.07370393,-0.1761536,4.965954
-0.09321947,0.07370393,-0.1761536,4.978316
-0.09472461,0.0739177,-0.1757898,4.98997
-0.09610523,0.07409443,-0.1756742,5.00537
-0.09610523,0.07409443,-0.1756742,5.019134
-0.09832335,0.07454355,-0.1755124,5.03221
-0.09924506,0.07463658,-0.175269,5.046859
-0.09924506,0.07463658,-0.175269,5.059299
-0.1011788,0.07505006,-0.1751772,5.07309
-0.1022214,0.0752105,-0.1749856,5.088279
-0.1022214,0.0752105,-0.1749856,5.101808
-0.1037457,0.07561594,-0.174758,5.114923
-0.1054578,0.07575642,-0.1739474,5.150265
-0.1054578,0.07575642,-0.1739474,5.158571
-0.1067235,0.07602009,-0.1738379,5.165693
-0.1067235,0.07602009,-0.1738379,5.173504
-0.1083704,0.07637371,-0.1737218,5.184649
-0.1083704,0.07637371,-0.1737218,5.201593
-0.1104705,0.07691295,-0.1736791,5.213123
-0.1113346,0.07706192,-0.1735925,5.2276
-0.1113346,0.07706192,-0.1735925,5.240436
-0.1125518,0.0773064,-0.1735176,5.25281
-0.1131188,0.07759878,-0.1735889,5.267274
-0.1131188,0.07759878,-0.1735889,5.282098
-0.1147321,0.07850833,-0.1740527,5.296895
-0.1168223,0.07925874,-0.1742607,5.32485
-0.1168223,0.07925874,-0.1742607,5.333074
-0.1168223,0.07925874,-0.1742607,5.340425
-0.1179726,0.07947145,-0.1741661,5.352857
-0.118285,0.07954174,-0.1740516,5.366748
-0.118285,0.07954174,-0.1740516,5.381148
-0.1194751,0.07969293,-0.1738071,5.394888
-0.1204416,0.07996015,-0.1737838,5.408091
-0.1204416,0.07996015,-0.1737838,5.423254
-0.1217339,0.08004516,-0.173502,5.43726
-0.1220654,0.08002315,-0.1733698,5.450053
