X, Y, Z, Time
-0.0211897,-0.1624804,-0.2070228,0.0164934
-0.02140068,-0.1622614,-0.2073907,0.0321372
-0.02119169,-0.1635476,-0.2074704,0.0479624
-0.02119169,-0.1635476,-0.2074704,0.0641954
-0.02242788,-0.161708,-0.2071164,0.0795489
-0.022865,-0.1789495,-0.2082447,0.1007717
-0.02421705,-0.1655826,-0.2076799,0.1168398
-0.02675209,-0.184542,-0.2071472,0.1324466
-0.02675209,-0.184542,-0.2071472,0.1447741
-0.02654193,-0.1655116,-0.2067887,0.1606458
-0.0283138,-0.1865533,-0.2069762,0.1773954
-0.0277581,-0.1664841,-0.2080521,0.1937517
-0.02737099,-0.1785866,-0.2056012,0.209562
-0.02737099,-0.1785866,-0.2056012,0.2253725
-0.02842834,-0.1649349,-0.2067281,0.2417536
-0.02876354,-0.1797543,-0.2073543,0.2582873
-0.02838575,-0.1540953,-0.2043805,0.2735942
-0.0385452,-0.1986486,-0.202168,0.2874474
-0.0385452,-0.1986486,-0.202168,0.3041795
-0.03732311,-0.1697842,-0.2041526,0.3196343
-0.03894848,-0.1584713,-0.2023122,0.3367367
-0.03665045,-0.1967577,-0.1995019,0.3508437
-0.03665045,-0.1967577,-0.1995019,0.36647
-0.03858269,-0.1665483,-0.1969583,0.3819975
-0.04082552,-0.1681796,-0.1963383,0.3975011
-0.03801462,-0.1874787,-0.1984381,0.4145772
-0.03674873,-0.1675481,-0.198444,0.4294589
-0.03674873,-0.1675481,-0.198444,0.4434151
-0.03681317,-0.1576713,-0.1974609,0.4592968
-0.03700162,-0.1914667,-0.1940707,0.4744439
-0.0368312,-0.16549,-0.1946954,0.4875306
-0.0368312,-0.16549,-0.1946954,0.5036324
-0.03506306,-0.1581864,-0.1982624,0.5362522
-0.03506306,-0.1581864,-0.1982624,0.5445197
-0.03529813,-0.1624511,-0.2017078,0.5605209
-0.03529813,-0.1624511,-0.2017078,0.5758902
-0.03566759,-0.16193,-0.2019038,0.5925726
-0.0370878,-0.1722333,-0.2014765,0.6084431
-0.03726884,-0.1605891,-0.2024312,0.6302124
-0.0401711,-0.1782498,-0.2012341,0.6485329
-0.04063472,-0.160201,-0.2020544,0.6618354
-0.04063472,-0.160201,-0.2020544,0.6741116
-0.03933356,-0.1630068,-0.2030316,0.6897074
-0.04242539,-0.1810417,-0.205655,0.7060899
-0.04404521,-0.1636566,-0.2041252,0.7200565
-0.04404521,-0.1636566,-0.2041252,0.7362626
-0.04462581,-0.1559288,-0.2050685,0.7512032
-0.05301871,-0.1991498,-0.1965191,0.7666056
-0.05168666,-0.1694858,-0.1989019,0.7850116
-0.0519251,-0.1630657,-0.1985516,0.7995815
-0.0519251,-0.1630657,-0.1985516,0.8128741
-0.05184349,-0.1600688,-0.1991106,0.8285403
-0.05164717,-0.1769562,-0.195773,0.843711
-0.05164717,-0.1769562,-0.195773,0.8589355
-0.05304289,-0.1865279,-0.1886773,0.874343
-0.05232828,-0.1667711,-0.1889117,0.887156
-0.05415639,-0.1639134,-0.1888278,0.9023287
-0.05415639,-0.1639134,-0.1888278,0.9182881
-0.05661519,-0.1662889,-0.1888049,0.93296
-0.05953385,-0.1752754,-0.1870152,0.9488562
-0.05780914,-0.1596109,-0.1859284,0.9653651
-0.06191784,-0.1833342,-0.1922515,0.9809238
-0.06191784,-0.1833342,-0.1922515,0.9968992
-0.0606977,-0.1636588,-0.1934449,1.011415
-0.06078479,-0.1586584,-0.1956264,1.028226
-0.06201477,-0.1891827,-0.1908799,1.043955
-0.06230633,-0.1657589,-0.1960882,1.059565
-0.06230633,-0.1657589,-0.1960882,1.076062
-0.06317422,-0.1634315,-0.19581,1.090195
-0.06401499,-0.1596121,-0.1958361,1.106331
-0.06448884,-0.1929117,-0.1951199,1.119344
-0.06448884,-0.1929117,-0.1951199,1.135175
-0.06029264,-0.1661015,-0.1955279,1.150927
-0.06058809,-0.1569853,-0.1955058,1.165892
-0.07222577,-0.2263158,-0.1784974,1.181489
-0.07222577,-0.2263158,-0.1784974,1.197553
-0.07170423,-0.1742809,-0.1796779,1.212403
-0.07185496,-0.1645576,-0.1796102,1.228432
-0.07154541,-0.1639802,-0.1806818,1.244679
-0.07140721,-0.1626488,-0.1792182,1.260085
-0.07140721,-0.1626488,-0.1792182,1.276472
-0.0723143,-0.1750449,-0.1778744,1.292917
-0.07242215,-0.1596028,-0.1772302,1.309003
-0.07202393,-0.1791953,-0.1777517,1.325423
-0.07320669,-0.1630006,-0.1783878,1.341124
-0.07320669,-0.1630006,-0.1783878,1.357337
-0.0721118,-0.1724638,-0.1774963,1.372254
-0.07247544,-0.1619938,-0.1770404,1.389051
-0.07157199,-0.1636694,-0.1767939,1.402938
-0.07157199,-0.1636694,-0.1767939,1.418265
-0.07189983,-0.1614861,-0.1774311,1.433383
-0.07285248,-0.1707548,-0.1778856,1.449105
-0.07281301,-0.1645555,-0.1777795,1.465037
-0.07206458,-0.1612607,-0.1779983,1.481238
-0.07206458,-0.1612607,-0.1779983,1.49769
-0.07151565,-0.1668613,-0.1785852,1.512347
-0.07193518,-0.158215,-0.1779341,1.52849
-0.07375938,-0.1732628,-0.1773268,1.543356
-0.07375938,-0.1732628,-0.1773268,1.558698
-0.07436566,-0.1616338,-0.1771732,1.575044
-0.0744649,-0.1619478,-0.1778087,1.590097
-0.07385323,-0.1613628,-0.1769568,1.605658
-0.07486335,-0.1696982,-0.1774336,1.619437
-0.07486335,-0.1696982,-0.1774336,1.634302
-0.07540077,-0.1624361,-0.1773925,1.649451
-0.07478899,-0.1610162,-0.177163,1.665502
-0.07637662,-0.1607082,-0.1768662,1.681567
-0.07637662,-0.1607082,-0.1768662,1.697673
-0.07584135,-0.1601241,-0.1764796,1.711831
-0.0731416,-0.1802523,-0.1750375,1.727723
-0.07202619,-0.1651706,-0.1756106,1.742023
-0.07202619,-0.1651706,-0.1756106,1.757726
-0.07220594,-0.1608981,-0.1751361,1.771642
-0.07396983,-0.1740974,-0.1756959,1.785921
-0.07280798,-0.1624559,-0.1752243,1.802236
-0.07280798,-0.1624559,-0.1752243,1.818094
-0.0751527,-0.174493,-0.1740494,1.83329
-0.07621343,-0.1623177,-0.1739062,1.849886
-0.07667487,-0.1788714,-0.1689466,1.865269
-0.07781886,-0.1637928,-0.169847,1.880134
-0.07781886,-0.1637928,-0.169847,1.895231
-0.07851743,-0.1602601,-0.1703586,1.911519
-0.07856756,-0.1789498,-0.1700244,1.927023
-0.07850897,-0.1643588,-0.1699835,1.942877
-0.0781219,-0.1616437,-0.1689378,1.959589
-0.0781219,-0.1616437,-0.1689378,1.975434
-0.07785271,-0.1612822,-0.1677482,1.990969
-0.07781128,-0.1634412,-0.1678954,2.006167
-0.07843556,-0.1617169,-0.1669217,2.020852
-0.07843556,-0.1617169,-0.1669217,2.035796
-0.07796522,-0.169908,-0.1669842,2.0514
-0.07844724,-0.16142,-0.1662216,2.066721
-0.0773541,-0.1718288,-0.1656387,2.082608
-0.0773541,-0.1718288,-0.1656387,2.098347
-0.07789841,-0.161816,-0.1656895,2.115526
-0.07759254,-0.1605597,-0.1654227,2.13224
-0.0781107,-0.1792082,-0.1652941,2.148903
-0.07817963,-0.1640123,-0.1657902,2.165072
-0.07817963,-0.1640123,-0.1657902,2.178361
-0.07764271,-0.1618942,-0.1652606,2.193979
