X, Y, Z, Time
-0.02119559,-0.1624503,-0.2070244,0.0121009
-0.02121683,-0.1620086,-0.2113592,0.0266324
-0.02121683,-0.1620086,-0.2113592,0.0392752
-0.02133992,-0.1618388,-0.2114003,0.0565174
-0.02147081,-0.1608557,-0.2112104,0.0714531
-0.02147081,-0.1608557,-0.2112104,0.0826159
-0.02223684,-0.176698,-0.2117849,0.09201711
-0.02166547,-0.1637867,-0.2116094,0.1068112
-0.02166547,-0.1637867,-0.2116094,0.1216032
-0.02130142,-0.1658388,-0.2119812,0.1355618
-0.0221397,-0.1606955,-0.2122041,0.1476151
-0.0221397,-0.1606955,-0.2122041,0.161453
-0.0234542,-0.1810259,-0.2167134,0.1751504
-0.02269861,-0.1647386,-0.2157198,0.1867471
-0.02269861,-0.1647386,-0.2157198,0.20113
-0.0225412,-0.1604999,-0.2159074,0.2127395
-0.02394992,-0.1810562,-0.2154059,0.2272825
-0.02394992,-0.1810562,-0.2154059,0.238534
-0.02227913,-0.1655715,-0.2162135,0.2526954
-0.0221164,-0.1627475,-0.2151532,0.2651847
-0.0221164,-0.1627475,-0.2151532,0.2782878
-0.02244419,-0.1632724,-0.2151213,0.2913546
-0.0208558,-0.1877737,-0.2124356,0.3054899
-0.0208558,-0.1877737,-0.2124356,0.3188749
-0.02105414,-0.1675188,-0.2137364,0.3314087
-0.02215954,-0.1603379,-0.2120529,0.344774
-0.02215954,-0.1603379,-0.2120529,0.3585226
-0.01996829,-0.1747805,-0.2112011,0.3713726
-0.01996829,-0.1747805,-0.2112011,0.3844076
-0.01916681,-0.1642773,-0.2116213,0.3969373
-0.01958203,-0.1627076,-0.2119547,0.4139942
-0.01943721,-0.1618491,-0.2120062,0.4248255
-0.01943721,-0.1618491,-0.2120062,0.43742
-0.01987191,-0.1833161,-0.214032,0.4509543
-0.01987191,-0.1833161,-0.214032,0.4625607
-0.01838104,-0.1665202,-0.2138533,0.4768194
-0.01931584,-0.1616731,-0.213068,0.4906997
-0.01931584,-0.1616731,-0.213068,0.5043633
-0.02092345,-0.1761094,-0.2126088,0.5178855
-0.02070123,-0.1629893,-0.2119859,0.5307213
-0.02070123,-0.1629893,-0.2119859,0.5432476
-0.02105384,-0.1631467,-0.2122843,0.5567398
-0.02240448,-0.1623879,-0.2112973,0.5704258
-0.02219117,-0.1619814,-0.2112779,0.5848494
-0.02219117,-0.1619814,-0.2112779,0.5968322
-0.02315977,-0.1627122,-0.2106028,0.6106491
-0.02315977,-0.1627122,-0.2106028,0.624443
-0.02291056,-0.1619846,-0.2106045,0.6358523
-0.02296957,-0.172022,-0.2112138,0.6493543
-0.02296957,-0.172022,-0.2112138,0.6626522
-0.02197575,-0.1609913,-0.210688,0.6763926
-0.0219785,-0.1776067,-0.2094978,0.6890416
-0.0219785,-0.1776067,-0.2094978,0.7026413
-0.02241858,-0.1650531,-0.2099365,0.7125487
-0.02255031,-0.1627902,-0.2095522,0.7270143
-0.02255031,-0.1627902,-0.2095522,0.7409486
-0.02261767,-0.1641122,-0.2100046,0.7548865
-0.02285932,-0.1609565,-0.2093573,0.768655
-0.02285932,-0.1609565,-0.2093573,0.7810891
-0.02253163,-0.1722484,-0.208658,0.7939675
-0.02238476,-0.1630614,-0.2087614,0.8068596
-0.02238476,-0.1630614,-0.2087614,0.8208725
-0.02181787,-0.1628101,-0.2078624,0.8335462
-0.02165845,-0.1610456,-0.2078955,0.8457444
-0.02165845,-0.1610456,-0.2078955,0.8598823
-0.02159092,-0.1694648,-0.2075599,0.8730674
-0.02147906,-0.163868,-0.2075051,0.8883171
-0.02147906,-0.163868,-0.2075051,0.9018199
-0.02093625,-0.1621189,-0.207335,0.9144083
-0.02069881,-0.1636786,-0.2074085,0.9279332
-0.02069881,-0.1636786,-0.2074085,0.94218
-0.02093348,-0.1622882,-0.2073407,0.9548793
-0.02061355,-0.1634146,-0.2073351,0.9692779
-0.02061355,-0.1634146,-0.2073351,0.9801773
-0.02091698,-0.1620026,-0.2072494,0.9933605
-0.0208793,-0.1631216,-0.2076343,1.007761
-0.0208793,-0.1631216,-0.2076343,1.021145
-0.02093423,-0.1619828,-0.2072276,1.034457
-0.02094028,-0.1629971,-0.2075908,1.047421
-0.02094028,-0.1629971,-0.2075908,1.061359
-0.02093993,-0.1621601,-0.2071669,1.072531
-0.02104282,-0.1617653,-0.207205,1.087052
-0.02104282,-0.1617653,-0.207205,1.101737
-0.02104216,-0.1622545,-0.207243,1.112917
-0.02105766,-0.1620299,-0.2074984,1.127765
-0.02105766,-0.1620299,-0.2074984,1.140914
-0.02111673,-0.161398,-0.2073614,1.154747
-0.02113462,-0.1612059,-0.2073265,1.168373
-0.02113462,-0.1612059,-0.2073265,1.181528
-0.02116758,-0.1617973,-0.2071529,1.195092
-0.02119721,-0.1608098,-0.2072852,1.209075
-0.02119721,-0.1608098,-0.2072852,1.222643
-0.02068538,-0.1615602,-0.2038212,1.236352
-0.02078151,-0.160772,-0.2060538,1.250865
-0.02078151,-0.160772,-0.2060538,1.261749
-0.02079119,-0.1606791,-0.2040156,1.275952
-0.0209114,-0.1603923,-0.2037464,1.289212
-0.0209114,-0.1603923,-0.2037464,1.303139
-0.02067205,-0.1603665,-0.2034259,1.315697
-0.02059927,-0.1604008,-0.2031627,1.329846
-0.02059927,-0.1604008,-0.2031627,1.342827
-0.02048725,-0.1604155,-0.2030553,1.355463
-0.02047683,-0.160371,-0.2029313,1.369737
-0.02047683,-0.160371,-0.2029313,1.382319
-0.02054251,-0.1603353,-0.2027019,1.395911
-0.02063211,-0.1608872,-0.2028411,1.410474
-0.02063211,-0.1608872,-0.2028411,1.423263
-0.02034579,-0.1637259,-0.2020021,1.437357
-0.02041378,-0.1610847,-0.2018581,1.455467
-0.02029163,-0.1596149,-0.2016044,1.464911
-0.02029163,-0.1596149,-0.2016044,1.477441
-0.01511992,-0.1687171,-0.1939134,1.490747
-0.0153649,-0.1625976,-0.1943599,1.50513
-0.0153649,-0.1625976,-0.1943599,1.518394
-0.01537845,-0.1608353,-0.1944128,1.529148
-0.01537845,-0.1608353,-0.1944128,1.543324
-0.01547492,-0.1603044,-0.1945404,1.556424
-0.01545159,-0.1600087,-0.1944968,1.569499
-0.01545159,-0.1600087,-0.1944968,1.581454
-0.01544676,-0.1595986,-0.1944837,1.594166
-0.01547358,-0.1593505,-0.1945187,1.607955
-0.01547358,-0.1593505,-0.1945187,1.621547
-0.01539397,-0.1585766,-0.1944129,1.633637
-0.01539748,-0.1580124,-0.1944119,1.645933
-0.01539748,-0.1580124,-0.1944119,1.660173
-0.0151843,-0.1564755,-0.1941941,1.673008
-0.0151455,-0.1556006,-0.1941395,1.68557
-0.0151455,-0.1556006,-0.1941395,1.6989
-0.01507641,-0.1545555,-0.1941563,1.71217
-0.007669492,-0.1583016,-0.1912561,1.726059
-0.007669492,-0.1583016,-0.1912561,1.739408
-0.007750605,-0.1550922,-0.1910367,1.752913
-0.007750605,-0.1550922,-0.1910367,1.763908
-0.007611902,-0.1544106,-0.1910496,1.777262
-0.007582011,-0.1542085,-0.191011,1.790925
-0.007582011,-0.1542085,-0.191011,1.803932
-0.007619394,-0.1541472,-0.1910129,1.814857
-0.007653072,-0.1541701,-0.1909776,1.829327
-0.007653072,-0.1541701,-0.1909776,1.842628
-0.007721362,-0.1541903,-0.1909768,1.854835
-0.007718297,-0.1541028,-0.1909276,1.869223
-0.007718297,-0.1541028,-0.1909276,1.881446
-0.007742644,-0.1540726,-0.1908678,1.895311
-0.007795273,-0.153972,-0.1908771,1.909625
-0.007795273,-0.153972,-0.1908771,1.922829
-0.007881353,-0.1539311,-0.1909201,1.936265
-0.007907735,-0.1538337,-0.1909434,1.947975
-0.007907735,-0.1538337,-0.1909434,1.962576
-0.007949421,-0.1536436,-0.1910007,1.976356
-0.008003222,-0.1536046,-0.1910303,1.988503
-0.008003222,-0.1536046,-0.1910303,2.002132
-0.008024889,-0.1536525,-0.1910374,2.013088
-0.008011452,-0.1536632,-0.1910225,2.026437
-0.008011452,-0.1536632,-0.1910225,2.040991
-0.008048996,-0.153575,-0.1910379,2.053842
-0.008070479,-0.1536669,-0.1910043,2.067683
-0.008070479,-0.1536669,-0.1910043,2.080156
-0.008127752,-0.153755,-0.1909614,2.094681
-0.008146076,-0.153801,-0.1909436,2.105926
-0.008146076,-0.153801,-0.1909436,2.119501
-0.007998442,-0.1538509,-0.1914142,2.133982
-0.008199136,-0.1540916,-0.1912955,2.146128
-0.008199136,-0.1540916,-0.1912955,2.159715
-0.008993888,-0.1542727,-0.1911285,2.171924
-0.009353242,-0.1543642,-0.1911772,2.185952
-0.009353242,-0.1543642,-0.1911772,2.198916
-0.01287193,-0.1546781,-0.1893767,2.212173
-0.01347745,-0.1545357,-0.1900882,2.226271
-0.01347745,-0.1545357,-0.1900882,2.23971
-0.01639267,-0.1548238,-0.1903348,2.254019
-0.01655204,-0.1548101,-0.1903062,2.265202
-0.01655204,-0.1548101,-0.1903062,2.278753
-0.01853312,-0.1545701,-0.19175,2.292795
-0.01892405,-0.154204,-0.1921376,2.305225
-0.01892405,-0.154204,-0.1921376,2.318699
-0.01948763,-0.1541124,-0.192398,2.330728
-0.01948763,-0.1541124,-0.192398,2.343666
-0.0201052,-0.1537626,-0.1926748,2.356903
-0.02025451,-0.1535763,-0.1927996,2.371631
-0.02040309,-0.1534305,-0.1928951,2.384679
-0.02040309,-0.1534305,-0.1928951,2.397803
-0.0211377,-0.1528967,-0.1933744,2.411093
-0.0211377,-0.1528967,-0.1933744,2.423436
-0.02174091,-0.1524951,-0.1936489,2.437336
-0.02185522,-0.1523658,-0.1937138,2.44844
-0.02185522,-0.1523658,-0.1937138,2.462253
-0.02207971,-0.152952,-0.193275,2.475979
-0.0224869,-0.1533012,-0.1930332,2.489311
-0.0224869,-0.1533012,-0.1930332,2.501725
-0.02288897,-0.1531656,-0.1931143,2.517101
-0.0230387,-0.1529308,-0.1932767,2.528441
-0.0230387,-0.1529308,-0.1932767,2.542458
-0.02340519,-0.1527831,-0.1934029,2.555458
-0.02342714,-0.1527699,-0.193408,2.569385
-0.02342714,-0.1527699,-0.193408,2.580078
-0.02388432,-0.1524582,-0.1936613,2.593335
-0.02391449,-0.1524306,-0.1936702,2.60761
-0.02391449,-0.1524306,-0.1936702,2.620624
-0.02385744,-0.1520681,-0.1939062,2.634195
-0.02407078,-0.1521323,-0.1938695,2.646642
-0.02407078,-0.1521323,-0.1938695,2.661552
-0.02402837,-0.151649,-0.1941434,2.672638
-0.02406031,-0.151566,-0.1941795,2.686417
-0.02406031,-0.151566,-0.1941795,2.698625
-0.0240967,-0.1518269,-0.1936292,2.727015
-0.0240967,-0.1518269,-0.1936292,2.735185
-0.0240967,-0.1518269,-0.1936292,2.742336
-0.02363189,-0.1514501,-0.1932407,2.755805
-0.0238173,-0.151392,-0.1930389,2.768658
-0.0238173,-0.151392,-0.1930389,2.781773
