X, Y, Z, Time
-0.02119363,-0.1624853,-0.2070067,0.0206277
-0.02126343,-0.1619915,-0.2106141,0.0306312
-0.02126343,-0.1619915,-0.2106141,0.0409563
-0.0214984,-0.1626386,-0.2105312,0.0743702
-0.01962025,-0.1620965,-0.210504,0.09342439
-0.02020274,-0.1520267,-0.2133224,0.1017153
-0.02020274,-0.1520267,-0.2133224,0.1098976
-0.02278068,-0.1547669,-0.215027,0.1386385
-0.02322168,-0.157334,-0.2143454,0.1467252
-0.02478191,-0.1649215,-0.2120051,0.1680136
-0.02478191,-0.1649215,-0.2120051,0.1761823
-0.02471427,-0.1624255,-0.2120183,0.1888254
-0.02448942,-0.1626532,-0.2121271,0.2222499
-0.0243363,-0.1611623,-0.2119178,0.2441533
-0.0243363,-0.1611623,-0.2119178,0.2521666
-0.0243363,-0.1611623,-0.2119178,0.259073
-0.02448435,-0.1620245,-0.2117947,0.2811081
-0.02448435,-0.1620245,-0.2117947,0.2895604
-0.02448435,-0.1620245,-0.2117947,0.3005583
-0.02473114,-0.1620518,-0.2113354,0.3289645
-0.02473114,-0.1620518,-0.2113354,0.3372683
-0.02491612,-0.1598542,-0.2112028,0.3590452
-0.02536855,-0.1677977,-0.210959,0.3667533
-0.02536855,-0.1677977,-0.210959,0.3784747
-0.02550896,-0.1616415,-0.2103402,0.4053814
-0.02550896,-0.1616415,-0.2103402,0.4136715
-0.0254923,-0.1674454,-0.2099572,0.4363913
-0.02565842,-0.1609285,-0.2104275,0.444609
-0.02565842,-0.1609285,-0.2104275,0.4542962
-0.0252512,-0.1625323,-0.2103804,0.4882243
-0.0252512,-0.1625323,-0.2103804,0.4970902
-0.02530945,-0.1618275,-0.2098492,0.516278
-0.02491082,-0.1630141,-0.2107336,0.5243369
-0.02491082,-0.1630141,-0.2107336,0.5324853
-0.02489502,-0.1625139,-0.2100631,0.5588912
-0.02556034,-0.1626964,-0.2101075,0.566998
-0.02492544,-0.1626164,-0.2105877,0.5904193
-0.02492544,-0.1626164,-0.2105877,0.5983179
-0.02493938,-0.16243,-0.2105689,0.6084486
-0.0248814,-0.1616209,-0.2105042,0.6356944
-0.02506885,-0.1613994,-0.2106003,0.6433908
-0.01921713,-0.1611249,-0.2062631,0.6657946
-0.01921713,-0.1611249,-0.2062631,0.6736272
-0.01773718,-0.1583213,-0.2065547,0.6860583
-0.01740003,-0.1561066,-0.2065447,0.7130621
-0.01749643,-0.1554038,-0.2063655,0.721107
-0.01722551,-0.1530886,-0.2060473,0.7445253
-0.01722551,-0.1530886,-0.2060473,0.7522134
-0.01725334,-0.1506965,-0.2060045,0.7631961
-0.01681632,-0.1462743,-0.2061353,0.7884244
-0.01681632,-0.1462743,-0.2061353,0.7963154
-0.01739266,-0.140051,-0.2067805,0.8188427
-0.01785988,-0.1379125,-0.2069693,0.8266973
-0.01785988,-0.1379125,-0.2069693,0.8360433
-0.01923444,-0.132425,-0.2075261,0.862635
-0.01923444,-0.132425,-0.2075261,0.8708075
-0.02033685,-0.1283863,-0.2076244,0.8948432
-0.02067428,-0.126562,-0.2076799,0.9028386
-0.02067428,-0.126562,-0.2076799,0.9138461
-0.02179338,-0.1191742,-0.2086277,0.9401429
-0.02212195,-0.1171669,-0.2088707,0.9477589
-0.02287101,-0.1137613,-0.2094432,0.9687018
-0.02287101,-0.1137613,-0.2094432,0.9764677
-0.02386644,-0.1106421,-0.2100918,0.9882718
-0.02461572,-0.1071558,-0.2101372,1.015527
-0.02480143,-0.1061753,-0.2100151,1.024988
-0.02527746,-0.104766,-0.2097272,1.053112
-0.02576348,-0.1048081,-0.209524,1.061989
-0.02622312,-0.1052604,-0.2090339,1.082325
-0.02622312,-0.1052604,-0.2090339,1.090449
-0.02622312,-0.1052604,-0.2090339,1.097641
-0.02639867,-0.1049473,-0.2075375,1.121247
-0.02639867,-0.1049473,-0.2075375,1.129526
-0.02639867,-0.1049473,-0.2075375,1.140097
-0.02767578,-0.1024807,-0.2068108,1.166275
-0.02767578,-0.1024807,-0.2068108,1.174516
-0.02783541,-0.1006466,-0.2059664,1.199706
-0.02787711,-0.09990148,-0.2056358,1.207743
-0.0274913,-0.09843753,-0.2050638,1.228483
-0.0274913,-0.09843753,-0.2050638,1.236271
-0.02775074,-0.09715233,-0.2047221,1.247688
-0.02857903,-0.09647507,-0.2042799,1.274017
-0.02877261,-0.09646876,-0.2039679,1.281783
-0.02927992,-0.09639276,-0.202935,1.304506
-0.02927992,-0.09639276,-0.202935,1.3124
-0.02937659,-0.09542721,-0.2020952,1.323139
-0.03010903,-0.09321048,-0.2017655,1.351231
-0.03010903,-0.09321048,-0.2017655,1.358991
-0.03095079,-0.09102751,-0.2020061,1.380935
-0.03137082,-0.09011244,-0.2022517,1.3887
-0.03137082,-0.09011244,-0.2022517,1.401054
-0.03331467,-0.0873463,-0.202787,1.427279
-0.03331467,-0.0873463,-0.202787,1.43558
-0.03461957,-0.08658162,-0.2023339,1.459468
-0.03517557,-0.08633271,-0.202023,1.467315
-0.03517557,-0.08633271,-0.202023,1.478835
-0.03668652,-0.08485085,-0.2007119,1.503869
-0.03668652,-0.08485085,-0.2007119,1.511986
-0.03797165,-0.08323037,-0.2003188,1.534511
-0.03869889,-0.08294838,-0.2002183,1.542225
-0.03869889,-0.08294838,-0.2002183,1.552091
-0.03994645,-0.08303264,-0.1996283,1.578735
-0.0404542,-0.08320407,-0.1993864,1.586649
-0.04129222,-0.08315644,-0.199097,1.610998
-0.04129222,-0.08315644,-0.199097,1.619031
-0.04195115,-0.08298553,-0.1988733,1.630163
-0.0431541,-0.08311436,-0.1980096,1.664784
-0.0431541,-0.08311436,-0.1980096,1.674131
-0.04387942,-0.08243564,-0.1970015,1.693868
-0.04431781,-0.08158545,-0.1967633,1.701647
-0.04431781,-0.08158545,-0.1967633,1.709603
-0.04684439,-0.07611985,-0.1980315,1.7353
-0.04800047,-0.07473361,-0.1983135,1.743342
-0.04986345,-0.07374841,-0.1983596,1.765712
-0.04986345,-0.07374841,-0.1983596,1.773401
-0.05123932,-0.07318759,-0.1980952,1.78172
-0.05463571,-0.07192276,-0.1976282,1.808888
-0.05463571,-0.07192276,-0.1976282,1.816856
-0.06035716,-0.07118776,-0.1967426,1.841257
-0.06035716,-0.07118776,-0.1967426,1.849345
-0.06035716,-0.07118776,-0.1967426,1.857864
-0.06721808,-0.07370073,-0.1939806,1.887043
-0.06721808,-0.07370073,-0.1939806,1.895464
-0.07111368,-0.07480858,-0.1924923,1.917317
-0.07212251,-0.0753879,-0.1919304,1.925125
-0.07212251,-0.0753879,-0.1919304,1.934688
-0.07638727,-0.0774918,-0.1890477,1.961609
-0.07638727,-0.0774918,-0.1890477,1.96984
-0.08119655,-0.07672703,-0.188013,1.991406
-0.08119655,-0.07672703,-0.188013,1.999179
-0.08442937,-0.07606238,-0.187641,2.008253
-0.09035878,-0.07511856,-0.1869329,2.037382
-0.09203633,-0.07478429,-0.1866538,2.045362
-0.09534563,-0.07358824,-0.1861544,2.066655
-0.09534563,-0.07358824,-0.1861544,2.074509
-0.09813817,-0.07239331,-0.1858931,2.084659
