X, Y, Z, Time
-0.02119447,-0.162478,-0.2070039,0.0137031
-0.02123988,-0.162244,-0.2071358,0.0274015
-0.02123988,-0.162244,-0.2071358,0.0403496
-0.0212285,-0.1634244,-0.2072533,0.0538388
-0.02138428,-0.1627433,-0.2072687,0.0664048
-0.02138428,-0.1627433,-0.2072687,0.0795754
-0.02246465,-0.1629793,-0.2071532,0.0973823
-0.02278853,-0.1625707,-0.2072393,0.1124452
-0.02162444,-0.1776383,-0.2063023,0.1232915
-0.02162444,-0.1776383,-0.2063023,0.1351981
-0.02098562,-0.1624697,-0.2077348,0.1489086
-0.02075211,-0.161543,-0.2069912,0.1631853
-0.02075211,-0.161543,-0.2069912,0.1760709
-0.02093089,-0.1926018,-0.2038817,0.1873484
-0.02093089,-0.1926018,-0.2038817,0.1999474
-0.01968081,-0.167787,-0.2058514,0.2135296
-0.01997539,-0.1635942,-0.2048866,0.2272549
-0.01997539,-0.1635942,-0.2048866,0.2397872
-0.02048321,-0.1912824,-0.2031669,0.2526296
-0.01880896,-0.1680896,-0.2052351,0.2665185
-0.01880896,-0.1680896,-0.2052351,0.2799958
-0.019348,-0.1635295,-0.20569,0.2923095
-0.02241795,-0.1838631,-0.2073236,0.3043125
-0.02241795,-0.1838631,-0.2073236,0.3182647
-0.02175917,-0.164437,-0.20755,0.3315664
-0.0228719,-0.1606693,-0.2058742,0.3456685
-0.0228719,-0.1606693,-0.2058742,0.3584973
-0.02292123,-0.190626,-0.2015066,0.3701649
-0.02170766,-0.1662864,-0.2029014,0.3845249
-0.02170766,-0.1662864,-0.2029014,0.3972518
-0.0216065,-0.1616277,-0.2019954,0.4106353
-0.0207985,-0.1766928,-0.2018829,0.4228484
-0.0207985,-0.1766928,-0.2018829,0.4360571
-0.02086164,-0.1633157,-0.201414,0.448447
-0.02086164,-0.1633157,-0.201414,0.4625568
-0.02050884,-0.1622785,-0.2015642,0.4761943
-0.01972503,-0.1765513,-0.2009871,0.4894008
-0.01972503,-0.1765513,-0.2009871,0.5020084
