X, Y, Z, Time
-0.02121205,-0.1624413,-0.2070086,0.0139247
-0.02132653,-0.1619624,-0.2072554,0.0266579
-0.02132653,-0.1619624,-0.2072554,0.0412427
-0.02128703,-0.1625064,-0.2069466,0.0530829
-0.02142678,-0.162972,-0.2072062,0.06439219
-0.02142678,-0.162972,-0.2072062,0.07745349
-0.02033367,-0.1742435,-0.206224,0.108175
-0.01960205,-0.1643376,-0.2061652,0.1262484
-0.01960205,-0.1643376,-0.2061652,0.1352001
-0.02012173,-0.1601742,-0.2054283,0.1445497
-0.02012173,-0.1601742,-0.2054283,0.1556852
-0.02048008,-0.1810921,-0.2040602,0.1670049
-0.02048008,-0.1810921,-0.2040602,0.1790379
-0.01987776,-0.1649188,-0.2060703,0.1935375
-0.02075012,-0.1598332,-0.2062549,0.2077706
-0.02075012,-0.1598332,-0.2062549,0.2211538
-0.02239051,-0.1859111,-0.2001692,0.2329196
-0.02190306,-0.1652935,-0.2013227,0.2478751
-0.02190306,-0.1652935,-0.2013227,0.2608708
-0.02140942,-0.1602005,-0.2003102,0.2741881
-0.02136496,-0.1747275,-0.2012964,0.2886784
-0.02136496,-0.1747275,-0.2012964,0.3006709
-0.02129263,-0.1627057,-0.2014267,0.3148961
-0.02124103,-0.1609945,-0.2016231,0.3292727
-0.02124103,-0.1609945,-0.2016231,0.3424091
-0.02124691,-0.1653941,-0.2008562,0.3559187
-0.02143711,-0.1624531,-0.2012685,0.3701864
-0.02143711,-0.1624531,-0.2012685,0.3817858
-0.0209293,-0.161903,-0.2014424,0.3959851
-0.0208938,-0.163188,-0.2010712,0.4106573
-0.0208537,-0.1613244,-0.2013692,0.4236937
-0.0208537,-0.1613244,-0.2013692,0.4345394
-0.02583182,-0.1589986,-0.2043062,0.4481966
-0.02583182,-0.1589986,-0.2043062,0.4636129
-0.02496372,-0.1530838,-0.2055212,0.4756838
-0.02477214,-0.1501319,-0.2058895,0.4901948
-0.02431155,-0.1473627,-0.2059488,0.505204
-0.02431155,-0.1473627,-0.2059488,0.5176437
-0.02378979,-0.1421131,-0.205914,0.5319403
-0.02374452,-0.1385268,-0.2062593,0.5463732
-0.02374452,-0.1385268,-0.2062593,0.5598713
-0.02350917,-0.133336,-0.2067461,0.5736918
-0.02366845,-0.1309134,-0.2070594,0.5873157
-0.02366845,-0.1309134,-0.2070594,0.599591
-0.02449047,-0.1270341,-0.2077217,0.6149116
-0.02468973,-0.1253738,-0.2078421,0.6273726
-0.02468973,-0.1253738,-0.2078421,0.6410552
-0.02506049,-0.1221251,-0.2082938,0.6557829
-0.0252324,-0.1208981,-0.2083708,0.6674351
-0.0252324,-0.1208981,-0.2083708,0.6808506
-0.02587798,-0.1181644,-0.208876,0.6943666
-0.02604408,-0.1164628,-0.2091222,0.7079539
-0.02604408,-0.1164628,-0.2091222,0.7209368
-0.02611074,-0.1144361,-0.2093246,0.7334614
-0.02606268,-0.1131796,-0.2094906,0.7486976
-0.02606268,-0.1131796,-0.2094906,0.7632413
-0.02613075,-0.1116083,-0.2093065,0.7768775
-0.02633207,-0.110921,-0.2090624,0.7892519
-0.02633207,-0.110921,-0.2090624,0.8033674
-0.02627906,-0.1097107,-0.2084047,0.8150443
-0.02602233,-0.1085471,-0.2081473,0.8289393
-0.02602233,-0.1085471,-0.2081473,0.8427902
-0.02612839,-0.1069665,-0.2079007,0.8571997
-0.02643158,-0.1064143,-0.2077479,0.8704053
-0.02643158,-0.1064143,-0.2077479,0.8826008
-0.02661035,-0.1053728,-0.2073822,0.8964366
-0.02662754,-0.1046935,-0.207161,0.9105623
-0.0267275,-0.1041171,-0.2070593,0.9236746
-0.0267275,-0.1041171,-0.2070593,0.9371604
-0.02684994,-0.1034954,-0.2069865,0.9489669
-0.02684994,-0.1034954,-0.2069865,0.9633297
-0.02749995,-0.1030778,-0.2068444,0.9770986
-0.02752266,-0.1032132,-0.2064362,0.9908903
-0.02752266,-0.1032132,-0.2064362,1.003204
-0.02746751,-0.1030532,-0.2061451,1.014921
-0.02758533,-0.1028278,-0.2061266,1.030298
-0.02758533,-0.1028278,-0.2061266,1.042708
-0.02713139,-0.1033711,-0.2055536,1.05672
-0.02681801,-0.10379,-0.2052383,1.071074
-0.02681801,-0.10379,-0.2052383,1.08352
-0.02614272,-0.1047555,-0.2040965,1.098008
-0.02545802,-0.1051369,-0.2032501,1.112095
-0.02502858,-0.1054234,-0.2023621,1.126123
-0.02502858,-0.1054234,-0.2023621,1.140708
-0.02401997,-0.1055067,-0.2009164,1.154833
-0.02350367,-0.105602,-0.200139,1.166194
-0.02231756,-0.1061132,-0.1985701,1.186718
-0.02231756,-0.1061132,-0.1985701,1.195616
-0.02091484,-0.1064832,-0.1966292,1.207753
-0.02091484,-0.1064832,-0.1966292,1.220375
-0.01918421,-0.1069532,-0.1942167,1.231563
-0.01859627,-0.1072333,-0.1930067,1.24467
-0.01859627,-0.1072333,-0.1930067,1.257827
-0.01763802,-0.1077564,-0.1902512,1.272132
-0.01682435,-0.1078223,-0.189016,1.284446
-0.01682435,-0.1078223,-0.189016,1.298711
-0.01683105,-0.1068751,-0.1875749,1.312026
-0.01742781,-0.1065918,-0.1868506,1.325904
-0.01742781,-0.1065918,-0.1868506,1.339101
-0.01835489,-0.1062768,-0.1853096,1.353433
-0.01871029,-0.1059684,-0.1845194,1.365635
-0.01871029,-0.1059684,-0.1845194,1.379743
-0.02006913,-0.1051594,-0.1831653,1.393281
-0.02107978,-0.104419,-0.1827184,1.407667
-0.02107978,-0.104419,-0.1827184,1.421619
-0.02290566,-0.1029305,-0.1822534,1.433979
-0.02350115,-0.1020917,-0.1819959,1.447272
-0.02350115,-0.1020917,-0.1819959,1.461206
-0.02483902,-0.1005049,-0.1813313,1.473964
-0.02568923,-0.09886473,-0.1815987,1.489641
-0.02568923,-0.09886473,-0.1815987,1.499119
-0.026908,-0.09634535,-0.1822511,1.513412
-0.02815923,-0.09531898,-0.182536,1.528642
-0.02815923,-0.09531898,-0.182536,1.5405
-0.02956461,-0.09393419,-0.1831405,1.552445
-0.02993302,-0.09346446,-0.1832678,1.565746
-0.02993302,-0.09346446,-0.1832678,1.579834
-0.03117036,-0.09329921,-0.1829754,1.593486
-0.03191692,-0.09314235,-0.1828552,1.607925
-0.03191692,-0.09314235,-0.1828552,1.623163
-0.03345915,-0.09268934,-0.182881,1.635287
-0.034015,-0.09238477,-0.1828383,1.650575
-0.034015,-0.09238477,-0.1828383,1.663298
