X, Y, Z, Time
-0.02076567,-0.1624926,-0.2066214,0.0148196
-0.02112097,-0.1621126,-0.2077221,0.0296598
-0.02112097,-0.1621126,-0.2077221,0.0429519
-0.02119796,-0.1632985,-0.2082067,0.056534
-0.02172182,-0.1628083,-0.2075212,0.0713883
-0.02172182,-0.1628083,-0.2075212,0.08327539
-0.02130227,-0.173266,-0.2078575,0.09769389
-0.02139926,-0.1647926,-0.208412,0.1111481
-0.02176832,-0.1631971,-0.2087981,0.123994
-0.02176832,-0.1631971,-0.2087981,0.1385713
-0.02307823,-0.1754695,-0.2088138,0.1512485
-0.0225051,-0.1653704,-0.208654,0.1689934
-0.02271807,-0.1599534,-0.2087712,0.185405
-0.02271807,-0.1599534,-0.2087712,0.1992956
-0.02486586,-0.1768837,-0.2089172,0.2101172
-0.02285169,-0.1625746,-0.2082359,0.2249921
-0.02285169,-0.1625746,-0.2082359,0.239402
-0.02180434,-0.1660896,-0.2072984,0.2533707
-0.02074105,-0.1605164,-0.2075778,0.2654217
-0.02074105,-0.1605164,-0.2075778,0.2799216
-0.0229094,-0.1743925,-0.2080674,0.2938057
-0.02230391,-0.1627823,-0.2074627,0.3085151
-0.02230391,-0.1627823,-0.2074627,0.3218536
-0.02218432,-0.1727009,-0.2080877,0.3335299
-0.02185784,-0.1652456,-0.20913,0.3473697
-0.02185784,-0.1652456,-0.20913,0.3622089
-0.02132377,-0.1605237,-0.2088445,0.3750628
-0.0226295,-0.1731139,-0.209307,0.3899495
-0.02230954,-0.1612084,-0.2087747,0.4048442
-0.02230954,-0.1612084,-0.2087747,0.4170016
-0.02279776,-0.1718087,-0.2092931,0.4313686
-0.02283502,-0.1651028,-0.2100059,0.4448821
-0.02283502,-0.1651028,-0.2100059,0.458807
-0.02250813,-0.1608032,-0.2095181,0.4790526
-0.02373495,-0.1640818,-0.209733,0.4872921
-0.02373495,-0.1640818,-0.209733,0.4984421
-0.02308491,-0.1599106,-0.2091008,0.5126019
-0.02195686,-0.1792256,-0.2077247,0.5266598
-0.02195686,-0.1792256,-0.2077247,0.5412785
-0.02042799,-0.1653203,-0.2085613,0.5556026
-0.02091671,-0.1612343,-0.2085104,0.5683563
-0.02091671,-0.1612343,-0.2085104,0.5835329
-0.0208388,-0.1720727,-0.2083656,0.5970055
-0.02130169,-0.163745,-0.208518,0.6117132
-0.02106851,-0.1607338,-0.2084513,0.6265067
-0.02106851,-0.1607338,-0.2084513,0.6406488
-0.01764955,-0.1769553,-0.20426,0.6549054
-0.01841028,-0.1646434,-0.204695,0.6681553
-0.01841028,-0.1646434,-0.204695,0.681408
-0.01825014,-0.1624257,-0.204916,0.69537
-0.01826203,-0.1611614,-0.2048477,0.7101513
-0.01826203,-0.1611614,-0.2048477,0.7228141
-0.01937277,-0.1696829,-0.2045755,0.7352359
-0.019267,-0.1630722,-0.2044927,0.7486663
-0.019267,-0.1630722,-0.2044927,0.7627643
-0.01938213,-0.1627751,-0.2040972,0.7753966
-0.01970236,-0.1627113,-0.2044019,0.7906682
-0.01970981,-0.1626403,-0.2042695,0.8040346
-0.01970981,-0.1626403,-0.2042695,0.8176468
-0.01982379,-0.1622417,-0.2043134,0.8434966
-0.01967978,-0.1625553,-0.2043825,0.8514545
-0.01967978,-0.1625553,-0.2043825,0.8592487
-0.01975045,-0.1621889,-0.2041064,0.8731106
-0.01973702,-0.1624964,-0.2043981,0.8870757
-0.01973702,-0.1624964,-0.2043981,0.8992925
-0.01947397,-0.161899,-0.2042293,0.9128318
-0.01937544,-0.1640089,-0.2038186,0.9273466
-0.01937544,-0.1640089,-0.2038186,0.9408035
-0.01880454,-0.161078,-0.2025885,0.9546367
-0.01826481,-0.1660383,-0.2026135,0.9670855
-0.01826481,-0.1660383,-0.2026135,0.9806413
-0.0178952,-0.1625668,-0.2023666,0.9939172
-0.0179831,-0.1613849,-0.2024063,1.009067
-0.0179831,-0.1613849,-0.2024063,1.02293
-0.01821589,-0.1672822,-0.2023761,1.034728
-0.01829535,-0.1634386,-0.2021575,1.048521
-0.01829535,-0.1634386,-0.2021575,1.062624
-0.01811575,-0.1620597,-0.2026156,1.076711
-0.01953969,-0.1636107,-0.2018706,1.090606
-0.02043109,-0.1617785,-0.2021237,1.106214
-0.02043109,-0.1617785,-0.2021237,1.118451
-0.02569415,-0.1601262,-0.2022696,1.132606
-0.02685169,-0.1590271,-0.2026373,1.147702
-0.02685169,-0.1590271,-0.2026373,1.161686
-0.02716616,-0.156881,-0.2031881,1.175593
-0.0277949,-0.155656,-0.203618,1.190708
-0.0277949,-0.155656,-0.203618,1.202148
-0.02788985,-0.1542085,-0.2040275,1.216126
-0.028332,-0.1533175,-0.2042019,1.231267
-0.02854292,-0.152384,-0.2043442,1.244286
-0.02854292,-0.152384,-0.2043442,1.258325
-0.02837808,-0.1497466,-0.2049538,1.272611
-0.02880133,-0.1478128,-0.205427,1.28778
-0.02880133,-0.1478128,-0.205427,1.300417
-0.02884918,-0.1443291,-0.2062985,1.313061
-0.02924938,-0.1425408,-0.2067744,1.328638
-0.02924938,-0.1425408,-0.2067744,1.341762
-0.02969376,-0.140021,-0.2076029,1.355589
-0.03054078,-0.1388995,-0.2080161,1.370869
-0.03113947,-0.1378543,-0.2083821,1.384419
-0.03113947,-0.1378543,-0.2083821,1.398299
-0.03205955,-0.1364802,-0.2089181,1.413033
-0.03247845,-0.1359269,-0.2090519,1.426901
-0.03247845,-0.1359269,-0.2090519,1.439458
-0.03333258,-0.1339351,-0.2096745,1.45331
-0.03379909,-0.132542,-0.2102114,1.46646
-0.03379909,-0.132542,-0.2102114,1.481661
-0.03398141,-0.1309231,-0.2106995,1.493249
-0.03426422,-0.1298922,-0.2109734,1.507362
-0.03426422,-0.1298922,-0.2109734,1.521798
-0.03474056,-0.128229,-0.2113858,1.535141
-0.03582241,-0.1256622,-0.2120288,1.565247
-0.03582241,-0.1256622,-0.2120288,1.573442
-0.03582241,-0.1256622,-0.2120288,1.581204
-0.03586721,-0.162463,-0.2118498,1.608687
-0.03586721,-0.162463,-0.2118498,1.618859
-0.03586721,-0.162463,-0.2118498,1.630736
-0.03586721,-0.162463,-0.2118498,1.646256
-0.03586721,-0.1624629,-0.2118498,1.659989
-0.0358672,-0.1624629,-0.2118498,1.673532
-0.0358672,-0.1624629,-0.2118498,1.686647
-0.0358672,-0.1624629,-0.2118498,1.699264
-0.03586721,-0.162463,-0.2118498,1.71447
-0.0358672,-0.162463,-0.2118498,1.728691
-0.0358672,-0.162463,-0.2118498,1.743136
-0.0358672,-0.162463,-0.2118498,1.755489
-0.0358672,-0.162463,-0.2118498,1.77072
-0.0358672,-0.162463,-0.2118498,1.7831
-0.0358672,-0.162463,-0.2118498,1.796684
-0.0358672,-0.162463,-0.2118498,1.811255
-0.0358672,-0.162463,-0.2118498,1.825985
-0.0358672,-0.162463,-0.2118498,1.838283
-0.0358672,-0.162463,-0.2118498,1.852098
-0.0358672,-0.162463,-0.2118498,1.865667
-0.0358672,-0.162463,-0.2118498,1.880514
-0.0358672,-0.162463,-0.2118498,1.895046
-0.0358672,-0.162463,-0.2118498,1.905539
-0.0358672,-0.162463,-0.2118498,1.919692
-0.0358672,-0.162463,-0.2118498,1.934922
-0.0358672,-0.162463,-0.2118498,1.949397
-0.0358672,-0.162463,-0.2118498,1.962302
-0.0358672,-0.162463,-0.2118498,1.97633
-0.0358672,-0.162463,-0.2118498,1.990109
-0.0358672,-0.162463,-0.2118498,2.004375
-0.0358672,-0.162463,-0.2118498,2.018047
-0.0358672,-0.162463,-0.2118498,2.031279
-0.0358672,-0.162463,-0.2118498,2.04556
-0.0358672,-0.162463,-0.2118498,2.060046
-0.0358672,-0.162463,-0.2118498,2.074664
-0.0358672,-0.162463,-0.2118498,2.086891
-0.0358672,-0.162463,-0.2118498,2.100706
-0.0358672,-0.162463,-0.2118498,2.114479
-0.0358672,-0.162463,-0.2118498,2.129153
-0.0358672,-0.162463,-0.2118498,2.14333
-0.0358672,-0.162463,-0.2118498,2.154764
-0.0358672,-0.162463,-0.2118498,2.169025
-0.0358672,-0.162463,-0.2118498,2.183729
-0.0358672,-0.162463,-0.2118498,2.196416
-0.0358672,-0.162463,-0.2118498,2.211177
-0.0358672,-0.162463,-0.2118498,2.225916
-0.0358672,-0.162463,-0.2118498,2.238582
-0.03586764,-0.1624726,-0.2118598,2.253006
-0.03586764,-0.1624726,-0.2118598,2.267781
-0.03587549,-0.1625246,-0.2119768,2.281185
-0.03600038,-0.1619563,-0.212384,2.295676
-0.03590303,-0.1626966,-0.2122462,2.309014
-0.03590303,-0.1626966,-0.2122462,2.326343
-0.03552768,-0.1630575,-0.2123988,2.340214
-0.03689832,-0.169009,-0.2133084,2.352942
-0.03689832,-0.169009,-0.2133084,2.363735
-0.03703869,-0.1609262,-0.21497,2.378256
-0.0420868,-0.1800531,-0.219971,2.3934
-0.0420868,-0.1800531,-0.219971,2.406079
-0.04132184,-0.1631164,-0.2203962,2.422172
-0.04083685,-0.1739975,-0.2199356,2.437369
-0.04131225,-0.1636558,-0.2201434,2.45068
-0.04131225,-0.1636558,-0.2201434,2.465852
-0.04010301,-0.1662771,-0.2196371,2.479131
-0.03985796,-0.16537,-0.2203938,2.493829
-0.03985796,-0.16537,-0.2203938,2.50651
-0.03982669,-0.1681247,-0.2220366,2.519665
-0.03935122,-0.1654153,-0.2225248,2.534242
-0.03935122,-0.1654153,-0.2225248,2.547567
-0.03977238,-0.1616766,-0.223124,2.560536
-0.03821085,-0.1671816,-0.2238782,2.573185
-0.03821085,-0.1671816,-0.2238782,2.587508
-0.03860821,-0.1633593,-0.2235235,2.600868
-0.03947412,-0.1637057,-0.2252087,2.614298
-0.03862615,-0.1646179,-0.2250698,2.629173
-0.03862615,-0.1646179,-0.2250698,2.6435
-0.03895744,-0.1632353,-0.2236881,2.672739
-0.03895744,-0.1632353,-0.2236881,2.681273
-0.03849533,-0.163395,-0.2243137,2.688442
-0.03849533,-0.163395,-0.2243137,2.701893
-0.03844215,-0.1633943,-0.2244114,2.715958
-0.03848124,-0.1638109,-0.2239072,2.735867
-0.03848124,-0.1638109,-0.2239072,2.748181
-0.03970295,-0.1640567,-0.223299,2.755753
-0.03970255,-0.1641427,-0.2232795,2.768581
-0.03970255,-0.1641427,-0.2232795,2.783142
-0.03971667,-0.1641421,-0.2232771,2.796799
-0.03974807,-0.1638874,-0.2233754,2.811372
-0.03974807,-0.1638874,-0.2233754,2.826235
-0.03954273,-0.1640077,-0.2232032,2.837337
-0.03967176,-0.1638502,-0.2233082,2.851785
