X, Y, Z, Time
-0.02107175,-0.1624874,-0.2068703,0.0127866
-0.02318903,-0.1617352,-0.208914,0.0265772
-0.02318903,-0.1617352,-0.208914,0.0402776
-0.02332949,-0.1631907,-0.209273,0.0544433
-0.02348516,-0.1624002,-0.2097472,0.0673518
-0.02348516,-0.1624002,-0.2097472,0.08150201
-0.02322008,-0.162689,-0.208775,0.095892
-0.02465912,-0.1619005,-0.2096832,0.1097642
-0.02485872,-0.1617555,-0.2094195,0.1233719
-0.02485872,-0.1617555,-0.2094195,0.1373471
-0.02626316,-0.1695013,-0.2075095,0.1491083
-0.02639104,-0.1659548,-0.2068704,0.1635252
-0.02648035,-0.1640742,-0.2080182,0.185634
-0.02648035,-0.1640742,-0.2080182,0.1997868
-0.02406554,-0.1789687,-0.2063534,0.2131256
-0.02292143,-0.1599426,-0.2096278,0.22431
-0.02292143,-0.1599426,-0.2096278,0.2380994
-0.0256825,-0.185849,-0.2079434,0.2499157
-0.0229767,-0.1654631,-0.2092657,0.2651483
-0.0229767,-0.1654631,-0.2092657,0.2795244
-0.02386846,-0.1603834,-0.2097569,0.2938553
-0.02433014,-0.1723147,-0.2114141,0.3075104
-0.02267358,-0.1600047,-0.2124845,0.3227482
-0.02267358,-0.1600047,-0.2124845,0.3352049
-0.02279522,-0.1806075,-0.2154256,0.3490012
-0.02068955,-0.1647007,-0.2169219,0.3625991
-0.02068955,-0.1647007,-0.2169219,0.3759009
-0.02283111,-0.1617752,-0.2156753,0.3900046
-0.02271336,-0.1631481,-0.2156886,0.4050148
-0.02271336,-0.1631481,-0.2156886,0.4179357
-0.023963,-0.1556331,-0.2132794,0.4310069
-0.02559221,-0.1730791,-0.2118125,0.4453067
-0.02559221,-0.1730791,-0.2118125,0.4595017
-0.02722637,-0.1596542,-0.2083481,0.4727126
-0.02476761,-0.1923364,-0.2071504,0.4868439
-0.02476761,-0.1923364,-0.2071504,0.4998753
-0.02458184,-0.1673744,-0.2085986,0.5131074
-0.02657118,-0.1595085,-0.2077775,0.5262964
-0.02657118,-0.1595085,-0.2077775,0.5409095
-0.02220193,-0.1794875,-0.2091354,0.5550841
-0.02248923,-0.1658571,-0.208862,0.5678763
-0.02248923,-0.1658571,-0.208862,0.581444
-0.02247789,-0.1623437,-0.2091365,0.5954075
-0.02218376,-0.1756496,-0.2084032,0.6088287
-0.02218376,-0.1756496,-0.2084032,0.6221969
-0.02254901,-0.1636725,-0.2088906,0.6343257
-0.02235637,-0.1625645,-0.207884,0.6486014
-0.02235637,-0.1625645,-0.207884,0.6621936
-0.02113308,-0.1687004,-0.2084143,0.6751478
-0.02125117,-0.1603282,-0.2083185,0.689908
-0.02187753,-0.1722025,-0.207449,0.7050387
-0.02187753,-0.1722025,-0.207449,0.7196588
-0.02185649,-0.1637687,-0.2073502,0.7312067
-0.0216143,-0.1622629,-0.2071108,0.7460222
-0.0216143,-0.1622629,-0.2071108,0.7599337
-0.02218784,-0.1692813,-0.2062291,0.7738116
-0.02212104,-0.16215,-0.206113,0.7896851
-0.02221366,-0.161111,-0.2058822,0.8041106
-0.02221366,-0.161111,-0.2058822,0.8159193
-0.02225183,-0.1667441,-0.2056634,0.8296909
-0.02244618,-0.1625201,-0.205799,0.8433918
-0.02244618,-0.1625201,-0.205799,0.8579121
-0.02245744,-0.1622174,-0.2059024,0.8703962
-0.0226838,-0.1620923,-0.2058057,0.8830042
-0.0226838,-0.1620923,-0.2058057,0.8973225
-0.02627178,-0.1599976,-0.2034849,0.9117941
-0.02667122,-0.1576839,-0.2039801,0.9240059
-0.02667122,-0.1576839,-0.2039801,0.938565
-0.02695191,-0.1546763,-0.2051965,0.9497871
-0.02690963,-0.1534741,-0.2055272,0.9639477
-0.02690963,-0.1534741,-0.2055272,0.9781947
-0.0273456,-0.1510272,-0.2059505,0.9918508
-0.02731628,-0.1488232,-0.2062993,1.00729
-0.02731628,-0.1488232,-0.2062993,1.021451
-0.02746282,-0.1456615,-0.206923,1.033885
-0.02791784,-0.1434164,-0.2075098,1.047465
-0.02791784,-0.1434164,-0.2075098,1.061259
-0.02869307,-0.1394758,-0.2087773,1.074605
-0.02911366,-0.1372904,-0.2095323,1.088416
-0.02911366,-0.1372904,-0.2095323,1.100849
-0.0303003,-0.1334375,-0.2108851,1.115377
-0.0310085,-0.1310006,-0.2116255,1.12953
-0.03166716,-0.1288125,-0.2123983,1.143297
-0.03166716,-0.1288125,-0.2123983,1.156825
-0.032842,-0.1255593,-0.2138505,1.170766
-0.03331975,-0.1242812,-0.2143507,1.183574
-0.03331975,-0.1242812,-0.2143507,1.197105
-0.03451416,-0.1225131,-0.2152416,1.209929
-0.03488163,-0.1218174,-0.2152622,1.224176
-0.03488163,-0.1218174,-0.2152622,1.239263
-0.03526253,-0.1200094,-0.2152815,1.256548
-0.0355305,-0.1189943,-0.2155263,1.266816
-0.0355305,-0.1189943,-0.2155263,1.279982
-0.03653242,-0.1164512,-0.2163309,1.294081
-0.03698661,-0.1152103,-0.216672,1.307788
-0.03698661,-0.1152103,-0.216672,1.322165
-0.03784821,-0.1128085,-0.2175431,1.337052
-0.03823197,-0.1117104,-0.2178325,1.350433
-0.03873082,-0.110983,-0.2179988,1.362989
-0.03873082,-0.110983,-0.2179988,1.376359
-0.03978017,-0.1101093,-0.2180966,1.390747
-0.04036098,-0.110017,-0.2180018,1.405591
-0.04036098,-0.110017,-0.2180018,1.419987
-0.04121249,-0.110253,-0.2176002,1.431474
-0.04145778,-0.1101651,-0.2173962,1.446088
-0.04145778,-0.1101651,-0.2173962,1.460897
-0.04183642,-0.1099108,-0.2171599,1.474073
-0.04190464,-0.1097536,-0.2171607,1.488595
-0.04229523,-0.1093982,-0.2172758,1.503976
-0.04229523,-0.1093982,-0.2172758,1.517513
-0.04248853,-0.1088049,-0.2170992,1.530951
-0.04235403,-0.1084998,-0.2169269,1.54595
-0.04235403,-0.1084998,-0.2169269,1.559667
-0.04218845,-0.1076558,-0.2167355,1.574218
-0.04200101,-0.1070557,-0.2165727,1.588406
