X, Y, Z, Time
-0.02372701,-0.1624698,-0.1962745,0.0139366
-0.02391922,-0.1619724,-0.1964195,0.0272431
-0.02391922,-0.1619724,-0.1964195,0.0419428
-0.02414605,-0.1625701,-0.1956425,0.0566511
-0.0242295,-0.1598358,-0.1959149,0.0705988
-0.0242295,-0.1598358,-0.1959149,0.08274461
-0.02541303,-0.1722701,-0.1956245,0.09375191
-0.02525682,-0.162555,-0.1958853,0.1077124
-0.02525682,-0.162555,-0.1958853,0.1198259
-0.0262882,-0.1601448,-0.1944866,0.1321763
-0.0285016,-0.1776719,-0.1931729,0.1466086
-0.0285016,-0.1776719,-0.1931729,0.1586941
-0.02844641,-0.1625905,-0.1930937,0.1704792
-0.02844641,-0.1625905,-0.1930937,0.1843979
-0.02909616,-0.1612375,-0.1927682,0.1961977
-0.03003643,-0.1648767,-0.1944271,0.2105861
-0.03003643,-0.1648767,-0.1944271,0.2237672
-0.03131867,-0.16697,-0.1929922,0.2365494
-0.03239133,-0.1591152,-0.19251,0.2501651
-0.03278,-0.1876801,-0.191045,0.2647607
-0.03278,-0.1876801,-0.191045,0.2777951
-0.03336397,-0.1633621,-0.1923636,0.2945116
-0.03336397,-0.1633621,-0.1923636,0.3029834
-0.0331369,-0.1573728,-0.1916149,0.314796
-0.03526909,-0.1885516,-0.1928655,0.3276353
-0.03526909,-0.1885516,-0.1928655,0.3421366
-0.03354191,-0.1641201,-0.1941208,0.3528434
-0.03498404,-0.1641185,-0.1931447,0.3671706
-0.03498404,-0.1641185,-0.1931447,0.3800832
-0.03161711,-0.190946,-0.1889765,0.3938395
-0.02978227,-0.1608424,-0.1899671,0.4079311
-0.02978227,-0.1608424,-0.1899671,0.4192465
-0.02989688,-0.1779532,-0.1876946,0.4325427
-0.02966565,-0.1634393,-0.1869741,0.4464351
-0.02966565,-0.1634393,-0.1869741,0.4612314
-0.0288644,-0.1612164,-0.1850546,0.4761997
-0.02914773,-0.1754293,-0.1837358,0.4881135
-0.02914773,-0.1754293,-0.1837358,0.501674
-0.023841,-0.1759854,-0.1822545,0.528864
-0.023841,-0.1759854,-0.1822545,0.5375229
