X, Y, Z, Time
-0.02118774,-0.1624807,-0.2070295,0.0117809
-0.02118774,-0.1624807,-0.2070295,0.0234855
-0.02079199,-0.1622257,-0.2077579,0.035635
-0.02307169,-0.1666012,-0.209046,0.0481
-0.02307169,-0.1666012,-0.209046,0.0594833
-0.02147859,-0.1618499,-0.207253,0.0748607
-0.022829,-0.1714299,-0.2077907,0.0879573
-0.022829,-0.1714299,-0.2077907,0.0988745
-0.02246069,-0.1646959,-0.2085229,0.1080705
-0.02246069,-0.1646959,-0.2085229,0.1209826
-0.02317313,-0.1634964,-0.2092151,0.1329097
-0.02330303,-0.1774678,-0.209484,0.1454477
-0.02330303,-0.1774678,-0.209484,0.1570452
-0.02346439,-0.1644043,-0.2101011,0.1684431
-0.02346439,-0.1644043,-0.2101011,0.1809741
-0.0247971,-0.162195,-0.2106038,0.1919242
-0.02844946,-0.1772333,-0.2117025,0.2041848
-0.02844946,-0.1772333,-0.2117025,0.2161153
-0.02837312,-0.1644101,-0.2137063,0.2278093
-0.02837312,-0.1644101,-0.2137063,0.2392528
-0.02664965,-0.1657372,-0.2146191,0.2507531
-0.02664965,-0.1657372,-0.2146191,0.2633306
-0.02706326,-0.1906147,-0.2147791,0.2744502
-0.02677587,-0.1714753,-0.2160122,0.2865748
-0.02677587,-0.1714753,-0.2160122,0.2986388
-0.02787833,-0.1681687,-0.2154767,0.3104137
-0.02787833,-0.1681687,-0.2154767,0.3227982
-0.02743846,-0.1895663,-0.2135721,0.3341449
-0.02806,-0.168055,-0.215554,0.3464766
-0.02806,-0.168055,-0.215554,0.3577526
-0.02927693,-0.1644754,-0.213893,0.3695627
-0.02927693,-0.1644754,-0.213893,0.3819106
-0.0307518,-0.1705235,-0.2133731,0.3934593
-0.02990356,-0.1633266,-0.2130265,0.4055712
-0.02990356,-0.1633266,-0.2130265,0.4175052
-0.02979775,-0.1731716,-0.2174611,0.4296969
-0.02979775,-0.1731716,-0.2174611,0.4420128
-0.02867651,-0.1581254,-0.2178786,0.4531254
-0.03539839,-0.1924416,-0.2117689,0.4656152
-0.03539839,-0.1924416,-0.2117689,0.4775346
-0.03425354,-0.1643356,-0.2127601,0.4889474
-0.03425354,-0.1643356,-0.2127601,0.5012515
-0.03598025,-0.1631965,-0.2137352,0.5128065
-0.0359423,-0.1822187,-0.2112423,0.5249683
-0.0359423,-0.1822187,-0.2112423,0.5365992
-0.04033053,-0.1626521,-0.2155747,0.5483244
-0.04033053,-0.1626521,-0.2155747,0.5603096
-0.04098505,-0.1616636,-0.2148057,0.5718449
-0.04263248,-0.1617073,-0.2152769,0.5841828
-0.04263248,-0.1617073,-0.2152769,0.5965314
-0.04348464,-0.1720255,-0.2139476,0.6078082
