X, Y, Z, Time
-0.02120842,-0.1623935,-0.2070007,0.0210522
-0.02120842,-0.1623935,-0.2070007,0.0334609
-0.02086559,-0.1624254,-0.2070989,0.0541324
-0.02110357,-0.1623176,-0.206563,0.066645
-0.02119844,-0.1621271,-0.206794,0.0877566
-0.02132916,-0.1619904,-0.2067123,0.0998708
-0.02204916,-0.1657785,-0.2069954,0.1211873
-0.02267939,-0.1616786,-0.2077817,0.1483602
-0.02510707,-0.1667881,-0.2089213,0.1717886
-0.02548316,-0.1620537,-0.2099183,0.1807463
-0.02548316,-0.1620537,-0.2099183,0.1897739
-0.02624796,-0.1619362,-0.2107225,0.2109208
-0.02818541,-0.179238,-0.2119817,0.2229085
-0.02749502,-0.1636964,-0.2134376,0.2451154
-0.02749502,-0.1636964,-0.2134376,0.2547326
-0.02840527,-0.1605157,-0.2143468,0.2698628
-0.02839605,-0.1823127,-0.2142246,0.2916972
-0.02974529,-0.1658566,-0.2164487,0.3167988
-0.03104942,-0.1811524,-0.2174667,0.3387747
-0.03104942,-0.1811524,-0.2174667,0.3475875
-0.03104942,-0.1811524,-0.2174667,0.3551303
-0.03388548,-0.1817944,-0.2161151,0.383734
-0.03388548,-0.1817944,-0.2161151,0.3940527
-0.03303676,-0.161976,-0.2163634,0.4147877
-0.06096633,-0.188336,-0.2123337,0.4233153
-0.06096633,-0.188336,-0.2123337,0.4357513
-0.05752901,-0.1634518,-0.2128079,0.456721
-0.05752311,-0.1616213,-0.2131217,0.4689252
-0.05774507,-0.1629516,-0.2171973,0.4895884
-0.05677872,-0.1603492,-0.2165397,0.5017695
-0.05677872,-0.1603492,-0.2165397,0.5176166
-0.05565444,-0.1621132,-0.2180411,0.5389298
-0.05565444,-0.1621132,-0.2180411,0.5508955
-0.05530667,-0.1605328,-0.2193644,0.5718585
-0.05583079,-0.1617866,-0.217518,0.584024
-0.05554414,-0.1603393,-0.2192925,0.6054298
-0.05554414,-0.1603393,-0.2192925,0.6179642
-0.05572129,-0.1602831,-0.2194054,0.6393607
-0.05572129,-0.1602831,-0.2194054,0.6508397
-0.05615873,-0.1619248,-0.2175846,0.6658778
-0.05599669,-0.160153,-0.2194332,0.6880981
-0.05612484,-0.1610244,-0.2181992,0.6991143
-0.05591816,-0.1600179,-0.2195221,0.7212627
-0.05591816,-0.1600179,-0.2195221,0.7323354
-0.05551537,-0.1611147,-0.2194952,0.7528381
-0.05535582,-0.1599456,-0.2209366,0.7646729
-0.0548983,-0.1609655,-0.2208907,0.7802886
-0.05479439,-0.1580465,-0.2211323,0.8020303
-0.05479439,-0.1580465,-0.2211323,0.8132038
-0.05509329,-0.1629376,-0.2196632,0.8338218
-0.05490994,-0.1595042,-0.2192693,0.8452021
-0.05490123,-0.16314,-0.218196,0.8591471
-0.05483949,-0.1596209,-0.2180243,0.8808098
-0.05483949,-0.1596209,-0.2180243,0.8921201
-0.06089792,-0.1826389,-0.2159434,0.9070237
-0.05939684,-0.1589339,-0.2160392,0.928123
-0.05881907,-0.1580316,-0.2160424,0.940122
-0.05936866,-0.1631821,-0.2175711,0.9613475
-0.05936866,-0.1631821,-0.2175711,0.9727616
-0.05911203,-0.1583406,-0.2163667,0.9877611
-0.06173503,-0.1627584,-0.2117973,1.009523
-0.06167527,-0.1579645,-0.2111153,1.020899
-0.06751627,-0.173912,-0.2064599,1.051039
-0.06715511,-0.1617338,-0.2056371,1.060621
-0.06695861,-0.1634502,-0.2052583,1.085772
-0.06695861,-0.1634502,-0.2052583,1.094121
-0.06716757,-0.1610522,-0.2047404,1.114332
-0.06722762,-0.1560593,-0.2033447,1.122854
-0.06722762,-0.1560593,-0.2033447,1.135254
-0.08370622,-0.1758598,-0.1990809,1.157241
-0.08251905,-0.1602578,-0.1991952,1.168306
-0.08192087,-0.157345,-0.1987737,1.189533
-0.08197892,-0.1565148,-0.1986354,1.200894
-0.08197892,-0.1565148,-0.1986354,1.216134
-0.08206674,-0.1545544,-0.1982701,1.237296
-0.08208661,-0.153856,-0.1982439,1.248764
-0.08221111,-0.1526282,-0.1980425,1.271231
-0.08227509,-0.1511295,-0.197826,1.294684
-0.08219361,-0.1505088,-0.1978291,1.303299
-0.08219361,-0.1505088,-0.1978291,1.314086
-0.08252153,-0.1491393,-0.1927655,1.33453
-0.08290725,-0.1474866,-0.1908084,1.348409
-0.08348549,-0.1434071,-0.1906943,1.370563
-0.08368667,-0.1411901,-0.1907344,1.381981
-0.08412845,-0.1367913,-0.1906285,1.40708
-0.08493408,-0.1328706,-0.1905262,1.429507
-0.08528656,-0.1291498,-0.1906995,1.451283
-0.08560807,-0.1278119,-0.1905931,1.459716
-0.08560807,-0.1278119,-0.1905931,1.468593
-0.08634972,-0.1241211,-0.1902794,1.489687
-0.08647196,-0.1225741,-0.1900403,1.501645
-0.08724714,-0.1196267,-0.1902698,1.523181
-0.08724714,-0.1196267,-0.1902698,1.535029
-0.08808921,-0.1152818,-0.1908502,1.555309
-0.08834769,-0.1136409,-0.19096,1.568859
-0.08882799,-0.1115988,-0.1908134,1.590782
-0.08910365,-0.110439,-0.1906537,1.601204
-0.08910365,-0.110439,-0.1906537,1.616626
-0.08947773,-0.1083615,-0.1897944,1.636716
-0.08938193,-0.1074066,-0.1893876,1.649945
-0.08961742,-0.1062403,-0.188632,1.672075
-0.08960886,-0.1054735,-0.1884091,1.68265
-0.08960886,-0.1054735,-0.1884091,1.697787
-0.09191157,-0.1021792,-0.1878487,1.727028
-0.0935295,-0.1008218,-0.1875477,1.751422
-0.09489557,-0.09976768,-0.1871789,1.772544
-0.09566984,-0.09936894,-0.1869573,1.780791
-0.09566984,-0.09936894,-0.1869573,1.789101
-0.09762896,-0.09825853,-0.1862569,1.809315
-0.09884019,-0.09755458,-0.1859382,1.821832
-0.09884019,-0.09755458,-0.1859382,1.836828
-0.1020557,-0.09468092,-0.1855401,1.857927
-0.1033352,-0.0937984,-0.1852185,1.870192
-0.1051084,-0.09229361,-0.1848672,1.89205
-0.1067406,-0.09094979,-0.1843587,1.916021
-0.1083238,-0.08983383,-0.1838224,1.938011
-0.1088629,-0.08940085,-0.1835777,1.946208
-0.1088629,-0.08940085,-0.1835777,1.955411
-0.1110632,-0.08851965,-0.1826543,1.975758
-0.1122695,-0.0881438,-0.1821808,1.987787
-0.1138034,-0.08804241,-0.1815239,2.003246
-0.1161221,-0.0877742,-0.1806284,2.025009
-0.1161221,-0.0877742,-0.1806284,2.036109
-0.1197408,-0.08759914,-0.1793906,2.051134
-0.1224409,-0.08753657,-0.1783956,2.07293
-0.1244143,-0.0876809,-0.1777112,2.084366
-0.1272582,-0.08783278,-0.1766489,2.106203
-0.1272582,-0.08783278,-0.1766489,2.117182
-0.1307066,-0.08804812,-0.1753543,2.132175
-0.1335588,-0.08847067,-0.1741217,2.153708
-0.1353388,-0.08868726,-0.1733755,2.165071
-0.1378774,-0.08871178,-0.1725146,2.180979
-0.1408457,-0.08854459,-0.1715557,2.202776
-0.144888,-0.08850449,-0.170289,2.227549
-0.1486869,-0.08872557,-0.1691185,2.249172
-0.1486869,-0.08872557,-0.1691185,2.257471
-0.1517382,-0.08918591,-0.1681746,2.265965
-0.1554605,-0.08991545,-0.1669342,2.287571
-0.1577698,-0.09013654,-0.1663423,2.299186
-0.1618341,-0.09035563,-0.1653579,2.320806
-0.1618341,-0.09035563,-0.1653579,2.331857
-0.1669476,-0.09082179,-0.164058,2.346855
-0.1715738,-0.09116419,-0.1630459,2.36884
-0.1771192,-0.09124083,-0.1621932,2.392524
-0.1825688,-0.09144605,-0.1613384,2.413603
-0.1864738,-0.09151712,-0.1608168,2.430866
-0.1890049,-0.0914505,-0.1605035,2.440573
-0.1936828,-0.09143178,-0.1601341,2.462254
-0.1936828,-0.09143178,-0.1601341,2.471341
-0.1976254,-0.09179496,-0.1595933,2.479404
-0.2023471,-0.09176803,-0.1590496,2.500454
-0.2023471,-0.09176803,-0.1590496,2.511736
-0.2085808,-0.0915112,-0.1583392,2.525806
-0.2144406,-0.09095843,-0.1578771,2.551013
-0.2164416,-0.09086685,-0.1576589,2.559787
-0.2206884,-0.0907151,-0.1573999,2.581368
-0.2206884,-0.0907151,-0.1573999,2.591451
-0.2254429,-0.09099029,-0.1569387,2.60604
-0.2295404,-0.09110944,-0.1566772,2.627898
-0.2322284,-0.09102371,-0.1565377,2.639437
-0.2363133,-0.09111729,-0.156021,2.661217
-0.2363133,-0.09111729,-0.156021,2.671414
-0.2409699,-0.09108718,-0.1554268,2.686131
-0.2445186,-0.09124012,-0.1548482,2.70707
-0.2466794,-0.09122738,-0.154518,2.719537
-0.2502695,-0.09110852,-0.1540529,2.741124
-0.2502695,-0.09110852,-0.1540529,2.752168
-0.2552812,-0.09069217,-0.1532991,2.767241
-0.2588728,-0.09017524,-0.1532287,2.78794
-0.2614364,-0.08972844,-0.1533755,2.800354
-0.2650067,-0.08950761,-0.1536998,2.82211
-0.2650067,-0.08950761,-0.1536998,2.83299
-0.2689745,-0.08953839,-0.1541872,2.84798
-0.2731001,-0.08956557,-0.1546188,2.869668
-0.2756884,-0.08956687,-0.1547207,2.881054
-0.2794643,-0.08947245,-0.1549706,2.901859
-0.2794643,-0.08947245,-0.1549706,2.913691
-0.2840765,-0.0896486,-0.1552835,2.928844
-0.2872825,-0.09000163,-0.1556782,2.950608
-0.2888571,-0.09022918,-0.1559137,2.961519
-0.2888571,-0.09022918,-0.1559137,2.975603
