X, Y, Z, Time
-0.02121037,-0.1624796,-0.2070062,0.0122361
-0.02137586,-0.1624773,-0.2072722,0.0250019
-0.02137586,-0.1624773,-0.2072722,0.0368019
-0.02142597,-0.1635031,-0.2073646,0.0480432
-0.02142597,-0.1635031,-0.2073646,0.0602431
-0.02230186,-0.1616556,-0.2072381,0.0723929
-0.02230186,-0.1616556,-0.2072381,0.08416189
-0.02576942,-0.1765021,-0.2127642,0.09753209
-0.02587962,-0.1638388,-0.2130651,0.1096139
-0.02717353,-0.1776596,-0.2117622,0.1251413
-0.02717353,-0.1776596,-0.2117622,0.1369452
-0.02682657,-0.1627444,-0.2118635,0.1474362
-0.02682657,-0.1627444,-0.2118635,0.1590189
-0.02754737,-0.1619419,-0.2131679,0.1733081
-0.02517721,-0.1734321,-0.2150598,0.1916825
-0.02517721,-0.1734321,-0.2150598,0.2005338
-0.02593474,-0.1615858,-0.2147919,0.2080506
-0.02593474,-0.1615858,-0.2147919,0.2183927
-0.02954234,-0.1757013,-0.2163091,0.2301295
-0.02954234,-0.1757013,-0.2163091,0.2426523
-0.02868076,-0.1635741,-0.2167938,0.2536672
-0.02949026,-0.1613736,-0.2170001,0.266605
-0.02949026,-0.1613736,-0.2170001,0.2781681
-0.03671263,-0.1854412,-0.2197011,0.2899836
-0.03671263,-0.1854412,-0.2197011,0.3017107
-0.03606661,-0.1677336,-0.2204829,0.3134748
-0.03711422,-0.1636793,-0.2200167,0.3260728
-0.03711422,-0.1636793,-0.2200167,0.3373073
-0.03859958,-0.1663969,-0.220678,0.3491206
-0.03859958,-0.1663969,-0.220678,0.3611172
-0.03899225,-0.1617368,-0.2213065,0.3733596
-0.03983549,-0.1655158,-0.2219548,0.3848346
-0.03983549,-0.1655158,-0.2219548,0.3974152
-0.04068268,-0.1617555,-0.2220277,0.4090891
-0.04068268,-0.1617555,-0.2220277,0.4207574
-0.04157073,-0.1832961,-0.2217702,0.4329654
-0.04036981,-0.1640222,-0.2228474,0.4450473
-0.04036981,-0.1640222,-0.2228474,0.4572413
-0.04082851,-0.1606874,-0.2236532,0.4682034
-0.04082851,-0.1606874,-0.2236532,0.4805381
-0.04044114,-0.1863914,-0.224075,0.4927861
-0.03969279,-0.1670155,-0.2241985,0.5046461
-0.03969279,-0.1670155,-0.2241985,0.516342
-0.04022811,-0.1637145,-0.2242571,0.528089
