X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0118125
-0.0212,-0.1624706,-0.207,0.0239345
-0.0212,-0.1624706,-0.207,0.0352422
-0.0212,-0.1624706,-0.207,0.0473236
-0.0212,-0.1624706,-0.207,0.0597992
-0.0212,-0.1624706,-0.207,0.0709903
-0.0212,-0.1624706,-0.207,0.0836776
-0.0212,-0.1624706,-0.207,0.09503201
-0.0212,-0.1624706,-0.207,0.1067654
-0.0212,-0.1624706,-0.207,0.1187633
-0.0212,-0.1624706,-0.207,0.1306505
-0.0212,-0.1624706,-0.207,0.1438421
-0.0212,-0.1624706,-0.207,0.1547375
-0.0212,-0.1624706,-0.207,0.1667994
-0.0212,-0.1624706,-0.207,0.1791947
-0.0212,-0.1624706,-0.207,0.1910813
-0.0212,-0.1624706,-0.207,0.2031552
-0.0212,-0.1624706,-0.207,0.2145768
-0.0212,-0.1624706,-0.207,0.2272601
-0.0212,-0.1624706,-0.207,0.2385543
-0.0212,-0.1624706,-0.207,0.2506155
-0.0212,-0.1624706,-0.207,0.2632638
-0.0212,-0.1624706,-0.207,0.274952
-0.0212,-0.1624706,-0.207,0.2865218
-0.0212,-0.1624706,-0.207,0.2990165
-0.0212,-0.1624706,-0.207,0.3108409
-0.0212,-0.1624706,-0.207,0.3230421
-0.0212,-0.1624706,-0.207,0.3344877
-0.0212,-0.1624706,-0.207,0.3472931
-0.0212,-0.1624706,-0.207,0.3593851
-0.0212,-0.1624706,-0.207,0.3709842
-0.0212,-0.1624706,-0.207,0.3831182
-0.0212,-0.1624706,-0.207,0.394864
-0.0212,-0.1624706,-0.207,0.4065561
-0.0212,-0.1624706,-0.207,0.4188442
-0.0212,-0.1624706,-0.207,0.4308764
-0.0212,-0.1624706,-0.207,0.4439114
-0.0212,-0.1624706,-0.207,0.4544714
-0.0212,-0.1624706,-0.207,0.4666535
-0.0212,-0.1624706,-0.207,0.4788454
-0.0212,-0.1624706,-0.207,0.4906047
-0.0212,-0.1624706,-0.207,0.502864
-0.0212,-0.1624706,-0.207,0.5146485
-0.0212,-0.1624706,-0.207,0.5268806
-0.0212,-0.1624706,-0.207,0.5386504
-0.0212,-0.1624706,-0.207,0.5502019
-0.0212,-0.1624706,-0.207,0.5630985
-0.0212,-0.1624706,-0.207,0.5744725
-0.0212,-0.1624706,-0.207,0.5862855
-0.0212,-0.1624706,-0.207,0.5979259
-0.0212,-0.1624706,-0.207,0.610484
-0.0212,-0.1624706,-0.207,0.6217366
-0.0212,-0.1624706,-0.207,0.633695
-0.0212,-0.1624706,-0.207,0.6463017
-0.0212,-0.1624706,-0.207,0.6581181
-0.0212,-0.1624706,-0.207,0.6700504
-0.0212,-0.1624706,-0.207,0.6823698
-0.0212,-0.1624706,-0.207,0.6940749
-0.0212,-0.1624706,-0.207,0.7059633
-0.0212,-0.1624706,-0.207,0.7175044
-0.0212,-0.1624706,-0.207,0.7299677
-0.0212,-0.1624706,-0.207,0.7424896
-0.0212,-0.1624706,-0.207,0.7534908
-0.0212,-0.1624706,-0.207,0.7657172
-0.0212,-0.1624706,-0.207,0.778008
-0.0212,-0.1624706,-0.207,0.7915235
-0.0212,-0.1624706,-0.207,0.8035685
-0.0212,-0.1624706,-0.207,0.8149433
-0.0212,-0.1624706,-0.207,0.8274799
-0.0212,-0.1624706,-0.207,0.8396959
-0.0212,-0.1624706,-0.207,0.8536374
-0.0212,-0.1624706,-0.207,0.8659765
-0.0212,-0.1624706,-0.207,0.8776106
-0.0212,-0.1624706,-0.207,0.8893511
-0.0212,-0.1624706,-0.207,0.9020329
-0.0212,-0.1624706,-0.207,0.9134135
-0.0212,-0.1624706,-0.207,0.9260846
-0.0212,-0.1624706,-0.207,0.9476364
-0.0212,-0.1624706,-0.207,0.9571298
-0.0212,-0.1624706,-0.207,0.9643868
-0.0212,-0.1624706,-0.207,0.9723713
-0.0212,-0.1624706,-0.207,0.9851694
-0.0212,-0.1624706,-0.207,0.9967629
-0.0212,-0.1624706,-0.207,1.00952
-0.0212,-0.1624706,-0.207,1.021509
-0.0212,-0.1624706,-0.207,1.032743
-0.0212,-0.1624706,-0.207,1.04536
-0.0212,-0.1624706,-0.207,1.057389
-0.0212,-0.1624706,-0.207,1.06908
-0.0212,-0.1624706,-0.207,1.080975
-0.0212,-0.1624706,-0.207,1.092951
-0.0212,-0.1624706,-0.207,1.104746
-0.0212,-0.1624706,-0.207,1.116224
-0.0212,-0.1624706,-0.207,1.128416
-0.0212,-0.1624706,-0.207,1.140108
-0.0212,-0.1624706,-0.207,1.151527
-0.0212,-0.1624706,-0.207,1.163668
-0.0212,-0.1624706,-0.207,1.175618
-0.0212,-0.1624706,-0.207,1.187334
-0.0212,-0.1624706,-0.207,1.199122
-0.0212,-0.1624706,-0.207,1.211027
-0.0212,-0.1624706,-0.207,1.222697
-0.0212,-0.1624706,-0.207,1.234429
-0.0212,-0.1624706,-0.207,1.246659
-0.0212,-0.1624706,-0.207,1.259405
-0.0212,-0.1624706,-0.207,1.270457
-0.0212,-0.1624706,-0.207,1.283179
-0.0212,-0.1624705,-0.207,1.294673
-0.0212,-0.1624705,-0.207,1.306371
-0.0212,-0.1624706,-0.207,1.318049
-0.02124895,-0.1618158,-0.2074197,1.333393
-0.02124895,-0.1618158,-0.2074197,1.344379
-0.02135731,-0.1618961,-0.2071488,1.354608
-0.02135731,-0.1618961,-0.2071488,1.366499
-0.02122273,-0.172142,-0.2066681,1.378763
-0.02185798,-0.1650439,-0.2070913,1.390279
-0.02185798,-0.1650439,-0.2070913,1.402984
-0.02207572,-0.1605205,-0.2069829,1.413872
