X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0197
-0.0212,-0.1624706,-0.207,0.0333269
-0.0212,-0.1624706,-0.207,0.0555212
-0.0212,-0.1624706,-0.207,0.065916
-0.0212,-0.1624706,-0.207,0.0810375
-0.0212,-0.1624706,-0.207,0.102697
-0.0212,-0.1624706,-0.207,0.1146271
-0.0212,-0.1624706,-0.207,0.1349691
-0.0212,-0.1624706,-0.207,0.1484589
-0.0212,-0.1624706,-0.207,0.1688977
-0.0212,-0.1624706,-0.207,0.1811515
-0.0212,-0.1624706,-0.207,0.1968841
-0.0212,-0.1624706,-0.207,0.2166011
-0.0212,-0.1624706,-0.207,0.2299553
-0.0212,-0.1624706,-0.207,0.2513143
-0.0212,-0.1624706,-0.207,0.2624113
-0.0212,-0.1624706,-0.207,0.2779522
-0.0212,-0.1624706,-0.207,0.298017
-0.0212,-0.1624706,-0.207,0.3114082
-0.0212,-0.1624706,-0.207,0.3322528
-0.0212,-0.1624706,-0.207,0.3462466
-0.0212,-0.1624706,-0.207,0.3669855
-0.0212,-0.1624706,-0.207,0.3792092
-0.0212,-0.1624706,-0.207,0.3945196
-0.0212,-0.1624706,-0.207,0.4244124
-0.0212,-0.1624706,-0.207,0.4339867
-0.0212,-0.1624706,-0.207,0.4546115
-0.0212,-0.1624706,-0.207,0.4634112
-0.0212,-0.1624706,-0.207,0.4753604
-0.0212,-0.1624706,-0.207,0.4952167
-0.0212,-0.1624706,-0.207,0.5085866
-0.0212,-0.1624706,-0.207,0.529532
-0.0212,-0.1624706,-0.207,0.5415528
-0.0212,-0.1624706,-0.207,0.5567752
-0.0212,-0.1624706,-0.207,0.5771666
-0.0212,-0.1624706,-0.207,0.5898837
-0.0212,-0.1624706,-0.207,0.6110111
-0.0212,-0.1624706,-0.207,0.6228244
-0.0212,-0.1624706,-0.207,0.637468
-0.0212,-0.1624706,-0.207,0.6580029
-0.0212,-0.1624706,-0.207,0.6704507
-0.0212,-0.1624706,-0.207,0.6922078
-0.0212,-0.1624706,-0.207,0.703738
-0.0212,-0.1624706,-0.207,0.7249675
-0.0212,-0.1624706,-0.207,0.7366564
-0.0212,-0.1624706,-0.207,0.7517697
-0.0212,-0.1624706,-0.207,0.7734104
-0.0212,-0.1624706,-0.207,0.7983732
-0.0212,-0.1624706,-0.207,0.8197764
-0.0212,-0.1624706,-0.207,0.8278527
-0.0212,-0.1624706,-0.207,0.8370777
-0.0212,-0.1624706,-0.207,0.8574187
-0.0212,-0.1624706,-0.207,0.8700632
-0.0212,-0.1624706,-0.207,0.8911033
-0.0212,-0.1624706,-0.207,0.902742
-0.0212,-0.1624706,-0.207,0.9180847
-0.0212,-0.1624706,-0.207,0.9380149
-0.0212,-0.1624706,-0.207,0.9515154
-0.0212,-0.1624706,-0.207,0.9728161
-0.0212,-0.1624706,-0.207,0.984175
-0.0212,-0.1624706,-0.207,0.9995964
-0.0212,-0.1624706,-0.207,1.028869
-0.0212,-0.1624706,-0.207,1.038671
-0.0212,-0.1624706,-0.207,1.05881
-0.0212,-0.1624705,-0.207,1.067232
-0.0212,-0.1624706,-0.207,1.081319
-0.02135584,-0.1613883,-0.2071327,1.109837
-0.02131359,-0.1633035,-0.2076866,1.136365
-0.02038822,-0.1645796,-0.2079237,1.16159
-0.02038822,-0.1645796,-0.2079237,1.171378
-0.01858235,-0.1584969,-0.2086108,1.192911
-0.02229565,-0.1708415,-0.2101108,1.201386
-0.02229565,-0.1708415,-0.2101108,1.212152
-0.02171847,-0.1632919,-0.2099011,1.23248
-0.02326804,-0.1716189,-0.2115546,1.244932
-0.02326804,-0.1716189,-0.2115546,1.258877
-0.02320557,-0.1623127,-0.2106817,1.27982
-0.02083736,-0.1678104,-0.2123776,1.304939
-0.02123347,-0.1698001,-0.2138628,1.327717
-0.02123347,-0.1698001,-0.2138628,1.336112
-0.02207837,-0.1589768,-0.2119407,1.344516
-0.02153751,-0.1753763,-0.2115331,1.365534
-0.02153751,-0.1753763,-0.2115331,1.376325
-0.02206716,-0.1654975,-0.2120334,1.390956
-0.0213728,-0.1659339,-0.2121878,1.412975
-0.02169927,-0.1574956,-0.2120506,1.424439
-0.02307259,-0.1674924,-0.2121168,1.446126
-0.02152507,-0.163707,-0.2129337,1.470065
-0.02026565,-0.1626831,-0.2124376,1.492001
-0.02026565,-0.1626831,-0.2124376,1.500347
-0.01977183,-0.1637391,-0.2127516,1.508166
-0.01963056,-0.1627254,-0.2139816,1.529966
-0.01900052,-0.1700972,-0.2122129,1.540791
-0.01900052,-0.1700972,-0.2122129,1.556693
-0.01901267,-0.1637781,-0.2133787,1.57686
-0.0176903,-0.1634029,-0.2114048,1.589687
-0.01753447,-0.1594044,-0.2111912,1.620312
-0.01275929,-0.1640263,-0.2122761,1.643393
-0.01226608,-0.1583433,-0.2121954,1.665261
-0.01226608,-0.1583433,-0.2121954,1.673796
-0.004039556,-0.1887867,-0.2114279,1.682483
-0.004248674,-0.1643141,-0.2124808,1.703873
-0.004248674,-0.1643141,-0.2124808,1.71582
-0.003586528,-0.1637934,-0.2139422,1.736024
