X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0119334
-0.0212,-0.1624706,-0.207,0.0241794
-0.0212,-0.1624706,-0.207,0.0358045
-0.0212,-0.1624706,-0.207,0.0474881
-0.0212,-0.1624706,-0.207,0.0591429
-0.0212,-0.1624706,-0.207,0.071614
-0.0212,-0.1624706,-0.207,0.08289941
-0.0212,-0.1624706,-0.207,0.09456251
-0.0212,-0.1624706,-0.207,0.1067034
-0.0212,-0.1624706,-0.207,0.1172619
-0.0212,-0.1624706,-0.207,0.1300501
-0.0212,-0.1624706,-0.207,0.1416064
-0.0212,-0.1624706,-0.207,0.1537901
-0.0212,-0.1624706,-0.207,0.1654299
-0.0212,-0.1624706,-0.207,0.1769625
-0.0212,-0.1624706,-0.207,0.1894295
-0.0212,-0.1624706,-0.207,0.2003549
-0.0212,-0.1624706,-0.207,0.2124606
-0.0212,-0.1624706,-0.207,0.2247924
-0.0212,-0.1624706,-0.207,0.2365945
-0.0212,-0.1624706,-0.207,0.2481013
-0.0212,-0.1624706,-0.207,0.259917
-0.0212,-0.1624706,-0.207,0.271678
-0.0212,-0.1624706,-0.207,0.2834584
-0.0212,-0.1624706,-0.207,0.2945974
-0.0212,-0.1624706,-0.207,0.306828
-0.0212,-0.1624706,-0.207,0.3179678
-0.0212,-0.1624706,-0.207,0.3299858
-0.0212,-0.1624706,-0.207,0.342441
-0.0212,-0.1624706,-0.207,0.3578378
-0.0212,-0.1624706,-0.207,0.3660629
-0.0212,-0.1624706,-0.207,0.3774087
-0.0212,-0.1624706,-0.207,0.3895434
-0.0212,-0.1624706,-0.207,0.4007629
-0.0212,-0.1624706,-0.207,0.4125637
-0.0212,-0.1624706,-0.207,0.4254586
-0.0212,-0.1624706,-0.207,0.4364353
-0.0212,-0.1624706,-0.207,0.4478911
-0.0212,-0.1624706,-0.207,0.4594542
-0.0212,-0.1624706,-0.207,0.4721265
-0.0212,-0.1624706,-0.207,0.4833444
-0.0212,-0.1624706,-0.207,0.4950324
-0.0212,-0.1624706,-0.207,0.5071491
-0.0212,-0.1624706,-0.207,0.5190869
-0.0212,-0.1624706,-0.207,0.5306207
-0.0212,-0.1624706,-0.207,0.5428262
-0.0212,-0.1624706,-0.207,0.5547624
-0.0212,-0.1624706,-0.207,0.5660779
-0.0212,-0.1624706,-0.207,0.5784
-0.0212,-0.1624706,-0.207,0.5901794
-0.0212,-0.1624706,-0.207,0.6020738
-0.0212,-0.1624706,-0.207,0.6133553
-0.0212,-0.1624706,-0.207,0.6256766
-0.0212,-0.1624706,-0.207,0.6376755
-0.0212,-0.1624705,-0.207,0.6492063
-0.0212,-0.1624705,-0.207,0.6610075
-0.02119708,-0.1624734,-0.2070017,0.6726335
-0.02119708,-0.1624734,-0.2070017,0.688053
-0.02131531,-0.1619913,-0.2071932,0.6960487
-0.02122963,-0.1617956,-0.2071534,0.7087206
-0.02122963,-0.1617956,-0.2071534,0.7202975
-0.02103369,-0.1719217,-0.2067856,0.7319304
-0.02103369,-0.1719217,-0.2067856,0.7438769
-0.02170081,-0.1650811,-0.2071761,0.7562359
-0.02170081,-0.1650811,-0.2071761,0.7673748
-0.02301704,-0.1635996,-0.2071486,0.7794303
-0.02449985,-0.1815815,-0.2063998,0.7947238
-0.02449985,-0.1815815,-0.2063998,0.8071293
-0.02530424,-0.1654682,-0.2061179,0.8163597
-0.02530424,-0.1654682,-0.2061179,0.8278729
-0.02779203,-0.1635766,-0.2066622,0.8398291
-0.02906943,-0.1833254,-0.2057883,0.8513662
-0.02906943,-0.1833254,-0.2057883,0.8635088
-0.03021247,-0.1671848,-0.207188,0.8756006
-0.03092064,-0.1645141,-0.2085653,0.8882868
-0.03092064,-0.1645141,-0.2085653,0.8994157
-0.03131352,-0.1633384,-0.2073643,0.9110152
-0.03131352,-0.1633384,-0.2073643,0.9234288
-0.03130673,-0.1626713,-0.2074196,0.9341728
-0.03130673,-0.1626713,-0.2074196,0.9463835
-0.03207961,-0.1622895,-0.2078425,0.9578586
-0.03204237,-0.1620045,-0.2079836,0.9703773
-0.03204237,-0.1620045,-0.2079836,0.9814417
-0.03267189,-0.1634617,-0.2086072,0.993091
-0.03267189,-0.1634617,-0.2086072,1.005669
-0.03339663,-0.1619205,-0.2094391,1.016677
-0.03386118,-0.1616476,-0.2089992,1.029144
-0.03386118,-0.1616476,-0.2089992,1.040934
-0.03284897,-0.1682163,-0.2096992,1.052873
-0.03284897,-0.1682163,-0.2096992,1.063848
-0.03131846,-0.1858189,-0.2116595,1.075837
-0.03152611,-0.1660268,-0.2129829,1.088294
-0.03152611,-0.1660268,-0.2129829,1.099044
-0.03175785,-0.1587046,-0.2141718,1.110595
-0.03175785,-0.1587046,-0.2141718,1.122977
-0.03378988,-0.1766734,-0.2146524,1.133985
-0.03378988,-0.1766734,-0.2146524,1.146712
-0.03345466,-0.1663989,-0.2146821,1.158056
-0.03419477,-0.1647199,-0.2148859,1.170221
-0.03419477,-0.1647199,-0.2148859,1.181395
-0.034573,-0.1781236,-0.2153525,1.193575
-0.034573,-0.1781236,-0.2153525,1.206255
-0.03376304,-0.1659016,-0.2148386,1.216949
-0.03469076,-0.1637239,-0.2152166,1.229324
-0.03469076,-0.1637239,-0.2152166,1.241187
-0.03434598,-0.1614311,-0.2153141,1.25314
-0.03434598,-0.1614311,-0.2153141,1.26485
-0.03353592,-0.1726618,-0.2165587,1.276545
-0.0330867,-0.1615247,-0.2165799,1.289116
-0.0330867,-0.1615247,-0.2165799,1.300161
-0.03313757,-0.1738881,-0.2170346,1.312001
-0.03333811,-0.1619628,-0.2179572,1.336403
-0.03333811,-0.1619628,-0.2179572,1.345053
-0.03347048,-0.1596325,-0.2182348,1.352289
-0.03347048,-0.1596325,-0.2182348,1.360374
-0.03482578,-0.1749648,-0.2189636,1.371583
-0.03482578,-0.1749648,-0.2189636,1.383504
-0.03496234,-0.1621211,-0.2197579,1.394915
-0.03496234,-0.1621211,-0.2197579,1.406724
-0.03513727,-0.15749,-0.2200022,1.417624
-0.04219734,-0.1818732,-0.2236848,1.429772
-0.04219734,-0.1818732,-0.2236848,1.441592
-0.04152344,-0.1620828,-0.2225713,1.453802
-0.04152344,-0.1620828,-0.2225713,1.465257
-0.04106653,-0.1596771,-0.2225793,1.476839
-0.04029203,-0.1845337,-0.2214964,1.48969
-0.04029203,-0.1845337,-0.2214964,1.50043
-0.03822073,-0.1661655,-0.2240182,1.512283
-0.03822073,-0.1661655,-0.2240182,1.524781
-0.03864248,-0.1628593,-0.224117,1.53671
-0.03911757,-0.1586893,-0.2245338,1.548934
-0.03911757,-0.1586893,-0.2245338,1.561979
-0.04064538,-0.1876633,-0.2245752,1.573501
-0.04064538,-0.1876633,-0.2245752,1.584812
-0.0399118,-0.1661635,-0.2258132,1.596597
-0.03971436,-0.1606753,-0.2243402,1.608943
-0.03971436,-0.1606753,-0.2243402,1.620894
-0.04038425,-0.1923323,-0.2199905,1.632079
-0.04038425,-0.1923323,-0.2199905,1.644062
-0.04001153,-0.1676121,-0.2192322,1.656418
-0.04001153,-0.1676121,-0.2192322,1.667337
-0.03995771,-0.1651117,-0.2188522,1.679126
