X, Y, Z, Time
-0.02118566,-0.1624818,-0.2070065,0.0254214
-0.02137424,-0.1621904,-0.2073664,0.0506906
-0.02121001,-0.1618946,-0.2070212,0.0600615
-0.02129469,-0.1628848,-0.2074272,0.0822135
-0.02129469,-0.1628848,-0.2074272,0.0907148
-0.0207889,-0.1660458,-0.2082116,0.0996295
-0.02044315,-0.161459,-0.2086665,0.1213249
-0.02044315,-0.161459,-0.2086665,0.1323222
-0.02269152,-0.1758401,-0.2093676,0.1471484
-0.02146675,-0.164945,-0.2087061,0.1694915
-0.02053757,-0.1600546,-0.2090658,0.1959649
-0.02135476,-0.1633005,-0.2100293,0.2206643
-0.02135476,-0.1633005,-0.2100293,0.229792
-0.01466029,-0.1447162,-0.1928325,0.2492804
-0.01829793,-0.1224172,-0.1906696,0.2639268
-0.02112016,-0.120674,-0.1912028,0.2862122
-0.02223063,-0.1210438,-0.1914316,0.2961717
-0.02223063,-0.1210438,-0.1914316,0.3112884
-0.02332058,-0.1278151,-0.1917084,0.3332049
-0.02309994,-0.1335314,-0.1919847,0.3603452
-0.02264656,-0.1401994,-0.1918065,0.3842948
-0.02264656,-0.1401994,-0.1918065,0.3923218
-0.0224311,-0.1452255,-0.1914078,0.4004396
-0.0220727,-0.1506217,-0.1910082,0.4224302
-0.02171619,-0.1536243,-0.1906342,0.4338981
-0.02127554,-0.1576004,-0.189919,0.4550614
-0.02127554,-0.1576004,-0.189919,0.4661807
-0.0211658,-0.1583304,-0.1899225,0.4814271
-0.0211504,-0.1583374,-0.1899162,0.5034608
-0.0211692,-0.1582834,-0.1899114,0.526915
-0.02116488,-0.1581935,-0.1898932,0.5478222
-0.02115859,-0.1581439,-0.1898824,0.5581627
-0.02115859,-0.1581439,-0.1898824,0.5668631
-0.02115269,-0.158103,-0.1898696,0.5867574
-0.02114606,-0.1581227,-0.1898674,0.5976304
-0.02114606,-0.1581227,-0.1898674,0.6124867
-0.0211462,-0.1581378,-0.1898675,0.6334426
-0.0211462,-0.1581378,-0.1898675,0.6459749
-0.02116807,-0.1580687,-0.1898315,0.6661993
-0.02117149,-0.1579792,-0.1898082,0.678776
-0.02117054,-0.1578136,-0.1897864,0.6942037
-0.02117819,-0.1577579,-0.18975,0.7165085
-0.02117978,-0.1576456,-0.1897256,0.7328433
-0.02120525,-0.1574094,-0.1896949,0.7569032
-0.02120525,-0.1574094,-0.1896949,0.7659477
-0.02122189,-0.1572674,-0.1896785,0.7871209
-0.02123113,-0.1572219,-0.1896713,0.7958018
-0.02123113,-0.1572219,-0.1896713,0.8073604
-0.02127299,-0.1571843,-0.1896737,0.8278931
-0.02128457,-0.157122,-0.1896859,0.8402519
-0.02128581,-0.1570855,-0.1896756,0.8556066
-0.02130344,-0.1570546,-0.1896769,0.8781347
-0.02130344,-0.1570546,-0.1896769,0.8885309
-0.02131643,-0.1569785,-0.1896636,0.9025893
-0.02133152,-0.1568658,-0.1896472,0.9244852
-0.02133761,-0.1567568,-0.1896352,0.9361473
-0.02134939,-0.1565896,-0.1896127,0.9577951
-0.02134939,-0.1565896,-0.1896127,0.9687746
-0.01868141,-0.1575358,-0.1843664,0.9838011
-0.01855426,-0.1557618,-0.1842719,1.005614
-0.0179591,-0.1547889,-0.1823358,1.017211
-0.01484272,-0.1525892,-0.1793117,1.038622
-0.01484272,-0.1525892,-0.1793117,1.050344
-0.01283431,-0.1474695,-0.1768436,1.070481
-0.01213151,-0.144834,-0.1759655,1.083466
-0.01103347,-0.1416046,-0.1745127,1.105204
-0.01062728,-0.1397097,-0.1740013,1.116169
-0.01062728,-0.1397097,-0.1740013,1.13067
-0.009642037,-0.1352141,-0.1725999,1.151054
-0.009321287,-0.1315988,-0.1719076,1.177002
0.003634447,-0.1168992,-0.1386305,1.187006
-0.002163313,-0.08485912,-0.1348515,1.211017
-0.002163313,-0.08485912,-0.1348515,1.220289
-0.008224099,-0.08429658,-0.1371558,1.247939
-0.008224099,-0.08429658,-0.1371558,1.257068
0.004522208,-0.1624432,-0.1221891,1.272574
0.004522208,-0.1624432,-0.1221891,1.301343
0.004522208,-0.1624432,-0.1221891,1.311049
0.004522208,-0.1624432,-0.1221891,1.333135
0.004522208,-0.1624432,-0.1221891,1.341616
0.004522208,-0.1624432,-0.1221891,1.351795
0.004522208,-0.1624432,-0.1221891,1.373115
0.004522208,-0.1624432,-0.1221891,1.385148
0.004522208,-0.1624432,-0.1221891,1.405779
0.004522208,-0.1624432,-0.1221891,1.417953
0.004522208,-0.1624432,-0.1221891,1.433049
0.004522208,-0.1624432,-0.1221891,1.454361
0.004522208,-0.1624432,-0.1221891,1.466881
0.004522208,-0.1624432,-0.1221891,1.488061
0.004522208,-0.1624432,-0.1221891,1.500281
0.004522208,-0.1624432,-0.1221891,1.521446
0.004522208,-0.1624432,-0.1221891,1.533219
0.004522208,-0.1624432,-0.1221891,1.548884
0.004522208,-0.1624432,-0.1221891,1.569946
0.004522208,-0.1624432,-0.1221891,1.581479
0.004522208,-0.1624432,-0.1221891,1.596496
0.004522208,-0.1624432,-0.1221891,1.618453
0.004522208,-0.1624432,-0.1221891,1.643021
0.004522208,-0.1624432,-0.1221891,1.664156
0.004522208,-0.1624432,-0.1221891,1.672555
0.004522208,-0.1624432,-0.1221891,1.680388
0.004522208,-0.1624432,-0.1221891,1.701225
0.004522208,-0.1624432,-0.1221891,1.713441
0.004522208,-0.1624432,-0.1221891,1.734442
0.004522208,-0.1624432,-0.1221891,1.745502
0.004522208,-0.1624432,-0.1221891,1.761091
0.004522208,-0.1624432,-0.1221891,1.781265
0.004522208,-0.1624432,-0.1221891,1.807678
0.004522208,-0.1624432,-0.1221891,1.829511
0.004522208,-0.1624432,-0.1221891,1.837634
0.004522208,-0.1624432,-0.1221891,1.846413
0.004522208,-0.1624432,-0.1221891,1.867232
0.004522208,-0.1624432,-0.1221891,1.879621
0.004522208,-0.1624432,-0.1221891,1.899961
0.004522208,-0.1624432,-0.1221891,1.91187
0.004522208,-0.1624432,-0.1221891,1.927461
0.004522208,-0.1624432,-0.1221891,1.948071
0.004522208,-0.1624432,-0.1221891,1.981468
0.004522208,-0.1624432,-0.1221891,2.004914
0.004522208,-0.1624432,-0.1221891,2.01375
0.004522208,-0.1624432,-0.1221891,2.034436
0.004522208,-0.1624432,-0.1221891,2.042708
0.004522208,-0.1624432,-0.1221891,2.055001
0.004522208,-0.1624432,-0.1221891,2.076358
