X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0110712
-0.0212,-0.1624706,-0.207,0.0232408
-0.0212,-0.1624706,-0.207,0.0353029
-0.0212,-0.1624706,-0.207,0.0469446
-0.0212,-0.1624706,-0.207,0.058666
-0.0212,-0.1624706,-0.207,0.0707893
-0.0212,-0.1624706,-0.207,0.0834797
-0.0212,-0.1624706,-0.207,0.094856
-0.0212,-0.1624706,-0.207,0.1071586
-0.0212,-0.1624706,-0.207,0.1191937
-0.0212,-0.1624706,-0.207,0.1302217
-0.0212,-0.1624706,-0.207,0.1425477
-0.0212,-0.1624706,-0.207,0.1541856
-0.0212,-0.1624706,-0.207,0.1666787
-0.0212,-0.1624706,-0.207,0.1780571
-0.0212,-0.1624706,-0.207,0.1897016
-0.0212,-0.1624706,-0.207,0.2022868
-0.0212,-0.1624706,-0.207,0.2163018
-0.0212,-0.1624706,-0.207,0.2260352
-0.0212,-0.1624706,-0.207,0.2376224
-0.0212,-0.1624706,-0.207,0.2498799
-0.0212,-0.1624706,-0.207,0.2616056
-0.0212,-0.1624706,-0.207,0.274003
-0.0212,-0.1624706,-0.207,0.2858815
-0.0212,-0.1624706,-0.207,0.298251
-0.0212,-0.1624706,-0.207,0.3094035
-0.0212,-0.1624706,-0.207,0.3217709
-0.0212,-0.1624705,-0.207,0.3339357
-0.0212,-0.1624706,-0.207,0.3455628
-0.0212,-0.1624706,-0.207,0.3613352
-0.02124701,-0.1615311,-0.2075139,0.3697324
-0.02124701,-0.1615311,-0.2075139,0.3830119
-0.02128202,-0.161644,-0.2071154,0.3966998
-0.02240443,-0.1698119,-0.2075964,0.4100353
-0.02240443,-0.1698119,-0.2075964,0.4208459
-0.02252831,-0.1613729,-0.2075039,0.4305483
-0.02252831,-0.1613729,-0.2075039,0.4437234
-0.02512532,-0.1746424,-0.2081629,0.4552444
-0.02499666,-0.1592097,-0.2076294,0.4681588
-0.02499666,-0.1592097,-0.2076294,0.4793484
-0.02596841,-0.170002,-0.2081036,0.4906753
-0.02596841,-0.170002,-0.2081036,0.5031775
-0.02594043,-0.1763202,-0.2101171,0.513988
-0.02522731,-0.1652702,-0.2104155,0.526263
-0.02522731,-0.1652702,-0.2104155,0.5381226
-0.02611835,-0.1572458,-0.210706,0.5500568
-0.02611835,-0.1572458,-0.210706,0.5618324
-0.0257819,-0.1965851,-0.2039323,0.5730014
-0.02530462,-0.1687312,-0.2062455,0.5854962
-0.02530462,-0.1687312,-0.2062455,0.5969841
-0.02736877,-0.164792,-0.2072361,0.6086013
-0.02736877,-0.164792,-0.2072361,0.6208893
-0.02712305,-0.1557412,-0.206653,0.6327019
-0.02712305,-0.1557412,-0.206653,0.6441842
-0.02826571,-0.1763711,-0.202788,0.6561285
-0.02727379,-0.1613412,-0.2056058,0.6687173
-0.02727379,-0.1613412,-0.2056058,0.6801536
-0.02900413,-0.181579,-0.2062523,0.6915908
-0.02900413,-0.181579,-0.2062523,0.7040085
-0.0280394,-0.1646553,-0.2087257,0.7158623
-0.03044296,-0.1560562,-0.2091461,0.7276264
-0.03044296,-0.1560562,-0.2091461,0.739436
-0.03011559,-0.1902659,-0.2097914,0.7519005
-0.03011559,-0.1902659,-0.2097914,0.7632025
-0.02866506,-0.1632469,-0.2104348,0.7756235
-0.02656014,-0.1691963,-0.2117938,0.7872926
-0.02656014,-0.1691963,-0.2117938,0.7998726
