X, Y, Z, Time
-0.02119849,-0.1624871,-0.2070176,0.0146892
-0.02130656,-0.1620174,-0.2073594,0.0309848
-0.02116254,-0.1630787,-0.2073781,0.0489935
-0.02116254,-0.1630787,-0.2073781,0.06688879
-0.02073385,-0.1622934,-0.2071409,0.08175939
-0.02155012,-0.1730478,-0.2077458,0.0949361
-0.02151707,-0.1636744,-0.2076375,0.1110676
-0.02151707,-0.1636744,-0.2076375,0.1276531
-0.02151719,-0.1625732,-0.2079904,0.1441645
-0.02084852,-0.1669341,-0.2083454,0.1597291
-0.02208609,-0.1602367,-0.2083367,0.1767583
-0.0229802,-0.1818196,-0.2082953,0.1908666
-0.02230265,-0.1670886,-0.2088595,0.2095871
-0.02230265,-0.1670886,-0.2088595,0.2246589
-0.02205994,-0.163675,-0.208973,0.2397921
-0.02210974,-0.1615622,-0.2092158,0.2578123
-0.02199471,-0.1637051,-0.2097601,0.2763502
-0.0218572,-0.163253,-0.20925,0.2916771
-0.0218572,-0.163253,-0.20925,0.3069573
-0.0214968,-0.1623307,-0.2102959,0.3234416
-0.0216298,-0.1599471,-0.2101368,0.3404023
-0.02087353,-0.1675503,-0.2095576,0.356005
-0.0210763,-0.1618992,-0.2096548,0.3730017
-0.02129252,-0.1601685,-0.2093239,0.3890217
-0.02129252,-0.1601685,-0.2093239,0.4049198
-0.02166402,-0.1675652,-0.2099475,0.4216089
-0.02140886,-0.1641365,-0.2099188,0.4369273
-0.02090822,-0.1611369,-0.2105276,0.4542095
-0.02079096,-0.1744101,-0.2100697,0.4700855
-0.02079096,-0.1744101,-0.2100697,0.4866873
-0.02048117,-0.1638412,-0.2102309,0.5023701
-0.02057557,-0.1645173,-0.2101162,0.5195178
-0.01864826,-0.1679464,-0.209038,0.533029
-0.01849669,-0.1642534,-0.2089277,0.5516202
-0.01849669,-0.1642534,-0.2089277,0.5663375
-0.01887808,-0.1620158,-0.2100584,0.5839792
-0.0187775,-0.16407,-0.2095001,0.5985705
-0.01793194,-0.162062,-0.2091503,0.6159202
-0.01781035,-0.1616833,-0.2094302,0.6342996
-0.01886784,-0.1660847,-0.2082376,0.6494668
-0.01886784,-0.1660847,-0.2082376,0.6622906
-0.01992458,-0.1626692,-0.209226,0.6813374
-0.01895687,-0.1643397,-0.2089326,0.6953516
-0.01970758,-0.162125,-0.2091323,0.7119305
-0.01970758,-0.162125,-0.2091323,0.7240065
-0.01998653,-0.1643382,-0.2077208,0.7418146
-0.01902281,-0.1621414,-0.2091053,0.7567
-0.02030744,-0.1642209,-0.2081135,0.7748144
-0.0191459,-0.162104,-0.2090895,0.7904643
-0.0191459,-0.162104,-0.2090895,0.806832
-0.02023763,-0.1641268,-0.2081794,0.8226027
-0.01897107,-0.1620675,-0.2090697,0.8399377
-0.02022886,-0.1640386,-0.2080476,0.8544077
-0.01890187,-0.1620721,-0.2090832,0.8718207
-0.01890187,-0.1620721,-0.2090832,0.8865572
-0.02005608,-0.1637931,-0.208621,0.9014993
-0.01940352,-0.1620291,-0.2091302,0.9168015
-0.01988481,-0.1636753,-0.2088111,0.9345469
-0.01972861,-0.1620003,-0.2092557,0.9492138
-0.01972861,-0.1620003,-0.2092557,0.9675742
-0.01982061,-0.1636128,-0.2088575,0.982476
-0.01976563,-0.1619875,-0.2092966,1.001545
-0.01974503,-0.1635734,-0.2089125,1.016234
-0.0198146,-0.1619736,-0.2093554,1.030773
-0.0198146,-0.1619736,-0.2093554,1.04506
-0.01966698,-0.1635164,-0.2089576,1.060853
-0.01980061,-0.1619663,-0.2093736,1.077608
-0.01958607,-0.1634944,-0.2090049,1.092319
-0.01975581,-0.1619635,-0.2093572,1.110596
-0.01975581,-0.1619635,-0.2093572,1.124905
-0.01951859,-0.1634216,-0.2090445,1.143389
-0.01979604,-0.1619536,-0.2094128,1.158736
-0.01938246,-0.1633616,-0.2091165,1.174194
-0.0199409,-0.1619321,-0.2095763,1.190641
-0.0199409,-0.1619321,-0.2095763,1.20709
-0.01924521,-0.1632084,-0.209168,1.222909
-0.01868584,-0.1634073,-0.2091345,1.239209
-0.01869737,-0.1636312,-0.2090895,1.257388
-0.01870805,-0.1635772,-0.2091078,1.272717
-0.01866602,-0.1632816,-0.2091725,1.288548
-0.01866602,-0.1632816,-0.2091725,1.304598
-0.01871481,-0.1633224,-0.2091351,1.321955
-0.01984436,-0.163041,-0.2085275,1.337101
-0.01865949,-0.1629249,-0.2091803,1.353296
-0.018663,-0.1629277,-0.2091879,1.368211
-0.018663,-0.1629277,-0.2091879,1.385287
-0.01972093,-0.1630275,-0.2088332,1.400433
-0.01931447,-0.1626746,-0.2091283,1.417249
-0.01927709,-0.1628624,-0.2091614,1.433506
-0.01824757,-0.1625979,-0.209221,1.450496
-0.01824757,-0.1625979,-0.209221,1.464625
-0.0137832,-0.1626118,-0.2103426,1.484495
-0.01332364,-0.1620575,-0.2103131,1.49909
-0.01402716,-0.1615881,-0.2095149,1.51517
-0.0107035,-0.1625146,-0.2132525,1.533306
-0.0104511,-0.1616524,-0.2130983,1.550731
-0.0104511,-0.1616524,-0.2130983,1.565072
-0.01062643,-0.1611618,-0.213067,1.583404
-0.01005193,-0.1612061,-0.2129628,1.59571
-0.009654028,-0.1612093,-0.2126983,1.615022
-0.009654028,-0.1612093,-0.2126983,1.627531
-0.007792678,-0.161159,-0.2129103,1.644821
-0.007666722,-0.1610226,-0.2127514,1.660391
-0.005738435,-0.1609111,-0.2127093,1.676994
-0.005452289,-0.1607378,-0.2127114,1.692948
-0.003500448,-0.1604922,-0.2130467,1.709703
-0.003500448,-0.1604922,-0.2130467,1.724537
0.0007517862,-0.1596609,-0.2130744,1.786324
0.0009256363,-0.1595615,-0.213046,1.790025
0.0009256363,-0.1595615,-0.213046,1.792837
0.0009256363,-0.1595615,-0.213046,1.795046
0.00122489,-0.1594681,-0.213052,1.808756
0.00122489,-0.1594681,-0.213052,1.826425
0.001955151,-0.1592957,-0.2135858,1.840484
0.002213408,-0.1589033,-0.2138242,1.85823
0.002511018,-0.1587198,-0.2138378,1.872403
0.002502676,-0.1586562,-0.213915,1.890592
0.002502676,-0.1586562,-0.213915,1.905848
0.002813162,-0.1584834,-0.2139568,1.922486
0.003108711,-0.1583402,-0.2140124,1.939299
0.003153645,-0.1582156,-0.2139996,1.955298
0.003472719,-0.1580117,-0.2140257,1.970717
0.003472719,-0.1580117,-0.2140257,1.986879
0.003863924,-0.1577107,-0.2139515,2.004542
0.004027615,-0.1572591,-0.2141068,2.019258
0.004133074,-0.1570878,-0.2140331,2.036448
0.0042287,-0.1569869,-0.2140113,2.051743
0.004888002,-0.1565882,-0.2139301,2.069921
0.004888002,-0.1565882,-0.2139301,2.084701
0.005294196,-0.1562059,-0.213625,2.100681
0.005916086,-0.1558197,-0.2135701,2.115896
0.006519591,-0.1553176,-0.21356,2.134177
0.006791249,-0.1551216,-0.2133626,2.149258
0.006791249,-0.1551216,-0.2133626,2.168027
0.007575283,-0.1542893,-0.2132818,2.186124
0.007944412,-0.15375,-0.2132847,2.201773
0.008095657,-0.1535484,-0.2132393,2.216549
0.008527124,-0.1532191,-0.2131288,2.228606
0.008527124,-0.1532191,-0.2131288,2.245252
0.009051436,-0.1522394,-0.2130511,2.261131
0.009363695,-0.1515694,-0.2130911,2.277009
0.009535513,-0.1513081,-0.2129171,2.293265
0.009576182,-0.150739,-0.2131597,2.309185
0.009576182,-0.150739,-0.2131597,2.327132
0.009515188,-0.1501075,-0.2136025,2.342935
0.009595002,-0.1502288,-0.2136251,2.359753
0.009687569,-0.1503925,-0.2135834,2.37475
0.00981646,-0.1505823,-0.2134451,2.393028
0.00981646,-0.1505823,-0.2134451,2.40811
0.009924781,-0.150774,-0.2133713,2.42461
0.01003166,-0.1509658,-0.2133031,2.441162
0.01025816,-0.1508673,-0.2133487,2.457628
0.01029166,-0.1508589,-0.213277,2.474193
0.01042633,-0.1510334,-0.2130584,2.489104
0.01042633,-0.1510334,-0.2130584,2.506935
0.01065452,-0.1509333,-0.2130899,2.52196
0.01067099,-0.1509248,-0.2130886,2.538167
0.01067249,-0.150924,-0.2130885,2.553178
0.01078732,-0.1510991,-0.2129477,2.571162
0.01078732,-0.1510991,-0.2129477,2.586842
0.01091121,-0.1512889,-0.212801,2.603196
0.01080673,-0.1511302,-0.2129361,2.616915
0.01079836,-0.1511167,-0.212941,2.633917
0.0107976,-0.1511155,-0.2129414,2.651132
0.0107976,-0.1511155,-0.2129414,2.667609
0.01079753,-0.1511154,-0.2129415,2.681487
0.01079752,-0.1511154,-0.2129415,2.70056
0.01068286,-0.1509403,-0.2130824,2.712114
0.0108911,-0.1508103,-0.2131319,2.728947
0.0108911,-0.1508103,-0.2131319,2.746202
0.01057351,-0.150739,-0.2132292,2.760505
0.01043521,-0.1505575,-0.2133751,2.778035
0.0104238,-0.150542,-0.213381,2.792519
0.01042277,-0.1505406,-0.2133815,2.810833
0.01042277,-0.1505406,-0.2133815,2.826471
0.01020506,-0.1506555,-0.2133376,2.842839
0.01007457,-0.1504898,-0.2134776,2.858742
0.01006387,-0.1504757,-0.213483,2.876215
0.01006289,-0.1504744,-0.2134835,2.890733
0.01006289,-0.1504744,-0.2134835,2.908037
0.009735075,-0.1503916,-0.2135248,2.923417
0.00960156,-0.1502087,-0.213663,2.940866
0.009590601,-0.1501931,-0.2136682,2.955098
0.009359677,-0.1502844,-0.2136413,2.973137
0.00934917,-0.1502922,-0.2136409,2.988285
0.00934917,-0.1502922,-0.2136409,3.006317
0.009232976,-0.150117,-0.2137802,3.020133
0.009288617,-0.1501045,-0.2137327,3.037461
0.00907379,-0.150218,-0.2136853,3.053437
0.009276407,-0.1501129,-0.2137299,3.070468
0.009276407,-0.1501129,-0.2137299,3.085103
0.009240104,-0.1499303,-0.2138161,3.101106
0.009235926,-0.1499146,-0.2138183,3.117669
0.009184964,-0.1497394,-0.2139046,3.134468
0.009167259,-0.1497021,-0.213924,3.150365
0.009167259,-0.1497021,-0.213924,3.166785
0.008903266,-0.1496404,-0.2139648,3.181566
0.008819442,-0.149439,-0.2140696,3.199678
0.008613023,-0.1493659,-0.2140591,3.218488
0.008430433,-0.1494548,-0.2139769,3.232974
0.008604627,-0.1494481,-0.2138322,3.248648
0.008604627,-0.1494481,-0.2138322,3.264917
0.008474881,-0.1490556,-0.214098,3.277162
0.008227593,-0.1489221,-0.214198,3.294365
0.008125169,-0.148692,-0.2143931,3.310463
0.008125169,-0.148692,-0.2143931,3.327019
0.00772706,-0.1485217,-0.2146299,3.342714
0.007474963,-0.1486006,-0.2146812,3.359986
0.007433367,-0.1485848,-0.2147755,3.37514
0.007076895,-0.1484772,-0.2149046,3.393868
0.007220485,-0.1485794,-0.2147489,3.408434
0.007220485,-0.1485794,-0.2147489,3.424627
0.007906135,-0.1493011,-0.2137791,3.442042
0.008463666,-0.1493327,-0.2135081,3.457423
0.009258841,-0.1497021,-0.2127938,3.474539
0.009838555,-0.1499164,-0.2122284,3.490606
0.009838555,-0.1499164,-0.2122284,3.507085
0.01044745,-0.1498545,-0.2115093,3.522905
0.01096743,-0.1496415,-0.2110166,3.541062
0.01152197,-0.149586,-0.2105166,3.557278
0.0116882,-0.1493451,-0.2103902,3.571763
0.01169119,-0.1493785,-0.2100728,3.591055
0.01169119,-0.1493785,-0.2100728,3.606679
0.01144821,-0.1491255,-0.2099977,3.623349
0.01127148,-0.1491328,-0.2099244,3.638937
0.01100696,-0.1492799,-0.2096828,3.655436
0.01109295,-0.1491782,-0.2095355,3.671957
0.01092722,-0.1492194,-0.2094483,3.688951
0.01092722,-0.1492194,-0.2094483,3.703177
0.01078799,-0.1491591,-0.2092835,3.721815
0.01069289,-0.1492048,-0.2090717,3.737126
0.0105286,-0.1492346,-0.2089037,3.751272
0.0105286,-0.1492346,-0.2089037,3.766837
0.0106728,-0.1487708,-0.2086381,3.78392
0.01062488,-0.1486886,-0.2083813,3.795049
0.01053858,-0.1478196,-0.2082994,3.814371
0.01024299,-0.1468329,-0.2083269,3.828269
0.01024299,-0.1468329,-0.2083269,3.846768
0.009555064,-0.1452436,-0.2085142,3.858462
0.009098768,-0.1445602,-0.2085743,3.876087
0.008958681,-0.1441919,-0.2086955,3.892724
0.008808682,-0.1439423,-0.2088528,3.908136
0.008808682,-0.1439423,-0.2088528,3.924563
0.008643268,-0.1436316,-0.2087567,3.939898
0.00874619,-0.1433774,-0.2086578,3.956784
0.009133421,-0.1429652,-0.2085657,3.972325
0.00927974,-0.1425338,-0.2084945,3.988317
0.00927974,-0.1425338,-0.2084945,4.00437
0.009662862,-0.1420911,-0.2081749,4.020985
0.00966064,-0.1415759,-0.2081925,4.035673
0.009881094,-0.1408464,-0.2082438,4.052668
0.009881094,-0.1408464,-0.2082438,4.066774
0.01010115,-0.139838,-0.2082825,4.082357
0.009939788,-0.1390601,-0.2084569,4.09918
0.01014263,-0.1385434,-0.2085455,4.112839
0.009977884,-0.1383157,-0.2084401,4.128511
0.009977884,-0.1383157,-0.2084401,4.144452
0.01010062,-0.1370804,-0.2089205,4.161441
0.009947244,-0.1365429,-0.2091279,4.176286
0.01010299,-0.136091,-0.2092627,4.193825
0.01010299,-0.136091,-0.2092627,4.207632
0.01013602,-0.1356355,-0.2093454,4.223056
0.01015377,-0.1352907,-0.2093693,4.240239
0.01028515,-0.1347865,-0.2095767,4.255488
0.01027377,-0.134202,-0.2096686,4.272761
0.01050565,-0.133927,-0.2094745,4.289123
0.01050565,-0.133927,-0.2094745,4.305202
0.01091233,-0.1329226,-0.2094312,4.321222
0.01124974,-0.1322683,-0.2093599,4.337062
0.01125391,-0.1315121,-0.2094181,4.352996
0.01125391,-0.1315121,-0.2094181,4.367931
0.01125883,-0.1307111,-0.2095757,4.38273
0.01130407,-0.1302555,-0.2097886,4.401022
0.01127286,-0.1301262,-0.2098233,4.415615
0.01156385,-0.1300229,-0.2097828,4.431208
0.01163248,-0.1299583,-0.2097135,4.449473
0.01163248,-0.1299583,-0.2097135,4.461409
0.01165259,-0.1298074,-0.2096734,4.482797
0.01162456,-0.1297256,-0.2097073,4.496247
0.01196572,-0.1297384,-0.2096197,4.512765
0.01205239,-0.1297511,-0.2095381,4.531105
0.01205239,-0.1297511,-0.2095381,4.544166
0.01185632,-0.12878,-0.2096205,4.563098
0.01149626,-0.1278354,-0.2097531,4.575262
0.01075173,-0.1268095,-0.2100112,4.592552
0.009710857,-0.1259345,-0.2103594,4.609108
0.009710857,-0.1259345,-0.2103594,4.624584
0.008808037,-0.1248798,-0.2108677,4.640993
0.008294423,-0.1244791,-0.2110661,4.655772
0.008162783,-0.1237082,-0.2114144,4.67421
0.00798895,-0.123246,-0.2115683,4.689082
0.00798895,-0.123246,-0.2115683,4.704919
0.007635852,-0.1224186,-0.2119234,4.720938
0.007514357,-0.1221258,-0.2120313,4.737063
0.007543956,-0.1220953,-0.2120387,4.753837
0.007552551,-0.1219616,-0.2120402,4.769714
0.007552551,-0.1219616,-0.2120402,4.787999
0.007651483,-0.1219025,-0.2119326,4.802965
0.007698569,-0.1218094,-0.2118396,4.819378
0.007707058,-0.1216709,-0.2118273,4.834661
0.00749942,-0.121655,-0.2117711,4.852167
0.00749942,-0.121655,-0.2117711,4.867069
0.007743953,-0.1213103,-0.2117266,4.880894
0.007585309,-0.1213195,-0.2115787,4.89838
0.007619489,-0.120937,-0.2117887,4.911181
0.007582592,-0.1208176,-0.2118272,4.928756
0.007582592,-0.1208176,-0.2118272,4.943561
0.007320179,-0.1203352,-0.2120745,4.961865
0.007242296,-0.120163,-0.2121368,4.975152
0.007031011,-0.1198055,-0.2123396,4.992041
0.006979494,-0.1195163,-0.2123234,5.008942
0.006979494,-0.1195163,-0.2123234,5.024477
0.006613873,-0.1192326,-0.2123637,5.040656
0.006383129,-0.1192258,-0.212312,5.058391
0.006477324,-0.1188427,-0.2124772,5.073713
0.00652471,-0.1189787,-0.2121901,5.09042
0.00652471,-0.1189787,-0.2121901,5.104622
0.006716175,-0.1186902,-0.2119632,5.121472
0.006860569,-0.118427,-0.2118416,5.138397
0.006913601,-0.1180408,-0.2117743,5.152931
0.006940722,-0.1174315,-0.2116643,5.171146
0.006940722,-0.1174315,-0.2116643,5.187535
0.006007207,-0.1155336,-0.2119536,5.201383
0.005061696,-0.1142874,-0.2123248,5.217966
0.004248691,-0.1131673,-0.2127142,5.234167
0.004256808,-0.1124412,-0.2127029,5.248252
0.004256808,-0.1124412,-0.2127029,5.266403
0.003776358,-0.1111412,-0.2129683,5.278376
0.00402485,-0.1103145,-0.2129767,5.295911
0.004168552,-0.1093177,-0.2131276,5.312778
0.004168552,-0.1093177,-0.2131276,5.325787
0.004445498,-0.1079452,-0.2134725,5.341195
0.004449407,-0.1074453,-0.2135186,5.356511
0.004463707,-0.1069624,-0.2135879,5.373763
0.004739816,-0.1055303,-0.2136752,5.436363
0.004739816,-0.1055303,-0.2136752,5.440011
0.004739816,-0.1055303,-0.2136752,5.442209
0.004739816,-0.1055303,-0.2136752,5.444531
0.004757641,-0.1051333,-0.21357,5.457569
0.005004469,-0.1046738,-0.2135938,5.47386
0.005031412,-0.104237,-0.2134868,5.490973
