X, Y, Z, Time
-0.0212,-0.1624182,-0.207,0.02
-0.0212,-0.1624601,-0.207,0.04
-0.0212,-0.1624706,-0.207,0.14
-0.0212,-0.1624706,-0.207,0.24
-0.0212,-0.1624705,-0.207,0.3037806
-0.0212,-0.1624706,-0.207,0.326366
-0.0212,-0.1624706,-0.207,0.3364111
-0.0212,-0.1624705,-0.207,0.344721
-0.0212,-0.1624705,-0.207,0.3569556
-0.0212,-0.1624706,-0.207,0.3669373
-0.0212,-0.1624705,-0.207,0.3815609
-0.0212,-0.1624705,-0.207,0.399032
-0.0212,-0.1624706,-0.207,0.4274491
-0.0212,-0.1624706,-0.207,0.4391935
-0.0212,-0.1624706,-0.207,0.4522207
-0.0212,-0.1624706,-0.207,0.4653752
-0.0212,-0.1624706,-0.207,0.4779838
-0.0212,-0.1624706,-0.207,0.4865855
-0.0212,-0.1624706,-0.207,0.4999649
-0.0212,-0.1624706,-0.207,0.5086812
-0.0212,-0.1624706,-0.207,0.5208098
-0.0212,-0.1624706,-0.207,0.5373073
-0.0212,-0.1624706,-0.207,0.5461285
-0.0212,-0.1624706,-0.207,0.5577404
-0.0212,-0.1624706,-0.207,0.5841168
-0.0212,-0.1624706,-0.207,0.5931506
-0.0212,-0.1624706,-0.207,0.6014913
-0.0212,-0.1624706,-0.207,0.6105416
-0.0212,-0.1624706,-0.207,0.6187291
-0.0212,-0.1624706,-0.207,0.6273166
-0.0212,-0.1624706,-0.207,0.6367054
-0.0212,-0.1624706,-0.207,0.6450534
-0.0212,-0.1624706,-0.207,0.6580346
-0.0212,-0.1624706,-0.207,0.6669868
-0.0212,-0.1624706,-0.207,0.6772361
-0.0212,-0.1624706,-0.207,0.6864374
-0.0212,-0.1624706,-0.207,0.700422
-0.0212,-0.1624706,-0.207,0.7122959
-0.0212,-0.1624706,-0.207,0.7224727
-0.0212,-0.1624706,-0.207,0.7328282
-0.0212,-0.1624706,-0.207,0.7434589
-0.0212,-0.1624706,-0.207,0.7536799
-0.0212,-0.1624706,-0.207,0.7635548
-0.0212,-0.1624706,-0.207,0.774245
-0.0212,-0.1624706,-0.207,0.7838193
-0.0212,-0.1624706,-0.207,0.7957892
-0.0212,-0.1624706,-0.207,0.805185
-0.0212,-0.1624706,-0.207,0.8155661
-0.0212,-0.1624706,-0.207,0.8256934
-0.0212,-0.1624706,-0.207,0.8354177
-0.0212,-0.1624706,-0.207,0.846239
-0.0212,-0.1624706,-0.207,0.8561223
-0.0212,-0.1624706,-0.207,0.8663145
-0.0212,-0.1624706,-0.207,0.8765765
-0.0212,-0.1624706,-0.207,0.8862804
-0.0212,-0.1624706,-0.207,0.8967996
-0.0212,-0.1624706,-0.207,0.9072244
-0.0212,-0.1624706,-0.207,0.9174805
-0.0212,-0.1624706,-0.207,0.9271188
-0.0212,-0.1624706,-0.207,0.9391794
-0.0212,-0.1624706,-0.207,0.949029
-0.0212,-0.1624706,-0.207,0.9616953
-0.0212,-0.1624706,-0.207,0.9743497
-0.0212,-0.1624706,-0.207,0.9826236
-0.0212,-0.1624706,-0.207,0.9917749
-0.0212,-0.1624706,-0.207,1.002205
-0.0212,-0.1624706,-0.207,1.012032
-0.0212,-0.1624706,-0.207,1.02082
-0.0212,-0.1624706,-0.207,1.030975
-0.0212,-0.1624706,-0.207,1.039062
-0.0212,-0.1624706,-0.207,1.047717
-0.0212,-0.1624706,-0.207,1.057598
-0.0212,-0.1624706,-0.207,1.066922
-0.0212,-0.1624706,-0.207,1.075964
-0.0212,-0.1624706,-0.207,1.084448
-0.0212,-0.1624706,-0.207,1.095043
-0.0212,-0.1624706,-0.207,1.104043
-0.0212,-0.1624706,-0.207,1.116199
-0.0212,-0.1624706,-0.207,1.124981
-0.0212,-0.1624706,-0.207,1.134162
-0.0212,-0.1624706,-0.207,1.142945
-0.0212,-0.1624706,-0.207,1.153546
-0.0212,-0.1624706,-0.207,1.162581
-0.0212,-0.1624706,-0.207,1.173769
-0.0212,-0.1624706,-0.207,1.18418
-0.0212,-0.1624706,-0.207,1.19462
-0.0212,-0.1624706,-0.207,1.204662
-0.0212,-0.1624706,-0.207,1.21596
-0.0212,-0.1624706,-0.207,1.226017
-0.0212,-0.1624706,-0.207,1.23648
-0.0212,-0.1624706,-0.207,1.24558
-0.0212,-0.1624706,-0.207,1.255712
-0.0212,-0.1624706,-0.207,1.267227
-0.0212,-0.1624706,-0.207,1.280644
-0.0212,-0.1624706,-0.207,1.292085
-0.0212,-0.1624706,-0.207,1.301895
-0.0212,-0.1624706,-0.207,1.313834
-0.0212,-0.1624706,-0.207,1.32425
-0.0212,-0.1624706,-0.207,1.335136
-0.0212,-0.1624706,-0.207,1.345046
-0.0212,-0.1624706,-0.207,1.35559
-0.0212,-0.1624706,-0.207,1.365957
-0.0212,-0.1624706,-0.207,1.375499
-0.0212,-0.1624706,-0.207,1.384065
-0.0212,-0.1624706,-0.207,1.394425
-0.0212,-0.1624706,-0.207,1.403529
-0.0212,-0.1624706,-0.207,1.413432
-0.0212,-0.1624706,-0.207,1.422249
-0.0212,-0.1624706,-0.207,1.433614
-0.0212,-0.1624706,-0.207,1.443835
-0.0212,-0.1624706,-0.207,1.453752
-0.0212,-0.1624706,-0.207,1.464609
-0.0212,-0.1624706,-0.207,1.474499
-0.0212,-0.1624706,-0.207,1.484645
-0.0212,-0.1624706,-0.207,1.49586
-0.0212,-0.1624706,-0.207,1.506725
-0.0212,-0.1624706,-0.207,1.519105
-0.0212,-0.1624706,-0.207,1.52945
-0.0212,-0.1624706,-0.207,1.542039
-0.0212,-0.1624706,-0.207,1.5529
-0.0212,-0.1624706,-0.207,1.568387
-0.0212,-0.1624706,-0.207,1.578682
-0.0212,-0.1624706,-0.207,1.588647
-0.0212,-0.1624706,-0.207,1.599499
-0.0212,-0.1624706,-0.207,1.609846
-0.0212,-0.1624706,-0.207,1.620367
-0.0212,-0.1624706,-0.207,1.630857
-0.0212,-0.1624706,-0.207,1.641458
-0.0212,-0.1624706,-0.207,1.65292
-0.0212,-0.1624706,-0.207,1.661085
-0.0212,-0.1624706,-0.207,1.67136
-0.0212,-0.1624706,-0.207,1.68008
-0.0212,-0.1624706,-0.207,1.689833
-0.0212,-0.1624706,-0.207,1.69849
-0.0212,-0.1624706,-0.207,1.708989
-0.0212,-0.1624706,-0.207,1.718638
-0.0212,-0.1624706,-0.207,1.729249
-0.0212,-0.1624706,-0.207,1.73996
-0.0212,-0.1624706,-0.207,1.750327
-0.0212,-0.1624706,-0.207,1.760879
-0.0212,-0.1624706,-0.207,1.771706
-0.0212,-0.1624706,-0.207,1.782807
-0.0212,-0.1624706,-0.207,1.79336
-0.0212,-0.1624706,-0.207,1.803745
-0.0212,-0.1624706,-0.207,1.814346
-0.0212,-0.1624706,-0.207,1.824706
-0.0212,-0.1624706,-0.207,1.835805
-0.0212,-0.1624706,-0.207,1.845511
-0.0212,-0.1624706,-0.207,1.85406
-0.0212,-0.1624706,-0.207,1.862402
-0.0212,-0.1624706,-0.207,1.870998
