X, Y, Z, Time
-0.0212,-0.1624182,-0.207,0.02
-0.0212,-0.1624601,-0.207,0.04
-0.0212,-0.1624706,-0.207,0.14
-0.0212,-0.1624705,-0.207,0.1650907
-0.0212,-0.1624705,-0.207,0.1771762
-0.0212,-0.1624706,-0.207,0.1826541
-0.0212,-0.1624706,-0.207,0.1899051
-0.0212,-0.1624706,-0.207,0.1987981
-0.0212,-0.1624706,-0.207,0.2029264
-0.0212,-0.1624706,-0.207,0.2098071
-0.0212,-0.1624706,-0.207,0.2153552
-0.0212,-0.1624706,-0.207,0.2195328
-0.0212,-0.1624705,-0.207,0.2248396
-0.0212,-0.1624705,-0.207,0.230474
-0.0212,-0.1624705,-0.207,0.2347646
-0.0212,-0.1624705,-0.207,0.2396844
-0.0212,-0.1624706,-0.207,0.2440374
-0.0212,-0.1624706,-0.207,0.2520722
-0.0212,-0.1624705,-0.207,0.2609493
-0.0212,-0.1624705,-0.207,0.2742231
-0.0212,-0.1624705,-0.207,0.2787959
-0.0212,-0.1624706,-0.207,0.2830056
-0.0212,-0.1624706,-0.207,0.2886733
-0.0212,-0.1624706,-0.207,0.2937306
-0.0212,-0.1624706,-0.207,0.2978727
-0.0212,-0.1624705,-0.207,0.3026687
-0.0212,-0.1624705,-0.207,0.3073908
-0.0212,-0.1624705,-0.207,0.3128418
-0.0212,-0.1624705,-0.207,0.3180563
-0.0212,-0.1624706,-0.207,0.3224229
-0.0212,-0.1624706,-0.207,0.3303801
-0.0212,-0.1624706,-0.207,0.3352421
-0.0212,-0.1624706,-0.207,0.3394009
-0.0212,-0.1624705,-0.207,0.3446216
-0.0212,-0.1624705,-0.207,0.3499874
-0.0212,-0.1624705,-0.207,0.3540773
-0.0212,-0.1624705,-0.207,0.3586311
-0.0212,-0.1624706,-0.207,0.3629718
-0.0212,-0.1624706,-0.207,0.3681148
-0.0212,-0.1624706,-0.207,0.3721143
-0.0212,-0.1624706,-0.207,0.3770876
-0.0212,-0.1624705,-0.207,0.3819091
-0.0212,-0.1624705,-0.207,0.386075
-0.0212,-0.1624705,-0.207,0.390932
-0.0212,-0.1624705,-0.207,0.3953743
-0.0212,-0.1624705,-0.207,0.3997489
-0.0212,-0.1624706,-0.207,0.403573
-0.0212,-0.1624706,-0.207,0.4092365
-0.0212,-0.1624706,-0.207,0.4145277
-0.0212,-0.1624706,-0.207,0.4183229
-0.0212,-0.1624706,-0.207,0.423281
-0.0212,-0.1624706,-0.207,0.4285914
-0.0212,-0.1624706,-0.207,0.4337404
-0.0212,-0.1624706,-0.207,0.4382938
-0.0212,-0.1624706,-0.207,0.442072
-0.0212,-0.1624706,-0.207,0.4470748
-0.0212,-0.1624706,-0.207,0.4506179
-0.0212,-0.1624706,-0.207,0.455306
-0.0212,-0.1624706,-0.207,0.4591159
-0.0212,-0.1624706,-0.207,0.4638123
-0.0212,-0.1624706,-0.207,0.4726172
-0.0212,-0.1624706,-0.207,0.4775659
-0.0212,-0.1624706,-0.207,0.4817521
-0.0212,-0.1624706,-0.207,0.487136
-0.0212,-0.1624706,-0.207,0.4909484
-0.0212,-0.1624706,-0.207,0.4960041
-0.0212,-0.1624706,-0.207,0.4999919
-0.0212,-0.1624706,-0.207,0.5046063
-0.0212,-0.1624706,-0.207,0.5099571
-0.0212,-0.1624706,-0.207,0.5140044
-0.0212,-0.1624706,-0.207,0.5181418
-0.0212,-0.1624706,-0.207,0.5222437
-0.0212,-0.1624706,-0.207,0.5278306
-0.0212,-0.1624706,-0.207,0.5320161
-0.0212,-0.1624706,-0.207,0.5360813
-0.0212,-0.1624706,-0.207,0.5403199
-0.0212,-0.1624706,-0.207,0.5464302
-0.0212,-0.1624706,-0.207,0.5514171
-0.0212,-0.1624706,-0.207,0.5557789
-0.0212,-0.1624706,-0.207,0.5607269
-0.0212,-0.1624706,-0.207,0.5660712
-0.0212,-0.1624706,-0.207,0.5699808
-0.0212,-0.1624706,-0.207,0.5748288
-0.0212,-0.1624706,-0.207,0.5788079
-0.0212,-0.1624706,-0.207,0.5837306
-0.0212,-0.1624706,-0.207,0.5896478
-0.0212,-0.1624706,-0.207,0.5941763
-0.0212,-0.1624706,-0.207,0.5988988
-0.0212,-0.1624706,-0.207,0.6028705
-0.0212,-0.1624706,-0.207,0.608085
-0.0212,-0.1624706,-0.207,0.6121522
-0.0212,-0.1624706,-0.207,0.617004
-0.0212,-0.1624706,-0.207,0.6217867
-0.0212,-0.1624706,-0.207,0.6262243
-0.0212,-0.1624706,-0.207,0.6312223
-0.0212,-0.1624706,-0.207,0.6352751
-0.0212,-0.1624706,-0.207,0.6402027
-0.0212,-0.1624706,-0.207,0.6445963
-0.0212,-0.1624706,-0.207,0.6489141
-0.0212,-0.1624706,-0.207,0.6536007
-0.0212,-0.1624706,-0.207,0.6575198
-0.0212,-0.1624706,-0.207,0.6626345
-0.0212,-0.1624706,-0.207,0.6668208
-0.0212,-0.1624706,-0.207,0.6712583
-0.0212,-0.1624706,-0.207,0.6750775
-0.0212,-0.1624706,-0.207,0.680036
-0.0212,-0.1624706,-0.207,0.6847308
-0.0212,-0.1624706,-0.207,0.6894386
-0.0212,-0.1624706,-0.207,0.6941848
-0.0212,-0.1624706,-0.207,0.7021682
-0.0212,-0.1624706,-0.207,0.706968
-0.0212,-0.1624706,-0.207,0.7124745
-0.0212,-0.1624706,-0.207,0.7163571
-0.0212,-0.1624706,-0.207,0.7206279
-0.0212,-0.1624706,-0.207,0.7263782
-0.0212,-0.1624706,-0.207,0.7299487
-0.0212,-0.1624706,-0.207,0.7344356
-0.0212,-0.1624706,-0.207,0.7381018
-0.0212,-0.1624706,-0.207,0.7431656
-0.0212,-0.1624706,-0.207,0.7476624
-0.0212,-0.1624706,-0.207,0.7528352
-0.0212,-0.1624706,-0.207,0.7565594
-0.0212,-0.1624706,-0.207,0.7612073
-0.0212,-0.1624706,-0.207,0.7667698
-0.0212,-0.1624706,-0.207,0.770843
-0.0212,-0.1624706,-0.207,0.7756842
-0.0212,-0.1624706,-0.207,0.7799013
-0.0212,-0.1624706,-0.207,0.7845973
-0.0212,-0.1624706,-0.207,0.7890415
-0.0212,-0.1624706,-0.207,0.7939268
-0.0212,-0.1624706,-0.207,0.7976686
-0.0212,-0.1624706,-0.207,0.8015587
-0.0212,-0.1624706,-0.207,0.8064789
-0.0212,-0.1624706,-0.207,0.8105389
-0.0212,-0.1624706,-0.207,0.8143806
-0.0212,-0.1624706,-0.207,0.8180854
-0.0212,-0.1624706,-0.207,0.8218634
-0.0212,-0.1624706,-0.207,0.8267692
-0.0212,-0.1624706,-0.207,0.830943
-0.0212,-0.1624706,-0.207,0.8352339
-0.0212,-0.1624706,-0.207,0.8392265
-0.0212,-0.1624706,-0.207,0.8436162
-0.0212,-0.1624706,-0.207,0.8494368
-0.0212,-0.1624706,-0.207,0.8535764
-0.0212,-0.1624706,-0.207,0.8580701
-0.0212,-0.1624706,-0.207,0.8624254
-0.0212,-0.1624706,-0.207,0.8670241
-0.0212,-0.1624706,-0.207,0.8711129
