X, Y, Z, Time
-0.02120474,-0.1624137,-0.2070272,0.0184246
-0.02113027,-0.1620426,-0.2077089,0.0398425
-0.02104393,-0.1628367,-0.207821,0.057584
-0.02144928,-0.1616575,-0.2080979,0.0723772
-0.02093545,-0.1634148,-0.2076909,0.0908682
-0.02064718,-0.161384,-0.2082814,0.1121131
-0.02042089,-0.1639789,-0.2083796,0.1243326
-0.02062761,-0.1627825,-0.2081832,0.1449053
-0.02262482,-0.1647705,-0.2088248,0.1632061
-0.02262482,-0.1647705,-0.2088248,0.1769211
-0.02173678,-0.1719002,-0.2091186,0.2015737
-0.02173678,-0.1719002,-0.2091186,0.2171984
-0.02022626,-0.1632217,-0.2094854,0.2355697
-0.01964002,-0.1613374,-0.2097514,0.2516794
-0.02028824,-0.1679396,-0.2108921,0.2720456
-0.01983501,-0.1672981,-0.2103556,0.2924473
-0.01950527,-0.1672213,-0.2104284,0.3081786
-0.01948853,-0.167073,-0.2105322,0.3304351
-0.01939845,-0.1671625,-0.2105288,0.3436989
-0.01907907,-0.1648284,-0.2112228,0.3636771
-0.01907907,-0.1648284,-0.2112228,0.3810098
-0.01976662,-0.1655719,-0.2092807,0.3936848
-0.01850468,-0.1677969,-0.2097752,0.4169157
-0.01892923,-0.1675782,-0.2085655,0.4361278
-0.01884884,-0.1680618,-0.2091414,0.4528849
-0.01891797,-0.1691195,-0.2089227,0.4712868
-0.0188226,-0.1692638,-0.2093291,0.4924877
-0.01868189,-0.1690557,-0.2094185,0.5075409
-0.01871685,-0.1689614,-0.2092938,0.5239401
-0.01858362,-0.1688245,-0.2095167,0.5421091
-0.018629,-0.168423,-0.2094015,0.5622407
-0.018629,-0.168423,-0.2094015,0.574571
-0.01901131,-0.1679722,-0.2088715,0.5942209
-0.0186517,-0.1674912,-0.2092016,0.610296
-0.01887301,-0.1671912,-0.2089513,0.6247278
-0.01873864,-0.1664606,-0.2091012,0.6439605
-0.01873864,-0.1664606,-0.2091012,0.6570271
-0.01950072,-0.1650448,-0.2112358,0.6765798
-0.01947289,-0.164633,-0.2111163,0.6909832
-0.01760962,-0.1645337,-0.2110284,0.7096474
-0.01742982,-0.1642204,-0.2110281,0.7287214
-0.009602983,-0.1632907,-0.2151835,0.7898265
-0.009602983,-0.1632907,-0.2151835,0.7953095
-0.009602983,-0.1632907,-0.2151835,0.7981957
-0.009602983,-0.1632907,-0.2151835,0.8008592
-0.009268436,-0.1635748,-0.215356,0.8166391
-0.00958314,-0.1635076,-0.215176,0.828617
-0.009004535,-0.1633095,-0.2153652,0.8453164
-0.007031903,-0.1631505,-0.2156614,0.8718953
-0.007022643,-0.162601,-0.2155814,0.8884214
-0.00706514,-0.1623907,-0.2157337,0.9037662
-0.00706514,-0.1623907,-0.2157337,0.921335
-0.004284665,-0.1618865,-0.2174737,0.942003
-0.004284665,-0.1618865,-0.2174737,0.9593739
-0.003081955,-0.1615463,-0.2169743,0.97424
-0.00308144,-0.1609808,-0.2170789,0.994475
-0.003120867,-0.1607103,-0.2171052,1.010101
0.001681134,-0.1605603,-0.21765,1.02574
0.001710755,-0.1598987,-0.2177131,1.049016
0.002017054,-0.1593662,-0.217948,1.069971
0.00206694,-0.1592064,-0.2179978,1.084866
0.003403148,-0.1587655,-0.2176046,1.103861
0.004088417,-0.1582762,-0.2173133,1.124799
0.004088417,-0.1582762,-0.2173133,1.138487
0.004219593,-0.1551629,-0.2178265,1.160387
0.00394297,-0.1539214,-0.2180987,1.176461
0.003640303,-0.1528476,-0.2183707,1.193124
0.003503231,-0.1514907,-0.218765,1.213943
0.003496947,-0.1512739,-0.2188433,1.231753
0.003639945,-0.1515413,-0.2187669,1.243312
0.003596445,-0.1513224,-0.2189969,1.266705
0.004026361,-0.1510892,-0.219256,1.28619
0.004079974,-0.1512597,-0.2194343,1.301957
0.004079974,-0.1512597,-0.2194343,1.321022
0.004675233,-0.1519912,-0.2192764,1.341582
0.004675233,-0.1519912,-0.2192764,1.358247
0.005357187,-0.1520304,-0.2190477,1.377207
0.006107219,-0.1517938,-0.2187697,1.397403
0.006484678,-0.1515834,-0.218683,1.408462
0.007187726,-0.151236,-0.218465,1.428292
0.007489496,-0.1509598,-0.2184374,1.444771
0.007489496,-0.1509598,-0.2184374,1.460651
0.007683947,-0.1505961,-0.2185355,1.474482
0.008079582,-0.1507412,-0.2183924,1.493798
0.008374434,-0.1505557,-0.2183748,1.509745
0.008738851,-0.1505319,-0.2183013,1.526742
0.009058508,-0.1504794,-0.2180226,1.549154
