X, Y, Z, Time
-0.02118614,-0.16249,-0.2070082,0.0142189
-0.02118614,-0.16249,-0.2070082,0.0277663
-0.02086427,-0.1609665,-0.2080157,0.0408373
-0.02105163,-0.160787,-0.2082087,0.0535211
-0.02105163,-0.160787,-0.2082087,0.0683019
-0.02142337,-0.1610706,-0.2085804,0.0817639
-0.02201364,-0.1592133,-0.2082978,0.0955577
-0.02201364,-0.1592133,-0.2082978,0.1076468
-0.02100353,-0.1636866,-0.2078234,0.1217992
-0.02173485,-0.1636457,-0.2079514,0.1344934
-0.02173485,-0.1636457,-0.2079514,0.1492559
-0.02134967,-0.1630816,-0.2078284,0.1684128
-0.02147924,-0.1597537,-0.2078875,0.1757511
-0.02147924,-0.1597537,-0.2078875,0.1885346
-0.02561791,-0.1722855,-0.2130061,0.202468
-0.02513595,-0.16218,-0.2133631,0.2156497
-0.02499161,-0.1665748,-0.2131713,0.2297215
-0.02499161,-0.1665748,-0.2131713,0.2424422
-0.02542863,-0.1630403,-0.2130505,0.2553709
-0.02542863,-0.1630403,-0.2130505,0.2685266
-0.02574321,-0.1669735,-0.2140787,0.283102
-0.02540013,-0.1614946,-0.2142227,0.2966715
-0.02540013,-0.1614946,-0.2142227,0.3087869
-0.02540465,-0.1608913,-0.2144397,0.3224244
-0.02639493,-0.1712407,-0.2148532,0.3355934
-0.02590129,-0.1625157,-0.2148854,0.3498664
-0.02590129,-0.1625157,-0.2148854,0.3636297
-0.02698064,-0.1633863,-0.2150313,0.3775324
-0.02685216,-0.1615714,-0.2157914,0.3907297
-0.02685216,-0.1615714,-0.2157914,0.4037326
-0.02727309,-0.1677775,-0.2159483,0.4180169
-0.02717106,-0.1628985,-0.216216,0.4305559
-0.02717106,-0.1628985,-0.216216,0.4453361
-0.02641048,-0.162343,-0.2166917,0.4565002
-0.02681101,-0.1622562,-0.2165949,0.4716461
-0.02681101,-0.1622562,-0.2165949,0.4853807
-0.0269257,-0.162994,-0.21692,0.498921
-0.02677469,-0.1619168,-0.2164802,0.5117837
-0.02677469,-0.1619168,-0.2164802,0.5247453
-0.02605842,-0.1622972,-0.2170631,0.5388749
-0.02648983,-0.1612795,-0.2167856,0.5516565
-0.02648983,-0.1612795,-0.2167856,0.5664208
-0.02704044,-0.1618442,-0.2170313,0.5798963
-0.02712005,-0.1609561,-0.2167768,0.5927067
-0.02712005,-0.1609561,-0.2167768,0.6065637
-0.02687343,-0.1616985,-0.2169804,0.6200208
-0.02711028,-0.1608396,-0.2168677,0.6327514
-0.02711028,-0.1608396,-0.2168677,0.647545
-0.0264794,-0.1612371,-0.2169845,0.6586365
-0.02665063,-0.1604204,-0.2168478,0.6742492
-0.02665063,-0.1604204,-0.2168478,0.6867944
-0.02639749,-0.1608568,-0.2169389,0.7010266
-0.02636236,-0.160782,-0.2169843,0.7147949
-0.02636236,-0.160782,-0.2169843,0.7258229
-0.02635024,-0.1598614,-0.2169475,0.7404677
-0.0257379,-0.1598732,-0.2183667,0.75282
-0.0257379,-0.1598732,-0.2183667,0.766847
-0.02532,-0.158589,-0.2246979,0.7812907
-0.02512999,-0.1581019,-0.2251804,0.7948704
-0.02512999,-0.1581019,-0.2251804,0.8069066
-0.0236311,-0.1571558,-0.2281547,0.8196461
-0.02234757,-0.1562365,-0.2292482,0.8340474
-0.02234757,-0.1562365,-0.2292482,0.8484995
-0.02216726,-0.1546007,-0.230582,0.8612453
-0.0218842,-0.1537122,-0.2309881,0.8733453
-0.0218842,-0.1537122,-0.2309881,0.8874109
-0.02205391,-0.1528136,-0.2317451,0.9011543
-0.02204635,-0.1523892,-0.2321739,0.9152206
-0.02204635,-0.1523892,-0.2321739,0.9272984
-0.02137788,-0.1519915,-0.2324215,0.9408705
-0.02094959,-0.1513584,-0.2326238,0.9544039
-0.02094959,-0.1513584,-0.2326238,0.9681399
-0.02055144,-0.1504108,-0.2327732,0.9813117
-0.02028442,-0.149959,-0.2327996,0.9953863
-0.02028442,-0.149959,-0.2327996,1.007677
-0.01939978,-0.1490592,-0.2327669,1.020558
-0.01903231,-0.1482163,-0.2326965,1.034562
-0.01903231,-0.1482163,-0.2326965,1.047473
-0.01815317,-0.1457641,-0.2328161,1.061789
-0.01804278,-0.1443224,-0.2328747,1.074582
-0.01804278,-0.1443224,-0.2328747,1.087633
-0.01771484,-0.1422169,-0.2333137,1.100176
-0.01785391,-0.140787,-0.2337203,1.11463
-0.01785391,-0.140787,-0.2337203,1.128581
-0.0177141,-0.1391091,-0.2340577,1.140584
-0.01759415,-0.1383826,-0.2342372,1.154603
-0.01759415,-0.1383826,-0.2342372,1.167574
-0.0175874,-0.1374047,-0.2345902,1.182722
-0.01765331,-0.1369802,-0.2346724,1.19635
-0.01765331,-0.1369802,-0.2346724,1.207598
-0.0174273,-0.1365727,-0.2346907,1.221251
-0.01730457,-0.1365184,-0.2345913,1.235473
-0.01730457,-0.1365184,-0.2345913,1.248553
-0.01684294,-0.1362667,-0.2339707,1.262912
-0.01653129,-0.1361116,-0.233515,1.274531
