X, Y, Z, Time
-0.02120255,-0.1624802,-0.2070063,0.0118144
-0.02167847,-0.1623227,-0.2077609,0.0243955
-0.02167847,-0.1623227,-0.2077609,0.0363727
-0.02179549,-0.1628108,-0.2083263,0.0473113
-0.02179549,-0.1628108,-0.2083263,0.0591399
-0.02165445,-0.1615114,-0.2080893,0.0713259
-0.02352058,-0.1700689,-0.2119703,0.0830692
-0.02352058,-0.1700689,-0.2119703,0.094664
-0.02380347,-0.1617772,-0.2120578,0.1064976
-0.02380347,-0.1617772,-0.2120578,0.1174624
-0.02396298,-0.1674579,-0.2125833,0.1290661
-0.02396298,-0.1674579,-0.2125833,0.1411094
-0.02427664,-0.1633904,-0.2127928,0.1532777
-0.02400139,-0.1626791,-0.212967,0.167513
-0.02400139,-0.1626791,-0.212967,0.180512
-0.02378726,-0.1600495,-0.2127766,0.1908548
-0.02378726,-0.1600495,-0.2127766,0.2006367
-0.02484965,-0.1703534,-0.2143205,0.2126932
-0.02525516,-0.1648796,-0.2139005,0.2252962
-0.02525516,-0.1648796,-0.2139005,0.2376656
-0.0252863,-0.163864,-0.2150346,0.2485218
-0.0252863,-0.163864,-0.2150346,0.2604123
-0.02483818,-0.1629879,-0.2144015,0.2723688
-0.02512995,-0.162278,-0.2149716,0.283987
-0.02512995,-0.162278,-0.2149716,0.2958766
-0.02409429,-0.1637762,-0.2147282,0.3077736
-0.02409429,-0.1637762,-0.2147282,0.3197891
-0.02383779,-0.1604001,-0.2147399,0.3310254
-0.01846984,-0.176241,-0.2128172,0.3431852
-0.01846984,-0.176241,-0.2128172,0.3552942
-0.0190665,-0.1627345,-0.212845,0.3664883
-0.0190665,-0.1627345,-0.212845,0.3791741
-0.01884583,-0.1669342,-0.2121361,0.3907305
-0.01872579,-0.1624961,-0.2129581,0.4029172
-0.01872579,-0.1624961,-0.2129581,0.414274
-0.01817964,-0.1633171,-0.2127467,0.4260219
-0.01817964,-0.1633171,-0.2127467,0.4385216
-0.01871598,-0.1617284,-0.2126799,0.4497954
-0.01791328,-0.1628745,-0.2127171,0.4618753
-0.01791328,-0.1628745,-0.2127171,0.4739783
-0.01791635,-0.1617334,-0.2129999,0.4859072
-0.01791635,-0.1617334,-0.2129999,0.4973839
-0.01851381,-0.1624728,-0.2128346,0.5093393
-0.01915483,-0.1624859,-0.2121263,0.5220116
-0.01915483,-0.1624859,-0.2121263,0.5333076
-0.006707277,-0.1651755,-0.2139791,0.5448958
-0.006707277,-0.1651755,-0.2139791,0.5571856
-0.006560567,-0.1628142,-0.213902,0.5695524
-0.006560567,-0.1628142,-0.213902,0.5810506
-0.006596824,-0.1620091,-0.2140286,0.5925804
-0.005718778,-0.1619874,-0.2141099,0.6049654
-0.005718778,-0.1619874,-0.2141099,0.6162973
-0.003895575,-0.1614962,-0.2140083,0.627791
-0.003895575,-0.1614962,-0.2140083,0.6402342
-0.003825627,-0.1607676,-0.214178,0.6519803
-0.002640873,-0.1605564,-0.2153045,0.663422
-0.002640873,-0.1605564,-0.2153045,0.6753525
-0.00261328,-0.1600947,-0.2154554,0.6872153
-0.00261328,-0.1600947,-0.2154554,0.6983875
-0.000509511,-0.1593371,-0.2162679,0.7171601
-0.0001008832,-0.1590744,-0.2163002,0.7258458
-0.0001008832,-0.1590744,-0.2163002,0.7350846
0.0007117178,-0.1586586,-0.2163624,0.7455073
0.0007117178,-0.1586586,-0.2163624,0.7578328
0.001210205,-0.1577644,-0.216675,0.7700804
0.001054627,-0.1574127,-0.2168347,0.7813224
0.001054627,-0.1574127,-0.2168347,0.793274
0.001105972,-0.1571791,-0.2169497,0.8051823
0.001105972,-0.1571791,-0.2169497,0.8168067
0.001262228,-0.1570007,-0.2170267,0.8290198
0.001262228,-0.1570007,-0.2170267,0.8410064
0.001414567,-0.1566912,-0.2171139,0.8529419
0.001200625,-0.1567786,-0.2170696,0.8643931
0.001200625,-0.1567786,-0.2170696,0.8764418
0.001103765,-0.156741,-0.2171032,0.8887339
0.001103765,-0.156741,-0.2171032,0.9002121
0.0009963082,-0.1565574,-0.2172168,0.9119101
0.0009859144,-0.1565417,-0.2172203,0.9241044
0.0009859144,-0.1565417,-0.2172203,0.9362768
0.001313678,-0.156607,-0.2171494,0.947285
0.001313678,-0.156607,-0.2171494,0.9592661
0.001473227,-0.1567048,-0.2170614,0.9715211
0.001638867,-0.1568045,-0.2169091,0.9829209
0.001638867,-0.1568045,-0.2169091,0.9949566
0.001493725,-0.1563425,-0.2169678,1.006841
0.001493725,-0.1563425,-0.2169678,1.018865
0.001179709,-0.1555933,-0.217137,1.029829
0.0009420978,-0.1550584,-0.2173179,1.041816
0.0009420978,-0.1550584,-0.2173179,1.05416
0.0006485552,-0.1544674,-0.217296,1.065172
0.0006485552,-0.1544674,-0.217296,1.077236
9.21161E-05,-0.1531217,-0.217481,1.089131
9.21161E-05,-0.1531217,-0.217481,1.100303
-0.0001779941,-0.1520541,-0.2176505,1.112083
-0.0006781491,-0.1514081,-0.2178507,1.124344
-0.0006781491,-0.1514081,-0.2178507,1.136809
-0.001370877,-0.1502798,-0.2181634,1.147924
-0.001370877,-0.1502798,-0.2181634,1.160381
-0.002090384,-0.1495222,-0.2185404,1.172112
-0.00234749,-0.1492757,-0.2187486,1.18352
-0.00234749,-0.1492757,-0.2187486,1.195596
-0.002637965,-0.1489183,-0.2190494,1.207495
-0.002637965,-0.1489183,-0.2190494,1.220304
-0.002817823,-0.1485375,-0.219296,1.231363
-0.002904058,-0.1484911,-0.2193581,1.243227
-0.002904058,-0.1484911,-0.2193581,1.255363
-0.002480511,-0.1483523,-0.2192994,1.266267
-0.002480511,-0.1483523,-0.2192994,1.278888
-0.002255549,-0.1480762,-0.2190907,1.290693
-0.002005045,-0.1475591,-0.2190713,1.303123
-0.002005045,-0.1475591,-0.2190713,1.314503
-0.001944815,-0.1464203,-0.2191414,1.326119
-0.001944815,-0.1464203,-0.2191414,1.338665
-0.001983943,-0.1450959,-0.2192488,1.349584
-0.001912556,-0.1445018,-0.2191385,1.36183
-0.001912556,-0.1445018,-0.2191385,1.374167
-0.001151234,-0.1432542,-0.2185874,1.386036
-0.001151234,-0.1432542,-0.2185874,1.397636
