X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0280026
-0.0212,-0.1624706,-0.207,0.0398969
-0.0212,-0.1624706,-0.207,0.0477026
-0.0212,-0.1624706,-0.207,0.0596928
-0.0212,-0.1624706,-0.207,0.0732477
-0.0212,-0.1624706,-0.207,0.0903994
-0.0212,-0.1624706,-0.207,0.1056975
-0.0212,-0.1624706,-0.207,0.1226878
-0.0212,-0.1624706,-0.207,0.1373519
-0.0212,-0.1624706,-0.207,0.1521245
-0.0212,-0.1624706,-0.207,0.1695599
-0.0212,-0.1624706,-0.207,0.1841083
-0.0212,-0.1624706,-0.207,0.1988235
-0.0212,-0.1624706,-0.207,0.2144444
-0.0212,-0.1624706,-0.207,0.2279465
-0.0212,-0.1624706,-0.207,0.2429453
-0.0212,-0.1624706,-0.207,0.2570414
-0.0212,-0.1624706,-0.207,0.2753512
-0.0212,-0.1624706,-0.207,0.2892983
-0.0212,-0.1624706,-0.207,0.3031225
-0.0212,-0.1624706,-0.207,0.3198465
-0.0212,-0.1624706,-0.207,0.334217
-0.0212,-0.1624706,-0.207,0.3453263
-0.0212,-0.1624706,-0.207,0.3609444
-0.0212,-0.1624706,-0.207,0.3767883
-0.0212,-0.1624706,-0.207,0.3912699
-0.0212,-0.1624706,-0.207,0.4056168
-0.0212,-0.1624706,-0.207,0.420902
-0.0212,-0.1624706,-0.207,0.4581779
-0.0212,-0.1624706,-0.207,0.469317
-0.0212,-0.1624706,-0.207,0.4785398
-0.0212,-0.1624706,-0.207,0.4874012
-0.0212,-0.1624706,-0.207,0.5022821
-0.0212,-0.1624706,-0.207,0.5411026
-0.0212,-0.1624706,-0.207,0.5520856
-0.0212,-0.1624706,-0.207,0.5616935
-0.0212,-0.1624706,-0.207,0.5696738
-0.0212,-0.1624706,-0.207,0.5843718
-0.0212,-0.1624706,-0.207,0.5961945
-0.0212,-0.1624706,-0.207,0.6111323
-0.0212,-0.1624706,-0.207,0.6282097
-0.0212,-0.1624706,-0.207,0.6419529
-0.0212,-0.1624706,-0.207,0.6559289
-0.0212,-0.1624706,-0.207,0.6714867
-0.0212,-0.1624706,-0.207,0.6877965
-0.0212,-0.1624706,-0.207,0.7027795
-0.0212,-0.1624706,-0.207,0.7177143
-0.0212,-0.1624706,-0.207,0.7357994
-0.0212,-0.1624706,-0.207,0.7508002
-0.0212,-0.1624706,-0.207,0.7668865
-0.0212,-0.1624706,-0.207,0.7791422
-0.0212,-0.1624706,-0.207,0.7941796
-0.0212,-0.1624706,-0.207,0.8114382
-0.0212,-0.1624706,-0.207,0.8255105
-0.0212,-0.1624706,-0.207,0.8392892
-0.0212,-0.1624706,-0.207,0.8546472
-0.0212,-0.1624706,-0.207,0.8722141
-0.0212,-0.1624706,-0.207,0.8874846
-0.0212,-0.1624706,-0.207,0.9019427
-0.0212,-0.1624706,-0.207,0.9181042
-0.0212,-0.1624706,-0.207,0.9352415
-0.0212,-0.1624706,-0.207,0.9493668
-0.0212,-0.1624706,-0.207,0.9636624
-0.0212,-0.1624706,-0.207,0.9772443
-0.0212,-0.1624706,-0.207,0.9934093
-0.0212,-0.1624706,-0.207,1.009627
-0.0212,-0.1624706,-0.207,1.022744
-0.0212,-0.1624706,-0.207,1.036376
-0.0212,-0.1624706,-0.207,1.054883
-0.0212,-0.1624706,-0.207,1.063881
-0.0212,-0.1624706,-0.207,1.083546
-0.0212,-0.1624706,-0.207,1.095365
-0.0212,-0.1624706,-0.207,1.111216
-0.0212,-0.1624706,-0.207,1.139043
-0.0212,-0.1624706,-0.207,1.149048
-0.0212,-0.1624706,-0.207,1.157441
-0.0212,-0.1624706,-0.207,1.174358
-0.0212,-0.1624706,-0.207,1.187614
-0.0212,-0.1624706,-0.207,1.201709
-0.0212,-0.1624706,-0.207,1.216926
-0.0212,-0.1624706,-0.207,1.234282
-0.0212,-0.1624706,-0.207,1.246164
-0.0212,-0.1624706,-0.207,1.261855
-0.0212,-0.1624706,-0.207,1.278578
-0.0212,-0.1624706,-0.207,1.292983
-0.0212,-0.1624706,-0.207,1.308094
-0.0212,-0.1624706,-0.207,1.324653
-0.0212,-0.1624706,-0.207,1.338725
-0.0212,-0.1624706,-0.207,1.35277
-0.0212,-0.1624706,-0.207,1.368525
-0.0212,-0.1624706,-0.207,1.385712
-0.0212,-0.1624706,-0.207,1.401044
-0.0212,-0.1624706,-0.207,1.415432
-0.0212,-0.1624706,-0.207,1.430591
-0.0212,-0.1624706,-0.207,1.445574
-0.0212,-0.1624706,-0.207,1.462716
-0.0212,-0.1624705,-0.207,1.476605
-0.0212,-0.1624706,-0.207,1.49184
-0.02116613,-0.1616255,-0.2075054,1.509159
-0.02132963,-0.1614765,-0.2072006,1.525848
-0.02132963,-0.1614765,-0.2072006,1.540898
-0.02153755,-0.1686925,-0.2073543,1.554856
-0.02133143,-0.1615554,-0.207048,1.569832
-0.02133143,-0.1615554,-0.207048,1.584264
-0.02290086,-0.1731842,-0.2073788,1.600375
-0.02297952,-0.1591296,-0.2077743,1.61744
-0.02916136,-0.1765299,-0.2074924,1.63015
-0.02916136,-0.1765299,-0.2074924,1.644611
-0.02842051,-0.1589856,-0.2071445,1.662898
-0.03066891,-0.1801889,-0.2069883,1.676149
-0.03028827,-0.1605033,-0.2071236,1.689698
-0.03028827,-0.1605033,-0.2071236,1.703401
-0.03773853,-0.1190114,-0.2140598,1.716218
-0.0387109,-0.07801372,-0.2164404,1.73163
-0.03722824,-0.06521861,-0.2151239,1.748552
-0.03722824,-0.06521861,-0.2151239,1.766305
-0.03721209,-0.04528301,-0.2116336,1.786141
-0.03839528,-0.03919367,-0.2104145,1.797574
-0.0409672,-0.03263523,-0.2100024,1.815152
-0.04275505,-0.02941132,-0.2097865,1.826501
-0.04275505,-0.02941132,-0.2097865,1.842125
-0.04676573,-0.02531823,-0.2104749,1.855851
-0.04898038,-0.02395117,-0.2113735,1.869983
-0.04898038,-0.02395117,-0.2113735,1.882871
-0.05265029,-0.02382201,-0.2136047,1.896947
-0.05487295,-0.02427272,-0.2150831,1.914178
-0.05598536,-0.02591076,-0.215718,1.928406
-0.05598536,-0.02591076,-0.215718,1.943412
-0.05672657,-0.03144287,-0.215965,1.960552
-0.05691465,-0.03363882,-0.2159272,1.975424
-0.05706059,-0.03502346,-0.2158063,1.989944
-0.05720561,-0.03633332,-0.2156232,2.006644
-0.05720561,-0.03633332,-0.2156232,2.020492
-0.05685852,-0.03841363,-0.2152062,2.033728
-0.0567035,-0.03984543,-0.2149292,2.051707
-0.05708235,-0.04099282,-0.214843,2.066443
-0.05708235,-0.04099282,-0.214843,2.081922
-0.05719107,-0.04355036,-0.2148908,2.095582
-0.05724608,-0.04540377,-0.2148886,2.113457
-0.05740449,-0.04667202,-0.2148961,2.127208
-0.05740449,-0.04667202,-0.2148961,2.142152
-0.05800291,-0.0489554,-0.2147618,2.159204
-0.05817773,-0.05002464,-0.2146679,2.175593
-0.05835339,-0.05082227,-0.2145357,2.192577
-0.05835339,-0.05082227,-0.2145357,2.205551
-0.05877418,-0.05184986,-0.214284,2.219232
-0.05878741,-0.05235485,-0.2141373,2.2327
-0.05879991,-0.05260427,-0.2139362,2.247092
-0.05879991,-0.05260427,-0.2139362,2.263892
-0.05904281,-0.05258805,-0.2136988,2.280419
-0.05910012,-0.05231281,-0.2136538,2.292989
-0.05937485,-0.05217719,-0.2135827,2.310515
-0.05937485,-0.05217719,-0.2135827,2.325898
-0.05965964,-0.05202793,-0.2135236,2.339946
-0.05957319,-0.05180332,-0.213465,2.359291
-0.05984386,-0.05198225,-0.213408,2.368825
-0.05984386,-0.05198225,-0.213408,2.383424
-0.06019334,-0.05170496,-0.2133323,2.397572
-0.06030944,-0.05149061,-0.2129638,2.41493
-0.06006808,-0.05136397,-0.2125851,2.428461
-0.06006808,-0.05136397,-0.2125851,2.442358
-0.05931866,-0.05112594,-0.211603,2.456732
-0.05878779,-0.05096048,-0.2107241,2.473277
-0.05793288,-0.05039303,-0.2100616,2.48993
-0.05793288,-0.05039303,-0.2100616,2.502168
-0.05675188,-0.04918377,-0.2091028,2.517729
-0.05589601,-0.04846168,-0.2085298,2.534445
-0.05524023,-0.04765295,-0.2082221,2.547131
-0.05524023,-0.04765295,-0.2082221,2.562305
-0.05499169,-0.0463923,-0.2079218,2.576884
-0.05488004,-0.04563993,-0.2078257,2.594565
-0.05505636,-0.04502843,-0.2078317,2.609781
-0.05529937,-0.04406393,-0.2080475,2.62719
-0.05529937,-0.04406393,-0.2080475,2.642529
-0.05539523,-0.04330393,-0.2081185,2.659379
-0.05546498,-0.0435138,-0.2079615,2.67368
-0.05575975,-0.0434915,-0.2078598,2.689302
-0.05575975,-0.0434915,-0.2078598,2.705289
-0.05607936,-0.04366161,-0.2075236,2.716506
-0.05633675,-0.04357238,-0.2073209,2.732765
-0.05647255,-0.04365052,-0.2070433,2.74967
-0.05647255,-0.04365052,-0.2070433,2.763797
-0.05692156,-0.04391223,-0.2065375,2.777148
-0.05731874,-0.04437656,-0.2060809,2.793294
-0.05764046,-0.04454057,-0.2057067,2.80969
-0.05764046,-0.04454057,-0.2057067,2.825124
-0.05838544,-0.04450243,-0.205159,2.839818
-0.05886073,-0.04480705,-0.2047599,2.85632
-0.05932489,-0.04476553,-0.2045193,2.86869
-0.05932489,-0.04476553,-0.2045193,2.886274
-0.06095111,-0.04495998,-0.203834,2.901422
-0.06163261,-0.04496677,-0.2034899,2.914627
-0.06222441,-0.04477026,-0.2032159,2.929838
-0.06222441,-0.04477026,-0.2032159,2.945082
-0.06335654,-0.04454577,-0.2025208,2.961231
-0.06374192,-0.04422618,-0.2021846,2.975519
-0.0644353,-0.0440595,-0.2017435,2.992368
-0.06496856,-0.04382366,-0.2013673,3.00952
-0.06496856,-0.04382366,-0.2013673,3.023143
-0.06558271,-0.04345335,-0.2008838,3.033805
-0.06618039,-0.04332486,-0.2004733,3.049898
-0.06693076,-0.04316813,-0.2001264,3.066832
