X, Y, Z, Time
-0.02074245,-0.1624904,-0.2064431,0.016293
-0.0225874,-0.1620482,-0.2075762,0.0328717
-0.02510545,-0.1615647,-0.2149689,0.0471257
-0.02510545,-0.1615647,-0.2149689,0.060453
-0.02541695,-0.1599991,-0.2150717,0.07342041
-0.03571499,-0.1634198,-0.2212967,0.09696931
-0.0355971,-0.1599047,-0.2213794,0.1118777
-0.0355971,-0.1599047,-0.2213794,0.1242481
-0.03577382,-0.1592162,-0.2212977,0.1378636
-0.03540465,-0.1590671,-0.2216908,0.1539709
-0.03539496,-0.1592866,-0.2217294,0.1681537
-0.03539496,-0.1592866,-0.2217294,0.1837999
-0.03525309,-0.1601709,-0.2217815,0.1979179
-0.0349361,-0.1660588,-0.2222248,0.2134649
-0.03511004,-0.1607777,-0.2221152,0.2308866
-0.03511004,-0.1607777,-0.2221152,0.244832
-0.0346629,-0.1610377,-0.2224822,0.2594602
-0.03478999,-0.162609,-0.2221852,0.2739034
-0.03493685,-0.1599337,-0.2228803,0.2889768
-0.03493685,-0.1599337,-0.2228803,0.3041019
-0.03541407,-0.1626534,-0.222083,0.3215964
-0.03542306,-0.1607062,-0.2224657,0.3349024
-0.03563081,-0.1629407,-0.2218726,0.3497658
-0.03563081,-0.1629407,-0.2218726,0.3640767
-0.03560506,-0.1609958,-0.2221445,0.3808027
-0.03580495,-0.1632524,-0.2215642,0.3948421
-0.03575193,-0.1611645,-0.2218944,0.40842
-0.03575193,-0.1611645,-0.2218944,0.4211029
-0.03591726,-0.1637336,-0.221321,0.4352404
-0.03585069,-0.1614829,-0.2216558,0.4517313
-0.03585069,-0.1614829,-0.2216558,0.4659375
-0.03581014,-0.1598386,-0.2217296,0.4806672
-0.03618085,-0.1654348,-0.2213217,0.4980116
-0.03610558,-0.160505,-0.2216093,0.5123318
-0.03618629,-0.1630071,-0.2216233,0.5270193
-0.03618629,-0.1630071,-0.2216233,0.5436969
-0.03632339,-0.1596983,-0.2214767,0.5554999
-0.03609263,-0.1641229,-0.2216641,0.5708063
-0.03610739,-0.1621081,-0.22162,0.5883477
-0.03610739,-0.1621081,-0.22162,0.6005715
-0.03609625,-0.1614941,-0.2215258,0.6148605
-0.03588317,-0.1627541,-0.2214395,0.6303357
-0.03604931,-0.1607591,-0.2215048,0.6473082
-0.03604931,-0.1607591,-0.2215048,0.6612676
-0.03521616,-0.1637569,-0.2207003,0.6760496
-0.03491239,-0.1625016,-0.2207645,0.7023844
-0.03483293,-0.1624294,-0.220683,0.7118499
-0.03483293,-0.1624294,-0.220683,0.721412
-0.03493496,-0.1621899,-0.2206463,0.7367327
-0.03473202,-0.1623391,-0.2206652,0.7526184
-0.0347226,-0.1623473,-0.2207974,0.7698389
-0.0347226,-0.1623473,-0.2207974,0.7825717
-0.03471202,-0.1623588,-0.2207663,0.797182
-0.03472184,-0.1623573,-0.2207781,0.8122844
-0.03472564,-0.1623551,-0.2207837,0.8290801
-0.03472564,-0.1623551,-0.2207837,0.8427014
-0.03470577,-0.1623531,-0.2207823,0.8575296
-0.03467839,-0.1623534,-0.2207867,0.8730071
-0.03467839,-0.1623534,-0.2207867,0.8853698
-0.03462696,-0.1623465,-0.2207979,0.9001297
-0.03457451,-0.1623416,-0.2208366,0.9150374
-0.03452281,-0.1623401,-0.2208522,0.9316846
-0.03452281,-0.1623401,-0.2208522,0.9458718
-0.03448686,-0.1623011,-0.2208532,0.9609382
-0.03441745,-0.1622952,-0.2208868,0.9773229
-0.03437022,-0.1622874,-0.2208983,0.9893134
-0.03437022,-0.1622874,-0.2208983,1.004843
-0.03431997,-0.1622565,-0.2208965,1.021422
-0.03426389,-0.1622665,-0.220879,1.036198
-0.03420284,-0.1622704,-0.2208579,1.052981
-0.03415054,-0.1622699,-0.2208318,1.067445
-0.03415054,-0.1622699,-0.2208318,1.08243
-0.03407887,-0.1622578,-0.2207894,1.095827
-0.03396986,-0.1622624,-0.2207009,1.113717
-0.03396986,-0.1622624,-0.2207009,1.12652
