X, Y, Z, Time
-0.02118172,-0.1624845,-0.2070033,0.0142134
-0.0216946,-0.1615564,-0.2131192,0.0313344
-0.02175818,-0.1615066,-0.2134057,0.0521905
-0.02175818,-0.1615066,-0.2134057,0.064298
-0.02222398,-0.1609615,-0.2152683,0.0816094
-0.02261391,-0.1599509,-0.2154921,0.1045262
-0.02944574,-0.1610606,-0.2210737,0.1208082
-0.02942002,-0.1592974,-0.2211092,0.1325333
-0.02948844,-0.1586326,-0.2211625,0.1506075
-0.02948844,-0.1586326,-0.2211625,0.1660821
-0.02961086,-0.1587235,-0.2211747,0.1823993
-0.02959944,-0.1588314,-0.2211829,0.2004694
-0.02955186,-0.1585494,-0.2211848,0.2171553
-0.02954807,-0.1583177,-0.2215275,0.232937
-0.02955264,-0.1580277,-0.2215972,0.2543186
-0.02953863,-0.1578932,-0.2216477,0.2700216
-0.02953863,-0.1578932,-0.2216477,0.2860235
-0.02952942,-0.1574312,-0.2217389,0.3052772
-0.02951079,-0.1573469,-0.2217382,0.3212816
-0.02945523,-0.1574553,-0.2217725,0.3378476
-0.02949733,-0.1572281,-0.2217859,0.3564146
-0.02932752,-0.1570404,-0.2222609,0.3724832
-0.02932752,-0.1570404,-0.2222609,0.3893515
-0.02892602,-0.1565111,-0.222117,0.4080794
-0.02854571,-0.1562105,-0.2213658,0.4252159
-0.02608421,-0.1560387,-0.2204713,0.4441319
-0.02598602,-0.1553822,-0.2206588,0.4585726
-0.0246239,-0.1550553,-0.2206274,0.4731043
-0.0246239,-0.1550553,-0.2206274,0.4897952
-0.02339919,-0.154441,-0.219992,0.5068172
-0.0224303,-0.154006,-0.2195095,0.5259371
-0.02178004,-0.1537382,-0.2190532,0.5425631
-0.02104287,-0.1532619,-0.218516,0.5593596
-0.01971237,-0.1528703,-0.2176811,0.5778015
-0.0181711,-0.1524265,-0.2166508,0.5951706
-0.01686587,-0.1515817,-0.215716,0.6130985
-0.01686587,-0.1515817,-0.215716,0.6283548
-0.01388451,-0.1496124,-0.2138923,0.6453707
-0.01254859,-0.1477317,-0.2130757,0.6649101
-0.01166918,-0.1463511,-0.2124631,0.6793993
-0.0101341,-0.1445765,-0.2115681,0.6957831
-0.008768368,-0.1427907,-0.2107721,0.7130622
-0.007511903,-0.1405025,-0.2100132,0.7381136
-0.007511903,-0.1405025,-0.2100132,0.7481518
-0.006921282,-0.1377247,-0.2097552,0.7643783
-0.007048544,-0.1348447,-0.2099193,0.7980101
-0.007048544,-0.1348447,-0.2099193,0.8074053
-0.007443108,-0.1346316,-0.2097596,0.8146697
-0.007642274,-0.134326,-0.2096252,0.8342575
-0.007642274,-0.134326,-0.2096252,0.8475909
-0.008069749,-0.1348078,-0.2090896,0.8644085
-0.008425018,-0.1354018,-0.2086772,0.8799118
-0.008419723,-0.1355661,-0.2082812,0.8992818
-0.008889943,-0.1356836,-0.2079329,0.912859
-0.008889943,-0.1356836,-0.2079329,0.9299529
-0.009023855,-0.1361029,-0.206696,0.9486724
-0.009063626,-0.1363474,-0.2060156,0.9659
