X, Y, Z, Time
-0.02119161,-0.1624901,-0.2070093,0.0156698
-0.02123308,-0.1621176,-0.2071417,0.035509
-0.02118294,-0.1632571,-0.2073695,0.050557
-0.02118294,-0.1632571,-0.2073695,0.0680173
-0.02109505,-0.1620338,-0.2072564,0.08341449
-0.02182651,-0.1768897,-0.2075577,0.1023307
-0.0221933,-0.1651826,-0.2079353,0.1173602
-0.02251157,-0.1596025,-0.2080704,0.1350156
-0.02239669,-0.1818167,-0.207633,0.1500018
-0.02239669,-0.1818167,-0.207633,0.1692453
-0.02133111,-0.1641246,-0.2085116,0.1900774
-0.03076858,-0.1911338,-0.2083157,0.2102214
-0.03076858,-0.1911338,-0.2083157,0.2239053
-0.02931296,-0.1660882,-0.208026,0.2369604
-0.0286563,-0.1612372,-0.2086855,0.2570955
-0.02932567,-0.1651923,-0.2100802,0.2711573
-0.02932567,-0.1651923,-0.2100802,0.2873546
-0.02917912,-0.1608249,-0.2094107,0.3083999
-0.02878962,-0.1674732,-0.2095405,0.3241169
-0.02879985,-0.1605072,-0.2095779,0.3412104
-0.02919437,-0.1643497,-0.2096195,0.3571622
-0.02941449,-0.1574807,-0.2096983,0.375396
-0.03033194,-0.1693621,-0.2101925,0.3903726
-0.03033194,-0.1693621,-0.2101925,0.4039298
-0.02992734,-0.1625701,-0.2100585,0.4194748
-0.02863208,-0.1597513,-0.2107404,0.4396257
-0.0291461,-0.161567,-0.2111867,0.4540525
-0.02856086,-0.1601569,-0.2107552,0.4729333
-0.02887765,-0.1618577,-0.2114561,0.4914868
-0.02887765,-0.1618577,-0.2114561,0.5049574
-0.02804888,-0.1590213,-0.2121975,0.5242428
-0.02797538,-0.1602093,-0.2125417,0.5425487
-0.02800684,-0.1575293,-0.2124642,0.5583795
-0.02784385,-0.1593903,-0.212615,0.5750927
-0.0279658,-0.1570851,-0.2124681,0.5983865
-0.02778455,-0.1589685,-0.2126475,0.6115913
-0.02778455,-0.1589685,-0.2126475,0.6295696
-0.02800741,-0.1566295,-0.2125027,0.6449996
-0.02788296,-0.1585572,-0.2126391,0.6620181
-0.02776247,-0.1586845,-0.2127237,0.6815125
-0.02804799,-0.1564815,-0.2124693,0.6979454
-0.02791117,-0.1581405,-0.2126524,0.7158629
-0.02784565,-0.1583053,-0.2127164,0.7310879
-0.02784565,-0.1583053,-0.2127164,0.7476032
-0.02781734,-0.1581334,-0.21271,0.7654464
-0.02782319,-0.1579785,-0.2127129,0.7859457
-0.02783301,-0.1579009,-0.2127033,0.7995574
-0.02786368,-0.1577377,-0.2127049,0.8174332
