X, Y, Z, Time
-0.02119023,-0.1624764,-0.2070052,0.0162863
-0.02120527,-0.1621326,-0.2097987,0.0294942
-0.02131911,-0.1616623,-0.209882,0.0435222
-0.02131911,-0.1616623,-0.209882,0.0573628
-0.02143334,-0.1607363,-0.2099374,0.07019071
-0.02188462,-0.1603776,-0.2111205,0.088467
-0.02234641,-0.1602083,-0.2112145,0.1020418
-0.02234641,-0.1602083,-0.2112145,0.1204517
-0.02988064,-0.1619986,-0.2162309,0.1373703
-0.02984705,-0.1600636,-0.2162668,0.1502819
-0.02986749,-0.1596368,-0.2162404,0.1650579
-0.02979218,-0.1598038,-0.2161619,0.1827841
-0.02979218,-0.1598038,-0.2161619,0.1958323
-0.02982169,-0.1601082,-0.2161594,0.2107602
-0.02982967,-0.1603665,-0.2161566,0.2259796
-0.02984547,-0.1604368,-0.216163,0.2431437
-0.02984547,-0.1604368,-0.216163,0.2550822
-0.02986185,-0.1605153,-0.2161716,0.2697989
-0.02984669,-0.160752,-0.2162504,0.2857462
-0.02987994,-0.1607206,-0.2161681,0.3010904
-0.02987994,-0.1607206,-0.2161681,0.3159451
-0.02983476,-0.1610634,-0.2162463,0.3302391
-0.02994397,-0.161116,-0.2161154,0.3477097
-0.02974578,-0.1613563,-0.2161852,0.3630632
-0.02974578,-0.1613563,-0.2161852,0.3802451
-0.02967758,-0.1607208,-0.2160178,0.3928505
-0.02973387,-0.1609015,-0.2158998,0.4043263
-0.02973387,-0.1609015,-0.2158998,0.420091
-0.02962654,-0.1609168,-0.2158377,0.4365763
-0.02956209,-0.1609582,-0.2158063,0.4512114
-0.02940943,-0.1629548,-0.2156197,0.4657727
-0.0294498,-0.1619825,-0.2157539,0.4873782
-0.0294498,-0.1619825,-0.2157539,0.4979669
-0.02923759,-0.1611133,-0.2157404,0.5091832
-0.02917947,-0.1641095,-0.2155023,0.5214338
-0.02917947,-0.1641095,-0.2155023,0.5363801
-0.02927544,-0.161952,-0.2164025,0.5536919
-0.02897661,-0.1644867,-0.2154225,0.5671789
-0.02909255,-0.1619419,-0.2157119,0.5823089
-0.02909255,-0.1619419,-0.2157119,0.5966672
-0.02668001,-0.1637695,-0.2125445,0.6276379
-0.02668001,-0.1637695,-0.2125445,0.6397688
-0.02718411,-0.1633015,-0.2125541,0.6481586
-0.02718411,-0.1633015,-0.2125541,0.6588479
-0.026535,-0.1632079,-0.2124478,0.6752409
-0.0265692,-0.1630888,-0.212478,0.6919202
-0.02656265,-0.163037,-0.2124666,0.7036521
-0.02656265,-0.163037,-0.2124666,0.7195613
-0.02581929,-0.1630313,-0.2119023,0.7328008
-0.02161592,-0.1633184,-0.2086905,0.7497937
-0.02162838,-0.1619612,-0.2086696,0.7647295
-0.02163136,-0.1608351,-0.208694,0.7812994
-0.02163136,-0.1608351,-0.208694,0.795017
-0.01965256,-0.1603316,-0.206335,0.8084819
-0.02004532,-0.1594798,-0.2042776,0.8216921
-0.02004532,-0.1594798,-0.2042776,0.8377376
-0.01994305,-0.1558527,-0.2042522,0.8521806
-0.02009851,-0.1539774,-0.2042581,0.867623
-0.02025166,-0.1520088,-0.204212,0.8834759
-0.02025166,-0.1520088,-0.204212,0.8998085
-0.02061657,-0.1488007,-0.2042622,0.9137236
-0.02108609,-0.1461754,-0.2040327,0.9561052
-0.02130286,-0.145963,-0.2039316,0.9666088
-0.02130286,-0.145963,-0.2039316,0.9764622
-0.02175711,-0.1452913,-0.2037572,0.9843441
-0.02205474,-0.1445524,-0.2036226,1.00083
-0.02205474,-0.1445524,-0.2036226,1.015061
-0.02199398,-0.1430723,-0.2034187,1.030972
-0.02228316,-0.1422161,-0.2032974,1.04681
-0.02245599,-0.1410194,-0.2032987,1.061466
-0.02245599,-0.1410194,-0.2032987,1.078475
-0.02273295,-0.1387387,-0.2033506,1.093165
-0.02278117,-0.1375489,-0.2031961,1.108307
-0.02317038,-0.1361751,-0.2032603,1.125239
-0.02317038,-0.1361751,-0.2032603,1.137203
-0.02319945,-0.1338919,-0.2033446,1.152896
-0.0233159,-0.1322559,-0.2033477,1.170375
-0.02332556,-0.1313396,-0.2032461,1.183333
-0.02332556,-0.1313396,-0.2032461,1.198628
-0.02336713,-0.1289983,-0.2031358,1.212393
-0.02360399,-0.1271085,-0.2032236,1.229274
-0.02375998,-0.1253867,-0.2032601,1.243474
-0.02375998,-0.1253867,-0.2032601,1.257324
-0.02391723,-0.1228919,-0.2031379,1.26966
-0.02410248,-0.1209755,-0.2031185,1.284518
-0.02410248,-0.1209755,-0.2031185,1.300369
