X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0145911
-0.0212,-0.1624706,-0.207,0.0319637
-0.0212,-0.1624706,-0.207,0.0478396
-0.0212,-0.1624706,-0.207,0.064794
-0.0212,-0.1624706,-0.207,0.07582679
-0.0212,-0.1624706,-0.207,0.09106229
-0.0212,-0.1624706,-0.207,0.1084143
-0.0212,-0.1624706,-0.207,0.1222757
-0.0212,-0.1624706,-0.207,0.136003
-0.0212,-0.1624706,-0.207,0.1512468
-0.0212,-0.1624706,-0.207,0.1673677
-0.0212,-0.1624706,-0.207,0.1825854
-0.0212,-0.1624706,-0.207,0.198118
-0.0212,-0.1624706,-0.207,0.2146436
-0.0212,-0.1624706,-0.207,0.2267711
-0.0212,-0.1624706,-0.207,0.2480389
-0.0212,-0.1624706,-0.207,0.2580379
-0.0212,-0.1624706,-0.207,0.2717874
-0.0212,-0.1624706,-0.207,0.2878214
-0.0212,-0.1624706,-0.207,0.3023533
-0.0212,-0.1624706,-0.207,0.3192671
-0.0212,-0.1624706,-0.207,0.3339469
-0.0212,-0.1624706,-0.207,0.3491062
-0.0212,-0.1624706,-0.207,0.3658046
-0.0212,-0.1624706,-0.207,0.3799133
-0.0212,-0.1624706,-0.207,0.395288
-0.0212,-0.1624706,-0.207,0.4102786
-0.0212,-0.1624706,-0.207,0.4238284
-0.0212,-0.1624706,-0.207,0.4395781
-0.0212,-0.1624706,-0.207,0.4531609
-0.0212,-0.1624706,-0.207,0.4700718
-0.0212,-0.1624706,-0.207,0.4841662
-0.0212,-0.1624706,-0.207,0.4988979
-0.0212,-0.1624706,-0.207,0.5156921
-0.0212,-0.1624706,-0.207,0.5315359
-0.0212,-0.1624706,-0.207,0.5453221
-0.0212,-0.1624706,-0.207,0.5600687
-0.0212,-0.1624706,-0.207,0.5747254
-0.0212,-0.1624706,-0.207,0.5893704
-0.0212,-0.1624706,-0.207,0.6041611
-0.0212,-0.1624706,-0.207,0.619532
-0.0212,-0.1624706,-0.207,0.6346958
-0.0212,-0.1624706,-0.207,0.6493763
-0.0212,-0.1624706,-0.207,0.6632074
-0.0212,-0.1624706,-0.207,0.6792687
-0.0212,-0.1624706,-0.207,0.6902341
-0.0212,-0.1624706,-0.207,0.7049444
-0.0212,-0.1624706,-0.207,0.719754
-0.0212,-0.1624706,-0.207,0.7342361
-0.0212,-0.1624706,-0.207,0.7480735
-0.0212,-0.1624706,-0.207,0.7767882
-0.0212,-0.1624706,-0.207,0.785195
-0.0212,-0.1624706,-0.207,0.7932613
-0.0212,-0.1624706,-0.207,0.8085795
-0.0212,-0.1624706,-0.207,0.8223921
-0.0212,-0.1624706,-0.207,0.8357742
-0.0212,-0.1624706,-0.207,0.8508995
-0.0212,-0.1624706,-0.207,0.8682163
-0.0212,-0.1624706,-0.207,0.8824022
-0.0212,-0.1624706,-0.207,0.8981758
-0.0212,-0.1624705,-0.207,0.9146467
-0.0212,-0.1624706,-0.207,0.92716
-0.0212501,-0.1617439,-0.207064,0.9425418
-0.0212501,-0.1617439,-0.207064,0.959854
-0.02121942,-0.1610762,-0.2068268,0.9723671
-0.02112167,-0.1752549,-0.2063772,0.9872375
-0.02141241,-0.1646173,-0.2055299,1.002246
-0.01990181,-0.1559973,-0.2052212,1.02374
-0.01990181,-0.1559973,-0.2052212,1.039278
-0.01845438,-0.1896852,-0.2029401,1.051739
-0.01642216,-0.1487437,-0.2007099,1.067039
-0.01642216,-0.1487437,-0.2007099,1.081599
-0.07430293,-0.2789534,-0.1572606,1.096166
-0.08278491,-0.1589684,-0.1488114,1.114304
-0.08441345,-0.1630932,-0.1466304,1.126579
-0.08285063,-0.1767605,-0.1462084,1.143445
-0.08285063,-0.1767605,-0.1462084,1.158345
-0.07478002,-0.1891415,-0.1427492,1.171028
-0.08267601,-0.1594866,-0.1431215,1.186848
-0.08404082,-0.1636551,-0.1481282,1.203451
-0.08404082,-0.1636551,-0.1481282,1.219628
-0.08821726,-0.1562155,-0.1385888,1.233075
-0.1018528,-0.1331229,-0.1400809,1.249847
-0.09575929,-0.1489858,-0.120007,1.26395
-0.09575929,-0.1489858,-0.120007,1.276985
-0.09246811,-0.1564807,-0.1193392,1.29297
-0.0885724,-0.1586179,-0.119092,1.308776
