X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0233811
-0.0212,-0.1624706,-0.207,0.0423311
-0.0212,-0.1624706,-0.207,0.0757834
-0.0212,-0.1624706,-0.207,0.0879784
-0.0212,-0.1624706,-0.207,0.1103896
-0.0212,-0.1624706,-0.207,0.1248672
-0.0212,-0.1624706,-0.207,0.1468225
-0.0212,-0.1624706,-0.207,0.1624718
-0.0212,-0.1624706,-0.207,0.1908242
-0.0212,-0.1624706,-0.207,0.2055963
-0.0212,-0.1624706,-0.207,0.2278791
-0.0212,-0.1624706,-0.207,0.2444763
-0.0212,-0.1624706,-0.207,0.2704079
-0.0212,-0.1624706,-0.207,0.2899238
-0.0212,-0.1624706,-0.207,0.3117594
-0.0212,-0.1624706,-0.207,0.327709
-0.0212,-0.1624706,-0.207,0.3536096
-0.0212,-0.1624706,-0.207,0.3679313
-0.0212,-0.1624706,-0.207,0.3947464
-0.0212,-0.1624706,-0.207,0.4108155
-0.0212,-0.1624706,-0.207,0.4392392
-0.0212,-0.1624706,-0.207,0.4566917
-0.0212,-0.1624706,-0.207,0.4790343
-0.0212,-0.1624706,-0.207,0.4950905
-0.0212,-0.1624706,-0.207,0.5165028
-0.0212,-0.1624706,-0.207,0.5623275
-0.0212,-0.1624706,-0.207,0.5868688
-0.0212,-0.1624706,-0.207,0.5965796
-0.0212,-0.1624706,-0.207,0.6205118
-0.0212,-0.1624706,-0.207,0.63055
-0.0212,-0.1624706,-0.207,0.6540204
-0.0212,-0.1624706,-0.207,0.6972154
-0.0212,-0.1624706,-0.207,0.7237755
-0.0212,-0.1624706,-0.207,0.7486017
-0.0212,-0.1624706,-0.207,0.7587969
-0.0212,-0.1624706,-0.207,0.78056
-0.0212,-0.1624706,-0.207,0.7922097
-0.0212,-0.1624706,-0.207,0.815548
-0.0212,-0.1624706,-0.207,0.8368754
-0.0212,-0.1624706,-0.207,0.8588916
-0.0212,-0.1624706,-0.207,0.8767248
-0.0212,-0.1624706,-0.207,0.8998307
-0.0212,-0.1624706,-0.207,0.9207704
-0.0212,-0.1624706,-0.207,0.9429579
-0.0212,-0.1624706,-0.207,0.9614578
-0.0212,-0.1624706,-0.207,0.9925808
-0.0212,-0.1624706,-0.207,1.004847
-0.0212,-0.1624706,-0.207,1.030052
-0.0212,-0.1624706,-0.207,1.040964
-0.0212,-0.1624706,-0.207,1.065184
-0.0212,-0.1624706,-0.207,1.083224
-0.0212,-0.1624706,-0.207,1.107045
-0.0212,-0.1624706,-0.207,1.123612
-0.0212,-0.1624706,-0.207,1.146657
-0.0212,-0.1624706,-0.207,1.162378
-0.0212,-0.1624706,-0.207,1.186811
-0.0212,-0.1624706,-0.207,1.203698
-0.0212,-0.1624706,-0.207,1.227756
-0.0212,-0.1624706,-0.207,1.243202
-0.0212,-0.1624706,-0.207,1.271272
-0.0212,-0.1624706,-0.207,1.28545
-0.0212,-0.1624705,-0.207,1.308756
-0.0212,-0.1624706,-0.207,1.324958
-0.02136173,-0.1617458,-0.2071087,1.357601
-0.02118895,-0.1632423,-0.2071272,1.388575
-0.02090166,-0.1641615,-0.208453,1.417188
-0.02090166,-0.1641615,-0.208453,1.42856
-0.01988839,-0.1752343,-0.207468,1.452026
-0.01988839,-0.1752343,-0.207468,1.461746
-0.01930966,-0.163544,-0.2086678,1.485031
-0.01987278,-0.161538,-0.2073036,1.497957
-0.02062385,-0.1808697,-0.20334,1.523001
-0.01865383,-0.1661528,-0.2043657,1.550877
-0.02030185,-0.1622081,-0.2037663,1.576235
-0.02030185,-0.1622081,-0.2037663,1.585618
-0.01948924,-0.1637693,-0.2044322,1.607453
-0.02231044,-0.1577668,-0.203885,1.621563
-0.02185985,-0.1794958,-0.2016104,1.644219
-0.0235834,-0.16574,-0.2005996,1.660325
-0.02364222,-0.1593873,-0.2006139,1.685272
-0.0208328,-0.1609427,-0.2003951,1.713652
-0.02033829,-0.1624669,-0.2005506,1.737053
-0.02033829,-0.1624669,-0.2005506,1.746182
-0.02179701,-0.1553111,-0.2005076,1.759506
-0.02879215,-0.1465218,-0.2055211,1.788253
-0.03272791,-0.1435835,-0.207913,1.80081
-0.03943331,-0.1418967,-0.2119316,1.824512
-0.04315878,-0.1414517,-0.2139631,1.841293
-0.04754266,-0.1421517,-0.2147841,1.876203
-0.04754266,-0.1421517,-0.2147841,1.887285
-0.04805173,-0.1425662,-0.2135039,1.911469
-0.04805173,-0.1425662,-0.2135039,1.921842
-0.04872677,-0.1413815,-0.211869,1.945424
-0.04963718,-0.1393199,-0.211467,1.963996
-0.05106631,-0.1362996,-0.2113227,1.988187
-0.05341463,-0.1338643,-0.2115619,2.008034
-0.05681504,-0.1314713,-0.2120796,2.030709
-0.05681504,-0.1314713,-0.2120796,2.043373
-0.06266233,-0.1293272,-0.2129902,2.065826
-0.06653315,-0.1280088,-0.2141156,2.087709
-0.07048751,-0.1280348,-0.2144597,2.110195
-0.07369663,-0.1286681,-0.2139711,2.141895
-0.07509644,-0.1290065,-0.2133129,2.167792
-0.07620345,-0.1289106,-0.212678,2.194613
-0.0767771,-0.1290479,-0.2120156,2.222049
-0.07690431,-0.128995,-0.2117896,2.232318
-0.0767938,-0.1291335,-0.2114095,2.255769
-0.0767938,-0.1291335,-0.2114095,2.264532
-0.07656565,-0.1296024,-0.2106302,2.284094
-0.07620172,-0.1300478,-0.209758,2.30828
-0.07592711,-0.1305868,-0.2089651,2.323941
-0.07551689,-0.131384,-0.2075025,2.347672
-0.07526904,-0.1318241,-0.2067958,2.362867
-0.07513466,-0.1324041,-0.2056228,2.388156
-0.07524898,-0.132127,-0.2051618,2.406299
-0.07590469,-0.1320517,-0.2044604,2.429034
-0.07634522,-0.1319194,-0.203988,2.444164
