X, Y, Z, Time
-0.0212,-0.1624706,-0.207,0.0228465
-0.0212,-0.1624706,-0.207,0.0374795
-0.0212,-0.1624706,-0.207,0.06375059
-0.0212,-0.1624706,-0.207,0.07771269
-0.0212,-0.1624706,-0.207,0.1035323
-0.0212,-0.1624706,-0.207,0.1201982
-0.0212,-0.1624706,-0.207,0.1439299
-0.0212,-0.1624706,-0.207,0.1611903
-0.0212,-0.1624706,-0.207,0.1923596
-0.0212,-0.1624706,-0.207,0.2058867
-0.0212,-0.1624706,-0.207,0.23132
-0.0212,-0.1624706,-0.207,0.2453232
-0.0212,-0.1624706,-0.207,0.2944156
-0.0212,-0.1624706,-0.207,0.3209017
-0.0212,-0.1624706,-0.207,0.3320509
-0.0212,-0.1624706,-0.207,0.3555001
-0.0212,-0.1624706,-0.207,0.3654575
-0.0212,-0.1624706,-0.207,0.3871599
-0.0212,-0.1624706,-0.207,0.4028507
-0.0212,-0.1624706,-0.207,0.4284536
-0.0212,-0.1624706,-0.207,0.4415792
-0.0212,-0.1624706,-0.207,0.4694768
-0.0212,-0.1624706,-0.207,0.4872112
-0.0212,-0.1624706,-0.207,0.511946
-0.0212,-0.1624706,-0.207,0.5317148
-0.0212,-0.1624706,-0.207,0.5538275
-0.0212,-0.1624706,-0.207,0.5682831
-0.0212,-0.1624706,-0.207,0.5901802
-0.0212,-0.1624706,-0.207,0.608681
-0.0212,-0.1624706,-0.207,0.6313439
-0.0212,-0.1624706,-0.207,0.6482725
-0.0212,-0.1624706,-0.207,0.6798657
-0.0212,-0.1624706,-0.207,0.7041532
-0.0212,-0.1624706,-0.207,0.7294927
-0.0212,-0.1624706,-0.207,0.7392865
-0.0212,-0.1624706,-0.207,0.7619596
-0.0212,-0.1624706,-0.207,0.7735931
-0.0212,-0.1624706,-0.207,0.8001546
-0.0212,-0.1624706,-0.207,0.8145989
-0.0212,-0.1624706,-0.207,0.836742
-0.0212,-0.1624706,-0.207,0.8554391
-0.0212,-0.1624706,-0.207,0.8775806
-0.0212,-0.1624706,-0.207,0.8927516
-0.0212,-0.1624706,-0.207,0.9183083
-0.0212,-0.1624706,-0.207,0.9351577
-0.0212,-0.1624706,-0.207,0.9580449
-0.0212,-0.1624706,-0.207,0.9744213
