X, Y, Z, Time
-0.0212005,-0.1624792,-0.2070041,0.0147858
-0.02121505,-0.1619954,-0.2069135,0.0297443
-0.02132004,-0.16089,-0.2067416,0.0621292
-0.02911439,-0.1628073,-0.2122069,0.072982
-0.02911439,-0.1628073,-0.2122069,0.0825201
-0.02910624,-0.1605438,-0.2122519,0.0901361
-0.02910624,-0.1605438,-0.2122519,0.1058634
-0.02943318,-0.1595285,-0.2124815,0.1229154
-0.02946275,-0.159333,-0.2124561,0.1374276
-0.0294824,-0.1591666,-0.2122982,0.1555143
-0.02949269,-0.1592663,-0.2122483,0.1724534
-0.02949269,-0.1592663,-0.2122483,0.1842507
-0.0306506,-0.1602982,-0.2162015,0.1987326
-0.03099085,-0.1584251,-0.2161271,0.2130043
-0.03149541,-0.1587488,-0.215725,0.2293176
-0.03149541,-0.1587488,-0.215725,0.2401123
-0.0314044,-0.1591637,-0.2151937,0.2553331
-0.03157878,-0.1602077,-0.2167003,0.2722207
-0.03157878,-0.1602077,-0.2167003,0.2857743
-0.03247385,-0.1599701,-0.2158768,0.2998142
-0.03216495,-0.1596834,-0.2157416,0.3152494
-0.03208688,-0.16074,-0.2155767,0.3320959
-0.03208688,-0.16074,-0.2155767,0.3466164
-0.03234278,-0.1615594,-0.2159282,0.3614605
-0.03171147,-0.1611229,-0.2155159,0.3780904
-0.03225333,-0.1607481,-0.2158857,0.3899707
-0.03225333,-0.1607481,-0.2158857,0.4056528
-0.03168532,-0.1613393,-0.2155929,0.4211103
-0.03183125,-0.1624627,-0.2156997,0.4358732
-0.03186761,-0.1613592,-0.215512,0.4514375
-0.03171499,-0.1624468,-0.2155732,0.4683533
-0.03171499,-0.1624468,-0.2155732,0.4816288
-0.0315083,-0.1611214,-0.2155637,0.4950662
-0.0313072,-0.1628167,-0.2153311,0.5075058
-0.0313072,-0.1628167,-0.2153311,0.5225243
-0.03107004,-0.1623107,-0.2152417,0.5365554
-0.03123343,-0.1621696,-0.215458,0.5538606
-0.03141757,-0.1614451,-0.2153686,0.5686676
-0.03141757,-0.1614451,-0.2153686,0.582704
-0.03144285,-0.1625517,-0.215346,0.6024402
-0.03106435,-0.1624074,-0.2151242,0.6141192
-0.03129619,-0.1621401,-0.2152186,0.6275412
-0.03129619,-0.1621401,-0.2152186,0.639473
-0.0312241,-0.1618698,-0.2154733,0.6548933
-0.03113363,-0.1625059,-0.2148961,0.6709874
-0.03113363,-0.1625059,-0.2148961,0.6865456
-0.03123195,-0.1615939,-0.2153893,0.7001025
-0.03120289,-0.1624072,-0.2153449,0.7170404
-0.03121423,-0.1612498,-0.2154174,0.7324823
-0.03121423,-0.1612498,-0.2154174,0.7460516
-0.03074924,-0.162365,-0.2149825,0.7610066
-0.03120155,-0.1613212,-0.2154173,0.775731
-0.03078459,-0.1624971,-0.2151132,0.7895636
-0.03078459,-0.1624971,-0.2151132,0.8048676
-0.0312156,-0.1615122,-0.2154329,0.818696
-0.03080816,-0.1625476,-0.2149008,0.8346146
-0.03120768,-0.1615663,-0.2154233,0.8491336
-0.03120768,-0.1615663,-0.2154233,0.8640126
-0.03071588,-0.1625464,-0.2148025,0.88134
-0.0312003,-0.1612182,-0.2153519,0.8972871
-0.0311325,-0.1623586,-0.2152643,0.9106876
-0.0311325,-0.1623586,-0.2152643,0.9239414
-0.0311606,-0.1612457,-0.215354,0.9381711
-0.03072818,-0.1622691,-0.2146358,0.9532477
-0.03079282,-0.1609676,-0.2152408,0.970306
-0.03079282,-0.1609676,-0.2152408,0.9833245
