X, Y, Z, Time
-0.02119974,-0.1624559,-0.207002,0.0140643
-0.02131184,-0.1622954,-0.2072333,0.028555
-0.02131184,-0.1622954,-0.2072333,0.0452363
-0.02115931,-0.1624293,-0.2070874,0.0595188
-0.02111843,-0.1621258,-0.2070199,0.0761274
-0.02097479,-0.1617124,-0.2068577,0.0896922
-0.02071065,-0.1604801,-0.2069418,0.1089312
-0.02071065,-0.1604801,-0.2069418,0.124902
-0.02070387,-0.1687582,-0.2056856,0.1423751
-0.01979713,-0.161286,-0.2057815,0.1522652
-0.01979713,-0.161286,-0.2057815,0.1666112
-0.01982156,-0.1745884,-0.2037789,0.180718
-0.01987276,-0.1646171,-0.2034005,0.1967707
-0.01966463,-0.1626567,-0.20314,0.2115296
-0.01966463,-0.1626567,-0.20314,0.2266824
-0.01946313,-0.1619582,-0.2030546,0.2431983
-0.01944275,-0.1620987,-0.2030491,0.2581084
-0.01944184,-0.1621772,-0.2031065,0.2733738
-0.01940254,-0.1622116,-0.2031549,0.2899211
-0.01940254,-0.1622116,-0.2031549,0.3014916
-0.0192296,-0.1637046,-0.2032565,0.3171391
-0.01956783,-0.1625522,-0.2030706,0.3317046
-0.01940404,-0.1623423,-0.203352,0.3487326
-0.01940404,-0.1623423,-0.203352,0.3624445
-0.0195135,-0.1622339,-0.2033983,0.3772631
-0.01817152,-0.1615727,-0.2058396,0.3917875
-0.01559479,-0.158288,-0.2080863,0.4213498
-0.01549322,-0.1568181,-0.2086095,0.4303379
-0.01549322,-0.1568181,-0.2086095,0.4401152
-0.01474636,-0.1540648,-0.2090506,0.4513192
-0.01474636,-0.1540648,-0.2090506,0.4664399
-0.01364659,-0.1497574,-0.2094297,0.48187
-0.01335515,-0.1473629,-0.209842,0.4987731
-0.01316245,-0.1461739,-0.210008,0.512488
-0.01316245,-0.1461739,-0.210008,0.5273006
-0.01249846,-0.1439721,-0.2099414,0.544876
-0.01223064,-0.1425301,-0.2097368,0.5598886
-0.01175487,-0.1405579,-0.2098117,0.5747484
-0.01182851,-0.1384131,-0.2102344,0.5917632
-0.01182851,-0.1384131,-0.2102344,0.6029757
-0.01200755,-0.1353039,-0.2103142,0.6181473
-0.0115753,-0.1327635,-0.210124,0.6351426
-0.01189472,-0.1303315,-0.2104113,0.6487686
-0.01189472,-0.1303315,-0.2104113,0.6648642
-0.01245383,-0.1255819,-0.2110953,0.679158
-0.01280211,-0.1230931,-0.2108557,0.6958944
-0.01311065,-0.1210277,-0.210683,0.7091931
-0.01311065,-0.1210277,-0.210683,0.7234384
-0.01342073,-0.1176747,-0.2101973,0.735234
-0.01412122,-0.1149885,-0.2104119,0.7505488
-0.01537675,-0.1106313,-0.2102569,0.7791792
-0.01585903,-0.1088099,-0.209968,0.7886114
-0.01585903,-0.1088099,-0.209968,0.7977886
-0.01691762,-0.1051467,-0.2097992,0.8128574
-0.01691762,-0.1051467,-0.2097992,0.827226
-0.01812682,-0.1011847,-0.2092281,0.8425578
-0.01912966,-0.09878552,-0.208818,0.8601713
-0.01978116,-0.09692856,-0.2085636,0.8744532
-0.02051991,-0.09519175,-0.2082635,0.8898013
-0.02051991,-0.09519175,-0.2082635,0.9076504
-0.0228234,-0.09278672,-0.207735,0.9217858
-0.02431773,-0.09149328,-0.2075207,0.9398572
-0.02507376,-0.09075584,-0.2073456,0.9512673
-0.02507376,-0.09075584,-0.2073456,0.9667706
-0.02697717,-0.08947592,-0.206674,0.9802041
-0.02850529,-0.088521,-0.2062207,0.9975028
-0.02959319,-0.08761366,-0.2058679,1.0106
-0.02959319,-0.08761366,-0.2058679,1.024285
-0.03203005,-0.08608103,-0.2048739,1.03996
-0.03343754,-0.08476968,-0.2042346,1.056674
-0.03442411,-0.08343817,-0.2040945,1.068869
-0.03442411,-0.08343817,-0.2040945,1.083963
-0.03764983,-0.07977018,-0.2038548,1.100772
-0.03951384,-0.07820745,-0.2035557,1.115784
-0.0411901,-0.07747804,-0.2030734,1.130783
-0.0411901,-0.07747804,-0.2030734,1.147631
-0.04339913,-0.07659777,-0.2021785,1.159988
-0.0446823,-0.07644358,-0.2015332,1.174067
-0.04589435,-0.07634167,-0.2009364,1.188349
-0.04589435,-0.07634167,-0.2009364,1.201023
-0.04767332,-0.07605543,-0.199815,1.216014
-0.04866879,-0.07578605,-0.1992319,1.230317
-0.05019503,-0.07541391,-0.1983334,1.25197
-0.05019503,-0.07541391,-0.1983334,1.261394
-0.05179433,-0.07485823,-0.1973543,1.275387
-0.05270567,-0.07427306,-0.1966135,1.292823
-0.05270567,-0.07427306,-0.1966135,1.307007
-0.05450872,-0.07350864,-0.1952659,1.321659
-0.05560198,-0.07301628,-0.1944548,1.336704
-0.0567975,-0.07239917,-0.1939048,1.350305
-0.0567975,-0.07239917,-0.1939048,1.366811
-0.06010266,-0.06983434,-0.1929501,1.383404
-0.06193288,-0.0685217,-0.1924414,1.397463
-0.06362982,-0.06727029,-0.1919948,1.411416
-0.06362982,-0.06727029,-0.1919948,1.426739
-0.06751746,-0.06461859,-0.1911016,1.443213
-0.06974372,-0.06368173,-0.190314,1.458284
-0.07154252,-0.06250107,-0.1898064,1.473282
-0.07397502,-0.06148958,-0.1889623,1.491558
-0.07397502,-0.06148958,-0.1889623,1.505896
-0.07759088,-0.06020011,-0.1874696,1.522839
-0.07902778,-0.05980482,-0.1866249,1.535694
-0.08060915,-0.05962137,-0.1856891,1.551115
-0.08060915,-0.05962137,-0.1856891,1.566882
